Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.00539351;-0.0633743;0.740363;0.107214;-0.658012
0.0154519;-0.0632942;0.740363;0.107234;-0.658016
0.0255098;-0.0632372;0.740383;0.107223;-0.658001
0.0355682;-0.0631917;0.740403;0.107191;-0.657988
0.0456262;-0.0631599;0.740429;0.107176;-0.657964
0.0556841;-0.0631308;0.740456;0.107203;-0.657932
0.0657415;-0.0631001;0.740481;0.107242;-0.6579
0.0757999;-0.0630786;0.740516;0.107279;-0.657857
0.0858583;-0.0630828;0.740554;0.107313;-0.657808
0.0959163;-0.0631122;0.740602;0.107302;-0.657754
0.105974;-0.0631434;0.740644;0.107279;-0.657707
0.116028;-0.0631926;0.740691;0.107205;-0.657661
0.126087;-0.0632601;0.740737;0.10715;-0.657611
0.136145;-0.0633222;0.740786;0.107106;-0.657559
0.146203;-0.0633698;0.740823;0.107076;-0.657517
0.15626;-0.0634102;0.740852;0.107047;-0.657485
0.166318;-0.0634326;0.740876;0.107014;-0.657461
0.176377;-0.0634488;0.740892;0.106971;-0.657448
0.186434;-0.0634737;0.74091;0.106931;-0.657432
0.196493;-0.0634903;0.74092;0.106875;-0.657428
0.206551;-0.0635142;0.740931;0.106826;-0.657422
0.216609;-0.063527;0.740933;0.106788;-0.657424
0.226666;-0.0635447;0.740927;0.106731;-0.657438
0.236724;-0.0635433;0.740917;0.106706;-0.657454
0.246783;-0.0635366;0.740887;0.106683;-0.657493
0.256842;-0.0635189;0.740849;0.106655;-0.657541
0.2669;-0.0634992;0.740802;0.106635;-0.657599
0.276957;-0.0634769;0.740744;0.106624;-0.657669
0.287015;-0.0634608;0.740676;0.106603;-0.65775
0.297073;-0.0634603;0.7406;0.106575;-0.65784
0.307132;-0.0634624;0.740531;0.106518;-0.657927
0.317185;-0.0634598;0.740457;0.106463;-0.658019
0.327243;-0.0634503;0.740389;0.1064;-0.658107
0.337301;-0.0634703;0.740326;0.10631;-0.65819
0.34736;-0.0634662;0.740265;0.10621;-0.658276
0.357418;-0.0634705;0.740203;0.106137;-0.658357
0.367476;-0.0634529;0.740151;0.106067;-0.658429
0.377533;-0.0634345;0.740103;0.106003;-0.658494
0.387591;-0.063392;0.740061;0.105933;-0.658557
0.39765;-0.0633288;0.740021;0.105886;-0.658616
0.407708;-0.0632634;0.73999;0.105843;-0.658664
0.417766;-0.0631941;0.739964;0.105818;-0.658703
0.427824;-0.0631306;0.739945;0.105787;-0.658735
0.437882;-0.0630735;0.739929;0.105754;-0.658765
0.44794;-0.0630318;0.739921;0.105736;-0.65878
0.457999;-0.0629896;0.73992;0.105707;-0.658791
0.468056;-0.0629647;0.739925;0.105661;-0.658794
0.478114;-0.0629467;0.739933;0.105634;-0.658792
