Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.00669527;0.171188;0.703314;0.41945;-0.544733
0.0168633;0.171124;0.703341;0.419365;-0.544783
0.0270309;0.17104;0.703353;0.419295;-0.544848
0.037199;0.170923;0.703354;0.419277;-0.544897
0.0473676;0.170777;0.703351;0.419276;-0.544947
0.0575347;0.170635;0.703312;0.419297;-0.545027
0.0677018;0.170553;0.703222;0.419385;-0.545101
0.0778699;0.17049;0.70309;0.419523;-0.545184
0.088038;0.17044;0.70295;0.419646;-0.545285
0.098206;0.170404;0.702811;0.419767;-0.545383
0.108374;0.170378;0.702663;0.41992;-0.545464
0.118541;0.170342;0.702544;0.420029;-0.545545
0.128709;0.17034;0.702427;0.420121;-0.545625
0.138876;0.170357;0.702337;0.420183;-0.545688
0.149044;0.170383;0.70226;0.420214;-0.545755
0.159213;0.170418;0.702206;0.420234;-0.545798
0.169376;0.170466;0.702164;0.420228;-0.545842
0.179544;0.170517;0.702133;0.420221;-0.545871
0.189712;0.170575;0.70211;0.420191;-0.545906
0.199879;0.170617;0.702103;0.420143;-0.545938
0.210047;0.170651;0.702103;0.420102;-0.545959
0.220215;0.170686;0.702099;0.420061;-0.545985
0.230383;0.170713;0.702103;0.420018;-0.546005
0.240551;0.170712;0.702125;0.419981;-0.546006
0.250718;0.170715;0.702131;0.419982;-0.545996
0.260886;0.170724;0.70215;0.42;-0.545955
0.271054;0.170738;0.702166;0.420061;-0.545883
0.281222;0.170769;0.702186;0.420126;-0.545797
0.291389;0.170791;0.702206;0.420181;-0.545722
0.301557;0.170814;0.702235;0.420232;-0.545638
0.311725;0.170766;0.702273;0.420249;-0.545592
0.321892;0.170725;0.70232;0.420245;-0.545547
0.33206;0.170691;0.70236;0.420252;-0.545501
0.342229;0.170663;0.702407;0.42025;-0.54545
0.352396;0.170632;0.702451;0.420255;-0.545401
0.362564;0.170638;0.702499;0.420255;-0.545336
0.372727;0.170641;0.702542;0.420269;-0.545269
0.382895;0.170637;0.702587;0.42028;-0.545205
0.393063;0.170635;0.702629;0.420289;-0.545143
0.403231;0.170613;0.702679;0.420274;-0.545097
0.413399;0.170548;0.70272;0.420239;-0.545092
0.423566;0.170486;0.702751;0.420209;-0.545094
0.433734;0.170442;0.702775;0.420178;-0.545102
0.443902;0.170415;0.702776;0.420143;-0.545135
0.45407;0.17046;0.702742;0.420172;-0.545142
0.464238;0.170582;0.702692;0.420252;-0.545107
0.474406;0.170717;0.702635;0.420325;-0.545083
0.484573;0.170851;0.702588;0.420387;-0.545053
0.494741;0.171005;0.702546;0.420437;-0.54502
0.504909;0.171174;0.702518;0.420468;-0.544979
0.515077;0.17135;0.702506;0.420478;-0.544932
0.525244;0.171523;0.702494;0.420483;-0.544889
0.535412;0.171686;0.702487;0.420486;-0.544844
0.545579;0.171839;0.702493;0.420486;-0.544788
0.555748;0.171952;0.702527;0.420438;-0.544746
0.565911;0.172031;0.702576;0.420379;-0.544703
0.576079;0.172061;0.702645;0.420348;-0.544629
0.586247;0.172062;0.702735;0.420301;-0.544548
0.596415;0.172044;0.702819;0.420269;-0.544471
0.606582;0.172028;0.702885;0.420193;-0.544449
0.61675;0.172057;0.7029;0.420094;-0.544497
0.626918;0.172124;0.702865;0.420031;-0.54457
0.637086;0.17222;0.702802;0.41999;-0.544652
0.647254;0.172301;0.702722;0.420002;-0.54472
0.657421;0.172341;0.702657;0.420042;-0.54476
0.667589;0.172362;0.702603;0.420115;-0.544768
