Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
0.00196171;0.646665;-0.326587;-0.649311;-0.224028
0.0120502;0.646649;-0.326625;-0.649302;-0.224043
0.02214;0.646638;-0.326658;-0.649295;-0.224051
0.032228;0.64664;-0.326662;-0.649296;-0.224033
0.0423174;0.646658;-0.326657;-0.649296;-0.223991
0.0524058;0.646673;-0.326641;-0.649296;-0.223968
0.0624952;0.646685;-0.326622;-0.649297;-0.223961
0.0725842;0.646695;-0.326604;-0.649299;-0.223951
0.0826731;0.646729;-0.326534;-0.649325;-0.223879
0.092762;0.646758;-0.326462;-0.649353;-0.22382
0.10285;0.646786;-0.326401;-0.649379;-0.223753
0.112939;0.646802;-0.326348;-0.649404;-0.223709
0.123028;0.646828;-0.3263;-0.649422;-0.223656
0.133118;0.646834;-0.3263;-0.649412;-0.223664
0.143207;0.646843;-0.326303;-0.649404;-0.223658
0.153296;0.646849;-0.326302;-0.649402;-0.223646
0.163385;0.646864;-0.326298;-0.649403;-0.223607
0.173473;0.646887;-0.326267;-0.64941;-0.223563
0.183563;0.646923;-0.326224;-0.649433;-0.223457
0.193651;0.646952;-0.326171;-0.649457;-0.223383
0.20374;0.64696;-0.326135;-0.649491;-0.22331
0.213829;0.64698;-0.326087;-0.649519;-0.223242
0.223918;0.646985;-0.326054;-0.649545;-0.223201
0.234007;0.646966;-0.326069;-0.649546;-0.22323
0.244096;0.646947;-0.326094;-0.649544;-0.223255
0.254185;0.646917;-0.32612;-0.649554;-0.223278
0.264274;0.646898;-0.326138;-0.64955;-0.223313
0.274363;0.646865;-0.326183;-0.649532;-0.223397
0.284451;0.646812;-0.326273;-0.649511;-0.223481
0.294541;0.64676;-0.326366;-0.649482;-0.223578
0.30463;0.646704;-0.326466;-0.649453;-0.223681
0.314719;0.64664;-0.326578;-0.649433;-0.22376
0.324808;0.646595;-0.326671;-0.649412;-0.223815
0.334897;0.646563;-0.326738;-0.649404;-0.22383
0.344985;0.646529;-0.326794;-0.649397;-0.223869
0.355074;0.646497;-0.326849;-0.649395;-0.223888
0.365163;0.646466;-0.326898;-0.649388;-0.223924
0.375253;0.646471;-0.326889;-0.649404;-0.223877
0.385341;0.646486;-0.326871;-0.649424;-0.223803
0.395431;0.646497;-0.326859;-0.649447;-0.223719
0.405519;0.646495;-0.326853;-0.649478;-0.223643
0.415608;0.6465;-0.326845;-0.649508;-0.223556
0.425697;0.646486;-0.326856;-0.649544;-0.223474
0.435786;0.646488;-0.326861;-0.649566;-0.223398
0.445875;0.64649;-0.326866;-0.649587;-0.223324
0.455964;0.646491;-0.326876;-0.649609;-0.223244
0.466053;0.646496;-0.326871;-0.649632;-0.223169
0.476142;0.646477;-0.32692;-0.649628;-0.223165
0.486231;0.64645;-0.326965;-0.649623;-0.223191
0.496319;0.64641;-0.327025;-0.649617;-0.223236
0.506409;0.646382;-0.327081;-0.649611;-0.223254
0.516497;0.646347;-0.327143;-0.649602;-0.223289
0.526587;0.646343;-0.327159;-0.649611;-0.223251
0.536676;0.646353;-0.327164;-0.649617;-0.223198
0.546764;0.646369;-0.32715;-0.649627;-0.223144
0.556854;0.646397;-0.327126;-0.649635;-0.223073
0.566942;0.646418;-0.327093;-0.649649;-0.22302
0.577032;0.646415;-0.32712;-0.649647;-0.222998
0.58712;0.646417;-0.327132;-0.649637;-0.222999
0.597209;0.646418;-0.327157;-0.649624;-0.223001
0.607298;0.646411;-0.327181;-0.649616;-0.223005
0.617387;0.646397;-0.327211;-0.649608;-0.223027
0.627476;0.646345;-0.32728;-0.649605;-0.223084
0.637565;0.646283;-0.327384;-0.649596;-0.223139
0.647654;0.64621;-0.327499;-0.649595;-0.223184
0.657743;0.646134;-0.327621;-0.649587;-0.223248
0.667832;0.646082;-0.327731;-0.649569;-0.223289
0.67792;0.646044;-0.327823;-0.649554;-0.223309
0.68801;0.646022;-0.327894;-0.649532;-0.223332
0.698099;0.646005;-0.327967;-0.649498;-0.223374
0.708188;0.646003;-0.328029;-0.649457;-0.223405
0.718277;0.646008;-0.328086;-0.649414;-0.223434
0.728365;0.646003;-0.328131;-0.649384;-0.223469
0.738454;0.645981;-0.328182;-0.649363;-0.223518
0.748543;0.645969;-0.328231;-0.649341;-0.223544
0.758632;0.645946;-0.328277;-0.649328;-0.223581
0.768721;0.645907;-0.328348;-0.649309;-0.223644
0.77881;0.645876;-0.328436;-0.649266;-0.22373
0.788899;0.645848;-0.328529;-0.649223;-0.223798
0.798988;0.645835;-0.328607;-0.64919;-0.22382
0.809077;0.645816;-0.328672;-0.649157;-0.223874
0.819165;0.645815;-0.328726;-0.649127;-0.223886
0.829255;0.645826;-0.328752;-0.649093;-0.223911
0.839344;0.64584;-0.328765;-0.649064;-0.223936
0.849433;0.645857;-0.328766;-0.649041;-0.223955
0.859522;0.645876;-0.328757;-0.649021;-0.223969
0.869611;0.645902;-0.328718;-0.649018;-0.22396
0.8797;0.645934;-0.328674;-0.649026;-0.223911
0.889788;0.645954;-0.328639;-0.649036;-0.223876
0.899878;0.645971;-0.328622;-0.64905;-0.22381
0.909966;0.645968;-0.328621;-0.649066;-0.223775
0.920055;0.645945;-0.328639;-0.649089;-0.223746
0.930145;0.645928;-0.328669;-0.649104;-0.22371
0.940233;0.645917;-0.328694;-0.649111;-0.223683
0.950323;0.645936;-0.328698;-0.649106;-0.223635
0.960411;0.645951;-0.328683;-0.649112;-0.223597
0.9705;0.645987;-0.328634;-0.649124;-0.223532
0.980589;0.646018;-0.328583;-0.649143;-0.223462
0.990678;0.646052;-0.328521;-0.64917;-0.223376
1.00077;0.646084;-0.328463;-0.649204;-0.223268
1.01086;0.646091;-0.328429;-0.649242;-0.223188
1.02095;0.646082;-0.328436;-0.649262;-0.223147
1.03103;0.646061;-0.328448;-0.64929;-0.223108
1.04112;0.64605;-0.328452;-0.649305;-0.223088
1.05121;0.646046;-0.328445;-0.649313;-0.223089
1.0613;0.646039;-0.328458;-0.649315;-0.223084
1.07139;0.646032;-0.328484;-0.649314;-0.223071
1.08148;0.646019;-0.328503;-0.649329;-0.223033
1.09157;0.646002;-0.328528;-0.649347;-0.222994
1.10166;0.645982;-0.328543;-0.64937;-0.222965
1.11175;0.64595;-0.328566;-0.6494;-0.222937
1.12183;0.64593;-0.328591;-0.649419;-0.2229
1.13192;0.6459;-0.328614;-0.649449;-0.222868
1.14201;0.645868;-0.328653;-0.649479;-0.222817
1.1521;0.645849;-0.328684;-0.649497;-0.222769
1.16219;0.64583;-0.328725;-0.649506;-0.222741
1.17228;0.64581;-0.328772;-0.649512;-0.222712
1.18237;0.645782;-0.328821;-0.649521;-0.222693
1.19246;0.64576;-0.328871;-0.649526;-0.22267
1.20255;0.645743;-0.328927;-0.649525;-0.222637
1.21263;0.645718;-0.328987;-0.649529;-0.22261
1.22272;0.64569;-0.329036;-0.649535;-0.222603
1.23281;0.645659;-0.329085;-0.649546;-0.222586
1.2429;0.645625;-0.329139;-0.649561;-0.222562
1.25299;0.6456;-0.329179;-0.649582;-0.222515
1.26308;0.645584;-0.329194;-0.649604;-0.222477
1.27317;0.645574;-0.329211;-0.649625;-0.222416
1.28326;0.645563;-0.329232;-0.649643;-0.222365
1.29335;0.645539;-0.329256;-0.649672;-0.222315
