Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.30266,0.00000,-0.57055,0.00000,-0.08529,0.00000,0.04867,0.00000,-0.61839,0.00000,-0.25436
0.01000,0.01000,-0.29882,0.01000,-0.56436,0.01000,-0.08420,0.01000,0.04964,0.01000,-0.62190,0.01000,-0.24969
0.02000,0.02000,-0.29432,0.02000,-0.55713,0.02000,-0.08293,0.02000,0.05074,0.02000,-0.62589,0.02000,-0.24526
0.03000,0.03000,-0.28925,0.03000,-0.54896,0.03000,-0.08150,0.03000,0.05196,0.03000,-0.62820,0.03000,-0.24146
0.04001,0.04000,-0.28372,0.04000,-0.54000,0.04000,-0.07995,0.04000,0.05331,0.04000,-0.62415,0.04000,-0.23870
0.05001,0.05000,-0.27789,0.05000,-0.53040,0.05000,-0.07830,0.05000,0.05477,0.05000,-0.61603,0.05000,-0.23737
0.06001,0.06000,-0.27192,0.06000,-0.52035,0.06000,-0.07661,0.06000,0.05635,0.06000,-0.60587,0.06000,-0.23774
0.07001,0.07000,-0.26600,0.07000,-0.51001,0.07000,-0.07492,0.07000,0.05807,0.07000,-0.59538,0.07000,-0.23997
0.08001,0.08000,-0.26029,0.08000,-0.49952,0.08000,-0.07330,0.08000,0.05992,0.08000,-0.58540,0.08000,-0.24405
0.09001,0.09000,-0.25494,0.09000,-0.48904,0.09000,-0.07181,0.09000,0.06193,0.09000,-0.57471,0.09000,-0.24980
0.10002,0.10000,-0.25006,0.10000,-0.47870,0.10000,-0.07052,0.10000,0.06412,0.10000,-0.56399,0.10000,-0.25690
0.11002,0.11000,-0.24576,0.11000,-0.46861,0.11000,-0.06951,0.11000,0.06648,0.11000,-0.55610,0.11000,-0.26489
0.12002,0.12000,-0.24206,0.12000,-0.45892,0.12000,-0.06886,0.12000,0.06903,0.12000,-0.56086,0.12000,-0.27327
0.13002,0.13000,-0.23898,0.13000,-0.44973,0.13000,-0.06866,0.13000,0.07174,0.13000,-0.56202,0.13000,-0.28157
0.14002,0.14000,-0.23647,0.14000,-0.44116,0.14000,-0.06896,0.14000,0.07458,0.14000,-0.55407,0.14000,-0.28936
0.15002,0.15000,-0.23445,0.15000,-0.43328,0.15000,-0.06980,0.15000,0.07747,0.15000,-0.54833,0.15000,-0.29635
