Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.36965,0.00000,0.09612,0.00000,-0.09921
0.01001,0.01000,-0.38142,0.01000,0.09411,0.01000,-0.10076
0.02001,0.02000,-0.39414,0.02000,0.09191,0.02000,-0.10277
0.03002,0.03000,-0.40722,0.03000,0.08958,0.03000,-0.10516
0.04003,0.04000,-0.41996,0.04000,0.08719,0.04000,-0.10781
0.05003,0.05000,-0.43165,0.05000,0.08479,0.05000,-0.11052
0.06004,0.06000,-0.44159,0.06000,0.08242,0.06000,-0.11308
0.07005,0.07000,-0.44919,0.07000,0.08007,0.07000,-0.11523
0.08005,0.08000,-0.45402,0.08000,0.07771,0.08000,-0.11675
0.09006,0.09000,-0.45582,0.09000,0.07530,0.09000,-0.11746
0.10007,0.10000,-0.45454,0.10000,0.07278,0.10000,-0.11728
0.11007,0.11000,-0.45028,0.11000,0.07009,0.11000,-0.11620
0.12008,0.12000,-0.44330,0.12000,0.06721,0.12000,-0.11435
0.13009,0.13000,-0.43398,0.13000,0.06418,0.13000,-0.11192
0.14009,0.14000,-0.42274,0.14000,0.06104,0.14000,-0.10920
0.15010,0.15000,-0.41006,0.15000,0.05789,0.15000,-0.10651
0.16011,0.16000,-0.39638,0.16000,0.05484,0.16000,-0.10415
0.17011,0.17000,-0.38214,0.17000,0.05199,0.17000,-0.10240
0.18012,0.18000,-0.36773,0.18000,0.04943,0.18000,-0.10145
0.19013,0.19000,-0.35349,0.19000,0.04720,0.19000,-0.10144
0.20013,0.20000,-0.33971,0.20000,0.04532,0.20000,-0.10242
0.21014,0.21000,-0.32661,0.21000,0.04375,0.21000,-0.10439
0.22015,0.22000,-0.31437,0.22000,0.04247,0.22000,-0.10730
0.23015,0.23000,-0.30312,0.23000,0.04142,0.23000,-0.11106
0.24016,0.24000,-0.29293,0.24000,0.04055,0.24000,-0.11560
0.25017,0.25000,-0.28379,0.25000,0.03985,0.25000,-0.12079
0.26017,0.26000,-0.27565,0.26000,0.03930,0.26000,-0.12654
0.27018,0.27000,-0.26838,0.27000,0.03890,0.27000,-0.13273
0.28019,0.28000,-0.26180,0.28000,0.03865,0.28000,-0.13926
0.29020,0.29000,-0.25569,0.29000,0.03855,0.29000,-0.14604
0.30020,0.30000,-0.24976,0.30000,0.03859,0.30000,-0.15296
0.31021,0.31000,-0.24373,0.31000,0.03872,0.31000,-0.15995
0.32022,0.32000,-0.23728,0.32000,0.03889,0.32000,-0.16693
0.33022,0.33000,-0.23012,0.33000,0.03901,0.33000,-0.17382
0.34023,0.34000,-0.22196,0.34000,0.03901,0.34000,-0.18051
0.35024,0.35000,-0.21258,0.35000,0.03884,0.35000,-0.18689
0.36024,0.36000,-0.20180,0.36000,0.03848,0.36000,-0.19282
0.37025,0.37000,-0.18954,0.37000,0.03800,0.37000,-0.19817
0.38026,0.38000,-0.17577,0.38000,0.03750,0.38000,-0.20280
0.39026,0.39000,-0.16055,0.39000,0.03714,0.39000,-0.20661
0.40027,0.40000,-0.14404,0.40000,0.03710,0.40000,-0.20951
0.41028,0.41000,-0.12644,0.41000,0.03758,0.41000,-0.21147
0.42028,0.42000,-0.10805,0.42000,0.03872,0.42000,-0.21247
0.43029,0.43000,-0.08918,0.43000,0.04060,0.43000,-0.21253
0.44030,0.44000,-0.07016,0.44000,0.04323,0.44000,-0.21169
0.45030,0.45000,-0.05132,0.45000,0.04652,0.45000,-0.21001
0.46031,0.46000,-0.03294,0.46000,0.05034,0.46000,-0.20755
0.47032,0.47000,-0.01521,0.47000,0.05448,0.47000,-0.20440
0.48032,0.48000,0.00172,0.48000,0.05875,0.48000,-0.20062
0.49033,0.49000,0.01781,0.49000,0.06295,0.49000,-0.19631
0.50034,0.50000,0.03309,0.50000,0.06689,0.50000,-0.19158
0.51034,0.51000,0.04766,0.51000,0.07048,0.51000,-0.18652
0.52035,0.52000,0.06164,0.52000,0.07365,0.52000,-0.18123
0.53036,0.53000,0.07521,0.53000,0.07639,0.53000,-0.17584
0.54036,0.54000,0.08854,0.54000,0.07873,0.54000,-0.17044
0.55037,0.55000,0.10177,0.55000,0.08074,0.55000,-0.16517
0.56038,0.56000,0.11504,0.56000,0.08251,0.56000,-0.16017
0.57038,0.57000,0.12845,0.57000,0.08411,0.57000,-0.15559
0.58039,0.58000,0.14206,0.58000,0.08562,0.58000,-0.15162
0.59040,0.59000,0.15590,0.59000,0.08712,0.59000,-0.14845
