Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,1.00631,0.00000,0.40495,0.00000,0.98601
0.01000,0.01000,1.00912,0.01000,0.40271,0.01000,0.97738
0.02000,0.02000,1.01259,0.02000,0.39979,0.02000,0.96674
0.03000,0.03000,1.01670,0.03000,0.39612,0.03000,0.95413
0.04001,0.04000,1.02137,0.04000,0.39166,0.04000,0.93965
0.05001,0.05000,1.02648,0.05000,0.38638,0.05000,0.92346
0.06001,0.06000,1.03188,0.06000,0.38030,0.06000,0.90579
0.07001,0.07000,1.03738,0.07000,0.37344,0.07000,0.88688
0.08001,0.08000,1.04277,0.08000,0.36586,0.08000,0.86700
0.09001,0.09000,1.04787,0.09000,0.35769,0.09000,0.84640
0.10001,0.10000,1.05247,0.10000,0.34907,0.10000,0.82537
0.11002,0.11000,1.05639,0.11000,0.34022,0.11000,0.80417
0.12002,0.12000,1.05951,0.12000,0.33138,0.12000,0.78308
0.13002,0.13000,1.06174,0.13000,0.32286,0.13000,0.76239
0.14002,0.14000,1.06301,0.14000,0.31500,0.14000,0.74239
0.15002,0.15000,1.06335,0.15000,0.30813,0.15000,0.72338
0.16002,0.16000,1.06282,0.16000,0.30259,0.16000,0.70563
0.17002,0.17000,1.06154,0.17000,0.29867,0.17000,0.68939
0.18003,0.18000,1.05968,0.18000,0.29661,0.18000,0.67485
0.19003,0.19000,1.05743,0.19000,0.29657,0.19000,0.66215
0.20003,0.20000,1.05500,0.20000,0.29865,0.20000,0.65133
0.21003,0.21000,1.05262,0.21000,0.30285,0.21000,0.64234
0.22003,0.22000,1.05049,0.22000,0.30913,0.22000,0.63507
0.23003,0.23000,1.04876,0.23000,0.31736,0.23000,0.62932
0.24003,0.24000,1.04757,0.24000,0.32736,0.24000,0.62485
0.25004,0.25000,1.04696,0.25000,0.33888,0.25000,0.62139
0.26004,0.26000,1.04694,0.26000,0.35163,0.26000,0.61869
0.27004,0.27000,1.04742,0.27000,0.36528,0.27000,0.61653
0.28004,0.28000,1.04825,0.28000,0.37949,0.28000,0.61477
0.29004,0.29000,1.04926,0.29000,0.39388,0.29000,0.61330
0.30004,0.30000,1.05021,0.30000,0.40812,0.30000,0.61213
0.31004,0.31000,1.05082,0.31000,0.42188,0.31000,0.61131
0.32005,0.32000,1.05084,0.32000,0.43490,0.32000,0.61093
0.33005,0.33000,1.04999,0.33000,0.44697,0.33000,0.61116
0.34005,0.34000,1.04799,0.34000,0.45794,0.34000,0.61216
0.35005,0.35000,1.04459,0.35000,0.46773,0.35000,0.61411
0.36005,0.36000,1.03961,0.36000,0.47633,0.36000,0.61714
0.37005,0.37000,1.03287,0.37000,0.48376,0.37000,0.62136
0.38005,0.38000,1.02431,0.38000,0.49008,0.38000,0.62680
0.39006,0.39000,1.01391,0.39000,0.49534,0.39000,0.63341
0.40006,0.40000,1.00177,0.40000,0.49958,0.40000,0.64107
0.41006,0.41000,0.98807,0.41000,0.50281,0.41000,0.64958
0.42006,0.42000,0.97312,0.42000,0.50500,0.42000,0.65864
0.43006,0.43000,0.95730,0.43000,0.50608,0.43000,0.66791
0.44006,0.44000,0.94112,0.44000,0.50595,0.44000,0.67696
0.45006,0.45000,0.92515,0.45000,0.50448,0.45000,0.68535
0.46007,0.46000,0.90999,0.46000,0.50156,0.46000,0.69255
0.47007,0.47000,0.89629,0.47000,0.49707,0.47000,0.69808
0.48007,0.48000,0.88462,0.48000,0.49090,0.48000,0.70144
0.49007,0.49000,0.87553,0.49000,0.48299,0.49000,0.70220
0.50007,0.50000,0.86941,0.50000,0.47333,0.50000,0.69998
0.51007,0.51000,0.86654,0.51000,0.46191,0.51000,0.69457
0.52007,0.52000,0.86702,0.52000,0.44880,0.52000,0.68586
0.53008,0.53000,0.87081,0.53000,0.43411,0.53000,0.67391
0.54008,0.54000,0.87768,0.54000,0.41801,0.54000,0.65894
0.55008,0.55000,0.88724,0.55000,0.40072,0.55000,0.64131
0.56008,0.56000,0.89899,0.56000,0.38252,0.56000,0.62147
0.57008,0.57000,0.91232,0.57000,0.36376,0.57000,0.59999
0.58008,0.58000,0.92654,0.58000,0.34481,0.58000,0.57747
0.59008,0.59000,0.94093,0.59000,0.32610,0.59000,0.55455
0.60009,0.60000,0.95477,0.60000,0.30804,0.60000,0.53186
0.61009,0.61000,0.96736,0.61000,0.29106,0.61000,0.51006
0.62009,0.62000,0.97807,0.62000,0.27556,0.62000,0.48973
0.63009,0.63000,0.98637,0.63000,0.26186,0.63000,0.47140
0.64009,0.64000,0.99183,0.64000,0.25024,0.64000,0.45554
0.65009,0.65000,0.99414,0.65000,0.24089,0.65000,0.44245
0.66009,0.66000,0.99314,0.66000,0.23392,0.66000,0.43232
0.67010,0.67000,0.98879,0.67000,0.22935,0.67000,0.42517
0.68010,0.68000,0.98117,0.68000,0.22710,0.68000,0.42084
0.69010,0.69000,0.97048,0.69000,0.22706,0.69000,0.41904
0.70010,0.70000,0.95701,0.70000,0.22901,0.70000,0.41933
0.71010,0.71000,0.94115,0.71000,0.23271,0.71000,0.42119
0.72010,0.72000,0.92333,0.72000,0.23789,0.72000,0.42404
0.73010,0.73000,0.90404,0.73000,0.24423,0.73000,0.42727
0.74011,0.74000,0.88382,0.74000,0.25144,0.74000,0.43029
0.75011,0.75000,0.86317,0.75000,0.25919,0.75000,0.43252
0.76011,0.76000,0.84260,0.76000,0.26719,0.76000,0.43346
0.77011,0.77000,0.82260,0.77000,0.27516,0.77000,0.43266
0.78011,0.78000,0.80356,0.78000,0.28285,0.78000,0.42975
0.79011,0.79000,0.78585,0.79000,0.29004,0.79000,0.42446
0.80011,0.80000,0.76971,0.80000,0.29653,0.80000,0.41661
0.81012,0.81000,0.75533,0.81000,0.30218,0.81000,0.40614
0.82012,0.82000,0.74276,0.82000,0.30688,0.82000,0.39306
0.83012,0.83000,0.73199,0.83000,0.31057,0.83000,0.37748
0.84012,0.84000,0.72290,0.84000,0.31322,0.84000,0.35958
0.85012,0.85000,0.71529,0.85000,0.31487,0.85000,0.33959
0.86012,0.86000,0.70890,0.86000,0.31557,0.86000,0.31775
0.87012,0.87000,0.70342,0.87000,0.31540,0.87000,0.29433
0.88013,0.88000,0.69855,0.88000,0.31445,0.88000,0.26959
0.89013,0.89000,0.69395,0.89000,0.31284,0.89000,0.24378
0.90013,0.90000,0.68934,0.90000,0.31065,0.90000,0.21717
0.91013,0.91000,0.68444,0.91000,0.30798,0.91000,0.19002
0.92013,0.92000,0.67904,0.92000,0.30492,0.92000,0.16262
0.93013,0.93000,0.67296,0.93000,0.30153,0.93000,0.13523
0.94013,0.94000,0.66606,0.94000,0.29789,0.94000,0.10813
0.95014,0.95000,0.65822,0.95000,0.29407,0.95000,0.08156
0.96014,0.96000,0.64934,0.96000,0.29011,0.96000,0.05576
0.97014,0.97000,0.63930,0.97000,0.28607,0.97000,0.03092
0.98014,0.98000,0.62796,0.98000,0.28197,0.98000,0.00720
0.99014,0.99000,0.61517,0.99000,0.27786,0.99000,-0.01529
1.00014,1.00000,0.60074,1.00000,0.27375,1.00000,-0.03645
