Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.81341,0.00000,-1.38824,0.00000,0.32763,0.00000,0.76973,0.00000,0.09702,0.00000,0.09769
0.01000,0.01000,-0.81312,0.01000,-1.39237,0.01000,0.32826,0.01000,0.77101,0.01000,0.09665,0.01000,0.09491
0.02001,0.02000,-0.81307,0.02000,-1.39718,0.02000,0.32887,0.02000,0.77242,0.02000,0.09860,0.02000,0.09168
0.03001,0.03000,-0.81335,0.03000,-1.40253,0.03000,0.32945,0.03000,0.77390,0.03000,0.10764,0.03000,0.08813
0.04002,0.04000,-0.81402,0.04000,-1.40824,0.04000,0.32997,0.04000,0.77536,0.04000,0.10511,0.04000,0.08445
0.05002,0.05000,-0.81510,0.05000,-1.41408,0.05000,0.33045,0.05000,0.77675,0.05000,0.09036,0.05000,0.08085
0.06003,0.06000,-0.81661,0.06000,-1.41981,0.06000,0.33092,0.06000,0.77798,0.06000,0.07986,0.06000,0.07759
0.07003,0.07000,-0.81850,0.07000,-1.42518,0.07000,0.33140,0.07000,0.77900,0.07000,0.08186,0.07000,0.07490
0.08004,0.08000,-0.82069,0.08000,-1.42999,0.08000,0.33195,0.08000,0.77977,0.08000,0.07836,0.08000,0.07298
0.09004,0.09000,-0.82305,0.09000,-1.43404,0.09000,0.33261,0.09000,0.78028,0.09000,0.06426,0.09000,0.07201
0.10005,0.10000,-0.82539,0.10000,-1.43724,0.10000,0.33342,0.10000,0.78054,0.10000,0.05599,0.10000,0.07208
0.11005,0.11000,-0.82752,0.11000,-1.43955,0.11000,0.33441,0.11000,0.78059,0.11000,0.05759,0.11000,0.07320
0.12005,0.12000,-0.82919,0.12000,-1.44100,0.12000,0.33560,0.12000,0.78047,0.12000,0.05371,0.12000,0.07531
0.13006,0.13000,-0.83017,0.13000,-1.44169,0.13000,0.33698,0.13000,0.78025,0.13000,0.03842,0.13000,0.07829
0.14006,0.14000,-0.83025,0.14000,-1.44176,0.14000,0.33853,0.14000,0.77997,0.14000,0.02396,0.14000,0.08191
0.15007,0.15000,-0.82927,0.15000,-1.44136,0.15000,0.34018,0.15000,0.77968,0.15000,0.01968,0.15000,0.08596
0.16007,0.16000,-0.82714,0.16000,-1.44068,0.16000,0.34186,0.16000,0.77942,0.16000,0.02199,0.16000,0.09014
0.17008,0.17000,-0.82383,0.17000,-1.43985,0.17000,0.34351,0.17000,0.77918,0.17000,0.03391,0.17000,0.09421
0.18008,0.18000,-0.81939,0.18000,-1.43900,0.18000,0.34503,0.18000,0.77897,0.18000,0.05643,0.18000,0.09789
0.19009,0.19000,-0.81392,0.19000,-1.43824,0.19000,0.34635,0.19000,0.77877,0.19000,0.07845,0.19000,0.10099
0.20009,0.20000,-0.80756,0.20000,-1.43764,0.20000,0.34743,0.20000,0.77855,0.20000,0.08723,0.20000,0.10332
0.21009,0.21000,-0.80051,0.21000,-1.43725,0.21000,0.34824,0.21000,0.77831,0.21000,0.08891,0.21000,0.10477
0.22010,0.22000,-0.79296,0.22000,-1.43711,0.22000,0.34880,0.22000,0.77803,0.22000,0.09597,0.22000,0.10527
0.23010,0.23000,-0.78511,0.23000,-1.43728,0.23000,0.34915,0.23000,0.77771,0.23000,0.11415,0.23000,0.10480
0.24011,0.24000,-0.77720,0.24000,-1.43781,0.24000,0.34936,0.24000,0.77738,0.24000,0.12938,0.24000,0.10334
0.25011,0.25000,-0.76946,0.25000,-1.43875,0.25000,0.34950,0.25000,0.77706,0.25000,0.13099,0.25000,0.10090
0.26012,0.26000,-0.76215,0.26000,-1.44018,0.26000,0.34968,0.26000,0.77680,0.26000,0.12206,0.26000,0.09749
0.27012,0.27000,-0.75556,0.27000,-1.44216,0.27000,0.34996,0.27000,0.77664,0.27000,0.11313,0.27000,0.09313
0.28013,0.28000,-0.75002,0.28000,-1.44477,0.28000,0.35042,0.28000,0.77661,0.28000,0.10586,0.28000,0.08783
0.29013,0.29000,-0.74587,0.29000,-1.44803,0.29000,0.35107,0.29000,0.77674,0.29000,0.10456,0.29000,0.08166
0.30014,0.30000,-0.74348,0.30000,-1.45198,0.30000,0.35191,0.30000,0.77702,0.30000,0.10613,0.30000,0.07472
0.31014,0.31000,-0.74315,0.31000,-1.45655,0.31000,0.35287,0.31000,0.77744,0.31000,0.10732,0.31000,0.06720
0.32014,0.32000,-0.74516,0.32000,-1.46168,0.32000,0.35388,0.32000,0.77793,0.32000,0.09883,0.32000,0.05935
0.33015,0.33000,-0.74965,0.33000,-1.46721,0.33000,0.35481,0.33000,0.77842,0.33000,0.09119,0.33000,0.05147
0.34015,0.34000,-0.75663,0.34000,-1.47297,0.34000,0.35551,0.34000,0.77881,0.34000,0.08760,0.34000,0.04390
0.35016,0.35000,-0.76594,0.35000,-1.47873,0.35000,0.35585,0.35000,0.77899,0.35000,0.08811,0.35000,0.03696
0.36016,0.36000,-0.77723,0.36000,-1.48423,0.36000,0.35570,0.36000,0.77885,0.36000,0.08630,0.36000,0.03093
0.37017,0.37000,-0.78999,0.37000,-1.48922,0.37000,0.35500,0.37000,0.77829,0.37000,0.08203,0.37000,0.02599
0.38017,0.38000,-0.80357,0.38000,-1.49342,0.38000,0.35372,0.38000,0.77723,0.38000,0.09334,0.38000,0.02223
0.39018,0.39000,-0.81722,0.39000,-1.49659,0.39000,0.35190,0.39000,0.77561,0.39000,0.09161,0.39000,0.01967
0.40018,0.40000,-0.83019,0.40000,-1.49853,0.40000,0.34965,0.40000,0.77339,0.40000,0.05474,0.40000,0.01824
0.41018,0.41000,-0.84178,0.41000,-1.49906,0.41000,0.34712,0.41000,0.77056,0.41000,0.02447,0.41000,0.01783
0.42019,0.42000,-0.85137,0.42000,-1.49811,0.42000,0.34453,0.42000,0.76713,0.42000,0.02275,0.42000,0.01830
0.43019,0.43000,-0.85844,0.43000,-1.49566,0.43000,0.34210,0.43000,0.76314,0.43000,0.02994,0.43000,0.01953
0.44020,0.44000,-0.86265,0.44000,-1.49178,0.44000,0.34006,0.44000,0.75866,0.44000,0.01821,0.44000,0.02138
0.45020,0.45000,-0.86376,0.45000,-1.48661,0.45000,0.33862,0.45000,0.75378,0.45000,-0.00763,0.45000,0.02373
0.46021,0.46000,-0.86171,0.46000,-1.48036,0.46000,0.33795,0.46000,0.74859,0.46000,-0.01758,0.46000,0.02643
0.47021,0.47000,-0.85658,0.47000,-1.47331,0.47000,0.33818,0.47000,0.74323,0.47000,-0.01040,0.47000,0.02935
0.48022,0.48000,-0.84853,0.48000,-1.46574,0.48000,0.33940,0.48000,0.73782,0.48000,-0.00359,0.48000,0.03232
0.49022,0.49000,-0.83785,0.49000,-1.45796,0.49000,0.34162,0.49000,0.73251,0.49000,0.00246,0.49000,0.03516
0.50022,0.50000,-0.82483,0.50000,-1.45029,0.50000,0.34483,0.50000,0.72742,0.50000,0.00743,0.50000,0.03765
0.51023,0.51000,-0.80981,0.51000,-1.44299,0.51000,0.34895,0.51000,0.72267,0.51000,0.00806,0.51000,0.03958
0.52023,0.52000,-0.79313,0.52000,-1.43629,0.52000,0.35386,0.52000,0.71836,0.52000,0.01743,0.52000,0.04072
0.53024,0.53000,-0.77508,0.53000,-1.43038,0.53000,0.35941,0.53000,0.71456,0.53000,0.02428,0.53000,0.04084
0.54024,0.54000,-0.75597,0.54000,-1.42538,0.54000,0.36537,0.54000,0.71131,0.54000,0.01186,0.54000,0.03974
0.55025,0.55000,-0.73605,0.55000,-1.42138,0.55000,0.37153,0.55000,0.70860,0.55000,-0.01085,0.55000,0.03731
0.56025,0.56000,-0.71558,0.56000,-1.41838,0.56000,0.37765,0.56000,0.70642,0.56000,-0.01980,0.56000,0.03348
0.57026,0.57000,-0.69481,0.57000,-1.41636,0.57000,0.38354,0.57000,0.70474,0.57000,-0.01226,0.57000,0.02831
0.58026,0.58000,-0.67401,0.58000,-1.41526,0.58000,0.38902,0.58000,0.70352,0.58000,0.00452,0.58000,0.02194
0.59027,0.59000,-0.65345,0.59000,-1.41501,0.59000,0.39399,0.59000,0.70270,0.59000,0.01984,0.59000,0.01458
0.60027,0.60000,-0.63339,0.60000,-1.41554,0.60000,0.39841,0.60000,0.70223,0.60000,0.03185,0.60000,0.00649
0.61027,0.61000,-0.61413,0.61000,-1.41678,0.61000,0.40231,0.61000,0.70206,0.61000,0.04157,0.61000,-0.00207
0.62028,0.62000,-0.59590,0.62000,-1.41867,0.62000,0.40578,0.62000,0.70213,0.62000,0.03621,0.62000,-0.01084
0.63028,0.63000,-0.57893,0.63000,-1.42117,0.63000,0.40894,0.63000,0.70237,0.63000,0.02630,0.63000,-0.01958
0.64029,0.64000,-0.56340,0.64000,-1.42427,0.64000,0.41190,0.64000,0.70272,0.64000,0.02461,0.64000,-0.02807
0.65029,0.65000,-0.54938,0.65000,-1.42792,0.65000,0.41478,0.65000,0.70312,0.65000,0.01094,0.65000,-0.03612
0.66030,0.66000,-0.53687,0.66000,-1.43207,0.66000,0.41768,0.66000,0.70351,0.66000,-0.01423,0.66000,-0.04357
0.67030,0.67000,-0.52580,0.67000,-1.43666,0.67000,0.42062,0.67000,0.70384,0.67000,-0.04278,0.67000,-0.05023
0.68031,0.68000,-0.51600,0.68000,-1.44156,0.68000,0.42360,0.68000,0.70404,0.68000,-0.07929,0.68000,-0.05598
0.69031,0.69000,-0.50727,0.69000,-1.44661,0.69000,0.42655,0.69000,0.70407,0.69000,-0.10426,0.69000,-0.06068
0.70031,0.70000,-0.49937,0.70000,-1.45161,0.70000,0.42937,0.70000,0.70392,0.70000,-0.12821,0.70000,-0.06426
0.71032,0.71000,-0.49205,0.71000,-1.45634,0.71000,0.43193,0.71000,0.70353,0.71000,-0.15775,0.71000,-0.06670
0.72032,0.72000,-0.48511,0.72000,-1.46054,0.72000,0.43408,0.72000,0.70291,0.72000,-0.17817,0.72000,-0.06802
0.73033,0.73000,-0.47835,0.73000,-1.46400,0.73000,0.43567,0.73000,0.70202,0.73000,-0.18167,0.73000,-0.06834
0.74033,0.74000,-0.47164,0.74000,-1.46650,0.74000,0.43659,0.74000,0.70085,0.74000,-0.17767,0.74000,-0.06782
0.75034,0.75000,-0.46487,0.75000,-1.46789,0.75000,0.43676,0.75000,0.69940,0.75000,-0.17772,0.75000,-0.06664
0.76034,0.76000,-0.45800,0.76000,-1.46803,0.76000,0.43613,0.76000,0.69765,0.76000,-0.18380,0.76000,-0.06501
0.77035,0.77000,-0.45101,0.77000,-1.46689,0.77000,0.43472,0.77000,0.69558,0.77000,-0.19265,0.77000,-0.06310
