Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-1.08494,0.00000,-0.93366,0.00000,-0.71620,0.00000,0.19183,0.00000,0.36186,0.00000,-0.25959
0.01000,0.01000,-1.08202,0.01000,-0.93737,0.01000,-0.71835,0.01000,0.19338,0.01000,0.35800,0.01000,-0.25757
0.02001,0.02000,-1.07882,0.02000,-0.94164,0.02000,-0.72098,0.02000,0.19527,0.02000,0.35353,0.02000,-0.25568
0.03001,0.03000,-1.07545,0.03000,-0.94636,0.03000,-0.72408,0.03000,0.19749,0.03000,0.34860,0.03000,-0.25405
0.04002,0.04000,-1.07207,0.04000,-0.95139,0.04000,-0.72763,0.04000,0.20005,0.04000,0.34343,0.04000,-0.25282
0.05002,0.05000,-1.06879,0.05000,-0.95656,0.05000,-0.73158,0.05000,0.20295,0.05000,0.33827,0.05000,-0.25207
0.06003,0.06000,-1.06575,0.06000,-0.96168,0.06000,-0.73590,0.06000,0.20618,0.06000,0.33341,0.06000,-0.25188
0.07003,0.07000,-1.06303,0.07000,-0.96657,0.07000,-0.74050,0.07000,0.20974,0.07000,0.32914,0.07000,-0.25229
0.08004,0.08000,-1.06067,0.08000,-0.97105,0.08000,-0.74533,0.08000,0.21360,0.08000,0.32571,0.08000,-0.25327
0.09004,0.09000,-1.05869,0.09000,-0.97498,0.09000,-0.75030,0.09000,0.21773,0.09000,0.32331,0.09000,-0.25479
0.10005,0.10000,-1.05703,0.10000,-0.97823,0.10000,-0.75534,0.10000,0.22211,0.10000,0.32205,0.10000,-0.25677
0.11005,0.11000,-1.05560,0.11000,-0.98074,0.11000,-0.76036,0.11000,0.22670,0.11000,0.32194,0.11000,-0.25916
0.12005,0.12000,-1.05427,0.12000,-0.98247,0.12000,-0.76531,0.12000,0.23144,0.12000,0.32289,0.12000,-0.26188
0.13006,0.13000,-1.05285,0.13000,-0.98344,0.13000,-0.77014,0.13000,0.23630,0.13000,0.32469,0.13000,-0.26490
0.14006,0.14000,-1.05119,0.14000,-0.98371,0.14000,-0.77485,0.14000,0.24123,0.14000,0.32711,0.14000,-0.26820
0.15007,0.15000,-1.04912,0.15000,-0.98337,0.15000,-0.77942,0.15000,0.24622,0.15000,0.32985,0.15000,-0.27182
0.16007,0.16000,-1.04649,0.16000,-0.98256,0.16000,-0.78389,0.16000,0.25124,0.16000,0.33260,0.16000,-0.27584
0.17008,0.17000,-1.04323,0.17000,-0.98142,0.17000,-0.78828,0.17000,0.25631,0.17000,0.33505,0.17000,-0.28034
0.18008,0.18000,-1.03926,0.18000,-0.98011,0.18000,-0.79264,0.18000,0.26146,0.18000,0.33693,0.18000,-0.28542
0.19009,0.19000,-1.03459,0.19000,-0.97878,0.19000,-0.79700,0.19000,0.26675,0.19000,0.33803,0.19000,-0.29117
0.20009,0.20000,-1.02927,0.20000,-0.97756,0.20000,-0.80141,0.20000,0.27222,0.20000,0.33820,0.20000,-0.29764
0.21009,0.21000,-1.02339,0.21000,-0.97657,0.21000,-0.80587,0.21000,0.27795,0.21000,0.33738,0.21000,-0.30485
0.22010,0.22000,-1.01708,0.22000,-0.97587,0.22000,-0.81037,0.22000,0.28400,0.22000,0.33557,0.22000,-0.31279
0.23010,0.23000,-1.01049,0.23000,-0.97554,0.23000,-0.81488,0.23000,0.29041,0.23000,0.33284,0.23000,-0.32138
0.24011,0.24000,-1.00381,0.24000,-0.97560,0.24000,-0.81939,0.24000,0.29721,0.24000,0.32928,0.24000,-0.33053
0.25011,0.25000,-0.99725,0.25000,-0.97604,0.25000,-0.82385,0.25000,0.30438,0.25000,0.32504,0.25000,-0.34012
0.26012,0.26000,-0.99103,0.26000,-0.97688,0.26000,-0.82823,0.26000,0.31186,0.26000,0.32028,0.26000,-0.35002
0.27012,0.27000,-0.98542,0.27000,-0.97809,0.27000,-0.83251,0.27000,0.31957,0.27000,0.31516,0.27000,-0.36009
0.28013,0.28000,-0.98067,0.28000,-0.97966,0.28000,-0.83667,0.28000,0.32736,0.28000,0.30986,0.28000,-0.37017
0.29013,0.29000,-0.97711,0.29000,-0.98159,0.29000,-0.84070,0.29000,0.33509,0.29000,0.30453,0.29000,-0.38010
0.30014,0.30000,-0.97503,0.30000,-0.98388,0.30000,-0.84459,0.30000,0.34258,0.30000,0.29931,0.30000,-0.38970
0.31014,0.31000,-0.97475,0.31000,-0.98653,0.31000,-0.84835,0.31000,0.34965,0.31000,0.29432,0.31000,-0.39880
0.32014,0.32000,-0.97656,0.32000,-0.98955,0.32000,-0.85196,0.32000,0.35617,0.32000,0.28967,0.32000,-0.40721
0.33015,0.33000,-0.98069,0.33000,-0.99296,0.33000,-0.85542,0.33000,0.36202,0.33000,0.28540,0.33000,-0.41480
0.34015,0.34000,-0.98728,0.34000,-0.99679,0.34000,-0.85872,0.34000,0.36711,0.34000,0.28153,0.34000,-0.42142
0.35016,0.35000,-0.99633,0.35000,-1.00103,0.35000,-0.86183,0.35000,0.37143,0.35000,0.27803,0.35000,-0.42702
0.36016,0.36000,-1.00769,0.36000,-1.00570,0.36000,-0.86475,0.36000,0.37500,0.36000,0.27479,0.36000,-0.43159
0.37017,0.37000,-1.02105,0.37000,-1.01078,0.37000,-0.86747,0.37000,0.37787,0.37000,0.27167,0.37000,-0.43519
0.38017,0.38000,-1.03591,0.38000,-1.01623,0.38000,-0.87001,0.38000,0.38017,0.38000,0.26849,0.38000,-0.43792
0.39018,0.39000,-1.05169,0.39000,-1.02197,0.39000,-0.87241,0.39000,0.38200,0.39000,0.26507,0.39000,-0.43996
0.40018,0.40000,-1.06774,0.40000,-1.02790,0.40000,-0.87471,0.40000,0.38350,0.40000,0.26124,0.40000,-0.44149
0.41018,0.41000,-1.08340,0.41000,-1.03390,0.41000,-0.87695,0.41000,0.38482,0.41000,0.25688,0.41000,-0.44267
0.42019,0.42000,-1.09808,0.42000,-1.03982,0.42000,-0.87920,0.42000,0.38606,0.42000,0.25189,0.42000,-0.44368
0.43019,0.43000,-1.11126,0.43000,-1.04549,0.43000,-0.88150,0.43000,0.38734,0.43000,0.24623,0.43000,-0.44464
0.44020,0.44000,-1.12252,0.44000,-1.05076,0.44000,-0.88386,0.44000,0.38872,0.44000,0.23993,0.44000,-0.44562
0.45020,0.45000,-1.13157,0.45000,-1.05547,0.45000,-0.88630,0.45000,0.39025,0.45000,0.23305,0.45000,-0.44664
0.46021,0.46000,-1.13825,0.46000,-1.05950,0.46000,-0.88879,0.46000,0.39195,0.46000,0.22573,0.46000,-0.44769
0.47021,0.47000,-1.14249,0.47000,-1.06276,0.47000,-0.89128,0.47000,0.39380,0.47000,0.21813,0.47000,-0.44868
0.48022,0.48000,-1.14432,0.48000,-1.06517,0.48000,-0.89372,0.48000,0.39578,0.48000,0.21044,0.48000,-0.44951
0.49022,0.49000,-1.14387,0.49000,-1.06672,0.49000,-0.89604,0.49000,0.39783,0.49000,0.20285,0.49000,-0.45006
0.50022,0.50000,-1.14128,0.50000,-1.06739,0.50000,-0.89820,0.50000,0.39990,0.50000,0.19554,0.50000,-0.45022
