Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,0.59800,0.00000,0.61306,0.00000,-0.10967,0.00000,0.00883,0.00000,0.24699,0.00000,-0.36566
0.01000,0.01000,0.60127,0.01000,0.61407,0.01000,-0.11135,0.01000,0.01091,0.01000,0.24537,0.01000,-0.36523
0.02000,0.02000,0.60523,0.02000,0.61543,0.02000,-0.11338,0.02000,0.01351,0.02000,0.24337,0.02000,-0.36510
0.03000,0.03000,0.60987,0.03000,0.61720,0.03000,-0.11575,0.03000,0.01666,0.03000,0.24103,0.03000,-0.36529
0.04001,0.04000,0.61512,0.04000,0.61944,0.04000,-0.11845,0.04000,0.02032,0.04000,0.23847,0.04000,-0.36579
0.05001,0.05000,0.62094,0.05000,0.62219,0.05000,-0.12147,0.05000,0.02446,0.05000,0.23584,0.05000,-0.36654
0.06001,0.06000,0.62722,0.06000,0.62549,0.06000,-0.12476,0.06000,0.02902,0.06000,0.23335,0.06000,-0.36741
0.07001,0.07000,0.63385,0.07000,0.62933,0.07000,-0.12829,0.07000,0.03389,0.07000,0.23123,0.07000,-0.36828
0.08001,0.08000,0.64067,0.08000,0.63368,0.08000,-0.13200,0.08000,0.03896,0.08000,0.22968,0.08000,-0.36898
0.09001,0.09000,0.64754,0.09000,0.63849,0.09000,-0.13583,0.09000,0.04410,0.09000,0.22892,0.09000,-0.36937
0.10001,0.10000,0.65428,0.10000,0.64363,0.10000,-0.13970,0.10000,0.04916,0.10000,0.22911,0.10000,-0.36930
0.11002,0.11000,0.66073,0.11000,0.64898,0.11000,-0.14353,0.11000,0.05399,0.11000,0.23036,0.11000,-0.36871
