Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.59836,0.00000,0.62561,0.00000,-0.65177,0.00000,0.66422,0.00000,-0.31381,0.00000,-0.15686
0.01000,0.01000,0.59497,0.01000,0.62683,0.01000,-0.64679,0.01000,0.66135,0.01000,-0.31222,0.01000,-0.15939
0.02000,0.02000,0.59107,0.02000,0.62811,0.02000,-0.64088,0.02000,0.65777,0.02000,-0.31062,0.02000,-0.16277
0.03000,0.03000,0.58674,0.03000,0.62940,0.03000,-0.63409,0.03000,0.65346,0.03000,-0.30905,0.03000,-0.16709
0.04001,0.04000,0.58208,0.04000,0.63066,0.04000,-0.62657,0.04000,0.64847,0.04000,-0.30757,0.04000,-0.17240
0.05001,0.05000,0.57721,0.05000,0.63188,0.05000,-0.61845,0.05000,0.64289,0.05000,-0.30617,0.05000,-0.17878
0.06001,0.06000,0.57226,0.06000,0.63306,0.06000,-0.60993,0.06000,0.63680,0.06000,-0.30480,0.06000,-0.18625
0.07001,0.07000,0.56732,0.07000,0.63422,0.07000,-0.60119,0.07000,0.63035,0.07000,-0.30334,0.07000,-0.19483
0.08001,0.08000,0.56251,0.08000,0.63543,0.08000,-0.59242,0.08000,0.62369,0.08000,-0.30166,0.08000,-0.20451
0.09001,0.09000,0.55788,0.09000,0.63674,0.09000,-0.58380,0.09000,0.61695,0.09000,-0.29955,0.09000,-0.21525
0.10001,0.10000,0.55348,0.10000,0.63826,0.10000,-0.57547,0.10000,0.61031,0.10000,-0.29684,0.10000,-0.22700
0.11002,0.11000,0.54930,0.11000,0.64007,0.11000,-0.56756,0.11000,0.60388,0.11000,-0.29338,0.11000,-0.23964
0.12002,0.12000,0.54535,0.12000,0.64226,0.12000,-0.56014,0.12000,0.59780,0.12000,-0.28909,0.12000,-0.25301
0.13002,0.13000,0.54158,0.13000,0.64489,0.13000,-0.55326,0.13000,0.59213,0.13000,-0.28395,0.13000,-0.26694
0.14002,0.14000,0.53795,0.14000,0.64799,0.14000,-0.54692,0.14000,0.58694,0.14000,-0.27803,0.14000,-0.28117
0.15002,0.15000,0.53443,0.15000,0.65160,0.15000,-0.54110,0.15000,0.58225,0.15000,-0.27147,0.15000,-0.29545
0.16002,0.16000,0.53095,0.16000,0.65568,0.16000,-0.53574,0.16000,0.57803,0.16000,-0.26445,0.16000,-0.30951
0.17003,0.17000,0.52749,0.17000,0.66020,0.17000,-0.53076,0.17000,0.57426,0.17000,-0.25724,0.17000,-0.32308
0.18003,0.18000,0.52400,0.18000,0.66510,0.18000,-0.52607,0.18000,0.57088,0.18000,-0.25011,0.18000,-0.33591
0.19003,0.19000,0.52047,0.19000,0.67027,0.19000,-0.52160,0.19000,0.56782,0.19000,-0.24332,0.19000,-0.34779
0.20003,0.20000,0.51689,0.20000,0.67564,0.20000,-0.51726,0.20000,0.56499,0.20000,-0.23713,0.20000,-0.35858
0.21003,0.21000,0.51325,0.21000,0.68110,0.21000,-0.51299,0.21000,0.56232,0.21000,-0.23171,0.21000,-0.36820
0.22003,0.22000,0.50957,0.22000,0.68655,0.22000,-0.50875,0.22000,0.55972,0.22000,-0.22716,0.22000,-0.37662
0.23003,0.23000,0.50589,0.23000,0.69188,0.23000,-0.50451,0.23000,0.55713,0.23000,-0.22347,0.23000,-0.38390
0.24004,0.24000,0.50224,0.24000,0.69702,0.24000,-0.50025,0.24000,0.55448,0.24000,-0.22055,0.24000,-0.39015
0.25004,0.25000,0.49869,0.25000,0.70189,0.25000,-0.49601,0.25000,0.55174,0.25000,-0.21822,0.25000,-0.39557
0.26004,0.26000,0.49527,0.26000,0.70643,0.26000,-0.49180,0.26000,0.54888,0.26000,-0.21620,0.26000,-0.40038
0.27004,0.27000,0.49205,0.27000,0.71060,0.27000,-0.48766,0.27000,0.54591,0.27000,-0.21418,0.27000,-0.40485
0.28004,0.28000,0.48907,0.28000,0.71440,0.28000,-0.48363,0.28000,0.54284,0.28000,-0.21182,0.28000,-0.40925
0.29004,0.29000,0.48635,0.29000,0.71784,0.29000,-0.47974,0.29000,0.53972,0.29000,-0.20874,0.29000,-0.41385
0.30004,0.30000,0.48390,0.30000,0.72095,0.30000,-0.47601,0.30000,0.53658,0.30000,-0.20461,0.30000,-0.41885
0.31005,0.31000,0.48170,0.31000,0.72378,0.31000,-0.47242,0.31000,0.53349,0.31000,-0.19913,0.31000,-0.42440
0.32005,0.32000,0.47974,0.32000,0.72640,0.32000,-0.46897,0.32000,0.53049,0.32000,-0.19209,0.32000,-0.43055
0.33005,0.33000,0.47798,0.33000,0.72888,0.33000,-0.46560,0.33000,0.52763,0.33000,-0.18336,0.33000,-0.43721
0.34005,0.34000,0.47635,0.34000,0.73128,0.34000,-0.46227,0.34000,0.52491,0.34000,-0.17290,0.34000,-0.44421
0.35005,0.35000,0.47483,0.35000,0.73366,0.35000,-0.45892,0.35000,0.52235,0.35000,-0.16077,0.35000,-0.45124
0.36005,0.36000,0.47335,0.36000,0.73603,0.36000,-0.45550,0.36000,0.51991,0.36000,-0.14711,0.36000,-0.45792
0.37005,0.37000,0.47187,0.37000,0.73840,0.37000,-0.45196,0.37000,0.51754,0.37000,-0.13217,0.37000,-0.46383
0.38006,0.38000,0.47037,0.38000,0.74075,0.38000,-0.44826,0.38000,0.51518,0.38000,-0.11628,0.38000,-0.46858
0.39006,0.39000,0.46882,0.39000,0.74304,0.39000,-0.44438,0.39000,0.51273,0.39000,-0.09986,0.39000,-0.47183
0.40006,0.40000,0.46719,0.40000,0.74520,0.40000,-0.44029,0.40000,0.51012,0.40000,-0.08339,0.40000,-0.47337
0.41006,0.41000,0.46548,0.41000,0.74716,0.41000,-0.43600,0.41000,0.50726,0.41000,-0.06744,0.41000,-0.47312
0.42006,0.42000,0.46370,0.42000,0.74885,0.42000,-0.43151,0.42000,0.50406,0.42000,-0.05259,0.42000,-0.47114
0.43006,0.43000,0.46181,0.43000,0.75019,0.43000,-0.42684,0.43000,0.50047,0.43000,-0.03944,0.43000,-0.46762
0.44006,0.44000,0.45983,0.44000,0.75111,0.44000,-0.42199,0.44000,0.49643,0.44000,-0.02855,0.44000,-0.46290
0.45007,0.45000,0.45772,0.45000,0.75157,0.45000,-0.41699,0.45000,0.49192,0.45000,-0.02039,0.45000,-0.45735
0.46007,0.46000,0.45545,0.46000,0.75152,0.46000,-0.41185,0.46000,0.48691,0.46000,-0.01533,0.46000,-0.45145
0.47007,0.47000,0.45297,0.47000,0.75094,0.47000,-0.40658,0.47000,0.48140,0.47000,-0.01359,0.47000,-0.44566
0.48007,0.48000,0.45023,0.48000,0.74980,0.48000,-0.40118,0.48000,0.47539,0.48000,-0.01522,0.48000,-0.44045
0.49007,0.49000,0.44718,0.49000,0.74812,0.49000,-0.39565,0.49000,0.46891,0.49000,-0.02011,0.49000,-0.43624
