Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.29644,0.00000,-0.07588,0.00000,-0.02694
0.01001,0.01000,-0.29740,0.01000,-0.07075,0.01000,-0.02583
0.02002,0.02000,-0.29785,0.02000,-0.06565,0.02000,-0.02482
0.03002,0.03000,-0.29768,0.03000,-0.06093,0.03000,-0.02410
0.04003,0.04000,-0.29683,0.04000,-0.05695,0.04000,-0.02387
0.05004,0.05000,-0.29530,0.05000,-0.05402,0.05000,-0.02437
0.06005,0.06000,-0.29320,0.06000,-0.05239,0.06000,-0.02585
0.07005,0.07000,-0.29074,0.07000,-0.05220,0.07000,-0.02855
0.08006,0.08000,-0.28819,0.08000,-0.05349,0.08000,-0.03263
0.09007,0.09000,-0.28590,0.09000,-0.05619,0.09000,-0.03821
0.10008,0.10000,-0.28423,0.10000,-0.06014,0.10000,-0.04528
0.11009,0.11000,-0.28352,0.11000,-0.06508,0.11000,-0.05369
0.12009,0.12000,-0.28405,0.12000,-0.07076,0.12000,-0.06317
0.13010,0.13000,-0.28599,0.13000,-0.07687,0.13000,-0.07332
0.14011,0.14000,-0.28938,0.14000,-0.08311,0.14000,-0.08365
0.15012,0.15000,-0.29410,0.15000,-0.08920,0.15000,-0.09359
0.16013,0.16000,-0.29990,0.16000,-0.09487,0.16000,-0.10258
0.17013,0.17000,-0.30641,0.17000,-0.09987,0.17000,-0.11010
0.18014,0.18000,-0.31318,0.18000,-0.10400,0.18000,-0.11574
0.19015,0.19000,-0.31977,0.19000,-0.10706,0.19000,-0.11919
0.20016,0.20000,-0.32575,0.20000,-0.10895,0.20000,-0.12035
0.21016,0.21000,-0.33078,0.21000,-0.10956,0.21000,-0.11927
0.22017,0.22000,-0.33465,0.22000,-0.10889,0.22000,-0.11617
0.23018,0.23000,-0.33730,0.23000,-0.10694,0.23000,-0.11142
0.24019,0.24000,-0.33885,0.24000,-0.10378,0.24000,-0.10549
0.25020,0.25000,-0.33958,0.25000,-0.09947,0.25000,-0.09890
0.26020,0.26000,-0.33994,0.26000,-0.09412,0.26000,-0.09218
0.27021,0.27000,-0.34051,0.27000,-0.08783,0.27000,-0.08578
0.28022,0.28000,-0.34192,0.28000,-0.08071,0.28000,-0.08009
0.29023,0.29000,-0.34486,0.29000,-0.07287,0.29000,-0.07537
0.30023,0.30000,-0.34994,0.30000,-0.06441,0.30000,-0.07174
0.31024,0.31000,-0.35771,0.31000,-0.05543,0.31000,-0.06918
0.32025,0.32000,-0.36851,0.32000,-0.04599,0.32000,-0.06755
0.33026,0.33000,-0.38253,0.33000,-0.03618,0.33000,-0.06661
0.34027,0.34000,-0.39971,0.34000,-0.02602,0.34000,-0.06606
0.35027,0.35000,-0.41979,0.35000,-0.01555,0.35000,-0.06559
0.36028,0.36000,-0.44233,0.36000,-0.00479,0.36000,-0.06492
0.37029,0.37000,-0.46670,0.37000,0.00625,0.37000,-0.06384
0.38030,0.38000,-0.49217,0.38000,0.01753,0.38000,-0.06222
0.39030,0.39000,-0.51793,0.39000,0.02902,0.39000,-0.06003
0.40031,0.40000,-0.54311,0.40000,0.04063,0.40000,-0.05734
0.41032,0.41000,-0.56686,0.41000,0.05228,0.41000,-0.05433
0.42033,0.42000,-0.58840,0.42000,0.06383,0.42000,-0.05123
0.43034,0.43000,-0.60699,0.43000,0.07512,0.43000,-0.04835
0.44034,0.44000,-0.62203,0.44000,0.08599,0.44000,-0.04599
0.45035,0.45000,-0.63303,0.45000,0.09623,0.45000,-0.04447
0.46036,0.46000,-0.63970,0.46000,0.10567,0.46000,-0.04405
0.47037,0.47000,-0.64188,0.47000,0.11408,0.47000,-0.04492
