Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.01269,0.00000,0.24754,0.00000,0.13640,0.00000,-0.12034,0.00000,0.40970,0.00000,0.16700
0.01000,0.01000,0.01233,0.01000,0.23807,0.01000,0.13525,0.01000,-0.11243,0.01000,0.43237,0.01000,0.17129
0.02000,0.02000,0.01218,0.02000,0.22637,0.02000,0.13424,0.02000,-0.10272,0.02000,0.45451,0.02000,0.17615
0.03000,0.03000,0.01234,0.03000,0.21239,0.03000,0.13345,0.03000,-0.09118,0.03000,0.47027,0.03000,0.18140
0.04001,0.04000,0.01289,0.04000,0.19616,0.04000,0.13296,0.04000,-0.07784,0.04000,0.47524,0.04000,0.18677
0.05001,0.05000,0.01392,0.05000,0.17774,0.05000,0.13281,0.05000,-0.06277,0.05000,0.47632,0.05000,0.19195
0.06001,0.06000,0.01548,0.06000,0.15727,0.06000,0.13301,0.06000,-0.04605,0.06000,0.48010,0.06000,0.19655
0.07001,0.07000,0.01760,0.07000,0.13490,0.07000,0.13353,0.07000,-0.02776,0.07000,0.47938,0.07000,0.20017
0.08001,0.08000,0.02028,0.08000,0.11085,0.08000,0.13428,0.08000,-0.00801,0.08000,0.47964,0.08000,0.20235
0.09001,0.09000,0.02349,0.09000,0.08536,0.09000,0.13515,0.09000,0.01312,0.09000,0.47881,0.09000,0.20265
0.10002,0.10000,0.02714,0.10000,0.05873,0.10000,0.13600,0.10000,0.03553,0.10000,0.48238,0.10000,0.20065
0.11002,0.11000,0.03115,0.11000,0.03130,0.11000,0.13667,0.11000,0.05913,0.11000,0.48520,0.11000,0.19606
0.12002,0.12000,0.03539,0.12000,0.00343,0.12000,0.13703,0.12000,0.08375,0.12000,0.48947,0.12000,0.18870
0.13002,0.13000,0.03971,0.13000,-0.02446,0.13000,0.13697,0.13000,0.10922,0.13000,0.49306,0.13000,0.17860
0.14002,0.14000,0.04395,0.14000,-0.05197,0.14000,0.13644,0.14000,0.13525,0.14000,0.49574,0.14000,0.16599
0.15002,0.15000,0.04797,0.15000,-0.07868,0.15000,0.13541,0.15000,0.16153,0.15000,0.50150,0.15000,0.15130
0.16002,0.16000,0.05162,0.16000,-0.10417,0.16000,0.13396,0.16000,0.18765,0.16000,0.50833,0.16000,0.13511
0.17003,0.17000,0.05476,0.17000,-0.12808,0.17000,0.13216,0.17000,0.21319,0.17000,0.52202,0.17000,0.11809
0.18003,0.18000,0.05730,0.18000,-0.15006,0.18000,0.13017,0.18000,0.23769,0.18000,0.54048,0.18000,0.10092
0.19003,0.19000,0.05915,0.19000,-0.16982,0.19000,0.12814,0.19000,0.26076,0.19000,0.54733,0.19000,0.08422
0.20003,0.20000,0.06027,0.20000,-0.18712,0.20000,0.12624,0.20000,0.28205,0.20000,0.54674,0.20000,0.06851
0.21003,0.21000,0.06062,0.21000,-0.20183,0.21000,0.12463,0.21000,0.30130,0.21000,0.54305,0.21000,0.05415
0.22003,0.22000,0.06022,0.22000,-0.21388,0.22000,0.12347,0.22000,0.31833,0.22000,0.54018,0.22000,0.04136
0.23003,0.23000,0.05908,0.23000,-0.22331,0.23000,0.12287,0.23000,0.33304,0.23000,0.54035,0.23000,0.03019
0.24004,0.24000,0.05723,0.24000,-0.23028,0.24000,0.12292,0.24000,0.34541,0.24000,0.53708,0.24000,0.02058
0.25004,0.25000,0.05471,0.25000,-0.23499,0.25000,0.12369,0.25000,0.35543,0.25000,0.52561,0.25000,0.01236
0.26004,0.26000,0.05155,0.26000,-0.23775,0.26000,0.12518,0.26000,0.36316,0.26000,0.51008,0.26000,0.00528
0.27004,0.27000,0.04779,0.27000,-0.23889,0.27000,0.12737,0.27000,0.36864,0.27000,0.48230,0.27000,-0.00094
0.28004,0.28000,0.04344,0.28000,-0.23879,0.28000,0.13018,0.28000,0.37195,0.28000,0.43835,0.28000,-0.00661
0.29004,0.29000,0.03855,0.29000,-0.23778,0.29000,0.13346,0.29000,0.37314,0.29000,0.39690,0.29000,-0.01202
0.30005,0.30000,0.03315,0.30000,-0.23617,0.30000,0.13705,0.30000,0.37233,0.30000,0.36886,0.30000,-0.01745
0.31005,0.31000,0.02735,0.31000,-0.23420,0.31000,0.14077,0.31000,0.36965,0.31000,0.34028,0.31000,-0.02309
0.32005,0.32000,0.02130,0.32000,-0.23202,0.32000,0.14442,0.32000,0.36528,0.32000,0.29797,0.32000,-0.02903
0.33005,0.33000,0.01522,0.33000,-0.22970,0.33000,0.14785,0.33000,0.35945,0.33000,0.23015,0.33000,-0.03525
0.34005,0.34000,0.00938,0.34000,-0.22722,0.34000,0.15097,0.34000,0.35244,0.34000,0.15833,0.34000,-0.04151
0.35005,0.35000,0.00407,0.35000,-0.22449,0.35000,0.15375,0.35000,0.34456,0.35000,0.10803,0.35000,-0.04747
0.36005,0.36000,-0.00042,0.36000,-0.22141,0.36000,0.15624,0.36000,0.33614,0.36000,0.08030,0.36000,-0.05262
0.37006,0.37000,-0.00382,0.37000,-0.21785,0.37000,0.15855,0.37000,0.32750,0.37000,0.05629,0.37000,-0.05638
0.38006,0.38000,-0.00594,0.38000,-0.21371,0.38000,0.16086,0.38000,0.31893,0.38000,0.02821,0.38000,-0.05812
0.39006,0.39000,-0.00669,0.39000,-0.20895,0.39000,0.16335,0.39000,0.31069,0.39000,0.00226,0.39000,-0.05731
0.40006,0.40000,-0.00607,0.40000,-0.20359,0.40000,0.16622,0.40000,0.30298,0.40000,-0.00362,0.40000,-0.05353
0.41006,0.41000,-0.00418,0.41000,-0.19769,0.41000,0.16962,0.41000,0.29592,0.41000,0.00195,0.41000,-0.04658
0.42006,0.42000,-0.00124,0.42000,-0.19138,0.42000,0.17367,0.42000,0.28961,0.42000,0.00091,0.42000,-0.03652
0.43006,0.43000,0.00248,0.43000,-0.18482,0.43000,0.17844,0.43000,0.28405,0.43000,0.00486,0.43000,-0.02363
0.44007,0.44000,0.00668,0.44000,-0.17818,0.44000,0.18393,0.44000,0.27922,0.44000,0.02174,0.44000,-0.00840
0.45007,0.45000,0.01104,0.45000,-0.17161,0.45000,0.19012,0.45000,0.27502,0.45000,0.03225,0.45000,0.00850
0.46007,0.46000,0.01527,0.46000,-0.16522,0.46000,0.19694,0.46000,0.27129,0.46000,0.02902,0.46000,0.02636
0.47007,0.47000,0.01914,0.47000,-0.15908,0.47000,0.20432,0.47000,0.26782,0.47000,0.00758,0.47000,0.04444
0.48007,0.48000,0.02245,0.48000,-0.15319,0.48000,0.21216,0.48000,0.26434,0.48000,-0.02991,0.48000,0.06207
0.49007,0.49000,0.02511,0.49000,-0.14748,0.49000,0.22038,0.49000,0.26057,0.49000,-0.05881,0.49000,0.07869
0.50008,0.50000,0.02705,0.50000,-0.14181,0.50000,0.22893,0.50000,0.25621,0.50000,-0.08374,0.50000,0.09392
0.51008,0.51000,0.02828,0.51000,-0.13596,0.51000,0.23775,0.51000,0.25093,0.51000,-0.10521,0.51000,0.10753
0.52008,0.52000,0.02883,0.52000,-0.12967,0.52000,0.24683,0.52000,0.24445,0.52000,-0.12681,0.52000,0.11947
0.53008,0.53000,0.02875,0.53000,-0.12263,0.53000,0.25618,0.53000,0.23650,0.53000,-0.14488,0.53000,0.12985
0.54008,0.54000,0.02812,0.54000,-0.11450,0.54000,0.26581,0.54000,0.22689,0.54000,-0.14633,0.54000,0.13886
0.55008,0.55000,0.02699,0.55000,-0.10496,0.55000,0.27578,0.55000,0.21546,0.55000,-0.13911,0.55000,0.14677
0.56008,0.56000,0.02541,0.56000,-0.09373,0.56000,0.28611,0.56000,0.20217,0.56000,-0.13487,0.56000,0.15386
0.57009,0.57000,0.02342,0.57000,-0.08060,0.57000,0.29686,0.57000,0.18710,0.57000,-0.13113,0.57000,0.16035
0.58009,0.58000,0.02103,0.58000,-0.06542,0.58000,0.30806,0.58000,0.17042,0.58000,-0.10445,0.58000,0.16642
0.59009,0.59000,0.01827,0.59000,-0.04817,0.59000,0.31974,0.59000,0.15247,0.59000,-0.07539,0.59000,0.17212
0.60009,0.60000,0.01514,0.60000,-0.02892,0.60000,0.33190,0.60000,0.13365,0.60000,-0.04878,0.60000,0.17738
0.61009,0.61000,0.01164,0.61000,-0.00787,0.61000,0.34454,0.61000,0.11447,0.61000,-0.02780,0.61000,0.18204
0.62009,0.62000,0.00777,0.62000,0.01471,0.62000,0.35763,0.62000,0.09548,0.62000,-0.00736,0.62000,0.18590
0.63009,0.63000,0.00352,0.63000,0.03844,0.63000,0.37110,0.63000,0.07718,0.63000,0.00262,0.63000,0.18873
0.64010,0.64000,-0.00112,0.64000,0.06289,0.64000,0.38485,0.64000,0.06004,0.64000,0.00895,0.64000,0.19037
0.65010,0.65000,-0.00616,0.65000,0.08762,0.65000,0.39873,0.65000,0.04438,0.65000,0.01795,0.65000,0.19078
0.66010,0.66000,-0.01162,0.66000,0.11215,0.66000,0.41256,0.66000,0.03038,0.66000,0.02802,0.66000,0.19005
0.67010,0.67000,-0.01750,0.67000,0.13608,0.67000,0.42610,0.67000,0.01806,0.67000,0.04234,0.67000,0.18840
0.68010,0.68000,-0.02380,0.68000,0.15905,0.68000,0.43911,0.68000,0.00730,0.68000,0.07314,0.68000,0.18617
0.69010,0.69000,-0.03047,0.69000,0.18076,0.69000,0.45134,0.69000,-0.00214,0.69000,0.10633,0.69000,0.18378
0.70010,0.70000,-0.03746,0.70000,0.20105,0.70000,0.46259,0.70000,-0.01058,0.70000,0.14000,0.70000,0.18166
0.71011,0.71000,-0.04465,0.71000,0.21982,0.71000,0.47269,0.71000,-0.01835,0.71000,0.16798,0.71000,0.18020
0.72011,0.72000,-0.05195,0.72000,0.23708,0.72000,0.48155,0.72000,-0.02580,0.72000,0.18741,0.72000,0.17966
0.73011,0.73000,-0.05920,0.73000,0.25292,0.73000,0.48915,0.73000,-0.03324,0.73000,0.20410,0.73000,0.18015
0.74011,0.74000,-0.06626,0.74000,0.26752,0.74000,0.49552,0.74000,-0.04089,0.74000,0.22310,0.74000,0.18161
