Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.74664,0.00000,0.25569,0.00000,-0.31161,0.00000,-0.02864,0.00000,-0.57872,0.00000,1.07361
0.01001,0.01000,0.74854,0.01000,0.25517,0.01000,-0.31094,0.01000,-0.02917,0.01000,-0.57623,0.01000,1.06325
0.02001,0.02000,0.75070,0.02000,0.25498,0.02000,-0.31013,0.02000,-0.02996,0.02000,-0.57334,0.02000,1.05307
0.03001,0.03000,0.75305,0.03000,0.25519,0.03000,-0.30922,0.03000,-0.03102,0.03000,-0.57011,0.03000,1.04375
0.04002,0.04000,0.75550,0.04000,0.25582,0.04000,-0.30823,0.04000,-0.03239,0.04000,-0.56664,0.04000,1.03599
0.05002,0.05000,0.75797,0.05000,0.25685,0.05000,-0.30720,0.05000,-0.03404,0.05000,-0.56304,0.05000,1.03039
0.06003,0.06000,0.76038,0.06000,0.25819,0.06000,-0.30619,0.06000,-0.03594,0.06000,-0.55944,0.06000,1.02738
0.07003,0.07000,0.76266,0.07000,0.25971,0.07000,-0.30524,0.07000,-0.03804,0.07000,-0.55597,0.07000,1.02722
0.08004,0.08000,0.76476,0.08000,0.26127,0.08000,-0.30438,0.08000,-0.04025,0.08000,-0.55277,0.08000,1.02996
0.09004,0.09000,0.76664,0.09000,0.26269,0.09000,-0.30363,0.09000,-0.04246,0.09000,-0.54995,0.09000,1.03551
0.10005,0.10000,0.76831,0.10000,0.26383,0.10000,-0.30300,0.10000,-0.04459,0.10000,-0.54761,0.10000,1.04368
0.11005,0.11000,0.76979,0.11000,0.26454,0.11000,-0.30248,0.11000,-0.04656,0.11000,-0.54586,0.11000,1.05423
0.12006,0.12000,0.77115,0.12000,0.26473,0.12000,-0.30206,0.12000,-0.04831,0.12000,-0.54475,0.12000,1.06695
0.13006,0.13000,0.77244,0.13000,0.26435,0.13000,-0.30170,0.13000,-0.04980,0.13000,-0.54437,0.13000,1.08162
0.14007,0.14000,0.77375,0.14000,0.26337,0.14000,-0.30137,0.14000,-0.05099,0.14000,-0.54477,0.14000,1.09806
0.15007,0.15000,0.77518,0.15000,0.26180,0.15000,-0.30101,0.15000,-0.05188,0.15000,-0.54599,0.15000,1.11609
0.16008,0.16000,0.77679,0.16000,0.25970,0.16000,-0.30056,0.16000,-0.05245,0.16000,-0.54807,0.16000,1.13550
0.17008,0.17000,0.77867,0.17000,0.25714,0.17000,-0.29996,0.17000,-0.05268,0.17000,-0.55097,0.17000,1.15601
0.18009,0.18000,0.78086,0.18000,0.25422,0.18000,-0.29916,0.18000,-0.05258,0.18000,-0.55466,0.18000,1.17728
0.19009,0.19000,0.78338,0.19000,0.25105,0.19000,-0.29810,0.19000,-0.05213,0.19000,-0.55904,0.19000,1.19888
0.20010,0.20000,0.78626,0.20000,0.24776,0.20000,-0.29676,0.20000,-0.05135,0.20000,-0.56396,0.20000,1.22032
0.21010,0.21000,0.78947,0.21000,0.24448,0.21000,-0.29514,0.21000,-0.05025,0.21000,-0.56924,0.21000,1.24104
0.22010,0.22000,0.79298,0.22000,0.24132,0.22000,-0.29324,0.22000,-0.04883,0.22000,-0.57468,0.22000,1.26047
0.23011,0.23000,0.79675,0.23000,0.23838,0.23000,-0.29112,0.23000,-0.04710,0.23000,-0.58008,0.23000,1.27804
0.24011,0.24000,0.80072,0.24000,0.23573,0.24000,-0.28883,0.24000,-0.04504,0.24000,-0.58523,0.24000,1.29320
0.25012,0.25000,0.80480,0.25000,0.23340,0.25000,-0.28647,0.25000,-0.04262,0.25000,-0.58995,0.25000,1.30547
0.26012,0.26000,0.80893,0.26000,0.23138,0.26000,-0.28411,0.26000,-0.03979,0.26000,-0.59412,0.26000,1.31442
0.27013,0.27000,0.81302,0.27000,0.22963,0.27000,-0.28185,0.27000,-0.03651,0.27000,-0.59765,0.27000,1.31977
0.28013,0.28000,0.81700,0.28000,0.22808,0.28000,-0.27977,0.28000,-0.03272,0.28000,-0.60047,0.28000,1.32134
0.29014,0.29000,0.82081,0.29000,0.22665,0.29000,-0.27791,0.29000,-0.02842,0.29000,-0.60262,0.29000,1.31918
0.30014,0.30000,0.82440,0.30000,0.22530,0.30000,-0.27631,0.30000,-0.02365,0.30000,-0.60416,0.30000,1.31356
0.31015,0.31000,0.82772,0.31000,0.22402,0.31000,-0.27495,0.31000,-0.01853,0.31000,-0.60520,0.31000,1.30502
0.32015,0.32000,0.83077,0.32000,0.22285,0.32000,-0.27382,0.32000,-0.01327,0.32000,-0.60589,0.32000,1.29436
0.33016,0.33000,0.83352,0.33000,0.22191,0.33000,-0.27283,0.33000,-0.00816,0.33000,-0.60637,0.33000,1.28262
0.34016,0.34000,0.83599,0.34000,0.22135,0.34000,-0.27194,0.34000,-0.00356,0.34000,-0.60677,0.34000,1.27096
0.35017,0.35000,0.83816,0.35000,0.22134,0.35000,-0.27107,0.35000,0.00013,0.35000,-0.60718,0.35000,1.26061
0.36017,0.36000,0.84006,0.36000,0.22204,0.36000,-0.27015,0.36000,0.00251,0.36000,-0.60764,0.36000,1.25269
0.37018,0.37000,0.84168,0.37000,0.22357,0.37000,-0.26915,0.37000,0.00326,0.37000,-0.60816,0.37000,1.24816
0.38018,0.38000,0.84303,0.38000,0.22598,0.38000,-0.26804,0.38000,0.00214,0.38000,-0.60871,0.38000,1.24766
0.39019,0.39000,0.84410,0.39000,0.22925,0.39000,-0.26681,0.39000,-0.00095,0.39000,-0.60927,0.39000,1.25150
0.40019,0.40000,0.84489,0.40000,0.23329,0.40000,-0.26550,0.40000,-0.00598,0.40000,-0.60982,0.40000,1.25962
0.41019,0.41000,0.84540,0.41000,0.23794,0.41000,-0.26414,0.41000,-0.01279,0.41000,-0.61035,0.41000,1.27165
