Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.05810,0.00000,-0.31406,0.00000,-0.15477,0.00000,-0.03371,0.00000,-0.71927,0.00000,-0.05246
0.01000,0.01000,0.05218,0.01000,-0.31619,0.01000,-0.15437,0.01000,-0.03433,0.01000,-0.70454,0.01000,-0.05223
0.02000,0.02000,0.04506,0.02000,-0.31872,0.02000,-0.15374,0.02000,-0.03502,0.02000,-0.66354,0.02000,-0.05144
0.03000,0.03000,0.03686,0.03000,-0.32160,0.03000,-0.15281,0.03000,-0.03577,0.03000,-0.63875,0.03000,-0.04997
0.04001,0.04000,0.02779,0.04000,-0.32477,0.04000,-0.15153,0.04000,-0.03661,0.04000,-0.64944,0.04000,-0.04772
0.05001,0.05000,0.01810,0.05000,-0.32815,0.05000,-0.14990,0.05000,-0.03753,0.05000,-0.68042,0.05000,-0.04465
0.06001,0.06000,0.00814,0.06000,-0.33165,0.06000,-0.14790,0.06000,-0.03859,0.06000,-0.70613,0.06000,-0.04074
0.07001,0.07000,-0.00173,0.07000,-0.33515,0.07000,-0.14557,0.07000,-0.03980,0.07000,-0.70013,0.07000,-0.03606
0.08001,0.08000,-0.01113,0.08000,-0.33854,0.08000,-0.14296,0.08000,-0.04124,0.08000,-0.66968,0.08000,-0.03072
0.09001,0.09000,-0.01968,0.09000,-0.34169,0.09000,-0.14013,0.09000,-0.04294,0.09000,-0.63410,0.09000,-0.02487
0.10001,0.10000,-0.02706,0.10000,-0.34446,0.10000,-0.13713,0.10000,-0.04494,0.10000,-0.60933,0.10000,-0.01868
0.11002,0.11000,-0.03302,0.11000,-0.34671,0.11000,-0.13401,0.11000,-0.04729,0.11000,-0.61344,0.11000,-0.01230
0.12002,0.12000,-0.03739,0.12000,-0.34832,0.12000,-0.13083,0.12000,-0.05002,0.12000,-0.64572,0.12000,-0.00589
0.13002,0.13000,-0.04012,0.13000,-0.34916,0.13000,-0.12761,0.13000,-0.05313,0.13000,-0.68473,0.13000,0.00044
0.14002,0.14000,-0.04127,0.14000,-0.34914,0.14000,-0.12442,0.14000,-0.05665,0.14000,-0.69782,0.14000,0.00658
0.15002,0.15000,-0.04098,0.15000,-0.34819,0.15000,-0.12131,0.15000,-0.06057,0.15000,-0.68353,0.15000,0.01246
0.16002,0.16000,-0.03948,0.16000,-0.34630,0.16000,-0.11833,0.16000,-0.06488,0.16000,-0.66844,0.16000,0.01803
0.17002,0.17000,-0.03705,0.17000,-0.34348,0.17000,-0.11554,0.17000,-0.06956,0.17000,-0.66139,0.17000,0.02328
0.18003,0.18000,-0.03401,0.18000,-0.33980,0.18000,-0.11295,0.18000,-0.07457,0.18000,-0.66261,0.18000,0.02817
0.19003,0.19000,-0.03067,0.19000,-0.33539,0.19000,-0.11061,0.19000,-0.07984,0.19000,-0.66567,0.19000,0.03271
0.20003,0.20000,-0.02735,0.20000,-0.33040,0.20000,-0.10852,0.20000,-0.08532,0.20000,-0.65877,0.20000,0.03690
0.21003,0.21000,-0.02434,0.21000,-0.32505,0.21000,-0.10667,0.21000,-0.09090,0.21000,-0.64179,0.21000,0.04072
0.22003,0.22000,-0.02187,0.22000,-0.31959,0.22000,-0.10507,0.22000,-0.09649,0.22000,-0.63796,0.22000,0.04421
0.23003,0.23000,-0.02013,0.23000,-0.31429,0.23000,-0.10369,0.23000,-0.10197,0.23000,-0.65611,0.23000,0.04739
0.24003,0.24000,-0.01925,0.24000,-0.30945,0.24000,-0.10253,0.24000,-0.10722,0.24000,-0.68031,0.24000,0.05030
0.25004,0.25000,-0.01929,0.25000,-0.30536,0.25000,-0.10157,0.25000,-0.11211,0.25000,-0.69430,0.25000,0.05303
0.26004,0.26000,-0.02027,0.26000,-0.30226,0.26000,-0.10080,0.26000,-0.11654,0.26000,-0.68620,0.26000,0.05567
0.27004,0.27000,-0.02214,0.27000,-0.30037,0.27000,-0.10019,0.27000,-0.12042,0.27000,-0.65736,0.27000,0.05833
0.28004,0.28000,-0.02479,0.28000,-0.29981,0.28000,-0.09973,0.28000,-0.12368,0.28000,-0.61794,0.28000,0.06112
0.29004,0.29000,-0.02807,0.29000,-0.30063,0.29000,-0.09940,0.29000,-0.12627,0.29000,-0.61212,0.29000,0.06413
0.30004,0.30000,-0.03178,0.30000,-0.30277,0.30000,-0.09916,0.30000,-0.12820,0.30000,-0.64343,0.30000,0.06744
0.31004,0.31000,-0.03572,0.31000,-0.30611,0.31000,-0.09903,0.31000,-0.12950,0.31000,-0.68188,0.31000,0.07110
0.32005,0.32000,-0.03966,0.32000,-0.31043,0.32000,-0.09901,0.32000,-0.13022,0.32000,-0.69263,0.32000,0.07511
0.33005,0.33000,-0.04340,0.33000,-0.31550,0.33000,-0.09909,0.33000,-0.13049,0.33000,-0.65800,0.33000,0.07945
0.34005,0.34000,-0.04674,0.34000,-0.32102,0.34000,-0.09926,0.34000,-0.13040,0.34000,-0.59447,0.34000,0.08407
0.35005,0.35000,-0.04955,0.35000,-0.32672,0.35000,-0.09948,0.35000,-0.13009,0.35000,-0.53867,0.35000,0.08888
0.36005,0.36000,-0.05175,0.36000,-0.33234,0.36000,-0.09967,0.36000,-0.12966,0.36000,-0.52376,0.36000,0.09377
0.37005,0.37000,-0.05331,0.37000,-0.33766,0.37000,-0.09974,0.37000,-0.12922,0.37000,-0.55374,0.37000,0.09864
0.38005,0.38000,-0.05427,0.38000,-0.34250,0.38000,-0.09958,0.38000,-0.12883,0.38000,-0.61298,0.38000,0.10336
0.39006,0.39000,-0.05472,0.39000,-0.34672,0.39000,-0.09910,0.39000,-0.12856,0.39000,-0.66962,0.39000,0.10780
0.40006,0.40000,-0.05479,0.40000,-0.35025,0.40000,-0.09820,0.40000,-0.12844,0.40000,-0.69704,0.40000,0.11183
0.41006,0.41000,-0.05459,0.41000,-0.35307,0.41000,-0.09686,0.41000,-0.12849,0.41000,-0.68527,0.41000,0.11536
0.42006,0.42000,-0.05427,0.42000,-0.35519,0.42000,-0.09503,0.42000,-0.12872,0.42000,-0.64941,0.42000,0.11829
0.43006,0.43000,-0.05394,0.43000,-0.35667,0.43000,-0.09273,0.43000,-0.12915,0.43000,-0.62483,0.43000,0.12056
0.44006,0.44000,-0.05373,0.44000,-0.35760,0.44000,-0.08996,0.44000,-0.12977,0.44000,-0.62782,0.44000,0.12216
0.45006,0.45000,-0.05377,0.45000,-0.35809,0.45000,-0.08675,0.45000,-0.13060,0.45000,-0.64312,0.45000,0.12310
