Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.89932,0.00000,-0.54226,0.00000,-0.02562
0.01000,0.01000,-0.89400,0.01000,-0.54157,0.01000,-0.02678
0.02000,0.02000,-0.88776,0.02000,-0.54136,0.02000,-0.02822
0.03000,0.03000,-0.88068,0.03000,-0.54176,0.03000,-0.02993
0.04001,0.04000,-0.87285,0.04000,-0.54284,0.04000,-0.03190
0.05001,0.05000,-0.86437,0.05000,-0.54460,0.05000,-0.03410
0.06001,0.06000,-0.85535,0.06000,-0.54698,0.06000,-0.03646
0.07001,0.07000,-0.84591,0.07000,-0.54984,0.07000,-0.03893
0.08001,0.08000,-0.83616,0.08000,-0.55299,0.08000,-0.04139
0.09001,0.09000,-0.82620,0.09000,-0.55618,0.09000,-0.04373
0.10002,0.10000,-0.81615,0.10000,-0.55916,0.10000,-0.04582
0.11002,0.11000,-0.80615,0.11000,-0.56168,0.11000,-0.04753
0.12002,0.12000,-0.79631,0.12000,-0.56353,0.12000,-0.04873
0.13002,0.13000,-0.78675,0.13000,-0.56456,0.13000,-0.04933
0.14002,0.14000,-0.77759,0.14000,-0.56470,0.14000,-0.04927
0.15002,0.15000,-0.76892,0.15000,-0.56393,0.15000,-0.04854
0.16002,0.16000,-0.76078,0.16000,-0.56232,0.16000,-0.04718
0.17003,0.17000,-0.75319,0.17000,-0.55997,0.17000,-0.04529
0.18003,0.18000,-0.74608,0.18000,-0.55703,0.18000,-0.04298
0.19003,0.19000,-0.73939,0.19000,-0.55365,0.19000,-0.04044
0.20003,0.20000,-0.73300,0.20000,-0.54995,0.20000,-0.03784
0.21003,0.21000,-0.72679,0.21000,-0.54608,0.21000,-0.03540
0.22003,0.22000,-0.72064,0.22000,-0.54212,0.22000,-0.03335
0.23003,0.23000,-0.71448,0.23000,-0.53815,0.23000,-0.03190
0.24004,0.24000,-0.70826,0.24000,-0.53424,0.24000,-0.03126
0.25004,0.25000,-0.70200,0.25000,-0.53044,0.25000,-0.03161
0.26004,0.26000,-0.69574,0.26000,-0.52677,0.26000,-0.03307
0.27004,0.27000,-0.68955,0.27000,-0.52329,0.27000,-0.03570
0.28004,0.28000,-0.68351,0.28000,-0.52002,0.28000,-0.03949
0.29004,0.29000,-0.67771,0.29000,-0.51699,0.29000,-0.04433
0.30004,0.30000,-0.67222,0.30000,-0.51420,0.30000,-0.05005
0.31005,0.31000,-0.66706,0.31000,-0.51166,0.31000,-0.05644
0.32005,0.32000,-0.66226,0.32000,-0.50934,0.32000,-0.06324
0.33005,0.33000,-0.65780,0.33000,-0.50719,0.33000,-0.07019
0.34005,0.34000,-0.65363,0.34000,-0.50516,0.34000,-0.07703
0.35005,0.35000,-0.64973,0.35000,-0.50319,0.35000,-0.08354
0.36005,0.36000,-0.64604,0.36000,-0.50121,0.36000,-0.08956
0.37005,0.37000,-0.64254,0.37000,-0.49919,0.37000,-0.09494
0.38006,0.38000,-0.63921,0.38000,-0.49708,0.38000,-0.09960
0.39006,0.39000,-0.63607,0.39000,-0.49487,0.39000,-0.10350
0.40006,0.40000,-0.63313,0.40000,-0.49256,0.40000,-0.10664
0.41006,0.41000,-0.63045,0.41000,-0.49017,0.41000,-0.10904
0.42006,0.42000,-0.62807,0.42000,-0.48770,0.42000,-0.11077
0.43006,0.43000,-0.62602,0.43000,-0.48518,0.43000,-0.11193
0.44006,0.44000,-0.62433,0.44000,-0.48259,0.44000,-0.11266
0.45007,0.45000,-0.62301,0.45000,-0.47990,0.45000,-0.11313
0.46007,0.46000,-0.62201,0.46000,-0.47707,0.46000,-0.11354
0.47007,0.47000,-0.62125,0.47000,-0.47404,0.47000,-0.11410
0.48007,0.48000,-0.62063,0.48000,-0.47075,0.48000,-0.11503
