Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-2.61691,0.00000,-1.83444,0.00000,-0.01283,0.00000,-0.04723,0.00000,-1.25039,0.00000,0.09043
0.01001,0.01000,-2.60639,0.01000,-1.82813,0.01000,0.00882,0.01000,-0.05193,0.01000,-1.22794,0.01000,0.10295
0.02001,0.02000,-2.59249,0.02000,-1.82005,0.02000,0.03345,0.02000,-0.05796,0.02000,-1.20295,0.02000,0.11707
0.03001,0.03000,-2.57501,0.03000,-1.81022,0.03000,0.06035,0.03000,-0.06548,0.03000,-1.17631,0.03000,0.13242
0.04002,0.04000,-2.55390,0.04000,-1.79881,0.04000,0.08862,0.04000,-0.07468,0.04000,-1.14907,0.04000,0.14857
0.05002,0.05000,-2.52927,0.05000,-1.78608,0.05000,0.11723,0.05000,-0.08575,0.05000,-1.12227,0.05000,0.16505
0.06003,0.06000,-2.50142,0.06000,-1.77242,0.06000,0.14512,0.06000,-0.09885,0.06000,-1.09682,0.06000,0.18143
0.07003,0.07000,-2.47078,0.07000,-1.75833,0.07000,0.17131,0.07000,-0.11412,0.07000,-1.07338,0.07000,0.19729
0.08004,0.08000,-2.43792,0.08000,-1.74435,0.08000,0.19495,0.08000,-0.13165,0.08000,-1.05226,0.08000,0.21234
0.09004,0.09000,-2.40353,0.09000,-1.73109,0.09000,0.21537,0.09000,-0.15148,0.09000,-1.03347,0.09000,0.22640
0.10005,0.10000,-2.36834,0.10000,-1.71915,0.10000,0.23213,0.10000,-0.17355,0.10000,-1.01676,0.10000,0.23941
0.11005,0.11000,-2.33306,0.11000,-1.70912,0.11000,0.24497,0.11000,-0.19775,0.11000,-1.00177,0.11000,0.25150
0.12006,0.12000,-2.29836,0.12000,-1.70148,0.12000,0.25384,0.12000,-0.22384,0.12000,-0.98821,0.12000,0.26291
0.13006,0.13000,-2.26483,0.13000,-1.69663,0.13000,0.25885,0.13000,-0.25149,0.13000,-0.97599,0.13000,0.27404
0.14007,0.14000,-2.23292,0.14000,-1.69479,0.14000,0.26022,0.14000,-0.28029,0.14000,-0.96530,0.14000,0.28531
0.15007,0.15000,-2.20293,0.15000,-1.69598,0.15000,0.25826,0.15000,-0.30968,0.15000,-0.95662,0.15000,0.29716
0.16008,0.16000,-2.17503,0.16000,-1.70001,0.16000,0.25336,0.16000,-0.33907,0.16000,-0.95072,0.16000,0.30994
0.17008,0.17000,-2.14928,0.17000,-1.70646,0.17000,0.24599,0.17000,-0.36777,0.17000,-0.94845,0.17000,0.32384
0.18009,0.18000,-2.12557,0.18000,-1.71470,0.18000,0.23666,0.18000,-0.39509,0.18000,-0.95066,0.18000,0.33882
0.19009,0.19000,-2.10375,0.19000,-1.72398,0.19000,0.22595,0.19000,-0.42041,0.19000,-0.95800,0.19000,0.35462
0.20010,0.20000,-2.08357,0.20000,-1.73343,0.20000,0.21446,0.20000,-0.44323,0.20000,-0.97081,0.20000,0.37080
0.21010,0.21000,-2.06477,0.21000,-1.74221,0.21000,0.20283,0.21000,-0.46321,0.21000,-0.98905,0.21000,0.38677
0.22010,0.22000,-2.04709,0.22000,-1.74957,0.22000,0.19168,0.22000,-0.48030,0.22000,-1.01235,0.22000,0.40192
0.23011,0.23000,-2.03029,0.23000,-1.75496,0.23000,0.18156,0.23000,-0.49466,0.23000,-1.04005,0.23000,0.41575
