Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-1.30689,0.00000,-0.97731,0.00000,0.10889,0.00000,0.23626,0.00000,-0.39957,0.00000,0.03158
0.01000,0.01000,-1.31193,0.01000,-0.97146,0.01000,0.10312,0.01000,0.23306,0.01000,-0.43288,0.01000,0.03369
0.02000,0.02000,-1.31662,0.02000,-0.96311,0.02000,0.09724,0.02000,0.22896,0.02000,-0.46061,0.02000,0.03623
0.03000,0.03000,-1.32059,0.03000,-0.95196,0.03000,0.09170,0.03000,0.22396,0.03000,-0.48306,0.03000,0.03922
0.04001,0.04000,-1.32344,0.04000,-0.93777,0.04000,0.08699,0.04000,0.21811,0.04000,-0.50325,0.04000,0.04266
0.05001,0.05000,-1.32485,0.05000,-0.92042,0.05000,0.08365,0.05000,0.21152,0.05000,-0.52383,0.05000,0.04661
0.06001,0.06000,-1.32456,0.06000,-0.89989,0.06000,0.08220,0.06000,0.20434,0.06000,-0.53886,0.06000,0.05114
0.07001,0.07000,-1.32237,0.07000,-0.87630,0.07000,0.08312,0.07000,0.19679,0.07000,-0.54185,0.07000,0.05637
0.08001,0.08000,-1.31821,0.08000,-0.84987,0.08000,0.08680,0.08000,0.18912,0.08000,-0.53957,0.08000,0.06248
0.09001,0.09000,-1.31206,0.09000,-0.82093,0.09000,0.09354,0.09000,0.18158,0.09000,-0.53651,0.09000,0.06965
0.10001,0.10000,-1.30396,0.10000,-0.78987,0.10000,0.10354,0.10000,0.17448,0.10000,-0.52692,0.10000,0.07807
0.11002,0.11000,-1.29403,0.11000,-0.75715,0.11000,0.11686,0.11000,0.16808,0.11000,-0.51038,0.11000,0.08792
0.12002,0.12000,-1.28239,0.12000,-0.72322,0.12000,0.13348,0.12000,0.16260,0.12000,-0.49221,0.12000,0.09931
0.13002,0.13000,-1.26920,0.13000,-0.68856,0.13000,0.15326,0.13000,0.15826,0.13000,-0.47428,0.13000,0.11231
0.14002,0.14000,-1.25464,0.14000,-0.65356,0.14000,0.17600,0.14000,0.15520,0.14000,-0.44860,0.14000,0.12688
0.15002,0.15000,-1.23888,0.15000,-0.61860,0.15000,0.20145,0.15000,0.15349,0.15000,-0.42027,0.15000,0.14291
0.16002,0.16000,-1.22210,0.16000,-0.58397,0.16000,0.22933,0.16000,0.15318,0.16000,-0.39490,0.16000,0.16023
0.17003,0.17000,-1.20445,0.17000,-0.54993,0.17000,0.25938,0.17000,0.15427,0.17000,-0.37585,0.17000,0.17858
0.18003,0.18000,-1.18607,0.18000,-0.51667,0.18000,0.29133,0.18000,0.15672,0.18000,-0.35886,0.18000,0.19769
0.19003,0.19000,-1.16709,0.19000,-0.48438,0.19000,0.32497,0.19000,0.16050,0.19000,-0.33815,0.19000,0.21725
0.20003,0.20000,-1.14760,0.20000,-0.45320,0.20000,0.36010,0.20000,0.16556,0.20000,-0.30825,0.20000,0.23697
0.21003,0.21000,-1.12766,0.21000,-0.42327,0.21000,0.39656,0.21000,0.17184,0.21000,-0.27862,0.21000,0.25657
0.22003,0.22000,-1.10731,0.22000,-0.39471,0.22000,0.43421,0.22000,0.17928,0.22000,-0.24029,0.22000,0.27579
0.23003,0.23000,-1.08655,0.23000,-0.36764,0.23000,0.47294,0.23000,0.18782,0.23000,-0.19704,0.23000,0.29439
0.24004,0.24000,-1.06540,0.24000,-0.34213,0.24000,0.51265,0.24000,0.19733,0.24000,-0.15945,0.24000,0.31214
0.25004,0.25000,-1.04388,0.25000,-0.31824,0.25000,0.55323,0.25000,0.20767,0.25000,-0.12856,0.25000,0.32882
0.26004,0.26000,-1.02203,0.26000,-0.29597,0.26000,0.59458,0.26000,0.21862,0.26000,-0.09407,0.26000,0.34421
