Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.81943,0.00000,-0.12832,0.00000,-0.37671,0.00000,-0.03647,0.00000,1.03290,0.00000,0.24565
0.01000,0.01000,-0.81675,0.01000,-0.11543,0.01000,-0.37984,0.01000,-0.03507,0.01000,1.05123,0.01000,0.23251
0.02000,0.02000,-0.81254,0.02000,-0.09963,0.02000,-0.38362,0.02000,-0.03317,0.02000,1.07173,0.02000,0.21818
0.03000,0.03000,-0.80655,0.03000,-0.08091,0.03000,-0.38804,0.03000,-0.03069,0.03000,1.09369,0.03000,0.20324
0.04001,0.04000,-0.79855,0.04000,-0.05935,0.04000,-0.39309,0.04000,-0.02758,0.04000,1.11624,0.04000,0.18834
0.05001,0.05000,-0.78839,0.05000,-0.03508,0.05000,-0.39877,0.05000,-0.02378,0.05000,1.13844,0.05000,0.17424
0.06001,0.06000,-0.77598,0.06000,-0.00834,0.06000,-0.40505,0.06000,-0.01925,0.06000,1.15931,0.06000,0.16168
0.07001,0.07000,-0.76131,0.07000,0.02064,0.07000,-0.41192,0.07000,-0.01396,0.07000,1.17790,0.07000,0.15136
0.08001,0.08000,-0.74439,0.08000,0.05154,0.08000,-0.41938,0.08000,-0.00791,0.08000,1.19337,0.08000,0.14391
0.09001,0.09000,-0.72531,0.09000,0.08408,0.09000,-0.42740,0.09000,-0.00111,0.09000,1.20501,0.09000,0.13984
0.10001,0.10000,-0.70416,0.10000,0.11791,0.10000,-0.43599,0.10000,0.00641,0.10000,1.21231,0.10000,0.13949
0.11002,0.11000,-0.68107,0.11000,0.15272,0.11000,-0.44511,0.11000,0.01459,0.11000,1.21495,0.11000,0.14300
0.12002,0.12000,-0.65612,0.12000,0.18820,0.12000,-0.45476,0.12000,0.02336,0.12000,1.21277,0.12000,0.15032
0.13002,0.13000,-0.62945,0.13000,0.22407,0.13000,-0.46489,0.13000,0.03264,0.13000,1.20583,0.13000,0.16121
0.14002,0.14000,-0.60114,0.14000,0.26006,0.14000,-0.47544,0.14000,0.04235,0.14000,1.19429,0.14000,0.17526
0.15002,0.15000,-0.57129,0.15000,0.29595,0.15000,-0.48635,0.15000,0.05237,0.15000,1.17846,0.15000,0.19195
0.16002,0.16000,-0.53999,0.16000,0.33155,0.16000,-0.49753,0.16000,0.06261,0.16000,1.15871,0.16000,0.21070
0.17003,0.17000,-0.50736,0.17000,0.36672,0.17000,-0.50888,0.17000,0.07295,0.17000,1.13546,0.17000,0.23090
0.18003,0.18000,-0.47351,0.18000,0.40133,0.18000,-0.52031,0.18000,0.08326,0.18000,1.10919,0.18000,0.25203
0.19003,0.19000,-0.43856,0.19000,0.43528,0.19000,-0.53171,0.19000,0.09342,0.19000,1.08033,0.19000,0.27366
0.20003,0.20000,-0.40267,0.20000,0.46848,0.20000,-0.54297,0.20000,0.10327,0.20000,1.04934,0.20000,0.29552
0.21003,0.21000,-0.36599,0.21000,0.50084,0.21000,-0.55397,0.21000,0.11266,0.21000,1.01663,0.21000,0.31748
0.22003,0.22000,-0.32869,0.22000,0.53226,0.22000,-0.56463,0.22000,0.12141,0.22000,0.98255,0.22000,0.33961
0.23003,0.23000,-0.29094,0.23000,0.56266,0.23000,-0.57488,0.23000,0.12933,0.23000,0.94742,0.23000,0.36211
0.24004,0.24000,-0.25290,0.24000,0.59194,0.24000,-0.58465,0.24000,0.13623,0.24000,0.91150,0.24000,0.38530
0.25004,0.25000,-0.21476,0.25000,0.62000,0.25000,-0.59391,0.25000,0.14190,0.25000,0.87497,0.25000,0.40962
0.26004,0.26000,-0.17670,0.26000,0.64674,0.26000,-0.60267,0.26000,0.14615,0.26000,0.83800,0.26000,0.43557
0.27004,0.27000,-0.13889,0.27000,0.67206,0.27000,-0.61095,0.27000,0.14881,0.27000,0.80067,0.27000,0.46368
0.28004,0.28000,-0.10154,0.28000,0.69585,0.28000,-0.61879,0.28000,0.14972,0.28000,0.76304,0.28000,0.49444
0.29004,0.29000,-0.06482,0.29000,0.71800,0.29000,-0.62624,0.29000,0.14879,0.29000,0.72512,0.29000,0.52829
0.30004,0.30000,-0.02896,0.30000,0.73839,0.30000,-0.63336,0.30000,0.14594,0.30000,0.68685,0.30000,0.56556
0.31005,0.31000,0.00585,0.31000,0.75693,0.31000,-0.64022,0.31000,0.14115,0.31000,0.64820,0.31000,0.60647
0.32005,0.32000,0.03940,0.32000,0.77350,0.32000,-0.64688,0.32000,0.13442,0.32000,0.60905,0.32000,0.65109
0.33005,0.33000,0.07151,0.33000,0.78800,0.33000,-0.65340,0.33000,0.12577,0.33000,0.56931,0.33000,0.69937
0.34005,0.34000,0.10199,0.34000,0.80035,0.34000,-0.65982,0.34000,0.11524,0.34000,0.52885,0.34000,0.75116
0.35005,0.35000,0.13067,0.35000,0.81048,0.35000,-0.66618,0.35000,0.10285,0.35000,0.48755,0.35000,0.80619
0.36005,0.36000,0.15742,0.36000,0.81833,0.36000,-0.67251,0.36000,0.08863,0.36000,0.44531,0.36000,0.86416
0.37005,0.37000,0.18209,0.37000,0.82383,0.37000,-0.67882,0.37000,0.07261,0.37000,0.40207,0.37000,0.92470
0.38006,0.38000,0.20454,0.38000,0.82694,0.38000,-0.68515,0.38000,0.05480,0.38000,0.35783,0.38000,0.98746
0.39006,0.39000,0.22462,0.39000,0.82760,0.39000,-0.69148,0.39000,0.03525,0.39000,0.31265,0.39000,1.05204
0.40006,0.40000,0.24218,0.40000,0.82574,0.40000,-0.69781,0.40000,0.01398,0.40000,0.26669,0.40000,1.11806
0.41006,0.41000,0.25703,0.41000,0.82129,0.41000,-0.70412,0.41000,-0.00901,0.41000,0.22014,0.41000,1.18511
0.42006,0.42000,0.26898,0.42000,0.81416,0.42000,-0.71038,0.42000,-0.03373,0.42000,0.17329,0.42000,1.25277
0.43006,0.43000,0.27781,0.43000,0.80425,0.43000,-0.71652,0.43000,-0.06024,0.43000,0.12646,0.43000,1.32060
0.44006,0.44000,0.28331,0.44000,0.79142,0.44000,-0.72246,0.44000,-0.08860,0.44000,0.08001,0.44000,1.38808
0.45007,0.45000,0.28531,0.45000,0.77558,0.45000,-0.72810,0.45000,-0.11890,0.45000,0.03434,0.45000,1.45468
