Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-1.26464,0.00000,0.14838,0.00000,0.10580
0.01000,0.01000,-1.26434,0.01000,0.15151,0.01000,0.08583
0.02000,0.02000,-1.27005,0.02000,0.15558,0.02000,0.06496
0.03000,0.03000,-1.28290,0.03000,0.16062,0.03000,0.04429
0.04001,0.04000,-1.30351,0.04000,0.16663,0.04000,0.02504
0.05001,0.05000,-1.33184,0.05000,0.17351,0.05000,0.00837
0.06001,0.06000,-1.36710,0.06000,0.18112,0.06000,-0.00471
0.07001,0.07000,-1.40769,0.07000,0.18924,0.07000,-0.01345
0.08001,0.08000,-1.45132,0.08000,0.19759,0.08000,-0.01748
0.09001,0.09000,-1.49518,0.09000,0.20583,0.09000,-0.01684
0.10001,0.10000,-1.53622,0.10000,0.21359,0.10000,-0.01195
0.11002,0.11000,-1.57147,0.11000,0.22048,0.11000,-0.00357
0.12002,0.12000,-1.59831,0.12000,0.22613,0.12000,0.00725
0.13002,0.13000,-1.61478,0.13000,0.23020,0.13000,0.01930
0.14002,0.14000,-1.61975,0.14000,0.23243,0.14000,0.03127
0.15002,0.15000,-1.61301,0.15000,0.23263,0.15000,0.04192
0.16002,0.16000,-1.59528,0.16000,0.23076,0.16000,0.05014
0.17002,0.17000,-1.56815,0.17000,0.22693,0.17000,0.05505
0.18003,0.18000,-1.53389,0.18000,0.22141,0.18000,0.05609
0.19003,0.19000,-1.49524,0.19000,0.21460,0.19000,0.05306
0.20003,0.20000,-1.45515,0.20000,0.20706,0.20000,0.04611
0.21003,0.21000,-1.41652,0.21000,0.19941,0.21000,0.03578
0.22003,0.22000,-1.38199,0.22000,0.19231,0.22000,0.02289
0.23003,0.23000,-1.35367,0.23000,0.18640,0.23000,0.00852
0.24003,0.24000,-1.33308,0.24000,0.18223,0.24000,-0.00615
0.25004,0.25000,-1.32102,0.25000,0.18022,0.25000,-0.01992
0.26004,0.26000,-1.31758,0.26000,0.18063,0.26000,-0.03171
0.27004,0.27000,-1.32219,0.27000,0.18352,0.27000,-0.04064
0.28004,0.28000,-1.33367,0.28000,0.18877,0.28000,-0.04614
0.29004,0.29000,-1.35040,0.29000,0.19609,0.29000,-0.04796
0.30004,0.30000,-1.37046,0.30000,0.20507,0.30000,-0.04618
0.31004,0.31000,-1.39179,0.31000,0.21518,0.31000,-0.04119
0.32005,0.32000,-1.41238,0.32000,0.22587,0.32000,-0.03363
0.33005,0.33000,-1.43045,0.33000,0.23658,0.33000,-0.02436
0.34005,0.34000,-1.44450,0.34000,0.24682,0.34000,-0.01430
0.35005,0.35000,-1.45350,0.35000,0.25617,0.35000,-0.00445
0.36005,0.36000,-1.45683,0.36000,0.26434,0.36000,0.00430
0.37005,0.37000,-1.45435,0.37000,0.27119,0.37000,0.01118
0.38005,0.38000,-1.44634,0.38000,0.27671,0.38000,0.01567
0.39006,0.39000,-1.43342,0.39000,0.28103,0.39000,0.01751
0.40006,0.40000,-1.41651,0.40000,0.28436,0.40000,0.01672
0.41006,0.41000,-1.39666,0.41000,0.28703,0.41000,0.01363
0.42006,0.42000,-1.37501,0.42000,0.28935,0.42000,0.00877
0.43006,0.43000,-1.35265,0.43000,0.29163,0.43000,0.00288
0.44006,0.44000,-1.33055,0.44000,0.29413,0.44000,-0.00325
0.45006,0.45000,-1.30950,0.45000,0.29699,0.45000,-0.00883
0.46007,0.46000,-1.29007,0.46000,0.30027,0.46000,-0.01315
0.47007,0.47000,-1.27262,0.47000,0.30389,0.47000,-0.01568
0.48007,0.48000,-1.25727,0.48000,0.30770,0.48000,-0.01611
0.49007,0.49000,-1.24398,0.49000,0.31148,0.49000,-0.01431
0.50007,0.50000,-1.23257,0.50000,0.31498,0.50000,-0.01038
0.51007,0.51000,-1.22276,0.51000,0.31799,0.51000,-0.00457
0.52007,0.52000,-1.21420,0.52000,0.32039,0.52000,0.00276
0.53008,0.53000,-1.20656,0.53000,0.32216,0.53000,0.01118
0.54008,0.54000,-1.19950,0.54000,0.32342,0.54000,0.02030
0.55008,0.55000,-1.19271,0.55000,0.32441,0.55000,0.02976
0.56008,0.56000,-1.18592,0.56000,0.32550,0.56000,0.03932
0.57008,0.57000,-1.17888,0.57000,0.32712,0.57000,0.04884
0.58008,0.58000,-1.17141,0.58000,0.32968,0.58000,0.05832
0.59008,0.59000,-1.16335,0.59000,0.33358,0.59000,0.06788
0.60009,0.60000,-1.15463,0.60000,0.33908,0.60000,0.07771
0.61009,0.61000,-1.14525,0.61000,0.34632,0.61000,0.08804
0.62009,0.62000,-1.13531,0.62000,0.35523,0.62000,0.09909
0.63009,0.63000,-1.12502,0.63000,0.36556,0.63000,0.11104
0.64009,0.64000,-1.11466,0.64000,0.37688,0.64000,0.12394
0.65009,0.65000,-1.10454,0.65000,0.38859,0.65000,0.13775
0.66009,0.66000,-1.09498,0.66000,0.40003,0.66000,0.15226
0.67010,0.67000,-1.08624,0.67000,0.41051,0.67000,0.16716
0.68010,0.68000,-1.07850,0.68000,0.41942,0.68000,0.18201
0.69010,0.69000,-1.07179,0.69000,0.42623,0.69000,0.19628
0.70010,0.70000,-1.06603,0.70000,0.43060,0.70000,0.20941
0.71010,0.71000,-1.06098,0.71000,0.43239,0.71000,0.22083
0.72010,0.72000,-1.05631,0.72000,0.43162,0.72000,0.23004
0.73010,0.73000,-1.05164,0.73000,0.42851,0.73000,0.23664
0.74011,0.74000,-1.04656,0.74000,0.42340,0.74000,0.24037
0.75011,0.75000,-1.04072,0.75000,0.41676,0.75000,0.24117
0.76011,0.76000,-1.03389,0.76000,0.40908,0.76000,0.23920
