Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.21411,0.00000,-0.33068,0.00000,0.46307,0.00000,-0.50276,0.00000,-0.02551,0.00000,0.32968
0.01000,0.01000,-0.21223,0.01000,-0.33160,0.01000,0.46387,0.01000,-0.50235,0.01000,-0.02795,0.01000,0.33077
0.02000,0.02000,-0.20985,0.02000,-0.33264,0.02000,0.46473,0.02000,-0.50172,0.02000,-0.03024,0.02000,0.33207
0.03000,0.03000,-0.20694,0.03000,-0.33377,0.03000,0.46561,0.03000,-0.50086,0.03000,-0.03220,0.03000,0.33354
0.04001,0.04000,-0.20351,0.04000,-0.33496,0.04000,0.46652,0.04000,-0.49975,0.04000,-0.03363,0.04000,0.33518
0.05001,0.05000,-0.19957,0.05000,-0.33618,0.05000,0.46744,0.05000,-0.49840,0.05000,-0.03436,0.05000,0.33695
0.06001,0.06000,-0.19515,0.06000,-0.33740,0.06000,0.46838,0.06000,-0.49682,0.06000,-0.03427,0.06000,0.33887
0.07001,0.07000,-0.19030,0.07000,-0.33859,0.07000,0.46936,0.07000,-0.49504,0.07000,-0.03328,0.07000,0.34097
0.08001,0.08000,-0.18505,0.08000,-0.33974,0.08000,0.47041,0.08000,-0.49310,0.08000,-0.03134,0.08000,0.34331
0.09001,0.09000,-0.17948,0.09000,-0.34081,0.09000,0.47155,0.09000,-0.49104,0.09000,-0.02849,0.09000,0.34595
0.10002,0.10000,-0.17365,0.10000,-0.34181,0.10000,0.47280,0.10000,-0.48892,0.10000,-0.02475,0.10000,0.34897
0.11002,0.11000,-0.16760,0.11000,-0.34273,0.11000,0.47416,0.11000,-0.48678,0.11000,-0.02021,0.11000,0.35242
0.12002,0.12000,-0.16143,0.12000,-0.34357,0.12000,0.47562,0.12000,-0.48467,0.12000,-0.01493,0.12000,0.35631
0.13002,0.13000,-0.15518,0.13000,-0.34434,0.13000,0.47713,0.13000,-0.48263,0.13000,-0.00902,0.13000,0.36066
0.14002,0.14000,-0.14895,0.14000,-0.34503,0.14000,0.47862,0.14000,-0.48067,0.14000,-0.00256,0.14000,0.36542
0.15002,0.15000,-0.14281,0.15000,-0.34567,0.15000,0.48003,0.15000,-0.47883,0.15000,0.00433,0.15000,0.37056
0.16002,0.16000,-0.13685,0.16000,-0.34625,0.16000,0.48125,0.16000,-0.47710,0.16000,0.01154,0.16000,0.37600
0.17003,0.17000,-0.13117,0.17000,-0.34679,0.17000,0.48219,0.17000,-0.47547,0.17000,0.01895,0.17000,0.38168
0.18003,0.18000,-0.12585,0.18000,-0.34730,0.18000,0.48277,0.18000,-0.47391,0.18000,0.02643,0.18000,0.38749
0.19003,0.19000,-0.12099,0.19000,-0.34779,0.19000,0.48293,0.19000,-0.47239,0.19000,0.03385,0.19000,0.39334
0.20003,0.20000,-0.11667,0.20000,-0.34827,0.20000,0.48262,0.20000,-0.47086,0.20000,0.04106,0.20000,0.39910
0.21003,0.21000,-0.11294,0.21000,-0.34875,0.21000,0.48184,0.21000,-0.46929,0.21000,0.04791,0.21000,0.40461
0.22003,0.22000,-0.10984,0.22000,-0.34924,0.22000,0.48062,0.22000,-0.46762,0.22000,0.05423,0.22000,0.40974
0.23003,0.23000,-0.10736,0.23000,-0.34976,0.23000,0.47899,0.23000,-0.46585,0.23000,0.05984,0.23000,0.41429
0.24004,0.24000,-0.10546,0.24000,-0.35032,0.24000,0.47702,0.24000,-0.46395,0.24000,0.06458,0.24000,0.41810
0.25004,0.25000,-0.10407,0.25000,-0.35093,0.25000,0.47479,0.25000,-0.46195,0.25000,0.06831,0.25000,0.42101
0.26004,0.26000,-0.10310,0.26000,-0.35159,0.26000,0.47238,0.26000,-0.45984,0.26000,0.07094,0.26000,0.42290
0.27004,0.27000,-0.10245,0.27000,-0.35230,0.27000,0.46985,0.27000,-0.45768,0.27000,0.07244,0.27000,0.42367
0.28004,0.28000,-0.10201,0.28000,-0.35305,0.28000,0.46727,0.28000,-0.45548,0.28000,0.07287,0.28000,0.42330
0.29004,0.29000,-0.10167,0.29000,-0.35382,0.29000,0.46470,0.29000,-0.45329,0.29000,0.07235,0.29000,0.42177
0.30004,0.30000,-0.10137,0.30000,-0.35459,0.30000,0.46219,0.30000,-0.45115,0.30000,0.07106,0.30000,0.41916
0.31005,0.31000,-0.10104,0.31000,-0.35534,0.31000,0.45978,0.31000,-0.44910,0.31000,0.06925,0.31000,0.41556
0.32005,0.32000,-0.10065,0.32000,-0.35606,0.32000,0.45751,0.32000,-0.44715,0.32000,0.06715,0.32000,0.41109
0.33005,0.33000,-0.10016,0.33000,-0.35673,0.33000,0.45543,0.33000,-0.44534,0.33000,0.06503,0.33000,0.40592
0.34005,0.34000,-0.09959,0.34000,-0.35732,0.34000,0.45356,0.34000,-0.44368,0.34000,0.06310,0.34000,0.40022
0.35005,0.35000,-0.09892,0.35000,-0.35785,0.35000,0.45194,0.35000,-0.44217,0.35000,0.06153,0.35000,0.39418
0.36005,0.36000,-0.09818,0.36000,-0.35830,0.36000,0.45061,0.36000,-0.44080,0.36000,0.06043,0.36000,0.38799
0.37005,0.37000,-0.09737,0.37000,-0.35866,0.37000,0.44959,0.37000,-0.43956,0.37000,0.05984,0.37000,0.38185
0.38006,0.38000,-0.09648,0.38000,-0.35892,0.38000,0.44889,0.38000,-0.43841,0.38000,0.05974,0.38000,0.37594
0.39006,0.39000,-0.09550,0.39000,-0.35908,0.39000,0.44851,0.39000,-0.43733,0.39000,0.06007,0.39000,0.37046
0.40006,0.40000,-0.09441,0.40000,-0.35911,0.40000,0.44844,0.40000,-0.43627,0.40000,0.06074,0.40000,0.36556
0.41006,0.41000,-0.09318,0.41000,-0.35901,0.41000,0.44862,0.41000,-0.43520,0.41000,0.06167,0.41000,0.36137
0.42006,0.42000,-0.09181,0.42000,-0.35875,0.42000,0.44899,0.42000,-0.43408,0.42000,0.06279,0.42000,0.35798
0.43006,0.43000,-0.09027,0.43000,-0.35831,0.43000,0.44946,0.43000,-0.43288,0.43000,0.06405,0.43000,0.35540
0.44007,0.44000,-0.08860,0.44000,-0.35767,0.44000,0.44994,0.44000,-0.43159,0.44000,0.06540,0.44000,0.35359
0.45007,0.45000,-0.08683,0.45000,-0.35681,0.45000,0.45032,0.45000,-0.43021,0.45000,0.06682,0.45000,0.35242
0.46007,0.46000,-0.08502,0.46000,-0.35571,0.46000,0.45053,0.46000,-0.42873,0.46000,0.06826,0.46000,0.35172
0.47007,0.47000,-0.08325,0.47000,-0.35437,0.47000,0.45048,0.47000,-0.42718,0.47000,0.06966,0.47000,0.35125
0.48007,0.48000,-0.08163,0.48000,-0.35277,0.48000,0.45015,0.48000,-0.42559,0.48000,0.07091,0.48000,0.35075
0.49007,0.49000,-0.08023,0.49000,-0.35090,0.49000,0.44951,0.49000,-0.42402,0.49000,0.07186,0.49000,0.34994
0.50007,0.50000,-0.07916,0.50000,-0.34878,0.50000,0.44855,0.50000,-0.42252,0.50000,0.07237,0.50000,0.34857
