Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,1.69533,0.00000,1.12265,0.00000,0.77322
0.01001,0.01000,1.69604,0.01000,1.12202,0.01000,0.77197
0.02001,0.02000,1.69733,0.02000,1.12090,0.02000,0.76993
0.03002,0.03000,1.69936,0.03000,1.11920,0.03000,0.76699
0.04003,0.04000,1.70230,0.04000,1.11687,0.04000,0.76303
0.05003,0.05000,1.70631,0.05000,1.11389,0.05000,0.75799
0.06004,0.06000,1.71150,0.06000,1.11027,0.06000,0.75186
0.07004,0.07000,1.71794,0.07000,1.10609,0.07000,0.74467
0.08005,0.08000,1.72560,0.08000,1.10144,0.08000,0.73650
0.09006,0.09000,1.73434,0.09000,1.09645,0.09000,0.72748
0.10006,0.10000,1.74394,0.10000,1.09128,0.10000,0.71777
0.11007,0.11000,1.75402,0.11000,1.08607,0.11000,0.70752
0.12008,0.12000,1.76416,0.12000,1.08097,0.12000,0.69693
0.13008,0.13000,1.77386,0.13000,1.07614,0.13000,0.68615
0.14009,0.14000,1.78259,0.14000,1.07169,0.14000,0.67533
0.15010,0.15000,1.78985,0.15000,1.06775,0.15000,0.66458
0.16010,0.16000,1.79520,0.16000,1.06442,0.16000,0.65400
0.17011,0.17000,1.79824,0.17000,1.06181,0.17000,0.64364
0.18011,0.18000,1.79873,0.18000,1.06004,0.18000,0.63358
0.19012,0.19000,1.79649,0.19000,1.05923,0.19000,0.62387
0.20013,0.20000,1.79148,0.20000,1.05951,0.20000,0.61458
0.21013,0.21000,1.78372,0.21000,1.06104,0.21000,0.60581
0.22014,0.22000,1.77333,0.22000,1.06395,0.22000,0.59771
0.23015,0.23000,1.76047,0.23000,1.06837,0.23000,0.59043
0.24015,0.24000,1.74533,0.24000,1.07443,0.24000,0.58418
0.25016,0.25000,1.72810,0.25000,1.08218,0.25000,0.57916
0.26016,0.26000,1.70901,0.26000,1.09163,0.26000,0.57558
0.27017,0.27000,1.68826,0.27000,1.10274,0.27000,0.57361
0.28018,0.28000,1.66606,0.28000,1.11537,0.28000,0.57335
0.29018,0.29000,1.64262,0.29000,1.12930,0.29000,0.57483
0.30019,0.30000,1.61818,0.30000,1.14425,0.30000,0.57795
0.31020,0.31000,1.59300,0.31000,1.15989,0.31000,0.58250
0.32020,0.32000,1.56732,0.32000,1.17583,0.32000,0.58815
0.33021,0.33000,1.54146,0.33000,1.19170,0.33000,0.59446
0.34021,0.34000,1.51572,0.34000,1.20709,0.34000,0.60092
0.35022,0.35000,1.49040,0.35000,1.22167,0.35000,0.60700
0.36023,0.36000,1.46582,0.36000,1.23513,0.36000,0.61218
0.37023,0.37000,1.44225,0.37000,1.24723,0.37000,0.61600
0.38024,0.38000,1.41993,0.38000,1.25783,0.38000,0.61808
0.39025,0.39000,1.39906,0.39000,1.26684,0.39000,0.61818
0.40025,0.40000,1.37977,0.40000,1.27427,0.40000,0.61617
0.41026,0.41000,1.36210,0.41000,1.28017,0.41000,0.61209
0.42027,0.42000,1.34603,0.42000,1.28465,0.42000,0.60610
0.43027,0.43000,1.33146,0.43000,1.28788,0.43000,0.59851
0.44028,0.44000,1.31822,0.44000,1.29002,0.44000,0.58971
0.45028,0.45000,1.30608,0.45000,1.29126,0.45000,0.58017
0.46029,0.46000,1.29478,0.46000,1.29179,0.46000,0.57036
0.47030,0.47000,1.28404,0.47000,1.29178,0.47000,0.56077
0.48030,0.48000,1.27358,0.48000,1.29139,0.48000,0.55183
0.49031,0.49000,1.26317,0.49000,1.29077,0.49000,0.54387
0.50032,0.50000,1.25262,0.50000,1.29004,0.50000,0.53714
0.51032,0.51000,1.24184,0.51000,1.28931,0.51000,0.53171
0.52033,0.52000,1.23081,0.52000,1.28866,0.52000,0.52756
0.53033,0.53000,1.21962,0.53000,1.28814,0.53000,0.52451
0.54034,0.54000,1.20844,0.54000,1.28780,0.54000,0.52228
0.55035,0.55000,1.19752,0.55000,1.28764,0.55000,0.52051
0.56035,0.56000,1.18718,0.56000,1.28766,0.56000,0.51882
0.57036,0.57000,1.17775,0.57000,1.28783,0.57000,0.51684
0.58037,0.58000,1.16955,0.58000,1.28811,0.58000,0.51425
0.59037,0.59000,1.16283,0.59000,1.28844,0.59000,0.51083
0.60038,0.60000,1.15778,0.60000,1.28874,0.60000,0.50647
0.61038,0.61000,1.15448,0.61000,1.28893,0.61000,0.50116
0.62039,0.62000,1.15288,0.62000,1.28891,0.62000,0.49501
0.63040,0.63000,1.15286,0.63000,1.28857,0.63000,0.48819
0.64040,0.64000,1.15420,0.64000,1.28782,0.64000,0.48093
0.65041,0.65000,1.15661,0.65000,1.28653,0.65000,0.47344
0.66042,0.66000,1.15979,0.66000,1.28463,0.66000,0.46593
0.67042,0.67000,1.16342,0.67000,1.28205,0.67000,0.45856
0.68043,0.68000,1.16722,0.68000,1.27874,0.68000,0.45141
0.69044,0.69000,1.17095,0.69000,1.27470,0.69000,0.44452
0.70044,0.70000,1.17443,0.70000,1.27000,0.70000,0.43788
0.71045,0.71000,1.17756,0.71000,1.26471,0.71000,0.43145
0.72045,0.72000,1.18030,0.72000,1.25898,0.72000,0.42520
0.73046,0.73000,1.18269,0.73000,1.25297,0.73000,0.41910
0.74047,0.74000,1.18485,0.74000,1.24686,0.74000,0.41314
0.75047,0.75000,1.18690,0.75000,1.24082,0.75000,0.40734
0.76048,0.76000,1.18898,0.76000,1.23498,0.76000,0.40170
0.77049,0.77000,1.19123,0.77000,1.22948,0.77000,0.39624
0.78049,0.78000,1.19373,0.78000,1.22439,0.78000,0.39093
0.79050,0.79000,1.19651,0.79000,1.21975,0.79000,0.38574
0.80050,0.80000,1.19952,0.80000,1.21555,0.80000,0.38059
0.81051,0.81000,1.20270,0.81000,1.21178,0.81000,0.37539
0.82052,0.82000,1.20592,0.82000,1.20837,0.82000,0.37003
0.83052,0.83000,1.20903,0.83000,1.20524,0.83000,0.36438
0.84053,0.84000,1.21189,0.84000,1.20229,0.84000,0.35833
0.85054,0.85000,1.21441,0.85000,1.19941,0.85000,0.35180
0.86054,0.86000,1.21652,0.86000,1.19647,0.86000,0.34478
0.87055,0.87000,1.21824,0.87000,1.19335,0.87000,0.33727
0.88056,0.88000,1.21963,0.88000,1.18993,0.88000,0.32936
0.89056,0.89000,1.22082,0.89000,1.18610,0.89000,0.32113
0.90057,0.90000,1.22201,0.90000,1.18176,0.90000,0.31270
0.91057,0.91000,1.22343,0.91000,1.17682,0.91000,0.30416
0.92058,0.92000,1.22529,0.92000,1.17122,0.92000,0.29558
0.93059,0.93000,1.22781,0.93000,1.16491,0.93000,0.28699
0.94059,0.94000,1.23115,0.94000,1.15791,0.94000,0.27837
0.95060,0.95000,1.23539,0.95000,1.15027,0.95000,0.26963
0.96061,0.96000,1.24050,0.96000,1.14212,0.96000,0.26069
0.97061,0.97000,1.24632,0.97000,1.13372,0.97000,0.25141
0.98062,0.98000,1.25251,0.98000,1.12542,0.98000,0.24167
0.99062,0.99000,1.25856,0.99000,1.11772,0.99000,0.23134
1.00063,1.00000,1.26378,1.00000,1.11127,1.00000,0.22037
1.01064,1.01000,1.26728,1.01000,1.10684,1.01000,0.20877
1.02064,1.02000,1.26800,1.02000,1.10531,1.02000,0.19668
1.03065,1.03000,1.26478,1.03000,1.10758,1.03000,0.18436
1.04066,1.04000,1.25637,1.04000,1.11451,1.04000,0.17224
