Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.23267,0.00000,-0.34886,0.00000,0.07143,0.00000,-0.26315,0.00000,0.42995,0.00000,-0.05683
0.01000,0.01000,-0.23311,0.01000,-0.34920,0.01000,0.07212,0.01000,-0.26287,0.01000,0.43101,0.01000,-0.05496
0.02000,0.02000,-0.23382,0.02000,-0.34948,0.02000,0.07278,0.02000,-0.26261,0.02000,0.43235,0.02000,-0.05292
0.03000,0.03000,-0.23486,0.03000,-0.34969,0.03000,0.07337,0.03000,-0.26239,0.03000,0.43393,0.03000,-0.05083
0.04001,0.04000,-0.23626,0.04000,-0.34981,0.04000,0.07387,0.04000,-0.26223,0.04000,0.43570,0.04000,-0.04889
0.05001,0.05000,-0.23805,0.05000,-0.34981,0.05000,0.07425,0.05000,-0.26217,0.05000,0.43757,0.05000,-0.04732
0.06001,0.06000,-0.24025,0.06000,-0.34970,0.06000,0.07450,0.06000,-0.26221,0.06000,0.43940,0.06000,-0.04638
0.07001,0.07000,-0.24285,0.07000,-0.34949,0.07000,0.07463,0.07000,-0.26239,0.07000,0.44105,0.07000,-0.04632
0.08001,0.08000,-0.24581,0.08000,-0.34922,0.08000,0.07467,0.08000,-0.26273,0.08000,0.44236,0.08000,-0.04742
0.09001,0.09000,-0.24910,0.09000,-0.34890,0.09000,0.07465,0.09000,-0.26323,0.09000,0.44316,0.09000,-0.04988
0.10001,0.10000,-0.25264,0.10000,-0.34859,0.10000,0.07460,0.10000,-0.26391,0.10000,0.44332,0.10000,-0.05389
0.11002,0.11000,-0.25637,0.11000,-0.34834,0.11000,0.07455,0.11000,-0.26478,0.11000,0.44272,0.11000,-0.05954
0.12002,0.12000,-0.26022,0.12000,-0.34816,0.12000,0.07454,0.12000,-0.26585,0.12000,0.44132,0.12000,-0.06681
0.13002,0.13000,-0.26408,0.13000,-0.34811,0.13000,0.07458,0.13000,-0.26711,0.13000,0.43910,0.13000,-0.07558
0.14002,0.14000,-0.26788,0.14000,-0.34820,0.14000,0.07467,0.14000,-0.26857,0.14000,0.43606,0.14000,-0.08562
0.15002,0.15000,-0.27151,0.15000,-0.34845,0.15000,0.07480,0.15000,-0.27022,0.15000,0.43227,0.15000,-0.09660
0.16002,0.16000,-0.27489,0.16000,-0.34888,0.16000,0.07497,0.16000,-0.27206,0.16000,0.42781,0.16000,-0.10810
0.17002,0.17000,-0.27793,0.17000,-0.34948,0.17000,0.07517,0.17000,-0.27407,0.17000,0.42276,0.17000,-0.11967
0.18003,0.18000,-0.28056,0.18000,-0.35027,0.18000,0.07539,0.18000,-0.27623,0.18000,0.41719,0.18000,-0.13084
0.19003,0.19000,-0.28274,0.19000,-0.35121,0.19000,0.07564,0.19000,-0.27852,0.19000,0.41120,0.19000,-0.14114
0.20003,0.20000,-0.28444,0.20000,-0.35231,0.20000,0.07592,0.20000,-0.28091,0.20000,0.40484,0.20000,-0.15013
0.21003,0.21000,-0.28567,0.21000,-0.35352,0.21000,0.07623,0.21000,-0.28338,0.21000,0.39817,0.21000,-0.15744
0.22003,0.22000,-0.28648,0.22000,-0.35483,0.22000,0.07657,0.22000,-0.28588,0.22000,0.39125,0.22000,-0.16282
0.23003,0.23000,-0.28691,0.23000,-0.35618,0.23000,0.07696,0.23000,-0.28837,0.23000,0.38414,0.23000,-0.16609
0.24003,0.24000,-0.28703,0.24000,-0.35755,0.24000,0.07739,0.24000,-0.29081,0.24000,0.37688,0.24000,-0.16724
0.25003,0.25000,-0.28693,0.25000,-0.35889,0.25000,0.07789,0.25000,-0.29312,0.25000,0.36953,0.25000,-0.16638
0.26004,0.26000,-0.28668,0.26000,-0.36016,0.26000,0.07844,0.26000,-0.29526,0.26000,0.36213,0.26000,-0.16374
0.27004,0.27000,-0.28635,0.27000,-0.36132,0.27000,0.07907,0.27000,-0.29719,0.27000,0.35473,0.27000,-0.15965
0.28004,0.28000,-0.28599,0.28000,-0.36234,0.28000,0.07977,0.28000,-0.29888,0.28000,0.34737,0.28000,-0.15452
0.29004,0.29000,-0.28562,0.29000,-0.36322,0.29000,0.08054,0.29000,-0.30033,0.29000,0.34012,0.29000,-0.14879
0.30004,0.30000,-0.28525,0.30000,-0.36395,0.30000,0.08139,0.30000,-0.30154,0.30000,0.33306,0.30000,-0.14288
0.31004,0.31000,-0.28485,0.31000,-0.36454,0.31000,0.08230,0.31000,-0.30256,0.31000,0.32628,0.31000,-0.13714
0.32004,0.32000,-0.28438,0.32000,-0.36503,0.32000,0.08327,0.32000,-0.30342,0.32000,0.31990,0.32000,-0.13184
0.33005,0.33000,-0.28380,0.33000,-0.36544,0.33000,0.08430,0.33000,-0.30418,0.33000,0.31404,0.33000,-0.12713
0.34005,0.34000,-0.28305,0.34000,-0.36584,0.34000,0.08537,0.34000,-0.30491,0.34000,0.30880,0.34000,-0.12305
0.35005,0.35000,-0.28210,0.35000,-0.36626,0.35000,0.08647,0.35000,-0.30564,0.35000,0.30429,0.35000,-0.11952
0.36005,0.36000,-0.28091,0.36000,-0.36678,0.36000,0.08760,0.36000,-0.30644,0.36000,0.30054,0.36000,-0.11641
0.37005,0.37000,-0.27947,0.37000,-0.36742,0.37000,0.08877,0.37000,-0.30733,0.37000,0.29756,0.37000,-0.11351
0.38005,0.38000,-0.27780,0.38000,-0.36823,0.38000,0.08998,0.38000,-0.30832,0.38000,0.29531,0.38000,-0.11061
0.39005,0.39000,-0.27592,0.39000,-0.36920,0.39000,0.09125,0.39000,-0.30941,0.39000,0.29368,0.39000,-0.10752
0.40006,0.40000,-0.27386,0.40000,-0.37033,0.40000,0.09257,0.40000,-0.31058,0.40000,0.29253,0.40000,-0.10406
0.41006,0.41000,-0.27168,0.41000,-0.37160,0.41000,0.09397,0.41000,-0.31181,0.41000,0.29172,0.41000,-0.10012
0.42006,0.42000,-0.26943,0.42000,-0.37296,0.42000,0.09543,0.42000,-0.31306,0.42000,0.29105,0.42000,-0.09562
0.43006,0.43000,-0.26717,0.43000,-0.37437,0.43000,0.09694,0.43000,-0.31429,0.43000,0.29032,0.43000,-0.09056
0.44006,0.44000,-0.26494,0.44000,-0.37580,0.44000,0.09849,0.44000,-0.31548,0.44000,0.28934,0.44000,-0.08495
0.45006,0.45000,-0.26280,0.45000,-0.37721,0.45000,0.10007,0.45000,-0.31661,0.45000,0.28793,0.45000,-0.07889
0.46006,0.46000,-0.26077,0.46000,-0.37860,0.46000,0.10165,0.46000,-0.31766,0.46000,0.28591,0.46000,-0.07245
0.47006,0.47000,-0.25890,0.47000,-0.37996,0.47000,0.10323,0.47000,-0.31863,0.47000,0.28315,0.47000,-0.06578
0.48007,0.48000,-0.25720,0.48000,-0.38132,0.48000,0.10478,0.48000,-0.31954,0.48000,0.27957,0.48000,-0.05899
0.49007,0.49000,-0.25570,0.49000,-0.38269,0.49000,0.10633,0.49000,-0.32043,0.49000,0.27514,0.49000,-0.05224
0.50007,0.50000,-0.25441,0.50000,-0.38412,0.50000,0.10787,0.50000,-0.32130,0.50000,0.26993,0.50000,-0.04567
0.51007,0.51000,-0.25334,0.51000,-0.38563,0.51000,0.10943,0.51000,-0.32220,0.51000,0.26404,0.51000,-0.03942
0.52007,0.52000,-0.25250,0.52000,-0.38725,0.52000,0.11102,0.52000,-0.32313,0.52000,0.25764,0.52000,-0.03361
0.53007,0.53000,-0.25188,0.53000,-0.38899,0.53000,0.11266,0.53000,-0.32409,0.53000,0.25097,0.53000,-0.02836
0.54007,0.54000,-0.25145,0.54000,-0.39085,0.54000,0.11436,0.54000,-0.32509,0.54000,0.24426,0.54000,-0.02378
0.55008,0.55000,-0.25120,0.55000,-0.39283,0.55000,0.11613,0.55000,-0.32611,0.55000,0.23772,0.55000,-0.01993
0.56008,0.56000,-0.25108,0.56000,-0.39490,0.56000,0.11796,0.56000,-0.32711,0.56000,0.23156,0.56000,-0.01685
0.57008,0.57000,-0.25107,0.57000,-0.39703,0.57000,0.11984,0.57000,-0.32809,0.57000,0.22594,0.57000,-0.01453
0.58008,0.58000,-0.25114,0.58000,-0.39919,0.58000,0.12176,0.58000,-0.32901,0.58000,0.22096,0.58000,-0.01292
0.59008,0.59000,-0.25126,0.59000,-0.40134,0.59000,0.12368,0.59000,-0.32987,0.59000,0.21672,0.59000,-0.01193
0.60008,0.60000,-0.25142,0.60000,-0.40344,0.60000,0.12559,0.60000,-0.33063,0.60000,0.21325,0.60000,-0.01146
