Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.19165,0.00000,-0.02133,0.00000,-0.07192,0.00000,-0.09347,0.00000,0.06864,0.00000,0.14556
0.01001,0.01000,-0.18954,0.01000,-0.01985,0.01000,-0.07235,0.01000,-0.09366,0.01000,0.07587,0.01000,0.14050
0.02001,0.02000,-0.18707,0.02000,-0.01819,0.02000,-0.07283,0.02000,-0.09389,0.02000,0.07733,0.02000,0.13412
0.03002,0.03000,-0.18430,0.03000,-0.01638,0.03000,-0.07335,0.03000,-0.09421,0.03000,0.07933,0.03000,0.12645
0.04003,0.04000,-0.18125,0.04000,-0.01440,0.04000,-0.07388,0.04000,-0.09467,0.04000,0.08727,0.04000,0.11758
0.05004,0.05000,-0.17797,0.05000,-0.01225,0.05000,-0.07440,0.05000,-0.09536,0.05000,0.09542,0.05000,0.10768
0.06004,0.06000,-0.17450,0.06000,-0.00989,0.06000,-0.07490,0.06000,-0.09635,0.06000,0.09303,0.06000,0.09698
0.07005,0.07000,-0.17087,0.07000,-0.00728,0.07000,-0.07536,0.07000,-0.09770,0.07000,0.07893,0.07000,0.08572
0.08006,0.08000,-0.16712,0.08000,-0.00437,0.08000,-0.07576,0.08000,-0.09948,0.08000,0.06645,0.08000,0.07417
0.09006,0.09000,-0.16327,0.09000,-0.00112,0.09000,-0.07610,0.09000,-0.10168,0.09000,0.06279,0.09000,0.06259
0.10007,0.10000,-0.15934,0.10000,0.00251,0.10000,-0.07639,0.10000,-0.10428,0.10000,0.06179,0.10000,0.05123
0.11008,0.11000,-0.15539,0.11000,0.00653,0.11000,-0.07662,0.11000,-0.10721,0.11000,0.06073,0.11000,0.04032
0.12008,0.12000,-0.15144,0.12000,0.01092,0.12000,-0.07681,0.12000,-0.11036,0.12000,0.06570,0.12000,0.03006
0.13009,0.13000,-0.14757,0.13000,0.01565,0.13000,-0.07696,0.13000,-0.11362,0.13000,0.07477,0.13000,0.02060
0.14010,0.14000,-0.14384,0.14000,0.02067,0.14000,-0.07709,0.14000,-0.11684,0.14000,0.08303,0.14000,0.01208
0.15010,0.15000,-0.14030,0.15000,0.02590,0.15000,-0.07719,0.15000,-0.11993,0.15000,0.08506,0.15000,0.00458
0.16011,0.16000,-0.13701,0.16000,0.03127,0.16000,-0.07731,0.16000,-0.12279,0.16000,0.08022,0.16000,-0.00184
0.17012,0.17000,-0.13400,0.17000,0.03671,0.17000,-0.07743,0.17000,-0.12532,0.17000,0.07642,0.17000,-0.00715
0.18013,0.18000,-0.13130,0.18000,0.04214,0.18000,-0.07757,0.18000,-0.12749,0.18000,0.07146,0.18000,-0.01137
0.19013,0.19000,-0.12887,0.19000,0.04748,0.19000,-0.07774,0.19000,-0.12924,0.19000,0.06904,0.19000,-0.01454
0.20014,0.20000,-0.12666,0.20000,0.05264,0.20000,-0.07791,0.20000,-0.13057,0.20000,0.07108,0.20000,-0.01672
0.21015,0.21000,-0.12460,0.21000,0.05755,0.21000,-0.07806,0.21000,-0.13148,0.21000,0.07473,0.21000,-0.01798
0.22015,0.22000,-0.12259,0.22000,0.06213,0.22000,-0.07817,0.22000,-0.13196,0.22000,0.07280,0.22000,-0.01838
0.23016,0.23000,-0.12054,0.23000,0.06632,0.23000,-0.07818,0.23000,-0.13204,0.23000,0.07079,0.23000,-0.01795
0.24017,0.24000,-0.11836,0.24000,0.07006,0.24000,-0.07805,0.24000,-0.13174,0.24000,0.06869,0.24000,-0.01669
0.25017,0.25000,-0.11598,0.25000,0.07332,0.25000,-0.07775,0.25000,-0.13111,0.25000,0.07106,0.25000,-0.01458
