Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,0.16434,0.00000,-0.27535,0.00000,0.22401,0.00000,-0.19864,0.00000,0.04935,0.00000,0.39914
0.01000,0.01000,0.15850,0.01000,-0.27503,0.01000,0.22558,0.01000,-0.19909,0.01000,0.05076,0.01000,0.39898
0.02000,0.02000,0.15164,0.02000,-0.27469,0.02000,0.22733,0.02000,-0.19973,0.02000,0.05211,0.02000,0.39824
0.03000,0.03000,0.14390,0.03000,-0.27435,0.03000,0.22918,0.03000,-0.20053,0.03000,0.05335,0.03000,0.39676
0.04001,0.04000,0.13546,0.04000,-0.27398,0.04000,0.23104,0.04000,-0.20145,0.04000,0.05447,0.04000,0.39443
0.05001,0.05000,0.12658,0.05000,-0.27358,0.05000,0.23280,0.05000,-0.20246,0.05000,0.05549,0.05000,0.39121
0.06001,0.06000,0.11752,0.06000,-0.27312,0.06000,0.23435,0.06000,-0.20347,0.06000,0.05649,0.06000,0.38707
0.07001,0.07000,0.10858,0.07000,-0.27260,0.07000,0.23562,0.07000,-0.20444,0.07000,0.05755,0.07000,0.38209
0.08001,0.08000,0.09999,0.08000,-0.27201,0.08000,0.23654,0.08000,-0.20531,0.08000,0.05877,0.08000,0.37640
0.09001,0.09000,0.09198,0.09000,-0.27133,0.09000,0.23708,0.09000,-0.20605,0.09000,0.06023,0.09000,0.37017
0.10001,0.10000,0.08467,0.10000,-0.27058,0.10000,0.23725,0.10000,-0.20665,0.10000,0.06194,0.10000,0.36366
0.11002,0.11000,0.07814,0.11000,-0.26977,0.11000,0.23709,0.11000,-0.20710,0.11000,0.06390,0.11000,0.35714
0.12002,0.12000,0.07238,0.12000,-0.26893,0.12000,0.23668,0.12000,-0.20743,0.12000,0.06602,0.12000,0.35090
