Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.96839,0.00000,-0.08887,0.00000,0.10285,0.00000,0.09271,0.00000,-0.11829,0.00000,0.03240
0.01000,0.01000,-0.96645,0.01000,-0.08689,0.01000,0.10372,0.01000,0.09470,0.01000,-0.11720,0.01000,0.03286
0.02000,0.02000,-0.96442,0.02000,-0.08476,0.02000,0.10474,0.02000,0.09700,0.02000,-0.11589,0.02000,0.03330
0.03000,0.03000,-0.96237,0.03000,-0.08253,0.03000,0.10589,0.03000,0.09954,0.03000,-0.11432,0.03000,0.03375
0.04001,0.04000,-0.96039,0.04000,-0.08030,0.04000,0.10716,0.04000,0.10221,0.04000,-0.11248,0.04000,0.03424
0.05001,0.05000,-0.95854,0.05000,-0.07811,0.05000,0.10853,0.05000,0.10493,0.05000,-0.11037,0.05000,0.03484
0.06001,0.06000,-0.95685,0.06000,-0.07602,0.06000,0.10999,0.06000,0.10757,0.06000,-0.10796,0.06000,0.03563
0.07001,0.07000,-0.95533,0.07000,-0.07404,0.07000,0.11152,0.07000,0.11005,0.07000,-0.10526,0.07000,0.03666
0.08001,0.08000,-0.95394,0.08000,-0.07216,0.08000,0.11310,0.08000,0.11229,0.08000,-0.10228,0.08000,0.03798
0.09001,0.09000,-0.95264,0.09000,-0.07035,0.09000,0.11471,0.09000,0.11426,0.09000,-0.09906,0.09000,0.03957
0.10001,0.10000,-0.95136,0.10000,-0.06858,0.10000,0.11631,0.10000,0.11594,0.10000,-0.09570,0.10000,0.04140
0.11002,0.11000,-0.95004,0.11000,-0.06681,0.11000,0.11788,0.11000,0.11739,0.11000,-0.09231,0.11000,0.04336
0.12002,0.12000,-0.94864,0.12000,-0.06501,0.12000,0.11937,0.12000,0.11867,0.12000,-0.08903,0.12000,0.04531
0.13002,0.13000,-0.94715,0.13000,-0.06316,0.13000,0.12073,0.13000,0.11988,0.13000,-0.08602,0.13000,0.04706
0.14002,0.14000,-0.94559,0.14000,-0.06128,0.14000,0.12191,0.14000,0.12112,0.14000,-0.08339,0.14000,0.04840
0.15002,0.15000,-0.94398,0.15000,-0.05935,0.15000,0.12286,0.15000,0.12249,0.15000,-0.08122,0.15000,0.04915
0.16002,0.16000,-0.94237,0.16000,-0.05741,0.16000,0.12356,0.16000,0.12407,0.16000,-0.07951,0.16000,0.04912
0.17002,0.17000,-0.94080,0.17000,-0.05546,0.17000,0.12396,0.17000,0.12594,0.17000,-0.07821,0.17000,0.04817
0.18002,0.18000,-0.93928,0.18000,-0.05352,0.18000,0.12405,0.18000,0.12812,0.18000,-0.07720,0.18000,0.04623
0.19003,0.19000,-0.93785,0.19000,-0.05161,0.19000,0.12383,0.19000,0.13062,0.19000,-0.07632,0.19000,0.04330
0.20003,0.20000,-0.93651,0.20000,-0.04975,0.20000,0.12332,0.20000,0.13339,0.20000,-0.07541,0.20000,0.03943
0.21003,0.21000,-0.93524,0.21000,-0.04795,0.21000,0.12254,0.21000,0.13639,0.21000,-0.07430,0.21000,0.03474
0.22003,0.22000,-0.93404,0.22000,-0.04626,0.22000,0.12154,0.22000,0.13954,0.22000,-0.07286,0.22000,0.02940
0.23003,0.23000,-0.93291,0.23000,-0.04470,0.23000,0.12035,0.23000,0.14276,0.23000,-0.07100,0.23000,0.02361
0.24003,0.24000,-0.93184,0.24000,-0.04335,0.24000,0.11903,0.24000,0.14595,0.24000,-0.06866,0.24000,0.01754
0.25003,0.25000,-0.93087,0.25000,-0.04226,0.25000,0.11763,0.25000,0.14903,0.25000,-0.06583,0.25000,0.01134
0.26004,0.26000,-0.93002,0.26000,-0.04152,0.26000,0.11618,0.26000,0.15192,0.26000,-0.06253,0.26000,0.00513
0.27004,0.27000,-0.92933,0.27000,-0.04123,0.27000,0.11472,0.27000,0.15453,0.27000,-0.05885,0.27000,-0.00104
0.28004,0.28000,-0.92885,0.28000,-0.04145,0.28000,0.11328,0.28000,0.15680,0.28000,-0.05488,0.28000,-0.00716
0.29004,0.29000,-0.92859,0.29000,-0.04225,0.29000,0.11190,0.29000,0.15869,0.29000,-0.05074,0.29000,-0.01328
0.30004,0.30000,-0.92856,0.30000,-0.04369,0.30000,0.11058,0.30000,0.16014,0.30000,-0.04656,0.30000,-0.01947
0.31004,0.31000,-0.92873,0.31000,-0.04576,0.31000,0.10933,0.31000,0.16114,0.31000,-0.04246,0.31000,-0.02585
0.32004,0.32000,-0.92905,0.32000,-0.04844,0.32000,0.10815,0.32000,0.16169,0.32000,-0.03853,0.32000,-0.03253
0.33004,0.33000,-0.92943,0.33000,-0.05165,0.33000,0.10702,0.33000,0.16181,0.33000,-0.03482,0.33000,-0.03966
0.34005,0.34000,-0.92979,0.34000,-0.05526,0.34000,0.10593,0.34000,0.16157,0.34000,-0.03135,0.34000,-0.04739
0.35005,0.35000,-0.93001,0.35000,-0.05914,0.35000,0.10484,0.35000,0.16103,0.35000,-0.02808,0.35000,-0.05581
0.36005,0.36000,-0.93000,0.36000,-0.06313,0.36000,0.10373,0.36000,0.16030,0.36000,-0.02493,0.36000,-0.06502
0.37005,0.37000,-0.92969,0.37000,-0.06707,0.37000,0.10256,0.37000,0.15951,0.37000,-0.02183,0.37000,-0.07502
0.38005,0.38000,-0.92900,0.38000,-0.07083,0.38000,0.10130,0.38000,0.15880,0.38000,-0.01865,0.38000,-0.08574
0.39005,0.39000,-0.92789,0.39000,-0.07431,0.39000,0.09994,0.39000,0.15828,0.39000,-0.01532,0.39000,-0.09704
0.40005,0.40000,-0.92632,0.40000,-0.07741,0.40000,0.09844,0.40000,0.15808,0.40000,-0.01172,0.40000,-0.10871
0.41006,0.41000,-0.92426,0.41000,-0.08010,0.41000,0.09681,0.41000,0.15829,0.41000,-0.00778,0.41000,-0.12050
0.42006,0.42000,-0.92168,0.42000,-0.08234,0.42000,0.09503,0.42000,0.15898,0.42000,-0.00343,0.42000,-0.13214
0.43006,0.43000,-0.91857,0.43000,-0.08412,0.43000,0.09314,0.43000,0.16020,0.43000,0.00141,0.43000,-0.14337
0.44006,0.44000,-0.91489,0.44000,-0.08544,0.44000,0.09117,0.44000,0.16194,0.44000,0.00676,0.44000,-0.15396
0.45006,0.45000,-0.91063,0.45000,-0.08630,0.45000,0.08916,0.45000,0.16418,0.45000,0.01263,0.45000,-0.16371
0.46006,0.46000,-0.90578,0.46000,-0.08669,0.46000,0.08719,0.46000,0.16687,0.46000,0.01897,0.46000,-0.17248
0.47006,0.47000,-0.90036,0.47000,-0.08663,0.47000,0.08532,0.47000,0.16996,0.47000,0.02568,0.47000,-0.18016
0.48006,0.48000,-0.89442,0.48000,-0.08610,0.48000,0.08364,0.48000,0.17336,0.48000,0.03260,0.48000,-0.18666
0.49007,0.49000,-0.88803,0.49000,-0.08512,0.49000,0.08221,0.49000,0.17700,0.49000,0.03956,0.49000,-0.19196
0.50007,0.50000,-0.88131,0.50000,-0.08371,0.50000,0.08108,0.50000,0.18079,0.50000,0.04634,0.50000,-0.19603
0.51007,0.51000,-0.87440,0.51000,-0.08190,0.51000,0.08030,0.51000,0.18465,0.51000,0.05276,0.51000,-0.19891
0.52007,0.52000,-0.86747,0.52000,-0.07972,0.52000,0.07987,0.52000,0.18851,0.52000,0.05865,0.52000,-0.20066
0.53007,0.53000,-0.86068,0.53000,-0.07723,0.53000,0.07978,0.53000,0.19231,0.53000,0.06391,0.53000,-0.20140
0.54007,0.54000,-0.85420,0.54000,-0.07450,0.54000,0.07996,0.54000,0.19601,0.54000,0.06848,0.54000,-0.20129
0.55007,0.55000,-0.84816,0.55000,-0.07160,0.55000,0.08035,0.55000,0.19958,0.55000,0.07238,0.55000,-0.20056
0.56008,0.56000,-0.84266,0.56000,-0.06860,0.56000,0.08086,0.56000,0.20303,0.56000,0.07565,0.56000,-0.19950
0.57008,0.57000,-0.83776,0.57000,-0.06557,0.57000,0.08139,0.57000,0.20634,0.57000,0.07838,0.57000,-0.19840
0.58008,0.58000,-0.83349,0.58000,-0.06259,0.58000,0.08184,0.58000,0.20952,0.58000,0.08070,0.58000,-0.19758
0.59008,0.59000,-0.82982,0.59000,-0.05974,0.59000,0.08214,0.59000,0.21256,0.59000,0.08272,0.59000,-0.19735
0.60008,0.60000,-0.82670,0.60000,-0.05710,0.60000,0.08221,0.60000,0.21544,0.60000,0.08457,0.60000,-0.19795
0.61008,0.61000,-0.82404,0.61000,-0.05475,0.61000,0.08203,0.61000,0.21816,0.61000,0.08637,0.61000,-0.19960
0.62008,0.62000,-0.82176,0.62000,-0.05277,0.62000,0.08158,0.62000,0.22067,0.62000,0.08823,0.62000,-0.20240
0.63009,0.63000,-0.81975,0.63000,-0.05125,0.63000,0.08086,0.63000,0.22292,0.63000,0.09024,0.63000,-0.20638
0.64009,0.64000,-0.81792,0.64000,-0.05028,0.64000,0.07991,0.64000,0.22488,0.64000,0.09244,0.64000,-0.21148
0.65009,0.65000,-0.81617,0.65000,-0.04995,0.65000,0.07878,0.65000,0.22648,0.65000,0.09490,0.65000,-0.21757
0.66009,0.66000,-0.81439,0.66000,-0.05036,0.66000,0.07754,0.66000,0.22767,0.66000,0.09762,0.66000,-0.22444
0.67009,0.67000,-0.81249,0.67000,-0.05158,0.67000,0.07625,0.67000,0.22838,0.67000,0.10058,0.67000,-0.23186
0.68009,0.68000,-0.81037,0.68000,-0.05370,0.68000,0.07501,0.68000,0.22853,0.68000,0.10377,0.68000,-0.23958
0.69009,0.69000,-0.80794,0.69000,-0.05675,0.69000,0.07389,0.69000,0.22807,0.69000,0.10714,0.69000,-0.24735
0.70009,0.70000,-0.80508,0.70000,-0.06076,0.70000,0.07295,0.70000,0.22693,0.70000,0.11063,0.70000,-0.25498
0.71010,0.71000,-0.80169,0.71000,-0.06573,0.71000,0.07226,0.71000,0.22506,0.71000,0.11416,0.71000,-0.26231
0.72010,0.72000,-0.79764,0.72000,-0.07164,0.72000,0.07184,0.72000,0.22242,0.72000,0.11767,0.72000,-0.26924
0.73010,0.73000,-0.79284,0.73000,-0.07841,0.73000,0.07170,0.73000,0.21902,0.73000,0.12107,0.73000,-0.27573
0.74010,0.74000,-0.78719,0.74000,-0.08595,0.74000,0.07181,0.74000,0.21487,0.74000,0.12426,0.74000,-0.28178
0.75010,0.75000,-0.78061,0.75000,-0.09413,0.75000,0.07213,0.75000,0.21004,0.75000,0.12713,0.75000,-0.28743
