Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-7.18431,0.00000,0.32675,0.00000,-0.55819,0.00000,1.79735,0.00000,1.21221,0.00000,0.38139
0.01000,0.01000,-7.18660,0.01000,0.32805,0.01000,-0.55982,0.01000,1.79904,0.01000,1.22154,0.01000,0.37797
0.02000,0.02000,-7.18947,0.02000,0.32938,0.02000,-0.56156,0.02000,1.80095,0.02000,1.22264,0.02000,0.37404
0.03001,0.03000,-7.19293,0.03000,0.33066,0.03000,-0.56338,0.03000,1.80304,0.03000,1.21953,0.03000,0.36974
0.04001,0.04000,-7.19700,0.04000,0.33185,0.04000,-0.56524,0.04000,1.80524,0.04000,1.21503,0.04000,0.36529
0.05001,0.05000,-7.20164,0.05000,0.33289,0.05000,-0.56712,0.05000,1.80747,0.05000,1.20543,0.05000,0.36096
0.06001,0.06000,-7.20680,0.06000,0.33376,0.06000,-0.56899,0.06000,1.80967,0.06000,1.19705,0.06000,0.35707
0.07001,0.07000,-7.21241,0.07000,0.33446,0.07000,-0.57088,0.07000,1.81174,0.07000,1.19659,0.07000,0.35393
0.08001,0.08000,-7.21837,0.08000,0.33503,0.08000,-0.57281,0.08000,1.81360,0.08000,1.19952,0.08000,0.35186
0.09001,0.09000,-7.22457,0.09000,0.33553,0.09000,-0.57477,0.09000,1.81517,0.09000,1.20567,0.09000,0.35113
0.10002,0.10000,-7.23089,0.10000,0.33604,0.10000,-0.57680,0.10000,1.81635,0.10000,1.20865,0.10000,0.35194
