Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-1.40828,0.00000,0.20845,0.00000,-3.81143,0.00000,-0.31466,0.00000,-7.03502,0.00000,3.78337
0.01000,0.01000,-1.40968,0.01000,0.20906,0.01000,-3.81201,0.01000,-0.31459,0.01000,-7.02611,0.01000,3.78151
0.02000,0.02000,-1.41128,0.02000,0.20995,0.02000,-3.81266,0.02000,-0.31428,0.02000,-7.01560,0.02000,3.77820
0.03001,0.03000,-1.41306,0.03000,0.21120,0.03000,-3.81337,0.03000,-0.31368,0.03000,-7.00360,0.03000,3.77315
0.04001,0.04000,-1.41498,0.04000,0.21285,0.04000,-3.81408,0.04000,-0.31277,0.04000,-6.99029,0.04000,3.76613
0.05001,0.05000,-1.41703,0.05000,0.21497,0.05000,-3.81473,0.05000,-0.31154,0.05000,-6.97590,0.05000,3.75699
0.06001,0.06000,-1.41915,0.06000,0.21760,0.06000,-3.81525,0.06000,-0.31002,0.06000,-6.96073,0.06000,3.74564
0.07001,0.07000,-1.42130,0.07000,0.22079,0.07000,-3.81559,0.07000,-0.30822,0.07000,-6.94513,0.07000,3.73212
0.08001,0.08000,-1.42343,0.08000,0.22456,0.08000,-3.81565,0.08000,-0.30620,0.08000,-6.92952,0.08000,3.71653
0.09001,0.09000,-1.42545,0.09000,0.22891,0.09000,-3.81538,0.09000,-0.30400,0.09000,-6.91434,0.09000,3.69903
0.10002,0.10000,-1.42728,0.10000,0.23385,0.10000,-3.81474,0.10000,-0.30163,0.10000,-6.90004,0.10000,3.67987
0.11002,0.11000,-1.42885,0.11000,0.23936,0.11000,-3.81369,0.11000,-0.29911,0.11000,-6.88703,0.11000,3.65930
0.12002,0.12000,-1.43006,0.12000,0.24539,0.12000,-3.81221,0.12000,-0.29644,0.12000,-6.87563,0.12000,3.63760
0.13002,0.13000,-1.43083,0.13000,0.25190,0.13000,-3.81029,0.13000,-0.29357,0.13000,-6.86608,0.13000,3.61503
0.14002,0.14000,-1.43110,0.14000,0.25885,0.14000,-3.80794,0.14000,-0.29046,0.14000,-6.85851,0.14000,3.59184
0.15002,0.15000,-1.43083,0.15000,0.26618,0.15000,-3.80517,0.15000,-0.28704,0.15000,-6.85290,0.15000,3.56823
0.16002,0.16000,-1.42999,0.16000,0.27384,0.16000,-3.80197,0.16000,-0.28324,0.16000,-6.84917,0.16000,3.54439
0.17003,0.17000,-1.42857,0.17000,0.28179,0.17000,-3.79837,0.17000,-0.27897,0.17000,-6.84712,0.17000,3.52044
0.18003,0.18000,-1.42660,0.18000,0.28998,0.18000,-3.79437,0.18000,-0.27420,0.18000,-6.84653,0.18000,3.49650
0.19003,0.19000,-1.42410,0.19000,0.29837,0.19000,-3.78998,0.19000,-0.26885,0.19000,-6.84713,0.19000,3.47265
0.20003,0.20000,-1.42112,0.20000,0.30694,0.20000,-3.78520,0.20000,-0.26291,0.20000,-6.84867,0.20000,3.44896
0.21003,0.21000,-1.41770,0.21000,0.31567,0.21000,-3.78001,0.21000,-0.25636,0.21000,-6.85096,0.21000,3.42551
0.22003,0.22000,-1.41391,0.22000,0.32455,0.22000,-3.77440,0.22000,-0.24918,0.22000,-6.85383,0.22000,3.40241
0.23004,0.23000,-1.40979,0.23000,0.33355,0.23000,-3.76837,0.23000,-0.24140,0.23000,-6.85720,0.23000,3.37978
0.24004,0.24000,-1.40541,0.24000,0.34269,0.24000,-3.76190,0.24000,-0.23305,0.24000,-6.86104,0.24000,3.35777
0.25004,0.25000,-1.40078,0.25000,0.35195,0.25000,-3.75499,0.25000,-0.22418,0.25000,-6.86535,0.25000,3.33657
0.26004,0.26000,-1.39595,0.26000,0.36135,0.26000,-3.74766,0.26000,-0.21485,0.26000,-6.87014,0.26000,3.31638
0.27004,0.27000,-1.39091,0.27000,0.37090,0.27000,-3.73993,0.27000,-0.20516,0.27000,-6.87544,0.27000,3.29743
0.28004,0.28000,-1.38566,0.28000,0.38061,0.28000,-3.73183,0.28000,-0.19520,0.28000,-6.88126,0.28000,3.27992
0.29004,0.29000,-1.38019,0.29000,0.39049,0.29000,-3.72339,0.29000,-0.18512,0.29000,-6.88761,0.29000,3.26406
0.30005,0.30000,-1.37447,0.30000,0.40057,0.30000,-3.71467,0.30000,-0.17504,0.30000,-6.89445,0.30000,3.24998
0.31005,0.31000,-1.36846,0.31000,0.41085,0.31000,-3.70573,0.31000,-0.16510,0.31000,-6.90171,0.31000,3.23780
0.32005,0.32000,-1.36211,0.32000,0.42140,0.32000,-3.69661,0.32000,-0.15543,0.32000,-6.90926,0.32000,3.22756
0.33005,0.33000,-1.35536,0.33000,0.43227,0.33000,-3.68737,0.33000,-0.14616,0.33000,-6.91697,0.33000,3.21930
0.34005,0.34000,-1.34815,0.34000,0.44357,0.34000,-3.67806,0.34000,-0.13737,0.34000,-6.92468,0.34000,3.21303
0.35005,0.35000,-1.34038,0.35000,0.45540,0.35000,-3.66873,0.35000,-0.12913,0.35000,-6.93223,0.35000,3.20878
0.36005,0.36000,-1.33196,0.36000,0.46792,0.36000,-3.65943,0.36000,-0.12145,0.36000,-6.93944,0.36000,3.20660
0.37006,0.37000,-1.32279,0.37000,0.48129,0.37000,-3.65022,0.37000,-0.11428,0.37000,-6.94618,0.37000,3.20651
0.38006,0.38000,-1.31275,0.38000,0.49565,0.38000,-3.64115,0.38000,-0.10753,0.38000,-6.95232,0.38000,3.20855
0.39006,0.39000,-1.30171,0.39000,0.51116,0.39000,-3.63229,0.39000,-0.10108,0.39000,-6.95775,0.39000,3.21270
0.40006,0.40000,-1.28957,0.40000,0.52793,0.40000,-3.62371,0.40000,-0.09475,0.40000,-6.96236,0.40000,3.21889
0.41006,0.41000,-1.27623,0.41000,0.54601,0.41000,-3.61550,0.41000,-0.08839,0.41000,-6.96608,0.41000,3.22699
0.42006,0.42000,-1.26163,0.42000,0.56543,0.42000,-3.60773,0.42000,-0.08183,0.42000,-6.96885,0.42000,3.23678
0.43007,0.43000,-1.24572,0.43000,0.58613,0.43000,-3.60049,0.43000,-0.07494,0.43000,-6.97060,0.43000,3.24796
0.44007,0.44000,-1.22852,0.44000,0.60799,0.44000,-3.59382,0.44000,-0.06762,0.44000,-6.97129,0.44000,3.26016
0.45007,0.45000,-1.21008,0.45000,0.63085,0.45000,-3.58778,0.45000,-0.05985,0.45000,-6.97089,0.45000,3.27296
0.46007,0.46000,-1.19048,0.46000,0.65450,0.46000,-3.58238,0.46000,-0.05162,0.46000,-6.96940,0.46000,3.28592
0.47007,0.47000,-1.16986,0.47000,0.67870,0.47000,-3.57761,0.47000,-0.04301,0.47000,-6.96682,0.47000,3.29861
