Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.53461,0.00000,-0.06901,0.00000,-0.24408
0.01000,0.01000,-0.53449,0.01000,-0.07021,0.01000,-0.24684
0.02000,0.02000,-0.53378,0.02000,-0.07144,0.02000,-0.24962
0.03000,0.03000,-0.53238,0.03000,-0.07258,0.03000,-0.25225
0.04001,0.04000,-0.53023,0.04000,-0.07351,0.04000,-0.25453
0.05001,0.05000,-0.52735,0.05000,-0.07411,0.05000,-0.25626
0.06001,0.06000,-0.52386,0.06000,-0.07425,0.06000,-0.25728
0.07001,0.07000,-0.51995,0.07000,-0.07380,0.07000,-0.25748
0.08001,0.08000,-0.51595,0.08000,-0.07266,0.08000,-0.25680
0.09001,0.09000,-0.51226,0.09000,-0.07073,0.09000,-0.25526
0.10002,0.10000,-0.50938,0.10000,-0.06795,0.10000,-0.25293
0.11002,0.11000,-0.50788,0.11000,-0.06425,0.11000,-0.24994
0.12002,0.12000,-0.50833,0.12000,-0.05956,0.12000,-0.24646
0.13002,0.13000,-0.51131,0.13000,-0.05382,0.13000,-0.24265
0.14002,0.14000,-0.51733,0.14000,-0.04695,0.14000,-0.23865
0.15002,0.15000,-0.52678,0.15000,-0.03886,0.15000,-0.23457
0.16002,0.16000,-0.53993,0.16000,-0.02946,0.16000,-0.23042
0.17003,0.17000,-0.55686,0.17000,-0.01862,0.17000,-0.22620
0.18003,0.18000,-0.57747,0.18000,-0.00627,0.18000,-0.22179
0.19003,0.19000,-0.60148,0.19000,0.00766,0.19000,-0.21703
0.20003,0.20000,-0.62844,0.20000,0.02317,0.20000,-0.21175
0.21003,0.21000,-0.65781,0.21000,0.04019,0.21000,-0.20578
0.22003,0.22000,-0.68892,0.22000,0.05859,0.22000,-0.19896
0.23003,0.23000,-0.72109,0.23000,0.07813,0.23000,-0.19125
0.24004,0.24000,-0.75360,0.24000,0.09854,0.24000,-0.18264
0.25004,0.25000,-0.78579,0.25000,0.11948,0.25000,-0.17323
0.26004,0.26000,-0.81708,0.26000,0.14060,0.26000,-0.16319
0.27004,0.27000,-0.84696,0.27000,0.16153,0.27000,-0.15274
0.28004,0.28000,-0.87502,0.28000,0.18196,0.28000,-0.14214
0.29004,0.29000,-0.90096,0.29000,0.20159,0.29000,-0.13166
0.30004,0.30000,-0.92458,0.30000,0.22018,0.30000,-0.12156
0.31005,0.31000,-0.94573,0.31000,0.23756,0.31000,-0.11209
0.32005,0.32000,-0.96435,0.32000,0.25358,0.32000,-0.10350
0.33005,0.33000,-0.98039,0.33000,0.26820,0.33000,-0.09596
0.34005,0.34000,-0.99385,0.34000,0.28138,0.34000,-0.08967
0.35005,0.35000,-1.00474,0.35000,0.29314,0.35000,-0.08475
0.36005,0.36000,-1.01309,0.36000,0.30352,0.36000,-0.08129
0.37005,0.37000,-1.01896,0.37000,0.31260,0.37000,-0.07936
0.38006,0.38000,-1.02247,0.38000,0.32044,0.38000,-0.07896
0.39006,0.39000,-1.02376,0.39000,0.32713,0.39000,-0.08005
0.40006,0.40000,-1.02306,0.40000,0.33275,0.40000,-0.08255
0.41006,0.41000,-1.02063,0.41000,0.33736,0.41000,-0.08632
0.42006,0.42000,-1.01681,0.42000,0.34104,0.42000,-0.09120
0.43006,0.43000,-1.01198,0.43000,0.34385,0.43000,-0.09699
0.44007,0.44000,-1.00654,0.44000,0.34587,0.44000,-0.10343
0.45007,0.45000,-1.00095,0.45000,0.34716,0.45000,-0.11027
0.46007,0.46000,-0.99563,0.46000,0.34783,0.46000,-0.11724
0.47007,0.47000,-0.99101,0.47000,0.34800,0.47000,-0.12406
0.48007,0.48000,-0.98749,0.48000,0.34779,0.48000,-0.13047
0.49007,0.49000,-0.98542,0.49000,0.34735,0.49000,-0.13626
0.50007,0.50000,-0.98509,0.50000,0.34684,0.50000,-0.14126
0.51008,0.51000,-0.98671,0.51000,0.34642,0.51000,-0.14540
0.52008,0.52000,-0.99045,0.52000,0.34622,0.52000,-0.14866
0.53008,0.53000,-0.99634,0.53000,0.34640,0.53000,-0.15114
0.54008,0.54000,-1.00436,0.54000,0.34704,0.54000,-0.15298
0.55008,0.55000,-1.01439,0.55000,0.34825,0.55000,-0.15439
0.56008,0.56000,-1.02620,0.56000,0.35010,0.56000,-0.15563
0.57008,0.57000,-1.03950,0.57000,0.35261,0.57000,-0.15692
0.58009,0.58000,-1.05393,0.58000,0.35581,0.58000,-0.15848
0.59009,0.59000,-1.06905,0.59000,0.35966,0.59000,-0.16049
0.60009,0.60000,-1.08443,0.60000,0.36408,0.60000,-0.16310
0.61009,0.61000,-1.09961,0.61000,0.36895,0.61000,-0.16639
0.62009,0.62000,-1.11416,0.62000,0.37409,0.62000,-0.17044
0.63009,0.63000,-1.12769,0.63000,0.37929,0.63000,-0.17532
0.64009,0.64000,-1.13986,0.64000,0.38430,0.64000,-0.18108
0.65010,0.65000,-1.15039,0.65000,0.38888,0.65000,-0.18779
0.66010,0.66000,-1.15908,0.66000,0.39277,0.66000,-0.19549
0.67010,0.67000,-1.16577,0.67000,0.39580,0.67000,-0.20418
0.68010,0.68000,-1.17033,0.68000,0.39783,0.68000,-0.21383
0.69010,0.69000,-1.17268,0.69000,0.39881,0.69000,-0.22429
