Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.42192,0.00000,0.26942,0.00000,-0.15469,0.00000,-0.19335,0.00000,-1.18469,0.00000,-0.08150
0.01000,0.01000,0.42099,0.01000,0.26801,0.01000,-0.15512,0.01000,-0.19274,0.01000,-1.18644,0.01000,-0.08275
0.02000,0.02000,0.41954,0.02000,0.26625,0.02000,-0.15592,0.02000,-0.19205,0.02000,-1.19280,0.02000,-0.08437
0.03000,0.03000,0.41747,0.03000,0.26411,0.03000,-0.15715,0.03000,-0.19129,0.03000,-1.20198,0.03000,-0.08629
0.04001,0.04000,0.41465,0.04000,0.26161,0.04000,-0.15889,0.04000,-0.19046,0.04000,-1.21110,0.04000,-0.08837
0.05001,0.05000,0.41102,0.05000,0.25876,0.05000,-0.16117,0.05000,-0.18956,0.05000,-1.21720,0.05000,-0.09045
0.06001,0.06000,0.40652,0.06000,0.25559,0.06000,-0.16402,0.06000,-0.18859,0.06000,-1.21666,0.06000,-0.09231
0.07001,0.07000,0.40113,0.07000,0.25212,0.07000,-0.16739,0.07000,-0.18750,0.07000,-1.21190,0.07000,-0.09372
0.08001,0.08000,0.39490,0.08000,0.24840,0.08000,-0.17124,0.08000,-0.18629,0.08000,-1.20681,0.08000,-0.09447
0.09001,0.09000,0.38793,0.09000,0.24447,0.09000,-0.17544,0.09000,-0.18491,0.09000,-1.20490,0.09000,-0.09434
0.10001,0.10000,0.38039,0.10000,0.24038,0.10000,-0.17985,0.10000,-0.18333,0.10000,-1.20740,0.10000,-0.09318
0.11001,0.11000,0.37247,0.11000,0.23620,0.11000,-0.18432,0.11000,-0.18154,0.11000,-1.21296,0.11000,-0.09087
0.12002,0.12000,0.36440,0.12000,0.23201,0.12000,-0.18865,0.12000,-0.17952,0.12000,-1.22217,0.12000,-0.08733
0.13002,0.13000,0.35644,0.13000,0.22787,0.13000,-0.19267,0.13000,-0.17729,0.13000,-1.22955,0.13000,-0.08258
0.14002,0.14000,0.34882,0.14000,0.22387,0.14000,-0.19618,0.14000,-0.17486,0.14000,-1.23190,0.14000,-0.07667
0.15002,0.15000,0.34172,0.15000,0.22007,0.15000,-0.19905,0.15000,-0.17228,0.15000,-1.22549,0.15000,-0.06976
0.16002,0.16000,0.33527,0.16000,0.21652,0.16000,-0.20114,0.16000,-0.16958,0.16000,-1.21790,0.16000,-0.06205
0.17002,0.17000,0.32952,0.17000,0.21324,0.17000,-0.20239,0.17000,-0.16682,0.17000,-1.21053,0.17000,-0.05384
0.18002,0.18000,0.32442,0.18000,0.21023,0.18000,-0.20277,0.18000,-0.16407,0.18000,-1.20427,0.18000,-0.04548
0.19002,0.19000,0.31984,0.19000,0.20748,0.19000,-0.20232,0.19000,-0.16137,0.19000,-1.19238,0.19000,-0.03732
0.20003,0.20000,0.31554,0.20000,0.20492,0.20000,-0.20114,0.20000,-0.15879,0.20000,-1.17495,0.20000,-0.02976
0.21003,0.21000,0.31122,0.21000,0.20251,0.21000,-0.19938,0.21000,-0.15637,0.21000,-1.15086,0.21000,-0.02315
0.22003,0.22000,0.30653,0.22000,0.20014,0.22000,-0.19724,0.22000,-0.15414,0.22000,-1.12665,0.22000,-0.01778
0.23003,0.23000,0.30110,0.23000,0.19775,0.23000,-0.19495,0.23000,-0.15210,0.23000,-1.10293,0.23000,-0.01387
0.24003,0.24000,0.29457,0.24000,0.19523,0.24000,-0.19274,0.24000,-0.15024,0.24000,-1.08137,0.24000,-0.01155
0.25003,0.25000,0.28664,0.25000,0.19250,0.25000,-0.19087,0.25000,-0.14852,0.25000,-1.06429,0.25000,-0.01082
0.26003,0.26000,0.27708,0.26000,0.18947,0.26000,-0.18953,0.26000,-0.14689,0.26000,-1.04469,0.26000,-0.01158
0.27003,0.27000,0.26578,0.27000,0.18607,0.27000,-0.18888,0.27000,-0.14528,0.27000,-1.02057,0.27000,-0.01365
0.28004,0.28000,0.25280,0.28000,0.18226,0.28000,-0.18902,0.28000,-0.14359,0.28000,-0.98949,0.28000,-0.01673
0.29004,0.29000,0.23833,0.29000,0.17800,0.29000,-0.18995,0.29000,-0.14174,0.29000,-0.95828,0.29000,-0.02050
0.30004,0.30000,0.22275,0.30000,0.17329,0.30000,-0.19157,0.30000,-0.13964,0.30000,-0.91752,0.30000,-0.02456
0.31004,0.31000,0.20659,0.31000,0.16815,0.31000,-0.19372,0.31000,-0.13722,0.31000,-0.87193,0.31000,-0.02853
0.32004,0.32000,0.19050,0.32000,0.16264,0.32000,-0.19614,0.32000,-0.13440,0.32000,-0.84198,0.32000,-0.03204
0.33004,0.33000,0.17518,0.33000,0.15685,0.33000,-0.19856,0.33000,-0.13118,0.33000,-0.83307,0.33000,-0.03479
0.34004,0.34000,0.16129,0.34000,0.15090,0.34000,-0.20068,0.34000,-0.12756,0.34000,-0.83503,0.34000,-0.03660
0.35004,0.35000,0.14941,0.35000,0.14494,0.35000,-0.20224,0.35000,-0.12359,0.35000,-0.86099,0.35000,-0.03740
0.36005,0.36000,0.13994,0.36000,0.13911,0.36000,-0.20305,0.36000,-0.11937,0.36000,-0.89574,0.36000,-0.03727
0.37005,0.37000,0.13307,0.37000,0.13360,0.37000,-0.20299,0.37000,-0.11499,0.37000,-0.92108,0.37000,-0.03642
0.38005,0.38000,0.12876,0.38000,0.12856,0.38000,-0.20200,0.38000,-0.11058,0.38000,-0.92979,0.38000,-0.03515
0.39005,0.39000,0.12679,0.39000,0.12415,0.39000,-0.20014,0.39000,-0.10628,0.39000,-0.91799,0.39000,-0.03377
0.40005,0.40000,0.12676,0.40000,0.12048,0.40000,-0.19750,0.40000,-0.10219,0.40000,-0.88813,0.40000,-0.03261
0.41005,0.41000,0.12818,0.41000,0.11764,0.41000,-0.19425,0.41000,-0.09842,0.41000,-0.85493,0.41000,-0.03193
0.42005,0.42000,0.13051,0.42000,0.11567,0.42000,-0.19059,0.42000,-0.09504,0.42000,-0.83032,0.42000,-0.03188
0.43005,0.43000,0.13324,0.43000,0.11457,0.43000,-0.18672,0.43000,-0.09208,0.43000,-0.82200,0.43000,-0.03251
0.44006,0.44000,0.13591,0.44000,0.11427,0.44000,-0.18285,0.44000,-0.08954,0.44000,-0.81937,0.44000,-0.03376
0.45006,0.45000,0.13814,0.45000,0.11466,0.45000,-0.17917,0.45000,-0.08739,0.45000,-0.81227,0.45000,-0.03548
0.46006,0.46000,0.13966,0.46000,0.11559,0.46000,-0.17582,0.46000,-0.08555,0.46000,-0.80479,0.46000,-0.03743
0.47006,0.47000,0.14029,0.47000,0.11686,0.47000,-0.17288,0.47000,-0.08395,0.47000,-0.80029,0.47000,-0.03939
0.48006,0.48000,0.13996,0.48000,0.11827,0.48000,-0.17038,0.48000,-0.08250,0.48000,-0.79725,0.48000,-0.04114
0.49006,0.49000,0.13871,0.49000,0.11961,0.49000,-0.16827,0.49000,-0.08112,0.49000,-0.80433,0.49000,-0.04254
0.50006,0.50000,0.13662,0.50000,0.12068,0.50000,-0.16649,0.50000,-0.07976,0.50000,-0.81600,0.50000,-0.04351
0.51006,0.51000,0.13382,0.51000,0.12130,0.51000,-0.16493,0.51000,-0.07835,0.51000,-0.82625,0.51000,-0.04409
0.52006,0.52000,0.13050,0.52000,0.12134,0.52000,-0.16349,0.52000,-0.07688,0.52000,-0.83176,0.52000,-0.04437
0.53007,0.53000,0.12684,0.53000,0.12073,0.53000,-0.16207,0.53000,-0.07535,0.53000,-0.83263,0.53000,-0.04452
0.54007,0.54000,0.12304,0.54000,0.11943,0.54000,-0.16060,0.54000,-0.07375,0.54000,-0.82754,0.54000,-0.04472
0.55007,0.55000,0.11931,0.55000,0.11749,0.55000,-0.15901,0.55000,-0.07211,0.55000,-0.81780,0.55000,-0.04515
0.56007,0.56000,0.11581,0.56000,0.11500,0.56000,-0.15728,0.56000,-0.07046,0.56000,-0.80763,0.56000,-0.04595
0.57007,0.57000,0.11272,0.57000,0.11209,0.57000,-0.15538,0.57000,-0.06882,0.57000,-0.79759,0.57000,-0.04722
0.58007,0.58000,0.11016,0.58000,0.10895,0.58000,-0.15329,0.58000,-0.06721,0.58000,-0.78755,0.58000,-0.04895
0.59007,0.59000,0.10822,0.59000,0.10574,0.59000,-0.15103,0.59000,-0.06566,0.59000,-0.78374,0.59000,-0.05110
0.60007,0.60000,0.10695,0.60000,0.10264,0.60000,-0.14862,0.60000,-0.06420,0.60000,-0.79253,0.60000,-0.05356
0.61008,0.61000,0.10634,0.61000,0.09980,0.61000,-0.14607,0.61000,-0.06284,0.61000,-0.79933,0.61000,-0.05617
0.62008,0.62000,0.10634,0.62000,0.09733,0.62000,-0.14342,0.62000,-0.06161,0.62000,-0.79859,0.62000,-0.05881
0.63008,0.63000,0.10686,0.63000,0.09528,0.63000,-0.14073,0.63000,-0.06049,0.63000,-0.79028,0.63000,-0.06136
0.64008,0.64000,0.10780,0.64000,0.09366,0.64000,-0.13803,0.64000,-0.05949,0.64000,-0.78995,0.64000,-0.06379
0.65008,0.65000,0.10904,0.65000,0.09244,0.65000,-0.13536,0.65000,-0.05859,0.65000,-0.79318,0.65000,-0.06607
0.66008,0.66000,0.11046,0.66000,0.09155,0.66000,-0.13277,0.66000,-0.05775,0.66000,-0.79708,0.66000,-0.06824
0.67008,0.67000,0.11194,0.67000,0.09088,0.67000,-0.13028,0.67000,-0.05695,0.67000,-0.80122,0.67000,-0.07038
0.68008,0.68000,0.11339,0.68000,0.09034,0.68000,-0.12789,0.68000,-0.05613,0.68000,-0.80477,0.68000,-0.07255
