Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.06928,0.00000,0.35852,0.00000,0.54614
0.01001,0.01000,0.07308,0.01000,0.35704,0.01000,0.54763
0.02001,0.02000,0.07720,0.02000,0.35559,0.02000,0.54953
0.03002,0.03000,0.08144,0.03000,0.35424,0.03000,0.55182
0.04002,0.04000,0.08562,0.04000,0.35302,0.04000,0.55446
0.05003,0.05000,0.08954,0.05000,0.35194,0.05000,0.55739
0.06003,0.06000,0.09299,0.06000,0.35099,0.06000,0.56051
0.07004,0.07000,0.09583,0.07000,0.35013,0.07000,0.56369
0.08004,0.08000,0.09795,0.08000,0.34928,0.08000,0.56680
0.09005,0.09000,0.09928,0.09000,0.34836,0.09000,0.56967
0.10005,0.10000,0.09980,0.10000,0.34731,0.10000,0.57216
0.11006,0.11000,0.09954,0.11000,0.34605,0.11000,0.57414
0.12007,0.12000,0.09857,0.12000,0.34452,0.12000,0.57553
0.13007,0.13000,0.09698,0.13000,0.34271,0.13000,0.57629
0.14008,0.14000,0.09487,0.14000,0.34061,0.14000,0.57645
0.15008,0.15000,0.09237,0.15000,0.33825,0.15000,0.57610
0.16009,0.16000,0.08962,0.16000,0.33569,0.16000,0.57538
0.17009,0.17000,0.08675,0.17000,0.33298,0.17000,0.57447
0.18010,0.18000,0.08391,0.18000,0.33023,0.18000,0.57357
0.19010,0.19000,0.08121,0.19000,0.32751,0.19000,0.57285
0.20011,0.20000,0.07877,0.20000,0.32492,0.20000,0.57248
0.21011,0.21000,0.07667,0.21000,0.32254,0.21000,0.57256
0.22012,0.22000,0.07498,0.22000,0.32046,0.22000,0.57314
0.23013,0.23000,0.07374,0.23000,0.31876,0.23000,0.57421
0.24013,0.24000,0.07296,0.24000,0.31750,0.24000,0.57571
0.25014,0.25000,0.07263,0.25000,0.31672,0.25000,0.57751
0.26014,0.26000,0.07271,0.26000,0.31643,0.26000,0.57946
0.27015,0.27000,0.07316,0.27000,0.31665,0.27000,0.58136
0.28015,0.28000,0.07390,0.28000,0.31733,0.28000,0.58301
0.29016,0.29000,0.07488,0.29000,0.31842,0.29000,0.58421
0.30016,0.30000,0.07603,0.30000,0.31980,0.30000,0.58480
0.31017,0.31000,0.07729,0.31000,0.32136,0.31000,0.58468
0.32017,0.32000,0.07863,0.32000,0.32294,0.32000,0.58379
0.33018,0.33000,0.08002,0.33000,0.32441,0.33000,0.58218
