Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-0.11935,0.00000,0.11038,0.00000,-0.40214,0.00000,0.00549,0.00000,0.05558,0.00000,-0.72562
0.01000,0.01000,-0.11830,0.01000,0.10942,0.01000,-0.40049,0.01000,0.00280,0.01000,0.05545,0.01000,-0.72877
0.02000,0.02000,-0.11685,0.02000,0.10846,0.02000,-0.39854,0.02000,-0.00016,0.02000,0.05451,0.02000,-0.73213
0.03000,0.03000,-0.11498,0.03000,0.10760,0.03000,-0.39631,0.03000,-0.00330,0.03000,0.05258,0.03000,-0.73546
0.04001,0.04000,-0.11267,0.04000,0.10695,0.04000,-0.39385,0.04000,-0.00648,0.04000,0.04953,0.04000,-0.73846
0.05001,0.05000,-0.10993,0.05000,0.10660,0.05000,-0.39120,0.05000,-0.00957,0.05000,0.04526,0.05000,-0.74074
0.06001,0.06000,-0.10678,0.06000,0.10665,0.06000,-0.38839,0.06000,-0.01243,0.06000,0.03976,0.06000,-0.74194
0.07001,0.07000,-0.10325,0.07000,0.10719,0.07000,-0.38546,0.07000,-0.01494,0.07000,0.03307,0.07000,-0.74165
0.08001,0.08000,-0.09939,0.08000,0.10825,0.08000,-0.38242,0.08000,-0.01699,0.08000,0.02532,0.08000,-0.73951
0.09001,0.09000,-0.09527,0.09000,0.10984,0.09000,-0.37929,0.09000,-0.01852,0.09000,0.01667,0.09000,-0.73524
0.10002,0.10000,-0.09093,0.10000,0.11195,0.10000,-0.37605,0.10000,-0.01947,0.10000,0.00731,0.10000,-0.72863
0.11002,0.11000,-0.08646,0.11000,0.11452,0.11000,-0.37271,0.11000,-0.01984,0.11000,-0.00257,0.11000,-0.71961
0.12002,0.12000,-0.08189,0.12000,0.11746,0.12000,-0.36925,0.12000,-0.01965,0.12000,-0.01274,0.12000,-0.70826
0.13002,0.13000,-0.07729,0.13000,0.12066,0.13000,-0.36566,0.13000,-0.01896,0.13000,-0.02299,0.13000,-0.69480
0.14002,0.14000,-0.07273,0.14000,0.12400,0.14000,-0.36196,0.14000,-0.01783,0.14000,-0.03312,0.14000,-0.67962
