Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,-1.66398,0.00000,-1.25524,0.00000,0.14692,0.00000,0.23628,0.00000,-0.73312,0.00000,-0.20808
0.01001,0.01000,-1.65535,0.01000,-1.24967,0.01000,0.14846,0.01000,0.23553,0.01000,-0.75033,0.01000,-0.19692
0.02001,0.02000,-1.64473,0.02000,-1.24259,0.02000,0.14989,0.02000,0.23455,0.02000,-0.77164,0.02000,-0.18368
0.03001,0.03000,-1.63212,0.03000,-1.23395,0.03000,0.15110,0.03000,0.23334,0.03000,-0.79677,0.03000,-0.16856
0.04002,0.04000,-1.61759,0.04000,-1.22376,0.04000,0.15203,0.04000,0.23186,0.04000,-0.82516,0.04000,-0.15189
0.05002,0.05000,-1.60124,0.05000,-1.21209,0.05000,0.15263,0.05000,0.23010,0.05000,-0.85601,0.05000,-0.13410
0.06003,0.06000,-1.58324,0.06000,-1.19905,0.06000,0.15290,0.06000,0.22806,0.06000,-0.88838,0.06000,-0.11562
0.07003,0.07000,-1.56377,0.07000,-1.18480,0.07000,0.15284,0.07000,0.22576,0.07000,-0.92130,0.07000,-0.09689
0.08004,0.08000,-1.54300,0.08000,-1.16952,0.08000,0.15249,0.08000,0.22319,0.08000,-0.95388,0.08000,-0.07831
0.09004,0.09000,-1.52114,0.09000,-1.15344,0.09000,0.15190,0.09000,0.22040,0.09000,-0.98537,0.09000,-0.06024
0.10005,0.10000,-1.49839,0.10000,-1.13677,0.10000,0.15110,0.10000,0.21743,0.10000,-1.01516,0.10000,-0.04295
0.11005,0.11000,-1.47495,0.11000,-1.11972,0.11000,0.15011,0.11000,0.21432,0.11000,-1.04280,0.11000,-0.02665
