Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.22845,0.00000,0.05471,0.00000,1.02058
0.01000,0.01000,0.21139,0.01000,0.04600,0.01000,1.00686
0.02000,0.02000,0.18760,0.02000,0.03620,0.02000,0.98911
0.03000,0.03000,0.15623,0.03000,0.02560,0.03000,0.96727
0.04001,0.04000,0.11663,0.04000,0.01453,0.04000,0.94151
0.05001,0.05000,0.06838,0.05000,0.00332,0.05000,0.91222
0.06001,0.06000,0.01144,0.06000,-0.00772,0.06000,0.87998
0.07001,0.07000,-0.05388,0.07000,-0.01839,0.07000,0.84550
0.08001,0.08000,-0.12683,0.08000,-0.02856,0.08000,0.80956
0.09001,0.09000,-0.20625,0.09000,-0.03827,0.09000,0.77297
0.10002,0.10000,-0.29058,0.10000,-0.04766,0.10000,0.73645
0.11002,0.11000,-0.37798,0.11000,-0.05698,0.11000,0.70065
0.12002,0.12000,-0.46645,0.12000,-0.06660,0.12000,0.66609
0.13002,0.13000,-0.55395,0.13000,-0.07690,0.13000,0.63313
0.14002,0.14000,-0.63865,0.14000,-0.08829,0.14000,0.60203
0.15002,0.15000,-0.71902,0.15000,-0.10107,0.15000,0.57289
0.16002,0.16000,-0.79401,0.16000,-0.11543,0.16000,0.54574
0.17003,0.17000,-0.86311,0.17000,-0.13134,0.17000,0.52050
0.18003,0.18000,-0.92639,0.18000,-0.14849,0.18000,0.49706
0.19003,0.19000,-0.98445,0.19000,-0.16627,0.19000,0.47530
0.20003,0.20000,-1.03826,0.20000,-0.18376,0.20000,0.45508
0.21003,0.21000,-1.08904,0.21000,-0.19979,0.21000,0.43631
0.22003,0.22000,-1.13803,0.22000,-0.21302,0.22000,0.41897
0.23003,0.23000,-1.18630,0.23000,-0.22202,0.23000,0.40311
0.24004,0.24000,-1.23460,0.24000,-0.22550,0.24000,0.38889
0.25004,0.25000,-1.28317,0.25000,-0.22237,0.25000,0.37655
0.26004,0.26000,-1.33167,0.26000,-0.21198,0.26000,0.36637
0.27004,0.27000,-1.37917,0.27000,-0.19418,0.27000,0.35864
0.28004,0.28000,-1.42422,0.28000,-0.16939,0.28000,0.35356
0.29004,0.29000,-1.46497,0.29000,-0.13860,0.29000,0.35120
0.30005,0.30000,-1.49943,0.30000,-0.10325,0.30000,0.35147
0.31005,0.31000,-1.52570,0.31000,-0.06511,0.31000,0.35407
0.32005,0.32000,-1.54231,0.32000,-0.02609,0.32000,0.35853
0.33005,0.33000,-1.54842,0.33000,0.01198,0.33000,0.36425
0.34005,0.34000,-1.54408,0.34000,0.04748,0.34000,0.37055
0.35005,0.35000,-1.53029,0.35000,0.07915,0.35000,0.37676
0.36005,0.36000,-1.50904,0.36000,0.10619,0.36000,0.38229
0.37006,0.37000,-1.48313,0.37000,0.12826,0.37000,0.38664
0.38006,0.38000,-1.45601,0.38000,0.14550,0.38000,0.38952
0.39006,0.39000,-1.43140,0.39000,0.15844,0.39000,0.39080
0.40006,0.40000,-1.41300,0.40000,0.16797,0.40000,0.39057
0.41006,0.41000,-1.40411,0.41000,0.17518,0.41000,0.38905
0.42006,0.42000,-1.40736,0.42000,0.18128,0.42000,0.38664
0.43006,0.43000,-1.42441,0.43000,0.18751,0.43000,0.38380
0.44007,0.44000,-1.45588,0.44000,0.19497,0.44000,0.38104
0.45007,0.45000,-1.50124,0.45000,0.20463,0.45000,0.37883
0.46007,0.46000,-1.55890,0.46000,0.21718,0.46000,0.37758
0.47007,0.47000,-1.62634,0.47000,0.23304,0.47000,0.37757
0.48007,0.48000,-1.70035,0.48000,0.25232,0.48000,0.37897
0.49007,0.49000,-1.77727,0.49000,0.27485,0.49000,0.38178
0.50007,0.50000,-1.85335,0.50000,0.30015,0.50000,0.38593
0.51008,0.51000,-1.92497,0.51000,0.32753,0.51000,0.39120
0.52008,0.52000,-1.98894,0.52000,0.35617,0.52000,0.39731
0.53008,0.53000,-2.04271,0.53000,0.38512,0.53000,0.40389
0.54008,0.54000,-2.08450,0.54000,0.41347,0.54000,0.41056
0.55008,0.55000,-2.11336,0.55000,0.44037,0.55000,0.41688
0.56008,0.56000,-2.12917,0.56000,0.46510,0.56000,0.42243
0.57009,0.57000,-2.13250,0.57000,0.48714,0.57000,0.42683
0.58009,0.58000,-2.12446,0.58000,0.50617,0.58000,0.42974
0.59009,0.59000,-2.10656,0.59000,0.52210,0.59000,0.43096
0.60009,0.60000,-2.08046,0.60000,0.53499,0.60000,0.43036
0.61009,0.61000,-2.04782,0.61000,0.54512,0.61000,0.42798
0.62009,0.62000,-2.01017,0.62000,0.55285,0.62000,0.42395
0.63009,0.63000,-1.96879,0.63000,0.55865,0.63000,0.41851
0.64010,0.64000,-1.92470,0.64000,0.56301,0.64000,0.41201
0.65010,0.65000,-1.87867,0.65000,0.56643,0.65000,0.40482
0.66010,0.66000,-1.83126,0.66000,0.56938,0.66000,0.39738
0.67010,0.67000,-1.78288,0.67000,0.57224,0.67000,0.39010
0.68010,0.68000,-1.73391,0.68000,0.57532,0.68000,0.38336
0.69010,0.69000,-1.68475,0.69000,0.57885,0.69000,0.37745
0.70010,0.70000,-1.63585,0.70000,0.58298,0.70000,0.37257
0.71011,0.71000,-1.58777,0.71000,0.58780,0.71000,0.36880
0.72011,0.72000,-1.54114,0.72000,0.59332,0.72000,0.36611
0.73011,0.73000,-1.49663,0.73000,0.59956,0.73000,0.36438
0.74011,0.74000,-1.45488,0.74000,0.60648,0.74000,0.36340
0.75011,0.75000,-1.41647,0.75000,0.61403,0.75000,0.36296
0.76011,0.76000,-1.38184,0.76000,0.62216,0.76000,0.36277
0.77011,0.77000,-1.35124,0.77000,0.63078,0.77000,0.36260
0.78012,0.78000,-1.32476,0.78000,0.63976,0.78000,0.36217
0.79012,0.79000,-1.30227,0.79000,0.64893,0.79000,0.36123
0.80012,0.80000,-1.28351,0.80000,0.65808,0.80000,0.35954
0.81012,0.81000,-1.26809,0.81000,0.66693,0.81000,0.35685
0.82012,0.82000,-1.25555,0.82000,0.67517,0.82000,0.35293
0.83012,0.83000,-1.24541,0.83000,0.68246,0.83000,0.34756
0.84013,0.84000,-1.23716,0.84000,0.68845,0.84000,0.34057
0.85013,0.85000,-1.23030,0.85000,0.69281,0.85000,0.33184
0.86013,0.86000,-1.22437,0.86000,0.69527,0.86000,0.32136
0.87013,0.87000,-1.21886,0.87000,0.69566,0.87000,0.30923
0.88013,0.88000,-1.21333,0.88000,0.69392,0.88000,0.29571
0.89013,0.89000,-1.20730,0.89000,0.69015,0.89000,0.28117
0.90013,0.90000,-1.20035,0.90000,0.68462,0.90000,0.26615
0.91014,0.91000,-1.19209,0.91000,0.67771,0.91000,0.25128
0.92014,0.92000,-1.18223,0.92000,0.66994,0.92000,0.23727
0.93014,0.93000,-1.17057,0.93000,0.66183,0.93000,0.22477
0.94014,0.94000,-1.15702,0.94000,0.65390,0.94000,0.21438
0.95014,0.95000,-1.14163,0.95000,0.64653,0.95000,0.20647
0.96014,0.96000,-1.12457,0.96000,0.63998,0.96000,0.20118
0.97014,0.97000,-1.10611,0.97000,0.63432,0.97000,0.19838
0.98015,0.98000,-1.08662,0.98000,0.62944,0.98000,0.19763
0.99015,0.99000,-1.06654,0.99000,0.62508,0.99000,0.19830
1.00015,1.00000,-1.04631,1.00000,0.62091,1.00000,0.19959
1.01015,1.01000,-1.02638,1.01000,0.61651,1.01000,0.20064
1.02015,1.02000,-1.00714,1.02000,0.61147,1.02000,0.20061
1.03015,1.03000,-0.98890,1.03000,0.60542,1.03000,0.19877
1.04015,1.04000,-0.97190,1.04000,0.59806,1.04000,0.19461
1.05016,1.05000,-0.95626,1.05000,0.58919,1.05000,0.18785
1.06016,1.06000,-0.94200,1.06000,0.57876,1.06000,0.17848
1.07016,1.07000,-0.92910,1.07000,0.56681,1.07000,0.16677
1.08016,1.08000,-0.91747,1.08000,0.55354,1.08000,0.15322
1.09016,1.09000,-0.90700,1.09000,0.53923,1.09000,0.13853
1.10016,1.10000,-0.89754,1.10000,0.52425,1.10000,0.12349
1.11017,1.11000,-0.88895,1.11000,0.50905,1.11000,0.10897
1.12017,1.12000,-0.88104,1.12000,0.49404,1.12000,0.09579
1.13017,1.13000,-0.87359,1.13000,0.47966,1.13000,0.08471
1.14017,1.14000,-0.86635,1.14000,0.46626,1.14000,0.07636
1.15017,1.15000,-0.85897,1.15000,0.45412,1.15000,0.07124
1.16017,1.16000,-0.85111,1.16000,0.44339,1.16000,0.06961
1.17017,1.17000,-0.84238,1.17000,0.43414,1.17000,0.07155
1.18018,1.18000,-0.83243,1.18000,0.42629,1.18000,0.07693
1.19018,1.19000,-0.82094,1.19000,0.41970,1.19000,0.08537
1.20018,1.20000,-0.80771,1.20000,0.41411,1.20000,0.09632
1.21018,1.21000,-0.79265,1.21000,0.40924,1.21000,0.10903
1.22018,1.22000,-0.77582,1.22000,0.40476,1.22000,0.12264
1.23018,1.23000,-0.75744,1.23000,0.40033,1.23000,0.13620
1.24018,1.24000,-0.73789,1.24000,0.39565,1.24000,0.14877
1.25019,1.25000,-0.71765,1.25000,0.39039,1.25000,0.15942
1.26019,1.26000,-0.69729,1.26000,0.38432,1.26000,0.16737
1.27019,1.27000,-0.67741,1.27000,0.37722,1.27000,0.17199
1.28019,1.28000,-0.65860,1.28000,0.36898,1.28000,0.17292
1.29019,1.29000,-0.64137,1.29000,0.35956,1.29000,0.17004
1.30019,1.30000,-0.62612,1.30000,0.34903,1.30000,0.16355
1.31020,1.31000,-0.61308,1.31000,0.33754,1.31000,0.15393
1.32020,1.32000,-0.60231,1.32000,0.32533,1.32000,0.14192
1.33020,1.33000,-0.59367,1.33000,0.31269,1.33000,0.12843
1.34020,1.34000,-0.58685,1.34000,0.29996,1.34000,0.11448
1.35020,1.35000,-0.58140,1.35000,0.28748,1.35000,0.10105
1.36020,1.36000,-0.57674,1.36000,0.27553,1.36000,0.08904
1.37020,1.37000,-0.57228,1.37000,0.26437,1.37000,0.07910
1.38021,1.38000,-0.56745,1.38000,0.25417,1.38000,0.07164
1.39021,1.39000,-0.56170,1.39000,0.24501,1.39000,0.06673
1.40021,1.40000,-0.55463,1.40000,0.23690,1.40000,0.06414
1.41021,1.41000,-0.54593,1.41000,0.22976,1.41000,0.06337
1.42021,1.42000,-0.53542,1.42000,0.22347,1.42000,0.06374
1.43021,1.43000,-0.52305,1.43000,0.21784,1.43000,0.06444
1.44021,1.44000,-0.50890,1.44000,0.21270,1.44000,0.06468
1.45022,1.45000,-0.49317,1.45000,0.20784,1.45000,0.06375
1.46022,1.46000,-0.47613,1.46000,0.20310,1.46000,0.06109
1.47022,1.47000,-0.45815,1.47000,0.19831,1.47000,0.05634
1.48022,1.48000,-0.43962,1.48000,0.19338,1.48000,0.04935
1.49022,1.49000,-0.42096,1.49000,0.18822,1.49000,0.04016
1.50022,1.50000,-0.40255,1.50000,0.18280,1.50000,0.02902
1.51022,1.51000,-0.38470,1.51000,0.17708,1.51000,0.01633
1.52023,1.52000,-0.36763,1.52000,0.17105,1.52000,0.00260
1.53023,1.53000,-0.35145,1.53000,0.16471,1.53000,-0.01155
1.54023,1.54000,-0.33612,1.54000,0.15804,1.54000,-0.02548
1.55023,1.55000,-0.32153,1.55000,0.15104,1.55000,-0.03852
1.56023,1.56000,-0.30746,1.56000,0.14377,1.56000,-0.05003
1.57023,1.57000,-0.29364,1.57000,0.13627,1.57000,-0.05942
1.58024,1.58000,-0.27981,1.58000,0.12870,1.58000,-0.06619
1.59024,1.59000,-0.26570,1.59000,0.12124,1.59000,-0.06991
1.60024,1.60000,-0.25109,1.60000,0.11416,1.60000,-0.07027
1.61024,1.61000,-0.23582,1.61000,0.10774,1.61000,-0.06705
1.62024,1.62000,-0.21977,1.62000,0.10223,1.62000,-0.06021
1.63024,1.63000,-0.20285,1.63000,0.09783,1.63000,-0.04983
1.64024,1.64000,-0.18500,1.64000,0.09458,1.64000,-0.03620
1.65025,1.65000,-0.16617,1.65000,0.09241,1.65000,-0.01977
1.66025,1.66000,-0.14633,1.66000,0.09108,1.66000,-0.00115
1.67025,1.67000,-0.12549,1.67000,0.09024,1.67000,0.01887
1.68025,1.68000,-0.10370,1.68000,0.08948,1.68000,0.03944
1.69025,1.69000,-0.08113,1.69000,0.08839,1.69000,0.05961
1.70025,1.70000,-0.05807,1.70000,0.08660,1.70000,0.07848
1.71025,1.71000,-0.03494,1.71000,0.08382,1.71000,0.09515
1.72026,1.72000,-0.01233,1.72000,0.07988,1.72000,0.10887
1.73026,1.73000,0.00908,1.73000,0.07475,1.73000,0.11904
1.74026,1.74000,0.02856,1.74000,0.06851,1.74000,0.12526
1.75026,1.75000,0.04537,1.75000,0.06137,1.75000,0.12737
1.76026,1.76000,0.05889,1.76000,0.05358,1.76000,0.12544
1.77026,1.77000,0.06868,1.77000,0.04546,1.77000,0.11979
1.78026,1.78000,0.07454,1.78000,0.03730,1.78000,0.11088
1.79027,1.79000,0.07656,1.79000,0.02939,1.79000,0.09936
1.80027,1.80000,0.07518,1.80000,0.02193,1.80000,0.08595
1.81027,1.81000,0.07108,1.81000,0.01507,1.81000,0.07140
1.82027,1.82000,0.06521,1.82000,0.00889,1.82000,0.05647
1.83027,1.83000,0.05866,1.83000,0.00340,1.83000,0.04185
