Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.09722,0.00000,0.04119,0.00000,-0.00722,0.00000,-0.02413,0.00000,-0.06387,0.00000,0.05920
0.01001,0.01000,0.09636,0.01000,0.04047,0.01000,-0.00802,0.01000,-0.02426,0.01000,-0.07419,0.01000,0.05502
0.02001,0.02000,0.09551,0.02000,0.03969,0.02000,-0.00884,0.02000,-0.02437,0.02000,-0.08470,0.02000,0.04951
0.03002,0.03000,0.09472,0.03000,0.03891,0.03000,-0.00963,0.03000,-0.02446,0.03000,-0.09130,0.03000,0.04260
0.04003,0.04000,0.09407,0.04000,0.03815,0.04000,-0.01035,0.04000,-0.02453,0.04000,-0.09232,0.04000,0.03424
0.05004,0.05000,0.09359,0.05000,0.03745,0.05000,-0.01095,0.05000,-0.02459,0.05000,-0.09165,0.05000,0.02448
0.06004,0.06000,0.09333,0.06000,0.03686,0.06000,-0.01139,0.06000,-0.02465,0.06000,-0.08257,0.06000,0.01344
0.07005,0.07000,0.09330,0.07000,0.03638,0.07000,-0.01165,0.07000,-0.02473,0.07000,-0.07764,0.07000,0.00128
0.08006,0.08000,0.09351,0.08000,0.03604,0.08000,-0.01171,0.08000,-0.02486,0.08000,-0.07188,0.08000,-0.01173
0.09006,0.09000,0.09394,0.09000,0.03584,0.09000,-0.01157,0.09000,-0.02506,0.09000,-0.06916,0.09000,-0.02531
0.10007,0.10000,0.09454,0.10000,0.03575,0.10000,-0.01126,0.10000,-0.02533,0.10000,-0.06591,0.10000,-0.03910
0.11008,0.11000,0.09524,0.11000,0.03576,0.11000,-0.01080,0.11000,-0.02569,0.11000,-0.06407,0.11000,-0.05276
0.12008,0.12000,0.09599,0.12000,0.03581,0.12000,-0.01024,0.12000,-0.02610,0.12000,-0.06084,0.12000,-0.06595
0.13009,0.13000,0.09669,0.13000,0.03587,0.13000,-0.00963,0.13000,-0.02655,0.13000,-0.05576,0.13000,-0.07836
0.14010,0.14000,0.09727,0.14000,0.03588,0.14000,-0.00905,0.14000,-0.02701,0.14000,-0.05330,0.14000,-0.08975
0.15010,0.15000,0.09767,0.15000,0.03582,0.15000,-0.00854,0.15000,-0.02745,0.15000,-0.05574,0.15000,-0.09992
0.16011,0.16000,0.09783,0.16000,0.03562,0.16000,-0.00816,0.16000,-0.02782,0.16000,-0.06207,0.16000,-0.10878
0.17012,0.17000,0.09772,0.17000,0.03528,0.17000,-0.00794,0.17000,-0.02809,0.17000,-0.06923,0.17000,-0.11630
0.18013,0.18000,0.09731,0.18000,0.03475,0.18000,-0.00792,0.18000,-0.02825,0.18000,-0.07556,0.18000,-0.12255
0.19013,0.19000,0.09660,0.19000,0.03403,0.19000,-0.00809,0.19000,-0.02829,0.19000,-0.08015,0.19000,-0.12764
0.20014,0.20000,0.09560,0.20000,0.03312,0.20000,-0.00845,0.20000,-0.02821,0.20000,-0.07917,0.20000,-0.13176
0.21015,0.21000,0.09434,0.21000,0.03201,0.21000,-0.00899,0.21000,-0.02802,0.21000,-0.07034,0.21000,-0.13512
0.22015,0.22000,0.09288,0.22000,0.03074,0.22000,-0.00967,0.22000,-0.02776,0.22000,-0.06172,0.22000,-0.13799
0.23016,0.23000,0.09125,0.23000,0.02935,0.23000,-0.01046,0.23000,-0.02747,0.23000,-0.05557,0.23000,-0.14059
0.24017,0.24000,0.08953,0.24000,0.02787,0.24000,-0.01132,0.24000,-0.02716,0.24000,-0.04794,0.24000,-0.14316
0.25017,0.25000,0.08778,0.25000,0.02638,0.25000,-0.01224,0.25000,-0.02689,0.25000,-0.04282,0.25000,-0.14586
0.26018,0.26000,0.08606,0.26000,0.02493,0.26000,-0.01317,0.26000,-0.02665,0.26000,-0.04336,0.26000,-0.14879
0.27019,0.27000,0.08441,0.27000,0.02357,0.27000,-0.01409,0.27000,-0.02648,0.27000,-0.04736,0.27000,-0.15196
0.28019,0.28000,0.08287,0.28000,0.02235,0.28000,-0.01499,0.28000,-0.02636,0.28000,-0.04900,0.28000,-0.15530
0.29020,0.29000,0.08147,0.29000,0.02128,0.29000,-0.01587,0.29000,-0.02630,0.29000,-0.04754,0.29000,-0.15868
0.30021,0.30000,0.08021,0.30000,0.02035,0.30000,-0.01670,0.30000,-0.02629,0.30000,-0.04802,0.30000,-0.16190
0.31022,0.31000,0.07910,0.31000,0.01950,0.31000,-0.01748,0.31000,-0.02630,0.31000,-0.05056,0.31000,-0.16480
0.32022,0.32000,0.07812,0.32000,0.01867,0.32000,-0.01821,0.32000,-0.02634,0.32000,-0.05558,0.32000,-0.16724
0.33023,0.33000,0.07725,0.33000,0.01778,0.33000,-0.01887,0.33000,-0.02640,0.33000,-0.06401,0.33000,-0.16916
0.34024,0.34000,0.07647,0.34000,0.01671,0.34000,-0.01944,0.34000,-0.02646,0.34000,-0.07363,0.34000,-0.17059
0.35024,0.35000,0.07574,0.35000,0.01541,0.35000,-0.01990,0.35000,-0.02652,0.35000,-0.08223,0.35000,-0.17161
0.36025,0.36000,0.07504,0.36000,0.01380,0.36000,-0.02025,0.36000,-0.02657,0.36000,-0.08572,0.36000,-0.17235
0.37026,0.37000,0.07433,0.37000,0.01188,0.37000,-0.02046,0.37000,-0.02660,0.37000,-0.08434,0.37000,-0.17298
0.38026,0.38000,0.07359,0.38000,0.00965,0.38000,-0.02052,0.38000,-0.02659,0.38000,-0.08327,0.38000,-0.17366
0.39027,0.39000,0.07281,0.39000,0.00720,0.39000,-0.02042,0.39000,-0.02653,0.39000,-0.08360,0.39000,-0.17451
0.40028,0.40000,0.07198,0.40000,0.00463,0.40000,-0.02015,0.40000,-0.02642,0.40000,-0.08606,0.40000,-0.17563
0.41028,0.41000,0.07112,0.41000,0.00206,0.41000,-0.01972,0.41000,-0.02627,0.41000,-0.09042,0.41000,-0.17702
0.42029,0.42000,0.07024,0.42000,-0.00037,0.42000,-0.01913,0.42000,-0.02608,0.42000,-0.09480,0.42000,-0.17867
0.43030,0.43000,0.06937,0.43000,-0.00250,0.43000,-0.01842,0.43000,-0.02588,0.43000,-0.09731,0.43000,-0.18049
0.44030,0.44000,0.06853,0.44000,-0.00422,0.44000,-0.01761,0.44000,-0.02567,0.44000,-0.09877,0.44000,-0.18235
0.45031,0.45000,0.06776,0.45000,-0.00543,0.45000,-0.01674,0.45000,-0.02548,0.45000,-0.09494,0.45000,-0.18409
0.46032,0.46000,0.06709,0.46000,-0.00607,0.46000,-0.01587,0.46000,-0.02533,0.46000,-0.09101,0.46000,-0.18556
0.47033,0.47000,0.06653,0.47000,-0.00613,0.47000,-0.01506,0.47000,-0.02520,0.47000,-0.09123,0.47000,-0.18661
0.48033,0.48000,0.06609,0.48000,-0.00562,0.48000,-0.01434,0.48000,-0.02512,0.48000,-0.09200,0.48000,-0.18709
0.49034,0.49000,0.06579,0.49000,-0.00457,0.49000,-0.01379,0.49000,-0.02505,0.49000,-0.09470,0.49000,-0.18690
0.50035,0.50000,0.06562,0.50000,-0.00308,0.50000,-0.01343,0.50000,-0.02500,0.50000,-0.09944,0.50000,-0.18595
0.51035,0.51000,0.06557,0.51000,-0.00121,0.51000,-0.01332,0.51000,-0.02495,0.51000,-0.10314,0.51000,-0.18419
0.52036,0.52000,0.06564,0.52000,0.00095,0.52000,-0.01347,0.52000,-0.02489,0.52000,-0.10333,0.52000,-0.18160
0.53037,0.53000,0.06580,0.53000,0.00329,0.53000,-0.01390,0.53000,-0.02480,0.53000,-0.10344,0.53000,-0.17815
0.54037,0.54000,0.06602,0.54000,0.00575,0.54000,-0.01460,0.54000,-0.02467,0.54000,-0.10107,0.54000,-0.17388
0.55038,0.55000,0.06629,0.55000,0.00825,0.55000,-0.01556,0.55000,-0.02450,0.55000,-0.09988,0.55000,-0.16884
0.56039,0.56000,0.06655,0.56000,0.01074,0.56000,-0.01675,0.56000,-0.02428,0.56000,-0.10514,0.56000,-0.16313
0.57039,0.57000,0.06674,0.57000,0.01318,0.57000,-0.01815,0.57000,-0.02399,0.57000,-0.11517,0.57000,-0.15688
0.58040,0.58000,0.06681,0.58000,0.01555,0.58000,-0.01971,0.58000,-0.02362,0.58000,-0.12602,0.58000,-0.15026
0.59041,0.59000,0.06667,0.59000,0.01782,0.59000,-0.02140,0.59000,-0.02317,0.59000,-0.13720,0.59000,-0.14348
0.60042,0.60000,0.06624,0.60000,0.01999,0.60000,-0.02317,0.60000,-0.02262,0.60000,-0.14827,0.60000,-0.13676
0.61042,0.61000,0.06544,0.61000,0.02202,0.61000,-0.02501,0.61000,-0.02196,0.61000,-0.15437,0.61000,-0.13031
0.62043,0.62000,0.06423,0.62000,0.02390,0.62000,-0.02687,0.62000,-0.02118,0.62000,-0.15663,0.62000,-0.12430
0.63044,0.63000,0.06255,0.63000,0.02560,0.63000,-0.02873,0.63000,-0.02029,0.63000,-0.16095,0.63000,-0.11885
0.64044,0.64000,0.06038,0.64000,0.02707,0.64000,-0.03057,0.64000,-0.01930,0.64000,-0.16793,0.64000,-0.11398
0.65045,0.65000,0.05775,0.65000,0.02831,0.65000,-0.03237,0.65000,-0.01821,0.65000,-0.17078,0.65000,-0.10964
0.66046,0.66000,0.05468,0.66000,0.02927,0.66000,-0.03410,0.66000,-0.01704,0.66000,-0.17475,0.66000,-0.10567
0.67046,0.67000,0.05122,0.67000,0.02997,0.67000,-0.03576,0.67000,-0.01582,0.67000,-0.17716,0.67000,-0.10186
0.68047,0.68000,0.04745,0.68000,0.03041,0.68000,-0.03734,0.68000,-0.01458,0.68000,-0.17680,0.68000,-0.09793
0.69048,0.69000,0.04342,0.69000,0.03059,0.69000,-0.03881,0.69000,-0.01332,0.69000,-0.17913,0.69000,-0.09358
0.70048,0.70000,0.03920,0.70000,0.03055,0.70000,-0.04019,0.70000,-0.01206,0.70000,-0.18172,0.70000,-0.08857
0.71049,0.71000,0.03484,0.71000,0.03030,0.71000,-0.04146,0.71000,-0.01081,0.71000,-0.18716,0.71000,-0.08267
0.72050,0.72000,0.03039,0.72000,0.02983,0.72000,-0.04263,0.72000,-0.00956,0.72000,-0.19486,0.72000,-0.07577
0.73051,0.73000,0.02585,0.73000,0.02913,0.73000,-0.04369,0.73000,-0.00830,0.73000,-0.19998,0.73000,-0.06785
0.74051,0.74000,0.02126,0.74000,0.02820,0.74000,-0.04465,0.74000,-0.00700,0.74000,-0.20582,0.74000,-0.05899
0.75052,0.75000,0.01663,0.75000,0.02701,0.75000,-0.04552,0.75000,-0.00568,0.75000,-0.21069,0.75000,-0.04936
0.76053,0.76000,0.01199,0.76000,0.02556,0.76000,-0.04630,0.76000,-0.00432,0.76000,-0.21502,0.76000,-0.03923
0.77053,0.77000,0.00737,0.77000,0.02384,0.77000,-0.04699,0.77000,-0.00293,0.77000,-0.21628,0.77000,-0.02895
0.78054,0.78000,0.00282,0.78000,0.02187,0.78000,-0.04757,0.78000,-0.00155,0.78000,-0.21516,0.78000,-0.01892
0.79055,0.79000,-0.00160,0.79000,0.01968,0.79000,-0.04803,0.79000,-0.00020,0.79000,-0.21809,0.79000,-0.00960
