Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.43502,0.00000,-0.19190,0.00000,-0.10555,0.00000,0.04353,0.00000,0.09143,0.00000,-0.44030
0.01000,0.01000,-0.43318,0.01000,-0.19062,0.01000,-0.10551,0.01000,0.04396,0.01000,0.10077,0.01000,-0.43937
0.02000,0.02000,-0.43095,0.02000,-0.18929,0.02000,-0.10531,0.02000,0.04454,0.02000,0.10651,0.02000,-0.43775
0.03000,0.03000,-0.42835,0.03000,-0.18795,0.03000,-0.10494,0.03000,0.04529,0.03000,0.11649,0.03000,-0.43535
0.04001,0.04000,-0.42543,0.04000,-0.18667,0.04000,-0.10439,0.04000,0.04623,0.04000,0.13011,0.04000,-0.43213
0.05001,0.05000,-0.42222,0.05000,-0.18548,0.05000,-0.10367,0.05000,0.04734,0.05000,0.14107,0.05000,-0.42810
0.06001,0.06000,-0.41879,0.06000,-0.18442,0.06000,-0.10279,0.06000,0.04863,0.06000,0.14869,0.06000,-0.42333
0.07001,0.07000,-0.41519,0.07000,-0.18349,0.07000,-0.10180,0.07000,0.05009,0.07000,0.15163,0.07000,-0.41793
0.08001,0.08000,-0.41146,0.08000,-0.18270,0.08000,-0.10073,0.08000,0.05170,0.08000,0.15608,0.08000,-0.41205
0.09001,0.09000,-0.40765,0.09000,-0.18200,0.09000,-0.09963,0.09000,0.05342,0.09000,0.16063,0.09000,-0.40587
0.10001,0.10000,-0.40378,0.10000,-0.18136,0.10000,-0.09858,0.10000,0.05524,0.10000,0.16431,0.10000,-0.39957
0.11002,0.11000,-0.39987,0.11000,-0.18073,0.11000,-0.09763,0.11000,0.05710,0.11000,0.17110,0.11000,-0.39332
0.12002,0.12000,-0.39592,0.12000,-0.18004,0.12000,-0.09685,0.12000,0.05899,0.12000,0.17967,0.12000,-0.38728
0.13002,0.13000,-0.39196,0.13000,-0.17925,0.13000,-0.09628,0.13000,0.06086,0.13000,0.18738,0.13000,-0.38160
0.14002,0.14000,-0.38799,0.14000,-0.17828,0.14000,-0.09595,0.14000,0.06269,0.14000,0.19534,0.14000,-0.37639
0.15002,0.15000,-0.38403,0.15000,-0.17709,0.15000,-0.09590,0.15000,0.06447,0.15000,0.20174,0.15000,-0.37174
0.16002,0.16000,-0.38010,0.16000,-0.17565,0.16000,-0.09610,0.16000,0.06619,0.16000,0.20235,0.16000,-0.36770
0.17002,0.17000,-0.37624,0.17000,-0.17392,0.17000,-0.09654,0.17000,0.06784,0.17000,0.20245,0.17000,-0.36429
0.18003,0.18000,-0.37248,0.18000,-0.17190,0.18000,-0.09718,0.18000,0.06944,0.18000,0.20158,0.18000,-0.36145
0.19003,0.19000,-0.36886,0.19000,-0.16961,0.19000,-0.09797,0.19000,0.07098,0.19000,0.19864,0.19000,-0.35909
0.20003,0.20000,-0.36543,0.20000,-0.16707,0.20000,-0.09888,0.20000,0.07250,0.20000,0.19566,0.20000,-0.35702
0.21003,0.21000,-0.36224,0.21000,-0.16434,0.21000,-0.09986,0.21000,0.07401,0.21000,0.19495,0.21000,-0.35505
0.22003,0.22000,-0.35932,0.22000,-0.16150,0.22000,-0.10088,0.22000,0.07554,0.22000,0.19406,0.22000,-0.35291
0.23003,0.23000,-0.35673,0.23000,-0.15862,0.23000,-0.10191,0.23000,0.07710,0.23000,0.18952,0.23000,-0.35034
0.24003,0.24000,-0.35449,0.24000,-0.15578,0.24000,-0.10295,0.24000,0.07873,0.24000,0.18193,0.24000,-0.34710
0.25003,0.25000,-0.35264,0.25000,-0.15306,0.25000,-0.10397,0.25000,0.08045,0.25000,0.18235,0.25000,-0.34299
0.26004,0.26000,-0.35118,0.26000,-0.15052,0.26000,-0.10498,0.26000,0.08227,0.26000,0.18940,0.26000,-0.33790
0.27004,0.27000,-0.35010,0.27000,-0.14823,0.27000,-0.10596,0.27000,0.08419,0.27000,0.19486,0.27000,-0.33180
0.28004,0.28000,-0.34938,0.28000,-0.14621,0.28000,-0.10692,0.28000,0.08621,0.28000,0.19769,0.28000,-0.32479
0.29004,0.29000,-0.34897,0.29000,-0.14448,0.29000,-0.10787,0.29000,0.08833,0.29000,0.19526,0.29000,-0.31705
0.30004,0.30000,-0.34882,0.30000,-0.14303,0.30000,-0.10884,0.30000,0.09051,0.30000,0.19034,0.30000,-0.30885
0.31004,0.31000,-0.34887,0.31000,-0.14185,0.31000,-0.10984,0.31000,0.09271,0.31000,0.18655,0.31000,-0.30056
0.32004,0.32000,-0.34907,0.32000,-0.14091,0.32000,-0.11089,0.32000,0.09490,0.32000,0.18762,0.32000,-0.29254
0.33005,0.33000,-0.34938,0.33000,-0.14015,0.33000,-0.11203,0.33000,0.09702,0.33000,0.19000,0.33000,-0.28520
0.34005,0.34000,-0.34975,0.34000,-0.13955,0.34000,-0.11325,0.34000,0.09903,0.34000,0.18360,0.34000,-0.27887
0.35005,0.35000,-0.35015,0.35000,-0.13905,0.35000,-0.11456,0.35000,0.10088,0.35000,0.17359,0.35000,-0.27385
0.36005,0.36000,-0.35059,0.36000,-0.13863,0.36000,-0.11596,0.36000,0.10255,0.36000,0.16829,0.36000,-0.27033
0.37005,0.37000,-0.35104,0.37000,-0.13826,0.37000,-0.11743,0.37000,0.10402,0.37000,0.16869,0.37000,-0.26842
0.38005,0.38000,-0.35150,0.38000,-0.13789,0.38000,-0.11895,0.38000,0.10529,0.38000,0.17048,0.38000,-0.26809
0.39005,0.39000,-0.35198,0.39000,-0.13752,0.39000,-0.12050,0.39000,0.10639,0.39000,0.17207,0.39000,-0.26923
0.40006,0.40000,-0.35246,0.40000,-0.13710,0.40000,-0.12204,0.40000,0.10734,0.40000,0.17213,0.40000,-0.27162
0.41006,0.41000,-0.35291,0.41000,-0.13663,0.41000,-0.12353,0.41000,0.10817,0.41000,0.16811,0.41000,-0.27499
0.42006,0.42000,-0.35330,0.42000,-0.13607,0.42000,-0.12493,0.42000,0.10892,0.42000,0.16202,0.42000,-0.27902
0.43006,0.43000,-0.35360,0.43000,-0.13542,0.43000,-0.12620,0.43000,0.10961,0.43000,0.16089,0.43000,-0.28337
0.44006,0.44000,-0.35376,0.44000,-0.13468,0.44000,-0.12730,0.44000,0.11027,0.44000,0.16127,0.44000,-0.28775
0.45006,0.45000,-0.35373,0.45000,-0.13386,0.45000,-0.12817,0.45000,0.11092,0.45000,0.15878,0.45000,-0.29193
0.46006,0.46000,-0.35346,0.46000,-0.13299,0.46000,-0.12876,0.46000,0.11154,0.46000,0.15426,0.46000,-0.29574
0.47007,0.47000,-0.35292,0.47000,-0.13212,0.47000,-0.12904,0.47000,0.11216,0.47000,0.15809,0.47000,-0.29910
0.48007,0.48000,-0.35207,0.48000,-0.13129,0.48000,-0.12897,0.48000,0.11276,0.48000,0.16762,0.48000,-0.30200
0.49007,0.49000,-0.35091,0.49000,-0.13057,0.49000,-0.12854,0.49000,0.11334,0.49000,0.17545,0.49000,-0.30450
