Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.94213,0.00000,0.19929,0.00000,1.31824
0.01001,0.01000,0.92720,0.01000,0.20223,0.01000,1.30825
0.02001,0.02000,0.90957,0.02000,0.20605,0.02000,1.29607
0.03002,0.03000,0.88942,0.03000,0.21078,0.03000,1.28179
0.04003,0.04000,0.86701,0.04000,0.21640,0.04000,1.26561
0.05003,0.05000,0.84266,0.05000,0.22285,0.05000,1.24784
0.06004,0.06000,0.81672,0.06000,0.23005,0.06000,1.22889
0.07005,0.07000,0.78950,0.07000,0.23787,0.07000,1.20925
0.08005,0.08000,0.76128,0.08000,0.24618,0.08000,1.18948
0.09006,0.09000,0.73229,0.09000,0.25483,0.09000,1.17021
0.10007,0.10000,0.70273,0.10000,0.26367,0.10000,1.15207
0.11007,0.11000,0.67273,0.11000,0.27257,0.11000,1.13566
0.12008,0.12000,0.64240,0.12000,0.28141,0.12000,1.12157
0.13009,0.13000,0.61184,0.13000,0.29010,0.13000,1.11026
0.14009,0.14000,0.58115,0.14000,0.29858,0.14000,1.10209
0.15010,0.15000,0.55048,0.15000,0.30682,0.15000,1.09724
0.16010,0.16000,0.52005,0.16000,0.31484,0.16000,1.09571
0.17011,0.17000,0.49016,0.17000,0.32268,0.17000,1.09730
0.18012,0.18000,0.46118,0.18000,0.33041,0.18000,1.10161
0.19012,0.19000,0.43356,0.19000,0.33811,0.19000,1.10812
0.20013,0.20000,0.40781,0.20000,0.34587,0.20000,1.11616
0.21014,0.21000,0.38442,0.21000,0.35377,0.21000,1.12500
0.22014,0.22000,0.36385,0.22000,0.36188,0.22000,1.13387
0.23015,0.23000,0.34646,0.23000,0.37024,0.23000,1.14206
0.24016,0.24000,0.33245,0.24000,0.37885,0.24000,1.14891
0.25016,0.25000,0.32187,0.25000,0.38767,0.25000,1.15390
0.26017,0.26000,0.31456,0.26000,0.39663,0.26000,1.15668
0.27018,0.27000,0.31018,0.27000,0.40563,0.27000,1.15708
0.28018,0.28000,0.30820,0.28000,0.41455,0.28000,1.15511
0.29019,0.29000,0.30798,0.29000,0.42325,0.29000,1.15094
0.30020,0.30000,0.30880,0.30000,0.43159,0.30000,1.14487
0.31020,0.31000,0.30989,0.31000,0.43944,0.31000,1.13727
0.32021,0.32000,0.31056,0.32000,0.44668,0.32000,1.12855
0.33022,0.33000,0.31022,0.33000,0.45322,0.33000,1.11911
0.34022,0.34000,0.30842,0.34000,0.45896,0.34000,1.10927
0.35023,0.35000,0.30490,0.35000,0.46384,0.35000,1.09933
0.36024,0.36000,0.29957,0.36000,0.46779,0.36000,1.08947
0.37024,0.37000,0.29254,0.37000,0.47078,0.37000,1.07982
0.38025,0.38000,0.28403,0.38000,0.47278,0.38000,1.07045
0.39025,0.39000,0.27434,0.39000,0.47379,0.39000,1.06137
0.40026,0.40000,0.26381,0.40000,0.47384,0.40000,1.05256
0.41027,0.41000,0.25275,0.41000,0.47298,0.41000,1.04402
0.42027,0.42000,0.24142,0.42000,0.47135,0.42000,1.03575
0.43028,0.43000,0.22999,0.43000,0.46908,0.43000,1.02775
0.44029,0.44000,0.21855,0.44000,0.46638,0.44000,1.02007
0.45029,0.45000,0.20714,0.45000,0.46349,0.45000,1.01279
0.46030,0.46000,0.19580,0.46000,0.46065,0.46000,1.00602
0.47031,0.47000,0.18457,0.47000,0.45814,0.47000,0.99992
0.48031,0.48000,0.17355,0.48000,0.45620,0.48000,0.99467
0.49032,0.49000,0.16289,0.49000,0.45509,0.49000,0.99051
0.50033,0.50000,0.15280,0.50000,0.45498,0.50000,0.98768
0.51033,0.51000,0.14351,0.51000,0.45603,0.51000,0.98640
0.52034,0.52000,0.13521,0.52000,0.45831,0.52000,0.98689
0.53035,0.53000,0.12805,0.53000,0.46185,0.53000,0.98925
0.54035,0.54000,0.12211,0.54000,0.46660,0.54000,0.99353
0.55036,0.55000,0.11735,0.55000,0.47248,0.55000,0.99962
