Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.35612,0.00000,0.46911,0.00000,-0.21295,0.00000,0.36275,0.00000,-0.39946,0.00000,1.51909
0.01001,0.01000,0.35540,0.01000,0.47202,0.01000,-0.21301,0.01000,0.36433,0.01000,-0.39906,0.01000,1.52086
0.02001,0.02000,0.35492,0.02000,0.47610,0.02000,-0.21332,0.02000,0.36660,0.02000,-0.39788,0.02000,1.52246
0.03001,0.03000,0.35478,0.03000,0.48153,0.03000,-0.21395,0.03000,0.36965,0.03000,-0.39571,0.03000,1.52363
0.04002,0.04000,0.35507,0.04000,0.48846,0.04000,-0.21494,0.04000,0.37359,0.04000,-0.39231,0.04000,1.52414
0.05002,0.05000,0.35586,0.05000,0.49700,0.05000,-0.21635,0.05000,0.37848,0.05000,-0.38748,0.05000,1.52371
0.06003,0.06000,0.35717,0.06000,0.50725,0.06000,-0.21820,0.06000,0.38436,0.06000,-0.38105,0.06000,1.52209
0.07003,0.07000,0.35901,0.07000,0.51923,0.07000,-0.22047,0.07000,0.39126,0.07000,-0.37291,0.07000,1.51911
0.08004,0.08000,0.36134,0.08000,0.53291,0.08000,-0.22314,0.08000,0.39916,0.08000,-0.36301,0.08000,1.51464
0.09004,0.09000,0.36409,0.09000,0.54822,0.09000,-0.22615,0.09000,0.40802,0.09000,-0.35144,0.09000,1.50872
0.10005,0.10000,0.36719,0.10000,0.56498,0.10000,-0.22940,0.10000,0.41776,0.10000,-0.33837,0.10000,1.50145
0.11005,0.11000,0.37059,0.11000,0.58297,0.11000,-0.23280,0.11000,0.42829,0.11000,-0.32413,0.11000,1.49310
0.12006,0.12000,0.37421,0.12000,0.60191,0.12000,-0.23623,0.12000,0.43948,0.12000,-0.30919,0.12000,1.48395
0.13006,0.13000,0.37805,0.13000,0.62145,0.13000,-0.23960,0.13000,0.45116,0.13000,-0.29412,0.13000,1.47436
0.14007,0.14000,0.38208,0.14000,0.64124,0.14000,-0.24282,0.14000,0.46317,0.14000,-0.27954,0.14000,1.46466
0.15007,0.15000,0.38634,0.15000,0.66094,0.15000,-0.24584,0.15000,0.47531,0.15000,-0.26606,0.15000,1.45512
0.16008,0.16000,0.39084,0.16000,0.68022,0.16000,-0.24864,0.16000,0.48741,0.16000,-0.25419,0.16000,1.44595
0.17008,0.17000,0.39563,0.17000,0.69882,0.17000,-0.25126,0.17000,0.49930,0.17000,-0.24430,0.17000,1.43725
0.18009,0.18000,0.40071,0.18000,0.71656,0.18000,-0.25375,0.18000,0.51087,0.18000,-0.23653,0.18000,1.42903
0.19009,0.19000,0.40609,0.19000,0.73332,0.19000,-0.25617,0.19000,0.52202,0.19000,-0.23079,0.19000,1.42121
0.20010,0.20000,0.41173,0.20000,0.74908,0.20000,-0.25859,0.20000,0.53275,0.20000,-0.22679,0.20000,1.41364
0.21010,0.21000,0.41758,0.21000,0.76389,0.21000,-0.26108,0.21000,0.54306,0.21000,-0.22408,0.21000,1.40610
0.22011,0.22000,0.42357,0.22000,0.77783,0.22000,-0.26366,0.22000,0.55303,0.22000,-0.22210,0.22000,1.39835
0.23011,0.23000,0.42962,0.23000,0.79105,0.23000,-0.26635,0.23000,0.56275,0.23000,-0.22029,0.23000,1.39015
0.24011,0.24000,0.43564,0.24000,0.80367,0.24000,-0.26911,0.24000,0.57231,0.24000,-0.21817,0.24000,1.38131
0.25012,0.25000,0.44157,0.25000,0.81583,0.25000,-0.27192,0.25000,0.58180,0.25000,-0.21540,0.25000,1.37170
0.26012,0.26000,0.44736,0.26000,0.82761,0.26000,-0.27473,0.26000,0.59128,0.26000,-0.21182,0.26000,1.36130
0.27013,0.27000,0.45296,0.27000,0.83908,0.27000,-0.27752,0.27000,0.60078,0.27000,-0.20741,0.27000,1.35017
