Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.41848,0.00000,0.46989,0.00000,-0.26666,0.00000,0.40033,0.00000,-0.76319,0.00000,2.15695
0.01000,0.01000,0.41837,0.01000,0.46906,0.01000,-0.26433,0.01000,0.40122,0.01000,-0.76600,0.01000,2.16585
0.02000,0.02000,0.41891,0.02000,0.46784,0.02000,-0.26039,0.02000,0.40197,0.02000,-0.76977,0.02000,2.17563
0.03000,0.03000,0.42031,0.03000,0.46615,0.03000,-0.25453,0.03000,0.40240,0.03000,-0.77474,0.03000,2.18593
0.04001,0.04000,0.42281,0.04000,0.46389,0.04000,-0.24650,0.04000,0.40231,0.04000,-0.78122,0.04000,2.19634
0.05001,0.05000,0.42660,0.05000,0.46101,0.05000,-0.23616,0.05000,0.40147,0.05000,-0.78953,0.05000,2.20640
0.06001,0.06000,0.43183,0.06000,0.45743,0.06000,-0.22346,0.06000,0.39966,0.06000,-0.79995,0.06000,2.21570
0.07001,0.07000,0.43857,0.07000,0.45309,0.07000,-0.20856,0.07000,0.39668,0.07000,-0.81271,0.07000,2.22385
0.08001,0.08000,0.44680,0.08000,0.44798,0.08000,-0.19178,0.08000,0.39235,0.08000,-0.82787,0.08000,2.23056
0.09001,0.09000,0.45634,0.09000,0.44212,0.09000,-0.17361,0.09000,0.38662,0.09000,-0.84532,0.09000,2.23562
0.10001,0.10000,0.46691,0.10000,0.43558,0.10000,-0.15472,0.10000,0.37947,0.10000,-0.86468,0.10000,2.23892
0.11002,0.11000,0.47810,0.11000,0.42850,0.11000,-0.13592,0.11000,0.37104,0.11000,-0.88534,0.11000,2.24051
0.12002,0.12000,0.48940,0.12000,0.42111,0.12000,-0.11803,0.12000,0.36156,0.12000,-0.90642,0.12000,2.24054
0.13002,0.13000,0.50026,0.13000,0.41369,0.13000,-0.10187,0.13000,0.35135,0.13000,-0.92687,0.13000,2.23928
0.14002,0.14000,0.51016,0.14000,0.40657,0.14000,-0.08813,0.14000,0.34083,0.14000,-0.94551,0.14000,2.23711
0.15002,0.15000,0.51866,0.15000,0.40011,0.15000,-0.07728,0.15000,0.33045,0.15000,-0.96122,0.15000,2.23447
0.16002,0.16000,0.52547,0.16000,0.39464,0.16000,-0.06952,0.16000,0.32066,0.16000,-0.97302,0.16000,2.23181
0.17002,0.17000,0.53046,0.17000,0.39048,0.17000,-0.06476,0.17000,0.31190,0.17000,-0.98032,0.17000,2.22957
0.18003,0.18000,0.53366,0.18000,0.38786,0.18000,-0.06268,0.18000,0.30456,0.18000,-0.98295,0.18000,2.22812
0.19003,0.19000,0.53524,0.19000,0.38694,0.19000,-0.06276,0.19000,0.29892,0.19000,-0.98121,0.19000,2.22777
0.20003,0.20000,0.53546,0.20000,0.38781,0.20000,-0.06440,0.20000,0.29518,0.20000,-0.97578,0.20000,2.22878
0.21003,0.21000,0.53461,0.21000,0.39045,0.21000,-0.06701,0.21000,0.29342,0.21000,-0.96752,0.21000,2.23130
0.22003,0.22000,0.53296,0.22000,0.39475,0.22000,-0.07002,0.22000,0.29364,0.22000,-0.95735,0.22000,2.23542
0.23003,0.23000,0.53078,0.23000,0.40055,0.23000,-0.07299,0.23000,0.29574,0.23000,-0.94606,0.23000,2.24110
0.24003,0.24000,0.52826,0.24000,0.40763,0.24000,-0.07557,0.24000,0.29958,0.24000,-0.93429,0.24000,2.24820
0.25004,0.25000,0.52556,0.25000,0.41575,0.25000,-0.07755,0.25000,0.30495,0.25000,-0.92246,0.25000,2.25645
0.26004,0.26000,0.52278,0.26000,0.42464,0.26000,-0.07881,0.26000,0.31162,0.26000,-0.91082,0.26000,2.26549
0.27004,0.27000,0.51999,0.27000,0.43406,0.27000,-0.07930,0.27000,0.31931,0.27000,-0.89943,0.27000,2.27490
0.28004,0.28000,0.51721,0.28000,0.44381,0.28000,-0.07909,0.28000,0.32774,0.28000,-0.88822,0.28000,2.28424
0.29004,0.29000,0.51444,0.29000,0.45371,0.29000,-0.07824,0.29000,0.33663,0.29000,-0.87708,0.29000,2.29311
0.30004,0.30000,0.51167,0.30000,0.46363,0.30000,-0.07689,0.30000,0.34571,0.30000,-0.86588,0.30000,2.30117
0.31004,0.31000,0.50887,0.31000,0.47347,0.31000,-0.07514,0.31000,0.35476,0.31000,-0.85454,0.31000,2.30816
0.32005,0.32000,0.50603,0.32000,0.48316,0.32000,-0.07311,0.32000,0.36356,0.32000,-0.84304,0.32000,2.31390
0.33005,0.33000,0.50310,0.33000,0.49263,0.33000,-0.07092,0.33000,0.37196,0.33000,-0.83143,0.33000,2.31827
0.34005,0.34000,0.50006,0.34000,0.50185,0.34000,-0.06865,0.34000,0.37987,0.34000,-0.81987,0.34000,2.32120
0.35005,0.35000,0.49687,0.35000,0.51075,0.35000,-0.06636,0.35000,0.38722,0.35000,-0.80853,0.35000,2.32258
0.36005,0.36000,0.49347,0.36000,0.51927,0.36000,-0.06409,0.36000,0.39397,0.36000,-0.79759,0.36000,2.32231
0.37005,0.37000,0.48985,0.37000,0.52736,0.37000,-0.06189,0.37000,0.40011,0.37000,-0.78722,0.37000,2.32023
0.38005,0.38000,0.48595,0.38000,0.53494,0.38000,-0.05976,0.38000,0.40567,0.38000,-0.77748,0.38000,2.31613
0.39006,0.39000,0.48173,0.39000,0.54199,0.39000,-0.05773,0.39000,0.41064,0.39000,-0.76836,0.39000,2.30982
0.40006,0.40000,0.47716,0.40000,0.54847,0.40000,-0.05581,0.40000,0.41506,0.40000,-0.75972,0.40000,2.30109
0.41006,0.41000,0.47222,0.41000,0.55437,0.41000,-0.05401,0.41000,0.41894,0.41000,-0.75136,0.41000,2.28983
0.42006,0.42000,0.46686,0.42000,0.55972,0.42000,-0.05234,0.42000,0.42230,0.42000,-0.74300,0.42000,2.27604
0.43006,0.43000,0.46109,0.43000,0.56457,0.43000,-0.05080,0.43000,0.42516,0.43000,-0.73434,0.43000,2.25986
0.44006,0.44000,0.45488,0.44000,0.56896,0.44000,-0.04939,0.44000,0.42754,0.44000,-0.72512,0.44000,2.24159
0.45006,0.45000,0.44823,0.45000,0.57298,0.45000,-0.04811,0.45000,0.42946,0.45000,-0.71515,0.45000,2.22171
0.46007,0.46000,0.44115,0.46000,0.57668,0.46000,-0.04695,0.46000,0.43093,0.46000,-0.70434,0.46000,2.20081
0.47007,0.47000,0.43365,0.47000,0.58010,0.47000,-0.04590,0.47000,0.43198,0.47000,-0.69275,0.47000,2.17957
0.48007,0.48000,0.42576,0.48000,0.58329,0.48000,-0.04492,0.48000,0.43263,0.48000,-0.68055,0.48000,2.15867
0.49007,0.49000,0.41749,0.49000,0.58624,0.49000,-0.04400,0.49000,0.43292,0.49000,-0.66802,0.49000,2.13876
0.50007,0.50000,0.40889,0.50000,0.58895,0.50000,-0.04310,0.50000,0.43287,0.50000,-0.65549,0.50000,2.12032
0.51007,0.51000,0.40000,0.51000,0.59140,0.51000,-0.04218,0.51000,0.43250,0.51000,-0.64332,0.51000,2.10370
0.52007,0.52000,0.39087,0.52000,0.59356,0.52000,-0.04121,0.52000,0.43182,0.52000,-0.63181,0.52000,2.08904
0.53008,0.53000,0.38155,0.53000,0.59543,0.53000,-0.04012,0.53000,0.43083,0.53000,-0.62123,0.53000,2.07627
0.54008,0.54000,0.37211,0.54000,0.59698,0.54000,-0.03887,0.54000,0.42953,0.54000,-0.61179,0.54000,2.06519
0.55008,0.55000,0.36265,0.55000,0.59821,0.55000,-0.03738,0.55000,0.42790,0.55000,-0.60361,0.55000,2.05545
0.56008,0.56000,0.35325,0.56000,0.59914,0.56000,-0.03562,0.56000,0.42592,0.56000,-0.59677,0.56000,2.04666
0.57008,0.57000,0.34400,0.57000,0.59980,0.57000,-0.03352,0.57000,0.42360,0.57000,-0.59128,0.57000,2.03845
0.58008,0.58000,0.33501,0.58000,0.60021,0.58000,-0.03106,0.58000,0.42094,0.58000,-0.58712,0.58000,2.03049
0.59008,0.59000,0.32636,0.59000,0.60041,0.59000,-0.02823,0.59000,0.41795,0.59000,-0.58418,0.59000,2.02251
0.60009,0.60000,0.31813,0.60000,0.60047,0.60000,-0.02504,0.60000,0.41469,0.60000,-0.58230,0.60000,2.01436
0.61009,0.61000,0.31039,0.61000,0.60041,0.61000,-0.02153,0.61000,0.41120,0.61000,-0.58125,0.61000,2.00593
0.62009,0.62000,0.30317,0.62000,0.60027,0.62000,-0.01777,0.62000,0.40757,0.62000,-0.58073,0.62000,1.99716
0.63009,0.63000,0.29647,0.63000,0.60010,0.63000,-0.01383,0.63000,0.40387,0.63000,-0.58036,0.63000,1.98800
0.64009,0.64000,0.29025,0.64000,0.59989,0.64000,-0.00984,0.64000,0.40019,0.64000,-0.57972,0.64000,1.97842
0.65009,0.65000,0.28445,0.65000,0.59965,0.65000,-0.00591,0.65000,0.39658,0.65000,-0.57838,0.65000,1.96835
0.66009,0.66000,0.27896,0.66000,0.59936,0.66000,-0.00212,0.66000,0.39309,0.66000,-0.57597,0.66000,1.95774
0.67010,0.67000,0.27369,0.67000,0.59898,0.67000,0.00141,0.67000,0.38975,0.67000,-0.57216,0.67000,1.94655
0.68010,0.68000,0.26852,0.68000,0.59845,0.68000,0.00463,0.68000,0.38653,0.68000,-0.56678,0.68000,1.93476
0.69010,0.69000,0.26333,0.69000,0.59768,0.69000,0.00749,0.69000,0.38340,0.69000,-0.55977,0.69000,1.92237
0.70010,0.70000,0.25804,0.70000,0.59656,0.70000,0.01001,0.70000,0.38029,0.70000,-0.55122,0.70000,1.90943
0.71010,0.71000,0.25257,0.71000,0.59498,0.71000,0.01221,0.71000,0.37709,0.71000,-0.54134,0.71000,1.89599
0.72010,0.72000,0.24688,0.72000,0.59279,0.72000,0.01415,0.72000,0.37369,0.72000,-0.53041,0.72000,1.88217
0.73010,0.73000,0.24095,0.73000,0.58982,0.73000,0.01589,0.73000,0.36994,0.73000,-0.51880,0.73000,1.86805
0.74011,0.74000,0.23479,0.74000,0.58592,0.74000,0.01755,0.74000,0.36568,0.74000,-0.50684,0.74000,1.85374
0.75011,0.75000,0.22840,0.75000,0.58092,0.75000,0.01921,0.75000,0.36074,0.75000,-0.49489,0.75000,1.83935
0.76011,0.76000,0.22183,0.76000,0.57465,0.76000,0.02100,0.76000,0.35495,0.76000,-0.48326,0.76000,1.82496
0.77011,0.77000,0.21508,0.77000,0.56698,0.77000,0.02300,0.77000,0.34816,0.77000,-0.47221,0.77000,1.81066
0.78011,0.78000,0.20820,0.78000,0.55783,0.78000,0.02532,0.78000,0.34023,0.78000,-0.46197,0.78000,1.79651
0.79011,0.79000,0.20118,0.79000,0.54714,0.79000,0.02800,0.79000,0.33107,0.79000,-0.45270,0.79000,1.78254
0.80011,0.80000,0.19402,0.80000,0.53492,0.80000,0.03106,0.80000,0.32063,0.80000,-0.44448,0.80000,1.76875
0.81012,0.81000,0.18672,0.81000,0.52121,0.81000,0.03447,0.81000,0.30889,0.81000,-0.43731,0.81000,1.75505
0.82012,0.82000,0.17923,0.82000,0.50609,0.82000,0.03811,0.82000,0.29591,0.82000,-0.43108,0.82000,1.74132
0.83012,0.83000,0.17154,0.83000,0.48965,0.83000,0.04186,0.83000,0.28174,0.83000,-0.42561,0.83000,1.72731
0.84012,0.84000,0.16360,0.84000,0.47201,0.84000,0.04554,0.84000,0.26652,0.84000,-0.42064,0.84000,1.71271
0.85012,0.85000,0.15539,0.85000,0.45328,0.85000,0.04896,0.85000,0.25039,0.85000,-0.41586,0.85000,1.69712
0.86012,0.86000,0.14692,0.86000,0.43360,0.86000,0.05194,0.86000,0.23355,0.86000,-0.41098,0.86000,1.68015
0.87012,0.87000,0.13820,0.87000,0.41315,0.87000,0.05434,0.87000,0.21627,0.87000,-0.40575,0.87000,1.66140
0.88013,0.88000,0.12931,0.88000,0.39216,0.88000,0.05607,0.88000,0.19883,0.88000,-0.40000,0.88000,1.64060
0.89013,0.89000,0.12032,0.89000,0.37091,0.89000,0.05709,0.89000,0.18158,0.89000,-0.39364,0.89000,1.61764
0.90013,0.90000,0.11137,0.90000,0.34974,0.90000,0.05744,0.90000,0.16488,0.90000,-0.38671,0.90000,1.59259
