Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.96831,0.00000,-0.22684,0.00000,0.51685
0.01000,0.01000,-0.96539,0.01000,-0.21659,0.01000,0.52742
0.02000,0.02000,-0.96001,0.02000,-0.20503,0.02000,0.54121
0.03000,0.03000,-0.95168,0.03000,-0.19252,0.03000,0.55830
0.04001,0.04000,-0.94002,0.04000,-0.17952,0.04000,0.57859
0.05001,0.05000,-0.92470,0.05000,-0.16653,0.05000,0.60175
0.06001,0.06000,-0.90560,0.06000,-0.15409,0.06000,0.62730
0.07001,0.07000,-0.88270,0.07000,-0.14272,0.07000,0.65454
0.08001,0.08000,-0.85621,0.08000,-0.13289,0.08000,0.68263
0.09001,0.09000,-0.82646,0.09000,-0.12502,0.09000,0.71060
0.10001,0.10000,-0.79398,0.10000,-0.11943,0.10000,0.73745
0.11002,0.11000,-0.75944,0.11000,-0.11638,0.11000,0.76217
0.12002,0.12000,-0.72362,0.12000,-0.11602,0.12000,0.78385
0.13002,0.13000,-0.68741,0.13000,-0.11842,0.13000,0.80168
0.14002,0.14000,-0.65176,0.14000,-0.12359,0.14000,0.81507
0.15002,0.15000,-0.61765,0.15000,-0.13144,0.15000,0.82361
0.16002,0.16000,-0.58606,0.16000,-0.14182,0.16000,0.82714
0.17003,0.17000,-0.55789,0.17000,-0.15447,0.17000,0.82572
0.18003,0.18000,-0.53396,0.18000,-0.16911,0.18000,0.81960
0.19003,0.19000,-0.51498,0.19000,-0.18536,0.19000,0.80923
0.20003,0.20000,-0.50145,0.20000,-0.20276,0.20000,0.79516
0.21003,0.21000,-0.49370,0.21000,-0.22082,0.21000,0.77806
0.22003,0.22000,-0.49184,0.22000,-0.23897,0.22000,0.75861
0.23003,0.23000,-0.49577,0.23000,-0.25662,0.23000,0.73752
0.24004,0.24000,-0.50522,0.24000,-0.27316,0.24000,0.71549
0.25004,0.25000,-0.51971,0.25000,-0.28798,0.25000,0.69319
0.26004,0.26000,-0.53866,0.26000,-0.30052,0.26000,0.67125
0.27004,0.27000,-0.56135,0.27000,-0.31029,0.27000,0.65028
0.28004,0.28000,-0.58700,0.28000,-0.31691,0.28000,0.63083
0.29004,0.29000,-0.61479,0.29000,-0.32012,0.29000,0.61337
0.30004,0.30000,-0.64387,0.30000,-0.31979,0.30000,0.59831
0.31005,0.31000,-0.67337,0.31000,-0.31594,0.31000,0.58591
0.32005,0.32000,-0.70247,0.32000,-0.30874,0.32000,0.57635
0.33005,0.33000,-0.73037,0.33000,-0.29847,0.33000,0.56964
0.34005,0.34000,-0.75633,0.34000,-0.28550,0.34000,0.56571
0.35005,0.35000,-0.77966,0.35000,-0.27029,0.35000,0.56437
0.36005,0.36000,-0.79976,0.36000,-0.25335,0.36000,0.56537
0.37005,0.37000,-0.81610,0.37000,-0.23521,0.37000,0.56842
0.38006,0.38000,-0.82824,0.38000,-0.21638,0.38000,0.57318
0.39006,0.39000,-0.83582,0.39000,-0.19736,0.39000,0.57930
0.40006,0.40000,-0.83858,0.40000,-0.17861,0.40000,0.58641
0.41006,0.41000,-0.83638,0.41000,-0.16053,0.41000,0.59412
0.42006,0.42000,-0.82917,0.42000,-0.14350,0.42000,0.60198
0.43006,0.43000,-0.81705,0.43000,-0.12786,0.43000,0.60953
0.44006,0.44000,-0.80026,0.44000,-0.11393,0.44000,0.61629
0.45007,0.45000,-0.77923,0.45000,-0.10205,0.45000,0.62175
0.46007,0.46000,-0.75456,0.46000,-0.09257,0.46000,0.62543
0.47007,0.47000,-0.72708,0.47000,-0.08583,0.47000,0.62689
0.48007,0.48000,-0.69782,0.48000,-0.08215,0.48000,0.62574
0.49007,0.49000,-0.66800,0.49000,-0.08179,0.49000,0.62163
0.50007,0.50000,-0.63901,0.50000,-0.08490,0.50000,0.61431
0.51007,0.51000,-0.61233,0.51000,-0.09151,0.51000,0.60358
0.52008,0.52000,-0.58948,0.52000,-0.10146,0.52000,0.58932
0.53008,0.53000,-0.57190,0.53000,-0.11441,0.53000,0.57150
0.54008,0.54000,-0.56082,0.54000,-0.12982,0.54000,0.55023
0.55008,0.55000,-0.55721,0.55000,-0.14698,0.55000,0.52574
0.56008,0.56000,-0.56167,0.56000,-0.16505,0.56000,0.49847
0.57008,0.57000,-0.57435,0.57000,-0.18308,0.57000,0.46902
0.58008,0.58000,-0.59497,0.58000,-0.20012,0.58000,0.43820
0.59009,0.59000,-0.62280,0.59000,-0.21520,0.59000,0.40692
0.60009,0.60000,-0.65672,0.60000,-0.22748,0.60000,0.37620
0.61009,0.61000,-0.69531,0.61000,-0.23621,0.61000,0.34704
0.62009,0.62000,-0.73692,0.62000,-0.24082,0.62000,0.32041
0.63009,0.63000,-0.77979,0.63000,-0.24092,0.63000,0.29712
0.64009,0.64000,-0.82217,0.64000,-0.23632,0.64000,0.27778
0.65009,0.65000,-0.86238,0.65000,-0.22704,0.65000,0.26278
0.66010,0.66000,-0.89891,0.66000,-0.21328,0.66000,0.25221
0.67010,0.67000,-0.93051,0.67000,-0.19543,0.67000,0.24589
0.68010,0.68000,-0.95620,0.68000,-0.17406,0.68000,0.24338
0.69010,0.69000,-0.97529,0.69000,-0.14989,0.69000,0.24404
0.70010,0.70000,-0.98738,0.70000,-0.12377,0.70000,0.24705
0.71010,0.71000,-0.99236,0.71000,-0.09665,0.71000,0.25152
0.72010,0.72000,-0.99034,0.72000,-0.06957,0.72000,0.25654
0.73011,0.73000,-0.98162,0.73000,-0.04360,0.73000,0.26123
0.74011,0.74000,-0.96669,0.74000,-0.01980,0.74000,0.26482
0.75011,0.75000,-0.94614,0.75000,0.00085,0.75000,0.26665
0.76011,0.76000,-0.92068,0.76000,0.01746,0.76000,0.26622
0.77011,0.77000,-0.89112,0.77000,0.02929,0.77000,0.26315
0.78011,0.78000,-0.85836,0.78000,0.03584,0.78000,0.25719
0.79011,0.79000,-0.82343,0.79000,0.03681,0.79000,0.24820
0.80012,0.80000,-0.78744,0.80000,0.03218,0.80000,0.23612
0.81012,0.81000,-0.75162,0.81000,0.02220,0.81000,0.22094
0.82012,0.82000,-0.71726,0.82000,0.00735,0.82000,0.20274
