Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,2.24115,0.00000,0.64433,0.00000,1.82566
0.01000,0.01000,2.24442,0.01000,0.64537,0.01000,1.82362
0.02000,0.02000,2.24875,0.02000,0.64730,0.02000,1.82247
0.03000,0.03000,2.25410,0.03000,0.65024,0.03000,1.82251
0.04001,0.04000,2.26034,0.04000,0.65421,0.04000,1.82398
0.05001,0.05000,2.26721,0.05000,0.65915,0.05000,1.82699
0.06001,0.06000,2.27436,0.06000,0.66493,0.06000,1.83155
0.07001,0.07000,2.28136,0.07000,0.67130,0.07000,1.83752
0.08001,0.08000,2.28773,0.08000,0.67799,0.08000,1.84463
0.09001,0.09000,2.29295,0.09000,0.68469,0.09000,1.85250
0.10002,0.10000,2.29657,0.10000,0.69107,0.10000,1.86073
0.11002,0.11000,2.29818,0.11000,0.69689,0.11000,1.86888
0.12002,0.12000,2.29752,0.12000,0.70196,0.12000,1.87655
0.13002,0.13000,2.29442,0.13000,0.70617,0.13000,1.88342
0.14002,0.14000,2.28893,0.14000,0.70953,0.14000,1.88923
0.15002,0.15000,2.28120,0.15000,0.71216,0.15000,1.89385
0.16002,0.16000,2.27157,0.16000,0.71421,0.16000,1.89723
0.17003,0.17000,2.26047,0.17000,0.71588,0.17000,1.89940
0.18003,0.18000,2.24844,0.18000,0.71737,0.18000,1.90046
0.19003,0.19000,2.23604,0.19000,0.71881,0.19000,1.90054
0.20003,0.20000,2.22384,0.20000,0.72028,0.20000,1.89977
0.21003,0.21000,2.21239,0.21000,0.72177,0.21000,1.89830
0.22003,0.22000,2.20213,0.22000,0.72321,0.22000,1.89619
0.23003,0.23000,2.19345,0.23000,0.72445,0.23000,1.89346
0.24004,0.24000,2.18663,0.24000,0.72529,0.24000,1.89006
0.25004,0.25000,2.18184,0.25000,0.72553,0.25000,1.88584
0.26004,0.26000,2.17920,0.26000,0.72498,0.26000,1.88057
0.27004,0.27000,2.17873,0.27000,0.72348,0.27000,1.87395
0.28004,0.28000,2.18043,0.28000,0.72096,0.28000,1.86565
0.29004,0.29000,2.18423,0.29000,0.71740,0.29000,1.85535
0.30004,0.30000,2.19008,0.30000,0.71289,0.30000,1.84279
0.31005,0.31000,2.19785,0.31000,0.70759,0.31000,1.82780
0.32005,0.32000,2.20743,0.32000,0.70172,0.32000,1.81037
0.33005,0.33000,2.21866,0.33000,0.69557,0.33000,1.79064
0.34005,0.34000,2.23133,0.34000,0.68946,0.34000,1.76891
0.35005,0.35000,2.24519,0.35000,0.68370,0.35000,1.74568
0.36005,0.36000,2.25993,0.36000,0.67856,0.36000,1.72157
0.37005,0.37000,2.27517,0.37000,0.67429,0.37000,1.69728
0.38006,0.38000,2.29048,0.38000,0.67106,0.38000,1.67361
0.39006,0.39000,2.30537,0.39000,0.66893,0.39000,1.65133
0.40006,0.40000,2.31933,0.40000,0.66793,0.40000,1.63120
0.41006,0.41000,2.33182,0.41000,0.66798,0.41000,1.61386
0.42006,0.42000,2.34233,0.42000,0.66894,0.42000,1.59984
0.43006,0.43000,2.35039,0.43000,0.67060,0.43000,1.58951
0.44007,0.44000,2.35561,0.44000,0.67276,0.44000,1.58301
0.45007,0.45000,2.35771,0.45000,0.67515,0.45000,1.58030
0.46007,0.46000,2.35650,0.46000,0.67755,0.46000,1.58105
0.47007,0.47000,2.35197,0.47000,0.67971,0.47000,1.58474
0.48007,0.48000,2.34421,0.48000,0.68144,0.48000,1.59062
0.49007,0.49000,2.33347,0.49000,0.68258,0.49000,1.59778
0.50007,0.50000,2.32007,0.50000,0.68299,0.50000,1.60521
0.51008,0.51000,2.30444,0.51000,0.68258,0.51000,1.61187
0.52008,0.52000,2.28705,0.52000,0.68131,0.52000,1.61677
0.53008,0.53000,2.26839,0.53000,0.67918,0.53000,1.61901
0.54008,0.54000,2.24893,0.54000,0.67624,0.54000,1.61789
0.55008,0.55000,2.22909,0.55000,0.67258,0.55000,1.61286
0.56008,0.56000,2.20925,0.56000,0.66834,0.56000,1.60362
0.57008,0.57000,2.18968,0.57000,0.66367,0.57000,1.59006
0.58009,0.58000,2.17061,0.58000,0.65876,0.58000,1.57227
0.59009,0.59000,2.15216,0.59000,0.65381,0.59000,1.55051
0.60009,0.60000,2.13441,0.60000,0.64901,0.60000,1.52517
0.61009,0.61000,2.11737,0.61000,0.64457,0.61000,1.49672
0.62009,0.62000,2.10101,0.62000,0.64063,0.62000,1.46571
0.63009,0.63000,2.08529,0.63000,0.63733,0.63000,1.43267
0.64009,0.64000,2.07015,0.64000,0.63478,0.64000,1.39810
0.65010,0.65000,2.05552,0.65000,0.63301,0.65000,1.36246
0.66010,0.66000,2.04137,0.66000,0.63204,0.66000,1.32607
0.67010,0.67000,2.02767,0.67000,0.63181,0.67000,1.28914
