Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,0.37613,0.00000,0.22842,0.00000,-0.05771,0.00000,0.02239,0.00000,-0.11099,0.00000,0.56093
0.01001,0.01000,0.37710,0.01000,0.22961,0.01000,-0.05915,0.01000,0.02216,0.01000,-0.11099,0.01000,0.56289
0.02001,0.02000,0.37838,0.02000,0.23128,0.02000,-0.06075,0.02000,0.02196,0.02000,-0.11081,0.02000,0.56479
0.03002,0.03000,0.38000,0.03000,0.23346,0.03000,-0.06244,0.03000,0.02181,0.03000,-0.11038,0.03000,0.56647
0.04002,0.04000,0.38204,0.04000,0.23616,0.04000,-0.06411,0.04000,0.02173,0.04000,-0.10963,0.04000,0.56783
0.05003,0.05000,0.38457,0.05000,0.23937,0.05000,-0.06567,0.05000,0.02174,0.05000,-0.10848,0.05000,0.56873
0.06003,0.06000,0.38766,0.06000,0.24303,0.06000,-0.06701,0.06000,0.02185,0.06000,-0.10686,0.06000,0.56908
0.07004,0.07000,0.39136,0.07000,0.24706,0.07000,-0.06805,0.07000,0.02205,0.07000,-0.10473,0.07000,0.56884
0.08004,0.08000,0.39572,0.08000,0.25135,0.08000,-0.06872,0.08000,0.02234,0.08000,-0.10207,0.08000,0.56799
0.09005,0.09000,0.40073,0.09000,0.25579,0.09000,-0.06900,0.09000,0.02274,0.09000,-0.09888,0.09000,0.56654
0.10005,0.10000,0.40637,0.10000,0.26024,0.10000,-0.06891,0.10000,0.02323,0.10000,-0.09519,0.10000,0.56456
0.11006,0.11000,0.41254,0.11000,0.26458,0.11000,-0.06851,0.11000,0.02384,0.11000,-0.09106,0.11000,0.56216
0.12006,0.12000,0.41911,0.12000,0.26869,0.12000,-0.06792,0.12000,0.02459,0.12000,-0.08653,0.12000,0.55943
0.13007,0.13000,0.42592,0.13000,0.27247,0.13000,-0.06725,0.13000,0.02549,0.13000,-0.08169,0.13000,0.55652
0.14007,0.14000,0.43277,0.14000,0.27587,0.14000,-0.06664,0.14000,0.02657,0.14000,-0.07662,0.14000,0.55355
0.15008,0.15000,0.43943,0.15000,0.27884,0.15000,-0.06619,0.15000,0.02783,0.15000,-0.07139,0.15000,0.55063
0.16008,0.16000,0.44572,0.16000,0.28138,0.16000,-0.06598,0.16000,0.02926,0.16000,-0.06610,0.16000,0.54787
0.17009,0.17000,0.45144,0.17000,0.28348,0.17000,-0.06601,0.17000,0.03082,0.17000,-0.06081,0.17000,0.54535
0.18009,0.18000,0.45646,0.18000,0.28518,0.18000,-0.06627,0.18000,0.03245,0.18000,-0.05555,0.18000,0.54314
0.19010,0.19000,0.46069,0.19000,0.28653,0.19000,-0.06666,0.19000,0.03408,0.19000,-0.05036,0.19000,0.54129
0.20010,0.20000,0.46410,0.20000,0.28759,0.20000,-0.06708,0.20000,0.03562,0.20000,-0.04522,0.20000,0.53983
0.21011,0.21000,0.46672,0.21000,0.28842,0.21000,-0.06738,0.21000,0.03696,0.21000,-0.04010,0.21000,0.53873
0.22011,0.22000,0.46863,0.22000,0.28912,0.22000,-0.06746,0.22000,0.03800,0.22000,-0.03497,0.22000,0.53797
0.23012,0.23000,0.46996,0.23000,0.28977,0.23000,-0.06720,0.23000,0.03867,0.23000,-0.02978,0.23000,0.53748
0.24012,0.24000,0.47085,0.24000,0.29047,0.24000,-0.06650,0.24000,0.03891,0.24000,-0.02452,0.24000,0.53716
0.25013,0.25000,0.47146,0.25000,0.29129,0.25000,-0.06532,0.25000,0.03867,0.25000,-0.01920,0.25000,0.53690
0.26013,0.26000,0.47190,0.26000,0.29230,0.26000,-0.06363,0.26000,0.03795,0.26000,-0.01386,0.26000,0.53660
0.27014,0.27000,0.47228,0.27000,0.29356,0.27000,-0.06145,0.27000,0.03678,0.27000,-0.00857,0.27000,0.53613
0.28014,0.28000,0.47264,0.28000,0.29508,0.28000,-0.05883,0.28000,0.03521,0.28000,-0.00340,0.28000,0.53540
0.29015,0.29000,0.47301,0.29000,0.29686,0.29000,-0.05584,0.29000,0.03332,0.29000,0.00156,0.29000,0.53431
0.30015,0.30000,0.47335,0.30000,0.29885,0.30000,-0.05260,0.30000,0.03123,0.30000,0.00620,0.30000,0.53279
0.31016,0.31000,0.47361,0.31000,0.30100,0.31000,-0.04922,0.31000,0.02902,0.31000,0.01045,0.31000,0.53078
0.32016,0.32000,0.47373,0.32000,0.30323,0.32000,-0.04584,0.32000,0.02682,0.32000,0.01419,0.32000,0.52825
0.33017,0.33000,0.47366,0.33000,0.30542,0.33000,-0.04261,0.33000,0.02469,0.33000,0.01734,0.33000,0.52521
0.34017,0.34000,0.47335,0.34000,0.30748,0.34000,-0.03963,0.34000,0.02269,0.34000,0.01984,0.34000,0.52168
0.35018,0.35000,0.47278,0.35000,0.30929,0.35000,-0.03700,0.35000,0.02086,0.35000,0.02162,0.35000,0.51774
0.36018,0.36000,0.47197,0.36000,0.31075,0.36000,-0.03476,0.36000,0.01919,0.36000,0.02269,0.36000,0.51345
0.37019,0.37000,0.47097,0.37000,0.31177,0.37000,-0.03291,0.37000,0.01766,0.37000,0.02308,0.37000,0.50890
0.38019,0.38000,0.46986,0.38000,0.31229,0.38000,-0.03140,0.38000,0.01625,0.38000,0.02287,0.38000,0.50415
0.39020,0.39000,0.46876,0.39000,0.31226,0.39000,-0.03014,0.39000,0.01492,0.39000,0.02220,0.39000,0.49925
0.40020,0.40000,0.46777,0.40000,0.31168,0.40000,-0.02902,0.40000,0.01364,0.40000,0.02123,0.40000,0.49422
0.41021,0.41000,0.46701,0.41000,0.31059,0.41000,-0.02792,0.41000,0.01241,0.41000,0.02013,0.41000,0.48906
0.42021,0.42000,0.46657,0.42000,0.30903,0.42000,-0.02672,0.42000,0.01122,0.42000,0.01904,0.42000,0.48376
0.43022,0.43000,0.46648,0.43000,0.30711,0.43000,-0.02533,0.43000,0.01008,0.43000,0.01812,0.43000,0.47830
0.44022,0.44000,0.46675,0.44000,0.30494,0.44000,-0.02368,0.44000,0.00904,0.44000,0.01745,0.44000,0.47267
0.45023,0.45000,0.46732,0.45000,0.30264,0.45000,-0.02176,0.45000,0.00812,0.45000,0.01710,0.45000,0.46687
