Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.37994,0.00000,0.09212,0.00000,0.09926,0.00000,0.07033,0.00000,0.00700,0.00000,-0.16087
0.01001,0.01000,0.37193,0.01000,0.08045,0.01000,0.09894,0.01000,0.07579,0.01000,0.00241,0.01000,-0.16664
0.02001,0.02000,0.36254,0.02000,0.06742,0.02000,0.09861,0.02000,0.08198,0.02000,-0.00353,0.02000,-0.17324
0.03002,0.03000,0.35199,0.03000,0.05340,0.03000,0.09827,0.03000,0.08873,0.03000,-0.00382,0.03000,-0.18048
0.04002,0.04000,0.34062,0.04000,0.03881,0.04000,0.09789,0.04000,0.09585,0.04000,-0.00114,0.04000,-0.18810
0.05003,0.05000,0.32881,0.05000,0.02409,0.05000,0.09744,0.05000,0.10313,0.05000,-0.00025,0.05000,-0.19581
0.06003,0.06000,0.31704,0.06000,0.00965,0.06000,0.09687,0.06000,0.11036,0.06000,0.00031,0.06000,-0.20327
0.07004,0.07000,0.30578,0.07000,-0.00417,0.07000,0.09616,0.07000,0.11735,0.07000,-0.00340,0.07000,-0.21019
0.08004,0.08000,0.29548,0.08000,-0.01710,0.08000,0.09528,0.08000,0.12395,0.08000,-0.01077,0.08000,-0.21626
0.09005,0.09000,0.28656,0.09000,-0.02895,0.09000,0.09422,0.09000,0.13004,0.09000,-0.01424,0.09000,-0.22127
0.10005,0.10000,0.27933,0.10000,-0.03963,0.10000,0.09301,0.10000,0.13556,0.10000,-0.01579,0.10000,-0.22506
0.11006,0.11000,0.27399,0.11000,-0.04912,0.11000,0.09167,0.11000,0.14049,0.11000,-0.01559,0.11000,-0.22754
0.12006,0.12000,0.27062,0.12000,-0.05746,0.12000,0.09030,0.12000,0.14483,0.12000,-0.01125,0.12000,-0.22871
0.13007,0.13000,0.26918,0.13000,-0.06471,0.13000,0.08896,0.13000,0.14861,0.13000,-0.00501,0.13000,-0.22864
0.14007,0.14000,0.26950,0.14000,-0.07096,0.14000,0.08776,0.14000,0.15188,0.14000,-0.00546,0.14000,-0.22746
0.15008,0.15000,0.27136,0.15000,-0.07630,0.15000,0.08678,0.15000,0.15465,0.15000,-0.01652,0.15000,-0.22531
0.16008,0.16000,0.27444,0.16000,-0.08079,0.16000,0.08611,0.16000,0.15696,0.16000,-0.02667,0.16000,-0.22242
0.17009,0.17000,0.27843,0.17000,-0.08452,0.17000,0.08581,0.17000,0.15882,0.17000,-0.03645,0.17000,-0.21901
0.18009,0.18000,0.28299,0.18000,-0.08751,0.18000,0.08589,0.18000,0.16020,0.18000,-0.04115,0.18000,-0.21534
0.19010,0.19000,0.28785,0.19000,-0.08984,0.19000,0.08635,0.19000,0.16109,0.19000,-0.03484,0.19000,-0.21170
0.20010,0.20000,0.29275,0.20000,-0.09154,0.20000,0.08718,0.20000,0.16145,0.20000,-0.02047,0.20000,-0.20837
0.21011,0.21000,0.29753,0.21000,-0.09266,0.21000,0.08833,0.21000,0.16128,0.21000,-0.01003,0.21000,-0.20558
0.22011,0.22000,0.30204,0.22000,-0.09327,0.22000,0.08975,0.22000,0.16058,0.22000,-0.00563,0.22000,-0.20353
0.23012,0.23000,0.30622,0.23000,-0.09344,0.23000,0.09139,0.23000,0.15939,0.23000,-0.00433,0.23000,-0.20233
0.24012,0.24000,0.31003,0.24000,-0.09324,0.24000,0.09316,0.24000,0.15779,0.24000,-0.00497,0.24000,-0.20197
0.25013,0.25000,0.31347,0.25000,-0.09276,0.25000,0.09501,0.25000,0.15588,0.25000,-0.00423,0.25000,-0.20237
0.26013,0.26000,0.31652,0.26000,-0.09209,0.26000,0.09685,0.26000,0.15377,0.26000,-0.00286,0.26000,-0.20338
0.27014,0.27000,0.31919,0.27000,-0.09131,0.27000,0.09862,0.27000,0.15157,0.27000,-0.00324,0.27000,-0.20478
0.28014,0.28000,0.32146,0.28000,-0.09049,0.28000,0.10023,0.28000,0.14941,0.28000,-0.00490,0.28000,-0.20638
0.29015,0.29000,0.32331,0.29000,-0.08970,0.29000,0.10165,0.29000,0.14737,0.29000,-0.00684,0.29000,-0.20800
0.30015,0.30000,0.32471,0.30000,-0.08896,0.30000,0.10283,0.30000,0.14551,0.30000,-0.00777,0.30000,-0.20951
0.31016,0.31000,0.32568,0.31000,-0.08830,0.31000,0.10376,0.31000,0.14388,0.31000,-0.00976,0.31000,-0.21084
0.32016,0.32000,0.32620,0.32000,-0.08769,0.32000,0.10447,0.32000,0.14249,0.32000,-0.01378,0.32000,-0.21195
0.33017,0.33000,0.32633,0.33000,-0.08710,0.33000,0.10499,0.33000,0.14137,0.33000,-0.01898,0.33000,-0.21285
0.34017,0.34000,0.32615,0.34000,-0.08648,0.34000,0.10537,0.34000,0.14051,0.34000,-0.02329,0.34000,-0.21354
0.35018,0.35000,0.32578,0.35000,-0.08576,0.35000,0.10570,0.35000,0.13993,0.35000,-0.01926,0.35000,-0.21403
0.36018,0.36000,0.32539,0.36000,-0.08490,0.36000,0.10602,0.36000,0.13967,0.36000,-0.01061,0.36000,-0.21425
0.37019,0.37000,0.32517,0.37000,-0.08383,0.37000,0.10641,0.37000,0.13973,0.37000,-0.00255,0.37000,-0.21414
0.38019,0.38000,0.32536,0.38000,-0.08253,0.38000,0.10688,0.38000,0.14016,0.38000,0.00702,0.38000,-0.21356
0.39020,0.39000,0.32617,0.39000,-0.08100,0.39000,0.10745,0.39000,0.14096,0.39000,0.01912,0.39000,-0.21236
0.40020,0.40000,0.32779,0.40000,-0.07925,0.40000,0.10809,0.40000,0.14212,0.40000,0.02740,0.40000,-0.21041
0.41021,0.41000,0.33037,0.41000,-0.07732,0.41000,0.10875,0.41000,0.14357,0.41000,0.03576,0.41000,-0.20766
0.42021,0.42000,0.33401,0.42000,-0.07525,0.42000,0.10938,0.42000,0.14520,0.42000,0.04730,0.42000,-0.20417
0.43022,0.43000,0.33870,0.43000,-0.07311,0.43000,0.10990,0.43000,0.14686,0.43000,0.05810,0.43000,-0.20019
0.44022,0.44000,0.34437,0.44000,-0.07093,0.44000,0.11025,0.44000,0.14830,0.44000,0.06151,0.44000,-0.19620
0.45023,0.45000,0.35087,0.45000,-0.06872,0.45000,0.11037,0.45000,0.14925,0.45000,0.05891,0.45000,-0.19292
0.46023,0.46000,0.35796,0.46000,-0.06647,0.46000,0.11021,0.46000,0.14939,0.46000,0.05499,0.46000,-0.19133
0.47024,0.47000,0.36540,0.47000,-0.06408,0.47000,0.10973,0.47000,0.14837,0.47000,0.05169,0.47000,-0.19258
0.48024,0.48000,0.37289,0.48000,-0.06141,0.48000,0.10890,0.48000,0.14580,0.48000,0.05337,0.48000,-0.19794
0.49025,0.49000,0.38015,0.49000,-0.05821,0.49000,0.10771,0.49000,0.14135,0.49000,0.06576,0.49000,-0.20867
0.50025,0.50000,0.38691,0.50000,-0.05415,0.50000,0.10618,0.50000,0.13469,0.50000,0.07991,0.50000,-0.22586
0.51026,0.51000,0.39296,0.51000,-0.04880,0.51000,0.10434,0.51000,0.12558,0.51000,0.08427,0.51000,-0.25028
0.52026,0.52000,0.39812,0.52000,-0.04165,0.52000,0.10228,0.52000,0.11388,0.52000,0.08764,0.52000,-0.28223
0.53027,0.53000,0.40227,0.53000,-0.03212,0.53000,0.10007,0.53000,0.09958,0.53000,0.08929,0.53000,-0.32142
0.54027,0.54000,0.40535,0.54000,-0.01962,0.54000,0.09785,0.54000,0.08278,0.54000,0.08573,0.54000,-0.36691
0.55028,0.55000,0.40737,0.55000,-0.00354,0.55000,0.09577,0.55000,0.06369,0.55000,0.08440,0.55000,-0.41717
0.56028,0.56000,0.40840,0.56000,0.01664,0.56000,0.09397,0.56000,0.04260,0.56000,0.08087,0.56000,-0.47019
0.57029,0.57000,0.40859,0.57000,0.04129,0.57000,0.09260,0.57000,0.01987,0.57000,0.07388,0.57000,-0.52370
0.58029,0.58000,0.40817,0.58000,0.07061,0.58000,0.09181,0.58000,-0.00412,0.58000,0.06821,0.58000,-0.57534
0.59030,0.59000,0.40741,0.59000,0.10454,0.59000,0.09171,0.59000,-0.02896,0.59000,0.06335,0.59000,-0.62288
0.60030,0.60000,0.40667,0.60000,0.14278,0.60000,0.09238,0.60000,-0.05428,0.60000,0.05762,0.60000,-0.66445
0.61031,0.61000,0.40628,0.61000,0.18475,0.61000,0.09388,0.61000,-0.07972,0.61000,0.05327,0.61000,-0.69861
0.62031,0.62000,0.40660,0.62000,0.22968,0.62000,0.09618,0.62000,-0.10491,0.62000,0.04792,0.62000,-0.72449
