Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.35511,0.00000,0.21595,0.00000,-0.33540,0.00000,-0.35794,0.00000,0.10976,0.00000,-1.49376
0.01000,0.01000,0.34288,0.01000,0.20545,0.01000,-0.33926,0.01000,-0.36623,0.01000,0.09798,0.01000,-1.53661
0.02000,0.02000,0.32903,0.02000,0.19559,0.02000,-0.34544,0.02000,-0.37672,0.02000,0.08791,0.02000,-1.59128
0.03000,0.03000,0.31408,0.03000,0.18722,0.03000,-0.35429,0.03000,-0.38940,0.03000,0.07422,0.03000,-1.65733
0.04001,0.04000,0.29869,0.04000,0.18118,0.04000,-0.36605,0.04000,-0.40408,0.04000,0.04812,0.04000,-1.73339
0.05001,0.05000,0.28367,0.05000,0.17817,0.05000,-0.38083,0.05000,-0.42046,0.05000,0.01115,0.05000,-1.81718
0.06001,0.06000,0.26985,0.06000,0.17868,0.06000,-0.39856,0.06000,-0.43813,0.06000,-0.02167,0.06000,-1.90557
0.07001,0.07000,0.25806,0.07000,0.18293,0.07000,-0.41896,0.07000,-0.45662,0.07000,-0.04104,0.07000,-1.99482
0.08001,0.08000,0.24905,0.08000,0.19080,0.08000,-0.44159,0.08000,-0.47545,0.08000,-0.05732,0.08000,-2.08084
0.09001,0.09000,0.24337,0.09000,0.20190,0.09000,-0.46581,0.09000,-0.49420,0.09000,-0.09380,0.09000,-2.15955
0.10001,0.10000,0.24132,0.10000,0.21559,0.10000,-0.49082,0.10000,-0.51255,0.10000,-0.16525,0.10000,-2.22725
0.11002,0.11000,0.24292,0.11000,0.23109,0.11000,-0.51578,0.11000,-0.53030,0.11000,-0.24433,0.11000,-2.28096
0.12002,0.12000,0.24783,0.12000,0.24753,0.12000,-0.53977,0.12000,-0.54733,0.12000,-0.30563,0.12000,-2.31855
0.13002,0.13000,0.25535,0.13000,0.26407,0.13000,-0.56193,0.13000,-0.56356,0.13000,-0.37119,0.13000,-2.33877
0.14002,0.14000,0.26444,0.14000,0.27998,0.14000,-0.58148,0.14000,-0.57895,0.14000,-0.46655,0.14000,-2.34118
0.15002,0.15000,0.27380,0.15000,0.29468,0.15000,-0.59780,0.15000,-0.59343,0.15000,-0.59280,0.15000,-2.32585
0.16002,0.16000,0.28191,0.16000,0.30778,0.16000,-0.61039,0.16000,-0.60693,0.16000,-0.71879,0.16000,-2.29325
0.17002,0.17000,0.28722,0.17000,0.31915,0.17000,-0.61896,0.17000,-0.61935,0.17000,-0.81311,0.17000,-2.24399
0.18003,0.18000,0.28824,0.18000,0.32883,0.18000,-0.62335,0.18000,-0.63058,0.18000,-0.87104,0.18000,-2.17879
0.19003,0.19000,0.28365,0.19000,0.33707,0.19000,-0.62356,0.19000,-0.64051,0.19000,-0.92094,0.19000,-2.09839
0.20003,0.20000,0.27245,0.20000,0.34424,0.20000,-0.61972,0.20000,-0.64904,0.20000,-0.99172,0.20000,-2.00358
0.21003,0.21000,0.25397,0.21000,0.35076,0.21000,-0.61209,0.21000,-0.65613,0.21000,-1.07877,0.21000,-1.89525
0.22003,0.22000,0.22795,0.22000,0.35707,0.22000,-0.60107,0.22000,-0.66175,0.22000,-1.16429,0.22000,-1.77452
0.23003,0.23000,0.19457,0.23000,0.36349,0.23000,-0.58717,0.23000,-0.66595,0.23000,-1.23644,0.23000,-1.64279
0.24003,0.24000,0.15444,0.24000,0.37024,0.24000,-0.57098,0.24000,-0.66882,0.24000,-1.31583,0.24000,-1.50189
0.25004,0.25000,0.10859,0.25000,0.37733,0.25000,-0.55323,0.25000,-0.67045,0.25000,-1.39863,0.25000,-1.35407
0.26004,0.26000,0.05844,0.26000,0.38455,0.26000,-0.53464,0.26000,-0.67092,0.26000,-1.45126,0.26000,-1.20206
