Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-0.67376,0.00000,0.61001,0.00000,0.08004
0.01000,0.01000,-0.67777,0.01000,0.61160,0.01000,0.08222
0.02000,0.02000,-0.68276,0.02000,0.61371,0.02000,0.08454
0.03000,0.03000,-0.68857,0.03000,0.61636,0.03000,0.08687
0.04001,0.04000,-0.69496,0.04000,0.61954,0.04000,0.08907
0.05001,0.05000,-0.70157,0.05000,0.62318,0.05000,0.09097
0.06001,0.06000,-0.70793,0.06000,0.62721,0.06000,0.09245
0.07001,0.07000,-0.71353,0.07000,0.63147,0.07000,0.09339
0.08001,0.08000,-0.71781,0.08000,0.63583,0.08000,0.09371
0.09001,0.09000,-0.72027,0.09000,0.64010,0.09000,0.09342
0.10001,0.10000,-0.72048,0.10000,0.64410,0.10000,0.09257
0.11002,0.11000,-0.71816,0.11000,0.64765,0.11000,0.09125
0.12002,0.12000,-0.71322,0.12000,0.65058,0.12000,0.08961
0.13002,0.13000,-0.70575,0.13000,0.65277,0.13000,0.08784
0.14002,0.14000,-0.69613,0.14000,0.65414,0.14000,0.08612
0.15002,0.15000,-0.68489,0.15000,0.65464,0.15000,0.08463
0.16002,0.16000,-0.67277,0.16000,0.65428,0.16000,0.08351
0.17002,0.17000,-0.66064,0.17000,0.65311,0.17000,0.08287
0.18003,0.18000,-0.64942,0.18000,0.65123,0.18000,0.08278
0.19003,0.19000,-0.64000,0.19000,0.64879,0.19000,0.08326
0.20003,0.20000,-0.63320,0.20000,0.64593,0.20000,0.08429
0.21003,0.21000,-0.62969,0.21000,0.64283,0.21000,0.08581
0.22003,0.22000,-0.62991,0.22000,0.63970,0.22000,0.08776
0.23003,0.23000,-0.63407,0.23000,0.63670,0.23000,0.09008
0.24004,0.24000,-0.64210,0.24000,0.63402,0.24000,0.09268
0.25004,0.25000,-0.65368,0.25000,0.63179,0.25000,0.09554
0.26004,0.26000,-0.66827,0.26000,0.63015,0.26000,0.09864
0.27004,0.27000,-0.68514,0.27000,0.62917,0.27000,0.10198
0.28004,0.28000,-0.70342,0.28000,0.62890,0.28000,0.10558
0.29004,0.29000,-0.72224,0.29000,0.62936,0.29000,0.10949
0.30004,0.30000,-0.74068,0.30000,0.63050,0.30000,0.11375
0.31005,0.31000,-0.75796,0.31000,0.63228,0.31000,0.11841
0.32005,0.32000,-0.77336,0.32000,0.63458,0.32000,0.12348
0.33005,0.33000,-0.78635,0.33000,0.63729,0.33000,0.12897
0.34005,0.34000,-0.79651,0.34000,0.64025,0.34000,0.13483
0.35005,0.35000,-0.80362,0.35000,0.64330,0.35000,0.14098
0.36005,0.36000,-0.80759,0.36000,0.64627,0.36000,0.14726
0.37005,0.37000,-0.80846,0.37000,0.64898,0.37000,0.15346
0.38006,0.38000,-0.80641,0.38000,0.65127,0.38000,0.15931
0.39006,0.39000,-0.80173,0.39000,0.65300,0.39000,0.16447
0.40006,0.40000,-0.79477,0.40000,0.65404,0.40000,0.16860
0.41006,0.41000,-0.78600,0.41000,0.65433,0.41000,0.17137
0.42006,0.42000,-0.77593,0.42000,0.65383,0.42000,0.17249
0.43006,0.43000,-0.76515,0.43000,0.65258,0.43000,0.17177
0.44006,0.44000,-0.75427,0.44000,0.65066,0.44000,0.16914
0.45007,0.45000,-0.74392,0.45000,0.64822,0.45000,0.16470
0.46007,0.46000,-0.73471,0.46000,0.64543,0.46000,0.15868
0.47007,0.47000,-0.72721,0.47000,0.64253,0.47000,0.15149
0.48007,0.48000,-0.72188,0.48000,0.63974,0.48000,0.14367
0.49007,0.49000,-0.71901,0.49000,0.63730,0.49000,0.13580
0.50007,0.50000,-0.71875,0.50000,0.63543,0.50000,0.12852
0.51007,0.51000,-0.72101,0.51000,0.63429,0.51000,0.12242
0.52008,0.52000,-0.72548,0.52000,0.63398,0.52000,0.11799
0.53008,0.53000,-0.73170,0.53000,0.63454,0.53000,0.11561
0.54008,0.54000,-0.73905,0.54000,0.63591,0.54000,0.11547
0.55008,0.55000,-0.74681,0.55000,0.63797,0.55000,0.11758
0.56008,0.56000,-0.75430,0.56000,0.64052,0.56000,0.12180
0.57008,0.57000,-0.76085,0.57000,0.64332,0.57000,0.12776
0.58008,0.58000,-0.76593,0.58000,0.64611,0.58000,0.13499
0.59009,0.59000,-0.76917,0.59000,0.64863,0.59000,0.14288
0.60009,0.60000,-0.77039,0.60000,0.65068,0.60000,0.15073
0.61009,0.61000,-0.76960,0.61000,0.65210,0.61000,0.15779
0.62009,0.62000,-0.76699,0.62000,0.65278,0.62000,0.16336
0.63009,0.63000,-0.76289,0.63000,0.65272,0.63000,0.16677
0.64009,0.64000,-0.75774,0.64000,0.65196,0.64000,0.16752
0.65009,0.65000,-0.75200,0.65000,0.65060,0.65000,0.16527
0.66010,0.66000,-0.74614,0.66000,0.64878,0.66000,0.15989
0.67010,0.67000,-0.74058,0.67000,0.64664,0.67000,0.15151
0.68010,0.68000,-0.73563,0.68000,0.64436,0.68000,0.14042
0.69010,0.69000,-0.73157,0.69000,0.64208,0.69000,0.12711
0.70010,0.70000,-0.72852,0.70000,0.63993,0.70000,0.11220
0.71010,0.71000,-0.72659,0.71000,0.63804,0.71000,0.09635
0.72010,0.72000,-0.72577,0.72000,0.63648,0.72000,0.08026
0.73011,0.73000,-0.72606,0.73000,0.63530,0.73000,0.06455
0.74011,0.74000,-0.72741,0.74000,0.63455,0.74000,0.04980
0.75011,0.75000,-0.72979,0.75000,0.63423,0.75000,0.03646
0.76011,0.76000,-0.73318,0.76000,0.63435,0.76000,0.02485
0.77011,0.77000,-0.73757,0.77000,0.63489,0.77000,0.01515
0.78011,0.78000,-0.74295,0.78000,0.63584,0.78000,0.00743
0.79011,0.79000,-0.74933,0.79000,0.63716,0.79000,0.00165
0.80012,0.80000,-0.75669,0.80000,0.63880,0.80000,-0.00235
0.81012,0.81000,-0.76495,0.81000,0.64071,0.81000,-0.00475
0.82012,0.82000,-0.77398,0.82000,0.64279,0.82000,-0.00584
0.83012,0.83000,-0.78360,0.83000,0.64495,0.83000,-0.00588
0.84012,0.84000,-0.79352,0.84000,0.64708,0.84000,-0.00517
0.85012,0.85000,-0.80341,0.85000,0.64904,0.85000,-0.00396
0.86012,0.86000,-0.81292,0.86000,0.65072,0.86000,-0.00249
0.87013,0.87000,-0.82165,0.87000,0.65201,0.87000,-0.00098
0.88013,0.88000,-0.82925,0.88000,0.65280,0.88000,0.00041
0.89013,0.89000,-0.83539,0.89000,0.65306,0.89000,0.00151
0.90013,0.90000,-0.83986,0.90000,0.65276,0.90000,0.00219
0.91013,0.91000,-0.84254,0.91000,0.65194,0.91000,0.00233
0.92013,0.92000,-0.84345,0.92000,0.65068,0.92000,0.00183
0.93013,0.93000,-0.84273,0.93000,0.64911,0.93000,0.00066
0.94014,0.94000,-0.84067,0.94000,0.64739,0.94000,-0.00114
0.95014,0.95000,-0.83766,0.95000,0.64571,0.95000,-0.00350
0.96014,0.96000,-0.83416,0.96000,0.64428,0.96000,-0.00624
0.97014,0.97000,-0.83068,0.97000,0.64329,0.97000,-0.00919
0.98014,0.98000,-0.82765,0.98000,0.64288,0.98000,-0.01212
0.99014,0.99000,-0.82547,0.99000,0.64319,0.99000,-0.01482
1.00014,1.00000,-0.82439,1.00000,0.64427,1.00000,-0.01711
1.01015,1.01000,-0.82450,1.01000,0.64610,1.01000,-0.01882
1.02015,1.02000,-0.82575,1.02000,0.64859,1.02000,-0.01984
1.03015,1.03000,-0.82790,1.03000,0.65159,1.03000,-0.02010
1.04015,1.04000,-0.83061,1.04000,0.65488,1.04000,-0.01961
1.05015,1.05000,-0.83344,1.05000,0.65818,1.05000,-0.01844
1.06015,1.06000,-0.83593,1.06000,0.66122,1.06000,-0.01674
1.07015,1.07000,-0.83764,1.07000,0.66369,1.07000,-0.01473
1.08016,1.08000,-0.83822,1.08000,0.66535,1.08000,-0.01264
1.09016,1.09000,-0.83746,1.09000,0.66596,1.09000,-0.01076
1.10016,1.10000,-0.83531,1.10000,0.66540,1.10000,-0.00933
