Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,0.20298,0.00000,-0.13445,0.00000,-0.51328
0.01000,0.01000,0.20512,0.01000,-0.13186,0.01000,-0.51116
0.02000,0.02000,0.20752,0.02000,-0.12854,0.02000,-0.50844
0.03001,0.03000,0.21006,0.03000,-0.12451,0.03000,-0.50513
0.04001,0.04000,0.21260,0.04000,-0.11983,0.04000,-0.50127
0.05001,0.05000,0.21494,0.05000,-0.11462,0.05000,-0.49696
0.06001,0.06000,0.21688,0.06000,-0.10905,0.06000,-0.49235
0.07001,0.07000,0.21819,0.07000,-0.10334,0.07000,-0.48765
0.08001,0.08000,0.21864,0.08000,-0.09775,0.08000,-0.48309
0.09001,0.09000,0.21803,0.09000,-0.09256,0.09000,-0.47894
0.10002,0.10000,0.21615,0.10000,-0.08801,0.10000,-0.47548
0.11002,0.11000,0.21286,0.11000,-0.08433,0.11000,-0.47294
0.12002,0.12000,0.20806,0.12000,-0.08165,0.12000,-0.47144
0.13002,0.13000,0.20171,0.13000,-0.08004,0.13000,-0.47104
0.14002,0.14000,0.19386,0.14000,-0.07942,0.14000,-0.47163
0.15002,0.15000,0.18460,0.15000,-0.07965,0.15000,-0.47299
0.16003,0.16000,0.17414,0.16000,-0.08046,0.16000,-0.47475
0.17003,0.17000,0.16277,0.17000,-0.08153,0.17000,-0.47647
0.18003,0.18000,0.15085,0.18000,-0.08250,0.18000,-0.47769
0.19003,0.19000,0.13885,0.19000,-0.08300,0.19000,-0.47796
0.20003,0.20000,0.12726,0.20000,-0.08271,0.20000,-0.47692
0.21003,0.21000,0.11659,0.21000,-0.08138,0.21000,-0.47435
0.22003,0.22000,0.10730,0.22000,-0.07886,0.22000,-0.47017
0.23004,0.23000,0.09979,0.23000,-0.07509,0.23000,-0.46447
0.24004,0.24000,0.09432,0.24000,-0.07014,0.24000,-0.45747
0.25004,0.25000,0.09099,0.25000,-0.06416,0.25000,-0.44953
0.26004,0.26000,0.08975,0.26000,-0.05739,0.26000,-0.44107
0.27004,0.27000,0.09038,0.27000,-0.05015,0.27000,-0.43255
0.28004,0.28000,0.09252,0.28000,-0.04280,0.28000,-0.42448
0.29005,0.29000,0.09568,0.29000,-0.03571,0.29000,-0.41734
0.30005,0.30000,0.09929,0.30000,-0.02928,0.30000,-0.41157
0.31005,0.31000,0.10271,0.31000,-0.02384,0.31000,-0.40754
0.32005,0.32000,0.10531,0.32000,-0.01970,0.32000,-0.40553
0.33005,0.33000,0.10648,0.33000,-0.01707,0.33000,-0.40575
0.34005,0.34000,0.10570,0.34000,-0.01604,0.34000,-0.40825
0.35005,0.35000,0.10254,0.35000,-0.01664,0.35000,-0.41303
0.36006,0.36000,0.09673,0.36000,-0.01879,0.36000,-0.41994
0.37006,0.37000,0.08812,0.37000,-0.02229,0.37000,-0.42871
0.38006,0.38000,0.07672,0.38000,-0.02689,0.38000,-0.43900
0.39006,0.39000,0.06272,0.39000,-0.03226,0.39000,-0.45033
0.40006,0.40000,0.04639,0.40000,-0.03804,0.40000,-0.46219
0.41006,0.41000,0.02818,0.41000,-0.04384,0.41000,-0.47403
0.42007,0.42000,0.00859,0.42000,-0.04925,0.42000,-0.48534
0.43007,0.43000,-0.01181,0.43000,-0.05393,0.43000,-0.49569
0.44007,0.44000,-0.03244,0.44000,-0.05754,0.44000,-0.50472
0.45007,0.45000,-0.05275,0.45000,-0.05984,0.45000,-0.51222
0.46007,0.46000,-0.07226,0.46000,-0.06065,0.46000,-0.51811
0.47007,0.47000,-0.09057,0.47000,-0.05987,0.47000,-0.52243
0.48007,0.48000,-0.10736,0.48000,-0.05751,0.48000,-0.52531
0.49008,0.49000,-0.12243,0.49000,-0.05363,0.49000,-0.52700
0.50008,0.50000,-0.13567,0.50000,-0.04836,0.50000,-0.52776
0.51008,0.51000,-0.14705,0.51000,-0.04187,0.51000,-0.52789
0.52008,0.52000,-0.15665,0.52000,-0.03438,0.52000,-0.52767
0.53008,0.53000,-0.16460,0.53000,-0.02609,0.53000,-0.52732
0.54008,0.54000,-0.17108,0.54000,-0.01722,0.54000,-0.52702
0.55009,0.55000,-0.17632,0.55000,-0.00794,0.55000,-0.52683
0.56009,0.56000,-0.18056,0.56000,0.00155,0.56000,-0.52675
0.57009,0.57000,-0.18403,0.57000,0.01111,0.57000,-0.52673
0.58009,0.58000,-0.18695,0.58000,0.02061,0.58000,-0.52664
0.59009,0.59000,-0.18949,0.59000,0.02992,0.59000,-0.52634
0.60009,0.60000,-0.19178,0.60000,0.03894,0.60000,-0.52564
0.61009,0.61000,-0.19393,0.61000,0.04761,0.61000,-0.52439
0.62010,0.62000,-0.19600,0.62000,0.05584,0.62000,-0.52242
0.63010,0.63000,-0.19803,0.63000,0.06357,0.63000,-0.51961
