Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,0.02037,0.00000,0.18213,0.00000,0.03255,0.00000,-0.00805,0.00000,0.16188,0.00000,0.08226
0.01000,0.01000,0.01909,0.01000,0.18018,0.01000,0.03115,0.01000,-0.00848,0.01000,0.16038,0.01000,0.08429
0.02000,0.02000,0.01760,0.02000,0.17795,0.02000,0.02961,0.02000,-0.00891,0.02000,0.15899,0.02000,0.08645
0.03000,0.03000,0.01592,0.03000,0.17546,0.03000,0.02797,0.03000,-0.00933,0.03000,0.15782,0.03000,0.08863
0.04001,0.04000,0.01409,0.04000,0.17275,0.04000,0.02624,0.04000,-0.00972,0.04000,0.15695,0.04000,0.09076
0.05001,0.05000,0.01215,0.05000,0.16984,0.05000,0.02447,0.05000,-0.01004,0.05000,0.15647,0.05000,0.09275
0.06001,0.06000,0.01014,0.06000,0.16673,0.06000,0.02265,0.06000,-0.01028,0.06000,0.15641,0.06000,0.09454
0.07001,0.07000,0.00810,0.07000,0.16342,0.07000,0.02079,0.07000,-0.01042,0.07000,0.15682,0.07000,0.09604
0.08001,0.08000,0.00605,0.08000,0.15989,0.08000,0.01886,0.08000,-0.01046,0.08000,0.15769,0.08000,0.09720
0.09001,0.09000,0.00400,0.09000,0.15613,0.09000,0.01685,0.09000,-0.01041,0.09000,0.15903,0.09000,0.09794
0.10002,0.10000,0.00196,0.10000,0.15213,0.10000,0.01474,0.10000,-0.01028,0.10000,0.16080,0.10000,0.09821
0.11002,0.11000,-0.00009,0.11000,0.14789,0.11000,0.01253,0.11000,-0.01009,0.11000,0.16295,0.11000,0.09797
0.12002,0.12000,-0.00214,0.12000,0.14345,0.12000,0.01022,0.12000,-0.00989,0.12000,0.16540,0.12000,0.09722
0.13002,0.13000,-0.00419,0.13000,0.13889,0.13000,0.00784,0.13000,-0.00970,0.13000,0.16804,0.13000,0.09600
0.14002,0.14000,-0.00623,0.14000,0.13428,0.14000,0.00542,0.14000,-0.00957,0.14000,0.17076,0.14000,0.09440
0.15002,0.15000,-0.00822,0.15000,0.12975,0.15000,0.00299,0.15000,-0.00954,0.15000,0.17341,0.15000,0.09255
0.16002,0.16000,-0.01013,0.16000,0.12542,0.16000,0.00059,0.16000,-0.00965,0.16000,0.17591,0.16000,0.09062
0.17003,0.17000,-0.01193,0.17000,0.12139,0.17000,-0.00174,0.17000,-0.00993,0.17000,0.17819,0.17000,0.08872
0.18003,0.18000,-0.01361,0.18000,0.11776,0.18000,-0.00396,0.18000,-0.01043,0.18000,0.18026,0.18000,0.08695
0.19003,0.19000,-0.01517,0.19000,0.11457,0.19000,-0.00607,0.19000,-0.01117,0.19000,0.18221,0.19000,0.08534
0.20003,0.20000,-0.01662,0.20000,0.11183,0.20000,-0.00804,0.20000,-0.01218,0.20000,0.18415,0.20000,0.08385
0.21003,0.21000,-0.01801,0.21000,0.10949,0.21000,-0.00987,0.21000,-0.01349,0.21000,0.18622,0.21000,0.08240
0.22003,0.22000,-0.01942,0.22000,0.10748,0.22000,-0.01153,0.22000,-0.01511,0.22000,0.18853,0.22000,0.08087
0.23003,0.23000,-0.02091,0.23000,0.10569,0.23000,-0.01301,0.23000,-0.01707,0.23000,0.19114,0.23000,0.07919
0.24004,0.24000,-0.02258,0.24000,0.10398,0.24000,-0.01428,0.24000,-0.01936,0.24000,0.19404,0.24000,0.07729
0.25004,0.25000,-0.02449,0.25000,0.10225,0.25000,-0.01527,0.25000,-0.02197,0.25000,0.19714,0.25000,0.07520
0.26004,0.26000,-0.02671,0.26000,0.10039,0.26000,-0.01594,0.26000,-0.02491,0.26000,0.20027,0.26000,0.07301
0.27004,0.27000,-0.02927,0.27000,0.09833,0.27000,-0.01619,0.27000,-0.02813,0.27000,0.20319,0.27000,0.07084
0.28004,0.28000,-0.03220,0.28000,0.09603,0.28000,-0.01593,0.28000,-0.03161,0.28000,0.20563,0.28000,0.06888
0.29004,0.29000,-0.03548,0.29000,0.09349,0.29000,-0.01508,0.29000,-0.03529,0.29000,0.20734,0.29000,0.06727
0.30004,0.30000,-0.03909,0.30000,0.09073,0.30000,-0.01354,0.30000,-0.03912,0.30000,0.20809,0.30000,0.06614
0.31005,0.31000,-0.04297,0.31000,0.08782,0.31000,-0.01126,0.31000,-0.04304,0.31000,0.20774,0.31000,0.06553
0.32005,0.32000,-0.04705,0.32000,0.08484,0.32000,-0.00821,0.32000,-0.04699,0.32000,0.20624,0.32000,0.06536
0.33005,0.33000,-0.05127,0.33000,0.08186,0.33000,-0.00440,0.33000,-0.05094,0.33000,0.20370,0.33000,0.06547
0.34005,0.34000,-0.05556,0.34000,0.07896,0.34000,0.00011,0.34000,-0.05482,0.34000,0.20033,0.34000,0.06559
0.35005,0.35000,-0.05983,0.35000,0.07623,0.35000,0.00521,0.35000,-0.05860,0.35000,0.19646,0.35000,0.06540
0.36005,0.36000,-0.06403,0.36000,0.07370,0.36000,0.01076,0.36000,-0.06223,0.36000,0.19248,0.36000,0.06459
0.37005,0.37000,-0.06809,0.37000,0.07141,0.37000,0.01656,0.37000,-0.06569,0.37000,0.18878,0.37000,0.06286
0.38006,0.38000,-0.07196,0.38000,0.06935,0.38000,0.02241,0.38000,-0.06894,0.38000,0.18573,0.38000,0.06004
0.39006,0.39000,-0.07557,0.39000,0.06750,0.39000,0.02812,0.39000,-0.07195,0.39000,0.18358,0.39000,0.05611
0.40006,0.40000,-0.07890,0.40000,0.06581,0.40000,0.03349,0.40000,-0.07471,0.40000,0.18250,0.40000,0.05118
0.41006,0.41000,-0.08189,0.41000,0.06421,0.41000,0.03837,0.41000,-0.07722,0.41000,0.18250,0.41000,0.04553
0.42006,0.42000,-0.08449,0.42000,0.06266,0.42000,0.04264,0.42000,-0.07946,0.42000,0.18353,0.42000,0.03956
0.43006,0.43000,-0.08664,0.43000,0.06111,0.43000,0.04620,0.43000,-0.08143,0.43000,0.18542,0.43000,0.03373
0.44006,0.44000,-0.08828,0.44000,0.05955,0.44000,0.04902,0.44000,-0.08313,0.44000,0.18796,0.44000,0.02856
0.45007,0.45000,-0.08938,0.45000,0.05799,0.45000,0.05107,0.45000,-0.08454,0.45000,0.19090,0.45000,0.02451
