Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.22139,0.00000,-0.56986,0.00000,0.04334,0.00000,0.07556,0.00000,2.09084,0.00000,-3.27098
0.01001,0.01000,-0.22910,0.01000,-0.57819,0.01000,0.04744,0.01000,0.07531,0.01000,2.10901,0.01000,-3.27760
0.02001,0.02000,-0.23837,0.02000,-0.58812,0.02000,0.05223,0.02000,0.07518,0.02000,2.13059,0.02000,-3.28605
0.03002,0.03000,-0.24910,0.03000,-0.59960,0.03000,0.05764,0.03000,0.07512,0.03000,2.15517,0.03000,-3.29630
0.04002,0.04000,-0.26112,0.04000,-0.61256,0.04000,0.06356,0.04000,0.07504,0.04000,2.18213,0.04000,-3.30815
0.05003,0.05000,-0.27420,0.05000,-0.62691,0.05000,0.06989,0.05000,0.07476,0.05000,2.21068,0.05000,-3.32125
0.06003,0.06000,-0.28808,0.06000,-0.64252,0.06000,0.07651,0.06000,0.07407,0.06000,2.23998,0.06000,-3.33509
0.07004,0.07000,-0.30249,0.07000,-0.65926,0.07000,0.08332,0.07000,0.07271,0.07000,2.26919,0.07000,-3.34893
0.08004,0.08000,-0.31714,0.08000,-0.67698,0.08000,0.09023,0.08000,0.07043,0.08000,2.29755,0.08000,-3.36186
0.09005,0.09000,-0.33179,0.09000,-0.69546,0.09000,0.09721,0.09000,0.06700,0.09000,2.32444,0.09000,-3.37272
0.10005,0.10000,-0.34617,0.10000,-0.71445,0.10000,0.10423,0.10000,0.06224,0.10000,2.34946,0.10000,-3.38010
0.11006,0.11000,-0.36007,0.11000,-0.73363,0.11000,0.11131,0.11000,0.05610,0.11000,2.37248,0.11000,-3.38234
0.12006,0.12000,-0.37328,0.12000,-0.75260,0.12000,0.11854,0.12000,0.04865,0.12000,2.39366,0.12000,-3.37755
0.13007,0.13000,-0.38562,0.13000,-0.77089,0.13000,0.12599,0.13000,0.04008,0.13000,2.41355,0.13000,-3.36368
0.14008,0.14000,-0.39697,0.14000,-0.78791,0.14000,0.13382,0.14000,0.03073,0.14000,2.43311,0.14000,-3.33867
0.15008,0.15000,-0.40719,0.15000,-0.80299,0.15000,0.14217,0.15000,0.02107,0.15000,2.45375,0.15000,-3.30056
0.16009,0.16000,-0.41621,0.16000,-0.81534,0.16000,0.15120,0.16000,0.01167,0.16000,2.47728,0.16000,-3.24774
0.17009,0.17000,-0.42399,0.17000,-0.82413,0.17000,0.16108,0.17000,0.00314,0.17000,2.50586,0.17000,-3.17919
0.18010,0.18000,-0.43050,0.18000,-0.82849,0.18000,0.17196,0.18000,-0.00390,0.18000,2.54176,0.18000,-3.09465
0.19010,0.19000,-0.43572,0.19000,-0.82757,0.19000,0.18394,0.19000,-0.00890,0.19000,2.58716,0.19000,-2.99484
0.20011,0.20000,-0.43963,0.20000,-0.82067,0.20000,0.19708,0.20000,-0.01153,0.20000,2.64378,0.20000,-2.88147
0.21011,0.21000,-0.44217,0.21000,-0.80731,0.21000,0.21133,0.21000,-0.01167,0.21000,2.71259,0.21000,-2.75723
0.22012,0.22000,-0.44329,0.22000,-0.78731,0.22000,0.22658,0.22000,-0.00956,0.22000,2.79350,0.22000,-2.62549
0.23012,0.23000,-0.44289,0.23000,-0.76088,0.23000,0.24261,0.23000,-0.00578,0.23000,2.88531,0.23000,-2.49000
0.24013,0.24000,-0.44093,0.24000,-0.72859,0.24000,0.25913,0.24000,-0.00126,0.24000,2.98566,0.24000,-2.35446
0.25013,0.25000,-0.43741,0.25000,-0.69141,0.25000,0.27578,0.25000,0.00286,0.25000,3.09137,0.25000,-2.22209
0.26014,0.26000,-0.43244,0.26000,-0.65054,0.26000,0.29222,0.26000,0.00527,0.26000,3.19882,0.26000,-2.09528
0.27014,0.27000,-0.42627,0.27000,-0.60738,0.27000,0.30811,0.27000,0.00474,0.27000,3.30446,0.27000,-1.97542
0.28015,0.28000,-0.41926,0.28000,-0.56333,0.28000,0.32321,0.28000,0.00025,0.28000,3.40535,0.28000,-1.86280
0.29016,0.29000,-0.41183,0.29000,-0.51968,0.29000,0.33739,0.29000,-0.00889,0.29000,3.49949,0.29000,-1.75678
0.30016,0.30000,-0.40442,0.30000,-0.47752,0.30000,0.35062,0.30000,-0.02287,0.30000,3.58592,0.30000,-1.65600
0.31017,0.31000,-0.39735,0.31000,-0.43767,0.31000,0.36296,0.31000,-0.04143,0.31000,3.66468,0.31000,-1.55878
0.32017,0.32000,-0.39074,0.32000,-0.40063,0.32000,0.37456,0.32000,-0.06380,0.32000,3.73638,0.32000,-1.46341
0.33018,0.33000,-0.38449,0.33000,-0.36660,0.33000,0.38555,0.33000,-0.08885,0.33000,3.80186,0.33000,-1.36855
0.34018,0.34000,-0.37820,0.34000,-0.33557,0.34000,0.39601,0.34000,-0.11520,0.34000,3.86178,0.34000,-1.27351
0.35019,0.35000,-0.37133,0.35000,-0.30731,0.35000,0.40596,0.35000,-0.14136,0.35000,3.91627,0.35000,-1.17841
0.36019,0.36000,-0.36324,0.36000,-0.28153,0.36000,0.41532,0.36000,-0.16593,0.36000,3.96485,0.36000,-1.08425
0.37020,0.37000,-0.35332,0.37000,-0.25792,0.37000,0.42390,0.37000,-0.18770,0.37000,4.00648,0.37000,-0.99291
0.38020,0.38000,-0.34114,0.38000,-0.23619,0.38000,0.43146,0.38000,-0.20580,0.38000,4.03969,0.38000,-0.90694
0.39021,0.39000,-0.32652,0.39000,-0.21615,0.39000,0.43771,0.39000,-0.21974,0.39000,4.06286,0.39000,-0.82940
