Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,0.12311,0.00000,0.10145,0.00000,-0.00109,0.00000,0.15057,0.00000,-0.20900,0.00000,-0.14381
0.01000,0.01000,0.12438,0.01000,0.10151,0.01000,-0.00379,0.01000,0.15229,0.01000,-0.20748,0.01000,-0.14677
0.02000,0.02000,0.12577,0.02000,0.10159,0.02000,-0.00680,0.02000,0.15443,0.02000,-0.20605,0.02000,-0.14971
0.03000,0.03000,0.12720,0.03000,0.10168,0.03000,-0.01002,0.03000,0.15695,0.03000,-0.20479,0.03000,-0.15245
0.04001,0.04000,0.12861,0.04000,0.10175,0.04000,-0.01333,0.04000,0.15980,0.04000,-0.20378,0.04000,-0.15482
0.05001,0.05000,0.12992,0.05000,0.10178,0.05000,-0.01662,0.05000,0.16286,0.05000,-0.20309,0.05000,-0.15667
0.06001,0.06000,0.13106,0.06000,0.10174,0.06000,-0.01975,0.06000,0.16602,0.06000,-0.20274,0.06000,-0.15795
0.07001,0.07000,0.13196,0.07000,0.10162,0.07000,-0.02263,0.07000,0.16916,0.07000,-0.20272,0.07000,-0.15867
0.08001,0.08000,0.13256,0.08000,0.10138,0.08000,-0.02517,0.08000,0.17215,0.08000,-0.20300,0.08000,-0.15896
0.09001,0.09000,0.13283,0.09000,0.10101,0.09000,-0.02733,0.09000,0.17487,0.09000,-0.20351,0.09000,-0.15900
0.10001,0.10000,0.13276,0.10000,0.10051,0.10000,-0.02908,0.10000,0.17727,0.10000,-0.20417,0.10000,-0.15906
0.11002,0.11000,0.13237,0.11000,0.09988,0.11000,-0.03042,0.11000,0.17928,0.11000,-0.20486,0.11000,-0.15940
0.12002,0.12000,0.13170,0.12000,0.09915,0.12000,-0.03134,0.12000,0.18090,0.12000,-0.20550,0.12000,-0.16025
0.13002,0.13000,0.13080,0.13000,0.09837,0.13000,-0.03186,0.13000,0.18216,0.13000,-0.20600,0.13000,-0.16177
0.14002,0.14000,0.12975,0.14000,0.09758,0.14000,-0.03199,0.14000,0.18311,0.14000,-0.20628,0.14000,-0.16406
0.15002,0.15000,0.12862,0.15000,0.09687,0.15000,-0.03172,0.15000,0.18383,0.15000,-0.20631,0.15000,-0.16706
0.16002,0.16000,0.12750,0.16000,0.09632,0.16000,-0.03107,0.16000,0.18442,0.16000,-0.20607,0.16000,-0.17066
0.17002,0.17000,0.12644,0.17000,0.09601,0.17000,-0.03003,0.17000,0.18495,0.17000,-0.20558,0.17000,-0.17466
0.18003,0.18000,0.12550,0.18000,0.09600,0.18000,-0.02862,0.18000,0.18549,0.18000,-0.20487,0.18000,-0.17884
0.19003,0.19000,0.12469,0.19000,0.09635,0.19000,-0.02685,0.19000,0.18609,0.19000,-0.20395,0.19000,-0.18296
0.20003,0.20000,0.12399,0.20000,0.09708,0.20000,-0.02475,0.20000,0.18677,0.20000,-0.20283,0.20000,-0.18681
0.21003,0.21000,0.12337,0.21000,0.09819,0.21000,-0.02236,0.21000,0.18751,0.21000,-0.20151,0.21000,-0.19022
0.22003,0.22000,0.12273,0.22000,0.09963,0.22000,-0.01973,0.22000,0.18825,0.22000,-0.19993,0.22000,-0.19305
0.23003,0.23000,0.12201,0.23000,0.10135,0.23000,-0.01690,0.23000,0.18895,0.23000,-0.19801,0.23000,-0.19525
0.24003,0.24000,0.12112,0.24000,0.10331,0.24000,-0.01391,0.24000,0.18955,0.24000,-0.19566,0.24000,-0.19679
0.25004,0.25000,0.11998,0.25000,0.10542,0.25000,-0.01083,0.25000,0.18997,0.25000,-0.19275,0.25000,-0.19768
0.26004,0.26000,0.11857,0.26000,0.10764,0.26000,-0.00769,0.26000,0.19019,0.26000,-0.18921,0.26000,-0.19799
0.27004,0.27000,0.11685,0.27000,0.10992,0.27000,-0.00454,0.27000,0.19017,0.27000,-0.18497,0.27000,-0.19779
0.28004,0.28000,0.11483,0.28000,0.11223,0.28000,-0.00141,0.28000,0.18990,0.28000,-0.18005,0.28000,-0.19717
0.29004,0.29000,0.11254,0.29000,0.11450,0.29000,0.00169,0.29000,0.18938,0.29000,-0.17452,0.29000,-0.19624
0.30004,0.30000,0.10999,0.30000,0.11671,0.30000,0.00473,0.30000,0.18862,0.30000,-0.16851,0.30000,-0.19509
0.31004,0.31000,0.10723,0.31000,0.11879,0.31000,0.00772,0.31000,0.18764,0.31000,-0.16226,0.31000,-0.19378
0.32005,0.32000,0.10430,0.32000,0.12068,0.32000,0.01067,0.32000,0.18647,0.32000,-0.15599,0.32000,-0.19235
0.33005,0.33000,0.10123,0.33000,0.12233,0.33000,0.01360,0.33000,0.18513,0.33000,-0.14998,0.33000,-0.19079
0.34005,0.34000,0.09806,0.34000,0.12368,0.34000,0.01653,0.34000,0.18367,0.34000,-0.14449,0.34000,-0.18903
0.35005,0.35000,0.09484,0.35000,0.12469,0.35000,0.01949,0.35000,0.18212,0.35000,-0.13972,0.35000,-0.18698
0.36005,0.36000,0.09162,0.36000,0.12534,0.36000,0.02252,0.36000,0.18052,0.36000,-0.13582,0.36000,-0.18449
0.37005,0.37000,0.08845,0.37000,0.12563,0.37000,0.02563,0.37000,0.17889,0.37000,-0.13285,0.37000,-0.18145
0.38005,0.38000,0.08538,0.38000,0.12558,0.38000,0.02885,0.38000,0.17725,0.38000,-0.13079,0.38000,-0.17773
0.39006,0.39000,0.08248,0.39000,0.12520,0.39000,0.03218,0.39000,0.17560,0.39000,-0.12953,0.39000,-0.17325
0.40006,0.40000,0.07977,0.40000,0.12453,0.40000,0.03565,0.40000,0.17395,0.40000,-0.12888,0.40000,-0.16801
0.41006,0.41000,0.07729,0.41000,0.12360,0.41000,0.03924,0.41000,0.17229,0.41000,-0.12859,0.41000,-0.16206
0.42006,0.42000,0.07507,0.42000,0.12246,0.42000,0.04296,0.42000,0.17061,0.42000,-0.12836,0.42000,-0.15555
0.43006,0.43000,0.07309,0.43000,0.12112,0.43000,0.04679,0.43000,0.16893,0.43000,-0.12785,0.43000,-0.14870
0.44006,0.44000,0.07133,0.44000,0.11964,0.44000,0.05074,0.44000,0.16726,0.44000,-0.12675,0.44000,-0.14181
0.45006,0.45000,0.06976,0.45000,0.11806,0.45000,0.05477,0.45000,0.16560,0.45000,-0.12479,0.45000,-0.13523
0.46007,0.46000,0.06833,0.46000,0.11641,0.46000,0.05887,0.46000,0.16400,0.46000,-0.12174,0.46000,-0.12936
0.47007,0.47000,0.06696,0.47000,0.11474,0.47000,0.06302,0.47000,0.16244,0.47000,-0.11748,0.47000,-0.12456
