Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,1.02556,0.00000,0.05503,0.00000,0.17246
0.01000,0.01000,0.99884,0.01000,0.05908,0.01000,0.16854
0.02000,0.02000,0.96729,0.02000,0.06310,0.02000,0.16340
0.03000,0.03000,0.93128,0.03000,0.06677,0.03000,0.15696
0.04001,0.04000,0.89130,0.04000,0.06977,0.04000,0.14920
0.05001,0.05000,0.84799,0.05000,0.07177,0.05000,0.14018
0.06001,0.06000,0.80195,0.06000,0.07246,0.06000,0.13000
0.07001,0.07000,0.75375,0.07000,0.07160,0.07000,0.11890
0.08001,0.08000,0.70386,0.08000,0.06903,0.08000,0.10714
0.09001,0.09000,0.65261,0.09000,0.06469,0.09000,0.09509
0.10001,0.10000,0.60021,0.10000,0.05864,0.10000,0.08314
0.11002,0.11000,0.54674,0.11000,0.05104,0.11000,0.07168
0.12002,0.12000,0.49219,0.12000,0.04216,0.12000,0.06108
0.13002,0.13000,0.43649,0.13000,0.03236,0.13000,0.05158
0.14002,0.14000,0.37953,0.14000,0.02206,0.14000,0.04333
0.15002,0.15000,0.32123,0.15000,0.01170,0.15000,0.03626
0.16002,0.16000,0.26153,0.16000,0.00171,0.16000,0.03016
0.17002,0.17000,0.20044,0.17000,-0.00751,0.17000,0.02461
0.18003,0.18000,0.13806,0.18000,-0.01563,0.18000,0.01909
0.19003,0.19000,0.07456,0.19000,-0.02240,0.19000,0.01300
0.20003,0.20000,0.01017,0.20000,-0.02766,0.20000,0.00575
0.21003,0.21000,-0.05479,0.21000,-0.03137,0.21000,-0.00316
0.22003,0.22000,-0.11998,0.22000,-0.03358,0.22000,-0.01408
0.23003,0.23000,-0.18504,0.23000,-0.03444,0.23000,-0.02715
0.24003,0.24000,-0.24960,0.24000,-0.03416,0.24000,-0.04229
0.25004,0.25000,-0.31332,0.25000,-0.03300,0.25000,-0.05922
0.26004,0.26000,-0.37588,0.26000,-0.03126,0.26000,-0.07744
0.27004,0.27000,-0.43700,0.27000,-0.02920,0.27000,-0.09632
0.28004,0.28000,-0.49641,0.28000,-0.02703,0.28000,-0.11512
0.29004,0.29000,-0.55389,0.29000,-0.02489,0.29000,-0.13311
0.30004,0.30000,-0.60924,0.30000,-0.02283,0.30000,-0.14960
0.31004,0.31000,-0.66226,0.31000,-0.02082,0.31000,-0.16400
0.32005,0.32000,-0.71272,0.32000,-0.01874,0.32000,-0.17589
0.33005,0.33000,-0.76038,0.33000,-0.01645,0.33000,-0.18499
0.34005,0.34000,-0.80499,0.34000,-0.01377,0.34000,-0.19122
0.35005,0.35000,-0.84626,0.35000,-0.01051,0.35000,-0.19463
0.36005,0.36000,-0.88392,0.36000,-0.00657,0.36000,-0.19544
0.37005,0.37000,-0.91770,0.37000,-0.00187,0.37000,-0.19396
0.38005,0.38000,-0.94736,0.38000,0.00358,0.38000,-0.19062
0.39006,0.39000,-0.97270,0.39000,0.00967,0.39000,-0.18590
0.40006,0.40000,-0.99355,0.40000,0.01625,0.40000,-0.18033
0.41006,0.41000,-1.00979,0.41000,0.02311,0.41000,-0.17440
0.42006,0.42000,-1.02136,0.42000,0.03001,0.42000,-0.16860
0.43006,0.43000,-1.02825,0.43000,0.03670,0.43000,-0.16329
0.44006,0.44000,-1.03051,0.44000,0.04296,0.44000,-0.15873
0.45006,0.45000,-1.02824,0.45000,0.04862,0.45000,-0.15504
0.46007,0.46000,-1.02161,0.46000,0.05355,0.46000,-0.15222
0.47007,0.47000,-1.01086,0.47000,0.05771,0.47000,-0.15014
0.48007,0.48000,-0.99631,0.48000,0.06112,0.48000,-0.14863
0.49007,0.49000,-0.97832,0.49000,0.06384,0.49000,-0.14752
0.50007,0.50000,-0.95736,0.50000,0.06599,0.50000,-0.14667
0.51007,0.51000,-0.93396,0.51000,0.06771,0.51000,-0.14604
0.52007,0.52000,-0.90870,0.52000,0.06915,0.52000,-0.14567
0.53008,0.53000,-0.88219,0.53000,0.07045,0.53000,-0.14571
0.54008,0.54000,-0.85504,0.54000,0.07173,0.54000,-0.14633
0.55008,0.55000,-0.82785,0.55000,0.07305,0.55000,-0.14776
0.56008,0.56000,-0.80119,0.56000,0.07444,0.56000,-0.15017
0.57008,0.57000,-0.77557,0.57000,0.07588,0.57000,-0.15370
0.58008,0.58000,-0.75144,0.58000,0.07729,0.58000,-0.15837
0.59008,0.59000,-0.72917,0.59000,0.07854,0.59000,-0.16410
0.60009,0.60000,-0.70909,0.60000,0.07953,0.60000,-0.17069
0.61009,0.61000,-0.69143,0.61000,0.08012,0.61000,-0.17784
0.62009,0.62000,-0.67637,0.62000,0.08022,0.62000,-0.18522
0.63009,0.63000,-0.66401,0.63000,0.07980,0.63000,-0.19247
0.64009,0.64000,-0.65437,0.64000,0.07885,0.64000,-0.19930
0.65009,0.65000,-0.64737,0.65000,0.07745,0.65000,-0.20553
0.66009,0.66000,-0.64286,0.66000,0.07568,0.66000,-0.21109
0.67010,0.67000,-0.64056,0.67000,0.07368,0.67000,-0.21606
0.68010,0.68000,-0.64013,0.68000,0.07158,0.68000,-0.22061
0.69010,0.69000,-0.64118,0.69000,0.06954,0.69000,-0.22495
0.70010,0.70000,-0.64324,0.70000,0.06766,0.70000,-0.22930
0.71010,0.71000,-0.64589,0.71000,0.06605,0.71000,-0.23382
0.72010,0.72000,-0.64869,0.72000,0.06480,0.72000,-0.23857
0.73010,0.73000,-0.65128,0.73000,0.06398,0.73000,-0.24352
0.74011,0.74000,-0.65341,0.74000,0.06363,0.74000,-0.24850
0.75011,0.75000,-0.65489,0.75000,0.06380,0.75000,-0.25327
0.76011,0.76000,-0.65567,0.76000,0.06452,0.76000,-0.25752
0.77011,0.77000,-0.65576,0.77000,0.06581,0.77000,-0.26095
0.78011,0.78000,-0.65527,0.78000,0.06768,0.78000,-0.26329
0.79011,0.79000,-0.65437,0.79000,0.07012,0.79000,-0.26438
0.80011,0.80000,-0.65321,0.80000,0.07310,0.80000,-0.26417
0.81012,0.81000,-0.65196,0.81000,0.07657,0.81000,-0.26273
0.82012,0.82000,-0.65073,0.82000,0.08045,0.82000,-0.26027
0.83012,0.83000,-0.64957,0.83000,0.08462,0.83000,-0.25704
0.84012,0.84000,-0.64844,0.84000,0.08893,0.84000,-0.25335
0.85012,0.85000,-0.64721,0.85000,0.09324,0.85000,-0.24950
0.86012,0.86000,-0.64567,0.86000,0.09735,0.86000,-0.24575
0.87012,0.87000,-0.64357,0.87000,0.10110,0.87000,-0.24229
0.88013,0.88000,-0.64058,0.88000,0.10432,0.88000,-0.23926
0.89013,0.89000,-0.63641,0.89000,0.10690,0.89000,-0.23671
0.90013,0.90000,-0.63080,0.90000,0.10875,0.90000,-0.23463
0.91013,0.91000,-0.62354,0.91000,0.10988,0.91000,-0.23294
