Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.12791,0.00000,-0.21377,0.00000,-0.16215,0.00000,0.19143,0.00000,-0.00184,0.00000,-0.15326
0.01001,0.01000,-0.13091,0.01000,-0.21679,0.01000,-0.16016,0.01000,0.18878,0.01000,0.00527,0.01000,-0.15386
0.02001,0.02000,-0.13421,0.02000,-0.22022,0.02000,-0.15805,0.02000,0.18575,0.02000,0.01290,0.02000,-0.15473
0.03002,0.03000,-0.13769,0.03000,-0.22394,0.03000,-0.15592,0.03000,0.18239,0.03000,0.02071,0.03000,-0.15591
0.04002,0.04000,-0.14124,0.04000,-0.22784,0.04000,-0.15388,0.04000,0.17878,0.04000,0.02832,0.04000,-0.15742
0.05003,0.05000,-0.14474,0.05000,-0.23179,0.05000,-0.15205,0.05000,0.17502,0.05000,0.03536,0.05000,-0.15927
0.06003,0.06000,-0.14808,0.06000,-0.23568,0.06000,-0.15052,0.06000,0.17122,0.06000,0.04149,0.06000,-0.16145
0.07004,0.07000,-0.15118,0.07000,-0.23941,0.07000,-0.14936,0.07000,0.16748,0.07000,0.04646,0.07000,-0.16391
0.08004,0.08000,-0.15399,0.08000,-0.24294,0.08000,-0.14863,0.08000,0.16391,0.08000,0.05009,0.08000,-0.16658
0.09005,0.09000,-0.15649,0.09000,-0.24624,0.09000,-0.14833,0.09000,0.16062,0.09000,0.05231,0.09000,-0.16941
0.10005,0.10000,-0.15868,0.10000,-0.24934,0.10000,-0.14844,0.10000,0.15770,0.10000,0.05314,0.10000,-0.17230
