Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.30036,0.00000,0.20231,0.00000,0.04859,0.00000,-0.10267,0.00000,0.49481,0.00000,0.30267
0.01000,0.01000,0.29818,0.01000,0.20018,0.01000,0.04880,0.01000,-0.10129,0.01000,0.47524,0.01000,0.30224
0.02000,0.02000,0.29552,0.02000,0.19756,0.02000,0.04900,0.02000,-0.09967,0.02000,0.45474,0.02000,0.30097
0.03000,0.03000,0.29236,0.03000,0.19445,0.03000,0.04919,0.03000,-0.09787,0.03000,0.43309,0.03000,0.29869
0.04001,0.04000,0.28875,0.04000,0.19092,0.04000,0.04933,0.04000,-0.09593,0.04000,0.41399,0.04000,0.29530
0.05001,0.05000,0.28471,0.05000,0.18701,0.05000,0.04942,0.05000,-0.09390,0.05000,0.40331,0.05000,0.29073
0.06001,0.06000,0.28029,0.06000,0.18283,0.06000,0.04943,0.06000,-0.09186,0.06000,0.40088,0.06000,0.28496
0.07001,0.07000,0.27554,0.07000,0.17846,0.07000,0.04935,0.07000,-0.08985,0.07000,0.40293,0.07000,0.27804
0.08001,0.08000,0.27052,0.08000,0.17402,0.08000,0.04917,0.08000,-0.08793,0.08000,0.40563,0.08000,0.27003
0.09001,0.09000,0.26527,0.09000,0.16961,0.09000,0.04888,0.09000,-0.08612,0.09000,0.40689,0.09000,0.26100
0.10002,0.10000,0.25987,0.10000,0.16532,0.10000,0.04847,0.10000,-0.08445,0.10000,0.40434,0.10000,0.25107
0.11002,0.11000,0.25436,0.11000,0.16122,0.11000,0.04796,0.11000,-0.08292,0.11000,0.40017,0.11000,0.24032
0.12002,0.12000,0.24878,0.12000,0.15736,0.12000,0.04733,0.12000,-0.08150,0.12000,0.39964,0.12000,0.22886
0.13002,0.13000,0.24319,0.13000,0.15378,0.13000,0.04659,0.13000,-0.08017,0.13000,0.39914,0.13000,0.21679
0.14002,0.14000,0.23763,0.14000,0.15048,0.14000,0.04576,0.14000,-0.07889,0.14000,0.40238,0.14000,0.20425
0.15002,0.15000,0.23214,0.15000,0.14745,0.15000,0.04485,0.15000,-0.07760,0.15000,0.40883,0.15000,0.19139
0.16002,0.16000,0.22675,0.16000,0.14467,0.16000,0.04388,0.16000,-0.07626,0.16000,0.41523,0.16000,0.17837
0.17003,0.17000,0.22150,0.17000,0.14212,0.17000,0.04286,0.17000,-0.07482,0.17000,0.41813,0.17000,0.16540
0.18003,0.18000,0.21642,0.18000,0.13976,0.18000,0.04181,0.18000,-0.07323,0.18000,0.42422,0.18000,0.15272
0.19003,0.19000,0.21155,0.19000,0.13758,0.19000,0.04076,0.19000,-0.07147,0.19000,0.42725,0.19000,0.14053
0.20003,0.20000,0.20689,0.20000,0.13556,0.20000,0.03971,0.20000,-0.06951,0.20000,0.42783,0.20000,0.12906
0.21003,0.21000,0.20248,0.21000,0.13369,0.21000,0.03868,0.21000,-0.06736,0.21000,0.42979,0.21000,0.11846
0.22003,0.22000,0.19832,0.22000,0.13197,0.22000,0.03768,0.22000,-0.06506,0.22000,0.43057,0.22000,0.10883
0.23003,0.23000,0.19443,0.23000,0.13040,0.23000,0.03672,0.23000,-0.06262,0.23000,0.43155,0.23000,0.10020
0.24004,0.24000,0.19083,0.24000,0.12896,0.24000,0.03580,0.24000,-0.06011,0.24000,0.43064,0.24000,0.09252
0.25004,0.25000,0.18754,0.25000,0.12766,0.25000,0.03495,0.25000,-0.05758,0.25000,0.42481,0.25000,0.08568
0.26004,0.26000,0.18457,0.26000,0.12647,0.26000,0.03416,0.26000,-0.05509,0.26000,0.41750,0.26000,0.07954
0.27004,0.27000,0.18195,0.27000,0.12537,0.27000,0.03347,0.27000,-0.05271,0.27000,0.40473,0.27000,0.07391
0.28004,0.28000,0.17969,0.28000,0.12433,0.28000,0.03288,0.28000,-0.05047,0.28000,0.39362,0.28000,0.06866
0.29004,0.29000,0.17779,0.29000,0.12335,0.29000,0.03243,0.29000,-0.04844,0.29000,0.38319,0.29000,0.06368
0.30004,0.30000,0.17628,0.30000,0.12240,0.30000,0.03212,0.30000,-0.04663,0.30000,0.37387,0.30000,0.05895
0.31005,0.31000,0.17514,0.31000,0.12150,0.31000,0.03198,0.31000,-0.04506,0.31000,0.36598,0.31000,0.05452
0.32005,0.32000,0.17438,0.32000,0.12065,0.32000,0.03198,0.32000,-0.04375,0.32000,0.36214,0.32000,0.05051
0.33005,0.33000,0.17401,0.33000,0.11987,0.33000,0.03213,0.33000,-0.04268,0.33000,0.35862,0.33000,0.04710
0.34005,0.34000,0.17400,0.34000,0.11918,0.34000,0.03238,0.34000,-0.04182,0.34000,0.35391,0.34000,0.04449
0.35005,0.35000,0.17434,0.35000,0.11861,0.35000,0.03270,0.35000,-0.04113,0.35000,0.35829,0.35000,0.04286
0.36005,0.36000,0.17502,0.36000,0.11814,0.36000,0.03305,0.36000,-0.04055,0.36000,0.36433,0.36000,0.04234
0.37005,0.37000,0.17599,0.37000,0.11778,0.37000,0.03337,0.37000,-0.04003,0.37000,0.36859,0.37000,0.04297
0.38006,0.38000,0.17721,0.38000,0.11749,0.38000,0.03362,0.38000,-0.03952,0.38000,0.37274,0.38000,0.04472
0.39006,0.39000,0.17862,0.39000,0.11724,0.39000,0.03377,0.39000,-0.03897,0.39000,0.37839,0.39000,0.04743
0.40006,0.40000,0.18016,0.40000,0.11697,0.40000,0.03381,0.40000,-0.03834,0.40000,0.37376,0.40000,0.05087
0.41006,0.41000,0.18177,0.41000,0.11661,0.41000,0.03371,0.41000,-0.03762,0.41000,0.36990,0.41000,0.05471
0.42006,0.42000,0.18338,0.42000,0.11610,0.42000,0.03349,0.42000,-0.03680,0.42000,0.36787,0.42000,0.05860
0.43006,0.43000,0.18493,0.43000,0.11538,0.43000,0.03315,0.43000,-0.03588,0.43000,0.36607,0.43000,0.06213
0.44006,0.44000,0.18636,0.44000,0.11440,0.44000,0.03270,0.44000,-0.03485,0.44000,0.36309,0.44000,0.06494
0.45007,0.45000,0.18763,0.45000,0.11312,0.45000,0.03219,0.45000,-0.03373,0.45000,0.37650,0.45000,0.06668
0.46007,0.46000,0.18868,0.46000,0.11153,0.46000,0.03162,0.46000,-0.03250,0.46000,0.38830,0.46000,0.06708
0.47007,0.47000,0.18949,0.47000,0.10964,0.47000,0.03102,0.47000,-0.03115,0.47000,0.39269,0.47000,0.06592
0.48007,0.48000,0.19004,0.48000,0.10747,0.48000,0.03040,0.48000,-0.02966,0.48000,0.39580,0.48000,0.06310
0.49007,0.49000,0.19030,0.49000,0.10506,0.49000,0.02978,0.49000,-0.02801,0.49000,0.39896,0.49000,0.05859
0.50007,0.50000,0.19027,0.50000,0.10245,0.50000,0.02913,0.50000,-0.02618,0.50000,0.39829,0.50000,0.05244
0.51007,0.51000,0.18997,0.51000,0.09969,0.51000,0.02846,0.51000,-0.02415,0.51000,0.39586,0.51000,0.04480
