Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.02411,0.00000,-0.05930,0.00000,-0.00941,0.00000,-0.06879,0.00000,-0.18199,0.00000,0.23415
0.01000,0.01000,-0.02507,0.01000,-0.05729,0.01000,-0.01096,0.01000,-0.06869,0.01000,-0.16993,0.01000,0.23787
0.02000,0.02000,-0.02620,0.02000,-0.05518,0.02000,-0.01256,0.02000,-0.06845,0.02000,-0.14616,0.02000,0.24209
0.03000,0.03000,-0.02748,0.03000,-0.05305,0.03000,-0.01411,0.03000,-0.06803,0.03000,-0.11657,0.03000,0.24669
0.04001,0.04000,-0.02886,0.04000,-0.05097,0.04000,-0.01546,0.04000,-0.06744,0.04000,-0.09843,0.04000,0.25154
0.05001,0.05000,-0.03028,0.05000,-0.04900,0.05000,-0.01650,0.05000,-0.06668,0.05000,-0.08665,0.05000,0.25649
0.06001,0.06000,-0.03168,0.06000,-0.04719,0.06000,-0.01708,0.06000,-0.06579,0.06000,-0.07954,0.06000,0.26139
0.07001,0.07000,-0.03302,0.07000,-0.04556,0.07000,-0.01713,0.07000,-0.06480,0.07000,-0.07481,0.07000,0.26608
0.08001,0.08000,-0.03425,0.08000,-0.04411,0.08000,-0.01659,0.08000,-0.06380,0.08000,-0.06828,0.08000,0.27044
0.09001,0.09000,-0.03535,0.09000,-0.04282,0.09000,-0.01549,0.09000,-0.06285,0.09000,-0.06147,0.09000,0.27434
0.10001,0.10000,-0.03630,0.10000,-0.04168,0.10000,-0.01388,0.10000,-0.06204,0.10000,-0.06253,0.10000,0.27769
0.11001,0.11000,-0.03713,0.11000,-0.04064,0.11000,-0.01186,0.11000,-0.06146,0.11000,-0.05170,0.11000,0.28042
0.12002,0.12000,-0.03782,0.12000,-0.03967,0.12000,-0.00955,0.12000,-0.06118,0.12000,-0.04194,0.12000,0.28250
0.13002,0.13000,-0.03841,0.13000,-0.03873,0.13000,-0.00711,0.13000,-0.06128,0.13000,-0.02908,0.13000,0.28393
0.14002,0.14000,-0.03890,0.14000,-0.03780,0.14000,-0.00467,0.14000,-0.06179,0.14000,-0.01656,0.14000,0.28473
0.15002,0.15000,-0.03929,0.15000,-0.03686,0.15000,-0.00238,0.15000,-0.06275,0.15000,-0.00493,0.15000,0.28496
0.16002,0.16000,-0.03957,0.16000,-0.03589,0.16000,-0.00033,0.16000,-0.06415,0.16000,0.00623,0.16000,0.28469
0.17002,0.17000,-0.03971,0.17000,-0.03490,0.17000,0.00139,0.17000,-0.06595,0.17000,0.00729,0.17000,0.28402
0.18002,0.18000,-0.03971,0.18000,-0.03388,0.18000,0.00274,0.18000,-0.06810,0.18000,0.00970,0.18000,0.28304
0.19002,0.19000,-0.03956,0.19000,-0.03286,0.19000,0.00369,0.19000,-0.07051,0.19000,0.01097,0.19000,0.28187
