Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.02177,0.00000,0.63881,0.00000,-0.23454,0.00000,0.10336,0.00000,0.32219,0.00000,-0.48597
0.01000,0.01000,0.00484,0.01000,0.63576,0.01000,-0.24031,0.01000,0.10809,0.01000,0.32393,0.01000,-0.47619
0.02000,0.02000,-0.01463,0.02000,0.63093,0.02000,-0.24779,0.02000,0.11302,0.02000,0.32463,0.02000,-0.46183
0.03000,0.03000,-0.03624,0.03000,0.62390,0.03000,-0.25709,0.03000,0.11783,0.03000,0.32400,0.03000,-0.44229
0.04001,0.04000,-0.05950,0.04000,0.61421,0.04000,-0.26823,0.04000,0.12212,0.04000,0.32182,0.04000,-0.41720
0.05001,0.05000,-0.08388,0.05000,0.60141,0.05000,-0.28120,0.05000,0.12546,0.05000,0.31797,0.05000,-0.38635
0.06001,0.06000,-0.10885,0.06000,0.58506,0.06000,-0.29588,0.06000,0.12742,0.06000,0.31249,0.06000,-0.34979
0.07001,0.07000,-0.13395,0.07000,0.56477,0.07000,-0.31207,0.07000,0.12762,0.07000,0.30550,0.07000,-0.30778
0.08001,0.08000,-0.15882,0.08000,0.54024,0.08000,-0.32947,0.08000,0.12572,0.08000,0.29726,0.08000,-0.26077
0.09001,0.09000,-0.18323,0.09000,0.51125,0.09000,-0.34767,0.09000,0.12148,0.09000,0.28806,0.09000,-0.20936
0.10001,0.10000,-0.20709,0.10000,0.47769,0.10000,-0.36616,0.10000,0.11475,0.10000,0.27817,0.10000,-0.15427
0.11002,0.11000,-0.23039,0.11000,0.43955,0.11000,-0.38434,0.11000,0.10546,0.11000,0.26784,0.11000,-0.09623
0.12002,0.12000,-0.25327,0.12000,0.39695,0.12000,-0.40156,0.12000,0.09366,0.12000,0.25720,0.12000,-0.03599
0.13002,0.13000,-0.27587,0.13000,0.35006,0.13000,-0.41713,0.13000,0.07945,0.13000,0.24631,0.13000,0.02575
0.14002,0.14000,-0.29837,0.14000,0.29919,0.14000,-0.43035,0.14000,0.06300,0.14000,0.23515,0.14000,0.08832
0.15002,0.15000,-0.32090,0.15000,0.24471,0.15000,-0.44060,0.15000,0.04454,0.15000,0.22363,0.15000,0.15107
0.16002,0.16000,-0.34348,0.16000,0.18713,0.16000,-0.44730,0.16000,0.02433,0.16000,0.21161,0.16000,0.21333
0.17002,0.17000,-0.36605,0.17000,0.12709,0.17000,-0.45001,0.17000,0.00267,0.17000,0.19892,0.17000,0.27440
0.18003,0.18000,-0.38835,0.18000,0.06539,0.18000,-0.44845,0.18000,-0.02014,0.18000,0.18536,0.18000,0.33348
0.19003,0.19000,-0.40999,0.19000,0.00302,0.19000,-0.44249,0.19000,-0.04376,0.19000,0.17073,0.19000,0.38973
0.20003,0.20000,-0.43040,0.20000,-0.05887,0.20000,-0.43221,0.20000,-0.06786,0.20000,0.15483,0.20000,0.44227
0.21003,0.21000,-0.44888,0.21000,-0.11896,0.21000,-0.41788,0.21000,-0.09208,0.21000,0.13748,0.21000,0.49020
0.22003,0.22000,-0.46464,0.22000,-0.17579,0.22000,-0.39991,0.22000,-0.11609,0.22000,0.11855,0.22000,0.53272
0.23003,0.23000,-0.47686,0.23000,-0.22789,0.23000,-0.37888,0.23000,-0.13959,0.23000,0.09792,0.23000,0.56914
0.24003,0.24000,-0.48474,0.24000,-0.27383,0.24000,-0.35545,0.24000,-0.16234,0.24000,0.07554,0.24000,0.59904
0.25004,0.25000,-0.48761,0.25000,-0.31236,0.25000,-0.33031,0.25000,-0.18412,0.25000,0.05138,0.25000,0.62232
0.26004,0.26000,-0.48491,0.26000,-0.34250,0.26000,-0.30415,0.26000,-0.20483,0.26000,0.02543,0.26000,0.63918
0.27004,0.27000,-0.47630,0.27000,-0.36364,0.27000,-0.27760,0.27000,-0.22439,0.27000,-0.00232,0.27000,0.65017
0.28004,0.28000,-0.46165,0.28000,-0.37559,0.28000,-0.25115,0.28000,-0.24281,0.28000,-0.03192,0.28000,0.65613
0.29004,0.29000,-0.44103,0.29000,-0.37860,0.29000,-0.22517,0.29000,-0.26013,0.29000,-0.06348,0.29000,0.65808
0.30004,0.30000,-0.41470,0.30000,-0.37330,0.30000,-0.19983,0.30000,-0.27643,0.30000,-0.09722,0.30000,0.65713
0.31004,0.31000,-0.38309,0.31000,-0.36072,0.31000,-0.17514,0.31000,-0.29177,0.31000,-0.13347,0.31000,0.65441
0.32005,0.32000,-0.34672,0.32000,-0.34210,0.32000,-0.15095,0.32000,-0.30622,0.32000,-0.17268,0.32000,0.65090
0.33005,0.33000,-0.30619,0.33000,-0.31883,0.33000,-0.12700,0.33000,-0.31980,0.33000,-0.21538,0.33000,0.64741
0.34005,0.34000,-0.26211,0.34000,-0.29234,0.34000,-0.10297,0.34000,-0.33250,0.34000,-0.26212,0.34000,0.64450
0.35005,0.35000,-0.21508,0.35000,-0.26392,0.35000,-0.07853,0.35000,-0.34426,0.35000,-0.31337,0.35000,0.64249
0.36005,0.36000,-0.16569,0.36000,-0.23468,0.36000,-0.05343,0.36000,-0.35497,0.36000,-0.36947,0.36000,0.64146
0.37005,0.37000,-0.11447,0.37000,-0.20548,0.37000,-0.02749,0.37000,-0.36453,0.37000,-0.43044,0.37000,0.64130
0.38005,0.38000,-0.06192,0.38000,-0.17685,0.38000,-0.00071,0.38000,-0.37278,0.38000,-0.49601,0.38000,0.64180
0.39005,0.39000,-0.00851,0.39000,-0.14901,0.39000,0.02676,0.39000,-0.37959,0.39000,-0.56548,0.39000,0.64269
0.40006,0.40000,0.04532,0.40000,-0.12190,0.40000,0.05461,0.40000,-0.38485,0.40000,-0.63778,0.40000,0.64372
0.41006,0.41000,0.09917,0.41000,-0.09524,0.41000,0.08240,0.41000,-0.38846,0.41000,-0.71154,0.41000,0.64471
0.42006,0.42000,0.15267,0.42000,-0.06858,0.42000,0.10961,0.42000,-0.39040,0.42000,-0.78515,0.42000,0.64554
0.43006,0.43000,0.20551,0.43000,-0.04141,0.43000,0.13564,0.43000,-0.39068,0.43000,-0.85695,0.43000,0.64619
0.44006,0.44000,0.25749,0.44000,-0.01324,0.44000,0.15989,0.44000,-0.38939,0.44000,-0.92539,0.44000,0.64675
0.45006,0.45000,0.30845,0.45000,0.01638,0.45000,0.18178,0.45000,-0.38668,0.45000,-0.98917,0.45000,0.64742
0.46006,0.46000,0.35837,0.46000,0.04771,0.46000,0.20083,0.46000,-0.38271,0.46000,-1.04736,0.46000,0.64850
0.47007,0.47000,0.40734,0.47000,0.08086,0.47000,0.21660,0.47000,-0.37768,0.47000,-1.09951,0.47000,0.65035
0.48007,0.48000,0.45554,0.48000,0.11574,0.48000,0.22880,0.48000,-0.37176,0.48000,-1.14567,0.48000,0.65339
0.49007,0.49000,0.50324,0.49000,0.15207,0.49000,0.23722,0.49000,-0.36510,0.49000,-1.18634,0.49000,0.65799
0.50007,0.50000,0.55080,0.50000,0.18940,0.50000,0.24178,0.50000,-0.35780,0.50000,-1.22243,0.50000,0.66444
0.51007,0.51000,0.59862,0.51000,0.22715,0.51000,0.24248,0.51000,-0.34991,0.51000,-1.25507,0.51000,0.67291
0.52007,0.52000,0.64707,0.52000,0.26466,0.52000,0.23940,0.52000,-0.34145,0.52000,-1.28548,0.52000,0.68339
0.53007,0.53000,0.69652,0.53000,0.30122,0.53000,0.23267,0.53000,-0.33240,0.53000,-1.31483,0.53000,0.69570
0.54008,0.54000,0.74722,0.54000,0.33615,0.54000,0.22246,0.54000,-0.32272,0.54000,-1.34404,0.54000,0.70947
0.55008,0.55000,0.79932,0.55000,0.36881,0.55000,0.20898,0.55000,-0.31235,0.55000,-1.37372,0.55000,0.72419
0.56008,0.56000,0.85277,0.56000,0.39868,0.56000,0.19249,0.56000,-0.30126,0.56000,-1.40407,0.56000,0.73917
0.57008,0.57000,0.90736,0.57000,0.42538,0.57000,0.17325,0.57000,-0.28940,0.57000,-1.43486,0.57000,0.75360
0.58008,0.58000,0.96268,0.58000,0.44870,0.58000,0.15158,0.58000,-0.27677,0.58000,-1.46545,0.58000,0.76653
