Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.17772,0.00000,-0.13516,0.00000,0.33090,0.00000,0.54239,0.00000,-0.89571,0.00000,-0.00197
0.01001,0.01000,-0.17960,0.01000,-0.14125,0.01000,0.33109,0.01000,0.53627,0.01000,-0.89617,0.01000,-0.00213
0.02002,0.02000,-0.18166,0.02000,-0.14868,0.02000,0.33107,0.02000,0.52828,0.02000,-0.89508,0.02000,-0.00057
0.03002,0.03000,-0.18371,0.03000,-0.15759,0.03000,0.33071,0.03000,0.51833,0.03000,-0.89415,0.03000,0.00328
0.04003,0.04000,-0.18546,0.04000,-0.16819,0.04000,0.32987,0.04000,0.50641,0.04000,-0.89068,0.04000,0.00997
0.05004,0.05000,-0.18658,0.05000,-0.18072,0.05000,0.32839,0.05000,0.49257,0.05000,-0.88563,0.05000,0.01996
0.06004,0.06000,-0.18665,0.06000,-0.19549,0.06000,0.32611,0.06000,0.47694,0.06000,-0.88141,0.06000,0.03354
0.07005,0.07000,-0.18526,0.07000,-0.21278,0.07000,0.32291,0.07000,0.45972,0.07000,-0.87799,0.07000,0.05076
0.08006,0.08000,-0.18198,0.08000,-0.23289,0.08000,0.31870,0.08000,0.44114,0.08000,-0.87322,0.08000,0.07142
0.09007,0.09000,-0.17645,0.09000,-0.25601,0.09000,0.31346,0.09000,0.42150,0.09000,-0.86854,0.09000,0.09506
0.10007,0.10000,-0.16840,0.10000,-0.28220,0.10000,0.30723,0.10000,0.40114,0.10000,-0.86230,0.10000,0.12099
0.11008,0.11000,-0.15771,0.11000,-0.31137,0.11000,0.30016,0.11000,0.38043,0.11000,-0.84845,0.11000,0.14838
0.12009,0.12000,-0.14445,0.12000,-0.34321,0.12000,0.29243,0.12000,0.35978,0.12000,-0.82556,0.12000,0.17635
0.13010,0.13000,-0.12890,0.13000,-0.37722,0.13000,0.28430,0.13000,0.33959,0.13000,-0.80367,0.13000,0.20402
0.14010,0.14000,-0.11161,0.14000,-0.41273,0.14000,0.27601,0.14000,0.32026,0.14000,-0.80325,0.14000,0.23065
