Time, Pelvis Rotation, Pelvis Tilt, Pelvis Obliquity, Right Hip Flexion - Extension, Left Hip Flexion - Extension, Right Hip Abduction - Adduction, Left Hip Abduction - Adduction,  Right Hip Rotation,  Left Hip Rotation,  Right Knee Flexion - Extension,  Left Knee Flexion - Extension,  Right Knee Abduction - Adduction,  Left Knee Abduction - Adduction,  Right Knee Rotation,  Left Knee Rotation,  Right Ankle Dorsiflexion - Plantarflexion,  Left Ankle Dorsiflexion - Plantarflexion,  Right Ankle Eversion - Inversion,  Left Ankle Eversion - Inversion,  Right Ankle Abduction - Adduction,  Left Ankle Abduction - Adduction, Neck Flexion - Extension, Neck Lateral Flexion, Neck Rotation, Right Shoulder Flexion - Extension, Left Shoulder Flexion - Extension, Right Shoulder Abduction - Adduction, Left Shoulder Abduction - Adduction, Right Shoulder Rotation, Left Shoulder Rotation, Right Elbow Flexion - Extension, Left Elbow Flexion - Extension, Right Wrist Flexion - Extension, Left Wrist Flexion - Extension, Right Wrist Adduction - Abduction, Left Wrist Adduction - Abduction, Right Wrist Rotation, Left Wrist Rotation, Torso Flexion - Extension, Torso Abduction - Adduction, Torso Rotation, Torso Inclination
0, -0.118814, 0.00648824, -0.019553, 0.0320262, 0.0691067, 0.270325, -0.320602, 0.0826699, 0.0461262, 0.26465, -0.00662387, 0.0527344, -0.233337, -0.506645, -0.422096, 0.228171, 0.0482342, -0.388402, 0.486291, -0.589866, -0.535, -0.197539, -0.19992, 1.40482, 0.256755, 0.0509042, 0.309327, -0.320848, 0.254576, 0.0519734, 0.393751, 0.0308415, -2.40895, 1.27646, 0.732536, -0.199085, 4.96046, -2.06187, 0.0384744, 0.60039, -0.508541, 0.601962
0.0100014, -0.11919, 0.00372451, -0.0183184, 0.0363676, 0.0900706, 0.266624, -0.31424, 0.0767732, 0.0634263, 0.267033, -0.000877437, 0.0506897, -0.239441, -0.49501, -0.424332, 0.226868, 0.0453589, -0.380707, 0.485597, -0.584985, -0.53068, -0.189034, -0.208292, 1.39755, 0.249044, 0.0708941, 0.318929, -0.359768, 0.246732, 0.0724738, 0.348443, 0.0605081, -2.46035, 1.30256, 0.702018, -0.195757, 4.97148, -2.18339, 0.0440283, 0.599226, -0.48527, 0.601211
0.0200029, -0.118037, 0.00242009, -0.0177171, 0.0400829, 0.107436, 0.262177, -0.304512, 0.0728528, 0.0708998, 0.269761, 0.00445429, 0.0499344, -0.247009, -0.489067, -0.423126, 0.225883, 0.0432475, -0.373853, 0.483734, -0.579441, -0.526741, -0.187631, -0.217769, 1.38824, 0.237022, 0.0817493, 0.328326, -0.394603, 0.234577, 0.083826, 0.298209, 0.10389, -2.51181, 1.31155, 0.677512, -0.191341, 4.98082, -2.33381, 0.0510785, 0.597242, -0.459946, 0.599831
0.0300043, -0.115256, 2.4799e-05, -0.0183353, 0.0459956, 0.122153, 0.255791, -0.29229, 0.0751519, 0.0689946, 0.272702, 0.0089615, 0.0527649, -0.25705, -0.48999, -0.420425, 0.2241, 0.0445499, -0.369997, 0.48357, -0.573416, -0.523419, -0.196901, -0.232185, 1.37881, 0.2232, 0.0875817, 0.341379, -0.427416, 0.220619, 0.0901612, 0.241805, 0.159863, -2.5669, 1.30682, 0.659105, -0.181122, 4.97971, -2.50448, 0.0608579, 0.599659, -0.432062, 0.603196
0.0400058, -0.111331, -0.00411242, -0.0213601, 0.0542672, 0.133931, 0.247025, -0.278381, 0.0802278, 0.0593382, 0.275675, 0.0122792, 0.0584183, -0.26712, -0.489594, -0.417114, 0.222733, 0.048842, -0.368149, 0.482966, -0.567149, -0.520874, -0.219595, -0.25235, 1.36878, 0.214097, 0.0898256, 0.358816, -0.455732, 0.211366, 0.092863, 0.182607, 0.231331, -2.61934, 1.29719, 0.636905, -0.164456, 4.98253, -2.68196, 0.063582, 0.605815, -0.401823, 0.609588
0.0500072, -0.106573, -0.00968689, -0.0245283, 0.0650735, 0.141857, 0.241508, -0.26828, 0.0845543, 0.0449095, 0.278455, 0.0141411, 0.0619049, -0.271072, -0.481033, -0.412582, 0.221903, 0.0520393, -0.366413, 0.481416, -0.56092, -0.519155, -0.249727, -0.27432, 1.35845, 0.207024, 0.0898608, 0.378422, -0.478543, 0.204151, 0.0932296, 0.123697, 0.313252, -2.66858, 1.28238, 0.608693, -0.144539, 4.9951, -2.85606, 0.0660142, 0.609442, -0.366374, 0.613428
0.0600087, -0.102958, -0.0171712, -0.0270948, 0.077569, 0.146149, 0.236244, -0.263542, 0.0859493, 0.0309823, 0.280793, 0.0144232, 0.0666885, -0.267159, -0.467293, -0.408096, 0.221995, 0.0554371, -0.366268, 0.476798, -0.555027, -0.518189, -0.282962, -0.299383, 1.35001, 0.198279, 0.0911036, 0.405735, -0.502897, 0.195238, 0.09475, 0.0650129, 0.396305, -2.70809, 1.25819, 0.580502, -0.121356, 5.00849, -3.01808, 0.0686643, 0.615081, -0.329805, 0.619293
0.0700101, -0.100543, -0.0252813, -0.0293033, 0.0906844, 0.14752, 0.232376, -0.262398, 0.0824245, 0.020467, 0.282437, 0.0131702, 0.0679703, -0.259583, -0.450134, -0.411301, 0.223007, 0.0594563, -0.363273, 0.472237, -0.549755, -0.517784, -0.320041, -0.324592, 1.34206, 0.189414, 0.0930903, 0.437766, -0.530567, 0.186184, 0.0969965, 0.00964717, 0.481806, -2.73822, 1.23247, 0.555289, -0.0959293, 5.02091, -3.16828, 0.0779472, 0.618695, -0.298092, 0.62399
0.0800115, -0.096872, -0.0299086, -0.0297754, 0.0999394, 0.142249, 0.233902, -0.264496, 0.0695701, 0.014223, 0.283161, 0.0105993, 0.0630417, -0.249184, -0.427643, -0.421631, 0.225675, 0.0594893, -0.357501, 0.465679, -0.545342, -0.517664, -0.354114, -0.344893, 1.33823, 0.176424, 0.0923626, 0.469124, -0.559905, 0.173037, 0.0964858, -0.0421489, 0.568917, -2.77278, 1.21201, 0.53192, -0.0675533, 5.03451, -3.30699, 0.0955417, 0.615278, -0.274884, 0.623106
0.090013, -0.0906234, -0.0319446, -0.0271061, 0.105146, 0.133328, 0.238991, -0.266418, 0.0570277, 0.0127937, 0.282795, 0.00708318, 0.0551682, -0.241112, -0.408089, -0.436264, 0.229228, 0.0562216, -0.351119, 0.459003, -0.541948, -0.517511, -0.38124, -0.349767, 1.3358, 0.161127, 0.0904513, 0.496258, -0.577901, 0.157656, 0.094671, -0.0986238, 0.65557, -2.81479, 1.19418, 0.510178, -0.0390808, 5.0482, -3.42637, 0.111967, 0.606158, -0.257849, 0.616911
