Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,-0.53178,0.00000,-0.46626,0.00000,-0.15000,0.00000,-0.05166,0.00000,-0.25819,0.00000,0.22099
0.01000,0.01000,-0.53037,0.01000,-0.46451,0.01000,-0.14972,0.01000,-0.05107,0.01000,-0.26396,0.01000,0.22977
0.02000,0.02000,-0.52892,0.02000,-0.46244,0.02000,-0.14927,0.02000,-0.05040,0.02000,-0.27044,0.02000,0.23906
0.03001,0.03000,-0.52747,0.03000,-0.46011,0.03000,-0.14860,0.03000,-0.04970,0.03000,-0.27741,0.03000,0.24849
0.04001,0.04000,-0.52606,0.04000,-0.45760,0.04000,-0.14768,0.04000,-0.04902,0.04000,-0.28463,0.04000,0.25768
0.05001,0.05000,-0.52471,0.05000,-0.45500,0.05000,-0.14646,0.05000,-0.04842,0.05000,-0.29183,0.05000,0.26630
0.06001,0.06000,-0.52342,0.06000,-0.45244,0.06000,-0.14491,0.06000,-0.04800,0.06000,-0.29873,0.06000,0.27408
0.07001,0.07000,-0.52218,0.07000,-0.45003,0.07000,-0.14300,0.07000,-0.04782,0.07000,-0.30509,0.07000,0.28088
0.08001,0.08000,-0.52097,0.08000,-0.44790,0.08000,-0.14074,0.08000,-0.04796,0.08000,-0.31067,0.08000,0.28669
0.09001,0.09000,-0.51976,0.09000,-0.44619,0.09000,-0.13811,0.09000,-0.04848,0.09000,-0.31530,0.09000,0.29162
0.10002,0.10000,-0.51854,0.10000,-0.44498,0.10000,-0.13518,0.10000,-0.04940,0.10000,-0.31889,0.10000,0.29591
0.11002,0.11000,-0.51729,0.11000,-0.44438,0.11000,-0.13199,0.11000,-0.05072,0.11000,-0.32138,0.11000,0.29988
0.12002,0.12000,-0.51600,0.12000,-0.44441,0.12000,-0.12864,0.12000,-0.05239,0.12000,-0.32278,0.12000,0.30388
0.13002,0.13000,-0.51468,0.13000,-0.44509,0.13000,-0.12525,0.13000,-0.05434,0.13000,-0.32314,0.13000,0.30828
0.14002,0.14000,-0.51331,0.14000,-0.44637,0.14000,-0.12195,0.14000,-0.05645,0.14000,-0.32251,0.14000,0.31332
0.15002,0.15000,-0.51188,0.15000,-0.44813,0.15000,-0.11887,0.15000,-0.05862,0.15000,-0.32098,0.15000,0.31915
0.16002,0.16000,-0.51037,0.16000,-0.45020,0.16000,-0.11610,0.16000,-0.06071,0.16000,-0.31863,0.16000,0.32575
0.17003,0.17000,-0.50874,0.17000,-0.45237,0.17000,-0.11372,0.17000,-0.06260,0.17000,-0.31554,0.17000,0.33293
0.18003,0.18000,-0.50696,0.18000,-0.45440,0.18000,-0.11178,0.18000,-0.06420,0.18000,-0.31177,0.18000,0.34035
0.19003,0.19000,-0.50500,0.19000,-0.45604,0.19000,-0.11028,0.19000,-0.06543,0.19000,-0.30736,0.19000,0.34759
0.20003,0.20000,-0.50282,0.20000,-0.45707,0.20000,-0.10916,0.20000,-0.06626,0.20000,-0.30236,0.20000,0.35416
0.21003,0.21000,-0.50045,0.21000,-0.45734,0.21000,-0.10838,0.21000,-0.06669,0.21000,-0.29680,0.21000,0.35956
0.22003,0.22000,-0.49788,0.22000,-0.45674,0.22000,-0.10786,0.22000,-0.06673,0.22000,-0.29070,0.22000,0.36338
0.23004,0.23000,-0.49517,0.23000,-0.45527,0.23000,-0.10750,0.23000,-0.06644,0.23000,-0.28407,0.23000,0.36526
0.24004,0.24000,-0.49238,0.24000,-0.45299,0.24000,-0.10724,0.24000,-0.06589,0.24000,-0.27695,0.24000,0.36498
0.25004,0.25000,-0.48958,0.25000,-0.45005,0.25000,-0.10700,0.25000,-0.06516,0.25000,-0.26933,0.25000,0.36246
0.26004,0.26000,-0.48684,0.26000,-0.44663,0.26000,-0.10676,0.26000,-0.06435,0.26000,-0.26122,0.26000,0.35776
0.27004,0.27000,-0.48422,0.27000,-0.44298,0.27000,-0.10648,0.27000,-0.06353,0.27000,-0.25263,0.27000,0.35106
