Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,0.53395,0.00000,0.44823,0.00000,0.36995,0.00000,-0.15287,0.00000,0.17201,0.00000,-0.32843
0.01000,0.01000,0.53653,0.01000,0.45165,0.01000,0.36970,0.01000,-0.15250,0.01000,0.19425,0.01000,-0.32899
0.02000,0.02000,0.53894,0.02000,0.45553,0.02000,0.36919,0.02000,-0.15241,0.02000,0.21597,0.02000,-0.33001
0.03000,0.03000,0.54102,0.03000,0.45981,0.03000,0.36838,0.03000,-0.15266,0.03000,0.23681,0.03000,-0.33146
0.04001,0.04000,0.54264,0.04000,0.46441,0.04000,0.36725,0.04000,-0.15329,0.04000,0.25227,0.04000,-0.33319
0.05001,0.05000,0.54372,0.05000,0.46922,0.05000,0.36579,0.05000,-0.15433,0.05000,0.26001,0.05000,-0.33500
0.06001,0.06000,0.54420,0.06000,0.47417,0.06000,0.36401,0.06000,-0.15575,0.06000,0.26944,0.06000,-0.33662
0.07001,0.07000,0.54411,0.07000,0.47914,0.07000,0.36194,0.07000,-0.15749,0.07000,0.28130,0.07000,-0.33776
0.08001,0.08000,0.54351,0.08000,0.48406,0.08000,0.35960,0.08000,-0.15947,0.08000,0.29308,0.08000,-0.33817
0.09001,0.09000,0.54250,0.09000,0.48880,0.09000,0.35700,0.09000,-0.16156,0.09000,0.30870,0.09000,-0.33769
0.10002,0.10000,0.54120,0.10000,0.49327,0.10000,0.35416,0.10000,-0.16365,0.10000,0.32194,0.10000,-0.33628
0.11002,0.11000,0.53973,0.11000,0.49736,0.11000,0.35109,0.11000,-0.16564,0.11000,0.33285,0.11000,-0.33401
0.12002,0.12000,0.53819,0.12000,0.50095,0.12000,0.34779,0.12000,-0.16743,0.12000,0.34106,0.12000,-0.33112
0.13002,0.13000,0.53667,0.13000,0.50397,0.13000,0.34426,0.13000,-0.16900,0.13000,0.34897,0.13000,-0.32791
0.14002,0.14000,0.53522,0.14000,0.50637,0.14000,0.34052,0.14000,-0.17032,0.14000,0.35514,0.14000,-0.32473
0.15002,0.15000,0.53387,0.15000,0.50817,0.15000,0.33657,0.15000,-0.17146,0.15000,0.36051,0.15000,-0.32190
0.16002,0.16000,0.53259,0.16000,0.50941,0.16000,0.33244,0.16000,-0.17246,0.16000,0.36552,0.16000,-0.31967
0.17003,0.17000,0.53138,0.17000,0.51023,0.17000,0.32819,0.17000,-0.17343,0.17000,0.36824,0.17000,-0.31810
0.18003,0.18000,0.53021,0.18000,0.51079,0.18000,0.32388,0.18000,-0.17442,0.18000,0.37096,0.18000,-0.31713
0.19003,0.19000,0.52906,0.19000,0.51130,0.19000,0.31962,0.19000,-0.17552,0.19000,0.37298,0.19000,-0.31649
0.20003,0.20000,0.52791,0.20000,0.51196,0.20000,0.31553,0.20000,-0.17675,0.20000,0.37289,0.20000,-0.31578
0.21003,0.21000,0.52678,0.21000,0.51295,0.21000,0.31171,0.21000,-0.17810,0.21000,0.36853,0.21000,-0.31453
0.22003,0.22000,0.52569,0.22000,0.51442,0.22000,0.30830,0.22000,-0.17952,0.22000,0.36843,0.22000,-0.31228
0.23003,0.23000,0.52466,0.23000,0.51643,0.23000,0.30541,0.23000,-0.18093,0.23000,0.37156,0.23000,-0.30862
0.24004,0.24000,0.52373,0.24000,0.51897,0.24000,0.30313,0.24000,-0.18221,0.24000,0.37274,0.24000,-0.30328
0.25004,0.25000,0.52296,0.25000,0.52198,0.25000,0.30154,0.25000,-0.18320,0.25000,0.36886,0.25000,-0.29617
0.26004,0.26000,0.52238,0.26000,0.52530,0.26000,0.30068,0.26000,-0.18378,0.26000,0.36320,0.26000,-0.28737
0.27004,0.27000,0.52203,0.27000,0.52873,0.27000,0.30054,0.27000,-0.18382,0.27000,0.36006,0.27000,-0.27713
0.28004,0.28000,0.52194,0.28000,0.53205,0.28000,0.30109,0.28000,-0.18323,0.28000,0.36984,0.28000,-0.26584
0.29004,0.29000,0.52210,0.29000,0.53503,0.29000,0.30222,0.29000,-0.18196,0.29000,0.38159,0.29000,-0.25402
0.30004,0.30000,0.52250,0.30000,0.53746,0.30000,0.30378,0.30000,-0.18003,0.30000,0.38944,0.30000,-0.24224
0.31005,0.31000,0.52310,0.31000,0.53918,0.31000,0.30561,0.31000,-0.17750,0.31000,0.39482,0.31000,-0.23105
0.32005,0.32000,0.52385,0.32000,0.54005,0.32000,0.30748,0.32000,-0.17449,0.32000,0.39462,0.32000,-0.22099
0.33005,0.33000,0.52468,0.33000,0.54005,0.33000,0.30921,0.33000,-0.17117,0.33000,0.40099,0.33000,-0.21248
0.34005,0.34000,0.52552,0.34000,0.53916,0.34000,0.31060,0.34000,-0.16773,0.34000,0.41681,0.34000,-0.20580
0.35005,0.35000,0.52630,0.35000,0.53746,0.35000,0.31151,0.35000,-0.16440,0.35000,0.43638,0.35000,-0.20106
0.36005,0.36000,0.52693,0.36000,0.53502,0.36000,0.31181,0.36000,-0.16138,0.36000,0.44586,0.36000,-0.19820
0.37005,0.37000,0.52734,0.37000,0.53196,0.37000,0.31144,0.37000,-0.15886,0.37000,0.44547,0.37000,-0.19704
0.38006,0.38000,0.52744,0.38000,0.52835,0.38000,0.31034,0.38000,-0.15693,0.38000,0.43574,0.38000,-0.19727
0.39006,0.39000,0.52714,0.39000,0.52425,0.39000,0.30853,0.39000,-0.15567,0.39000,0.42693,0.39000,-0.19850
0.40006,0.40000,0.52636,0.40000,0.51967,0.40000,0.30602,0.40000,-0.15503,0.40000,0.41821,0.40000,-0.20030
0.41006,0.41000,0.52501,0.41000,0.51457,0.41000,0.30285,0.41000,-0.15492,0.41000,0.41573,0.41000,-0.20223
0.42006,0.42000,0.52304,0.42000,0.50888,0.42000,0.29909,0.42000,-0.15518,0.42000,0.41277,0.42000,-0.20389
0.43006,0.43000,0.52042,0.43000,0.50254,0.43000,0.29482,0.43000,-0.15562,0.43000,0.40720,0.43000,-0.20493
0.44006,0.44000,0.51714,0.44000,0.49546,0.44000,0.29017,0.44000,-0.15605,0.44000,0.40184,0.44000,-0.20508
0.45007,0.45000,0.51325,0.45000,0.48761,0.45000,0.28524,0.45000,-0.15627,0.45000,0.39880,0.45000,-0.20416
0.46007,0.46000,0.50881,0.46000,0.47899,0.46000,0.28017,0.46000,-0.15614,0.46000,0.39350,0.46000,-0.20208
0.47007,0.47000,0.50393,0.47000,0.46965,0.47000,0.27509,0.47000,-0.15553,0.47000,0.38789,0.47000,-0.19883
0.48007,0.48000,0.49870,0.48000,0.45969,0.48000,0.27012,0.48000,-0.15442,0.48000,0.37524,0.48000,-0.19447
0.49007,0.49000,0.49326,0.49000,0.44929,0.49000,0.26537,0.49000,-0.15281,0.49000,0.35635,0.49000,-0.18912
0.50007,0.50000,0.48770,0.50000,0.43863,0.50000,0.26093,0.50000,-0.15077,0.50000,0.34374,0.50000,-0.18294
0.51007,0.51000,0.48213,0.51000,0.42794,0.51000,0.25687,0.51000,-0.14840,0.51000,0.33438,0.51000,-0.17614
0.52008,0.52000,0.47661,0.52000,0.41747,0.52000,0.25322,0.52000,-0.14581,0.52000,0.32350,0.52000,-0.16897
0.53008,0.53000,0.47119,0.53000,0.40745,0.53000,0.24999,0.53000,-0.14311,0.53000,0.31849,0.53000,-0.16166
0.54008,0.54000,0.46590,0.54000,0.39811,0.54000,0.24713,0.54000,-0.14041,0.54000,0.32208,0.54000,-0.15445
0.55008,0.55000,0.46074,0.55000,0.38965,0.55000,0.24459,0.55000,-0.13777,0.55000,0.32695,0.55000,-0.14749
0.56008,0.56000,0.45568,0.56000,0.38219,0.56000,0.24226,0.56000,-0.13523,0.56000,0.33144,0.56000,-0.14090
