Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,-1.59768,0.00000,0.44874,0.00000,-0.32028
0.01000,0.01000,-1.59169,0.01000,0.45115,0.01000,-0.30983
0.02000,0.02000,-1.58390,0.02000,0.45334,0.02000,-0.29780
0.03000,0.03000,-1.57432,0.03000,0.45514,0.03000,-0.28448
0.04001,0.04000,-1.56311,0.04000,0.45636,0.04000,-0.27025
0.05001,0.05000,-1.55054,0.05000,0.45687,0.05000,-0.25554
0.06001,0.06000,-1.53702,0.06000,0.45659,0.06000,-0.24080
0.07001,0.07000,-1.52308,0.07000,0.45550,0.07000,-0.22641
0.08001,0.08000,-1.50931,0.08000,0.45365,0.08000,-0.21272
0.09001,0.09000,-1.49631,0.09000,0.45113,0.09000,-0.19996
0.10001,0.10000,-1.48470,0.10000,0.44807,0.10000,-0.18827
0.11002,0.11000,-1.47500,0.11000,0.44464,0.11000,-0.17768
0.12002,0.12000,-1.46763,0.12000,0.44098,0.12000,-0.16815
0.13002,0.13000,-1.46284,0.13000,0.43725,0.13000,-0.15958
0.14002,0.14000,-1.46075,0.14000,0.43359,0.14000,-0.15182
0.15002,0.15000,-1.46130,0.15000,0.43010,0.15000,-0.14470
0.16002,0.16000,-1.46427,0.16000,0.42690,0.16000,-0.13808
0.17002,0.17000,-1.46934,0.17000,0.42406,0.17000,-0.13178
0.18003,0.18000,-1.47610,0.18000,0.42166,0.18000,-0.12566
0.19003,0.19000,-1.48410,0.19000,0.41978,0.19000,-0.11956
0.20003,0.20000,-1.49291,0.20000,0.41848,0.20000,-0.11331
0.21003,0.21000,-1.50212,0.21000,0.41780,0.21000,-0.10676
0.22003,0.22000,-1.51141,0.22000,0.41780,0.22000,-0.09974
0.23003,0.23000,-1.52049,0.23000,0.41847,0.23000,-0.09210
0.24003,0.24000,-1.52914,0.24000,0.41981,0.24000,-0.08374
