Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.03803,0.00000,-0.07390,0.00000,-0.03903,0.00000,-0.08950,0.00000,0.09889,0.00000,0.13565
0.01000,0.01000,-0.03651,0.01000,-0.07463,0.01000,-0.04029,0.01000,-0.08920,0.01000,0.08662,0.01000,0.13426
0.02000,0.02000,-0.03474,0.02000,-0.07515,0.02000,-0.04175,0.02000,-0.08896,0.02000,0.07532,0.02000,0.13318
0.03000,0.03000,-0.03278,0.03000,-0.07534,0.03000,-0.04340,0.03000,-0.08881,0.03000,0.06764,0.03000,0.13261
0.04001,0.04000,-0.03066,0.04000,-0.07508,0.04000,-0.04523,0.04000,-0.08883,0.04000,0.06764,0.04000,0.13270
0.05001,0.05000,-0.02847,0.05000,-0.07427,0.05000,-0.04720,0.05000,-0.08904,0.05000,0.07886,0.05000,0.13360
0.06001,0.06000,-0.02626,0.06000,-0.07281,0.06000,-0.04929,0.06000,-0.08951,0.06000,0.09173,0.06000,0.13544
0.07001,0.07000,-0.02409,0.07000,-0.07067,0.07000,-0.05149,0.07000,-0.09023,0.07000,0.10173,0.07000,0.13828
0.08001,0.08000,-0.02200,0.08000,-0.06785,0.08000,-0.05376,0.08000,-0.09122,0.08000,0.10739,0.08000,0.14210
0.09001,0.09000,-0.02001,0.09000,-0.06441,0.09000,-0.05608,0.09000,-0.09244,0.09000,0.10842,0.09000,0.14683
0.10002,0.10000,-0.01812,0.10000,-0.06046,0.10000,-0.05840,0.10000,-0.09384,0.10000,0.10761,0.10000,0.15231
0.11002,0.11000,-0.01632,0.11000,-0.05616,0.11000,-0.06068,0.11000,-0.09537,0.11000,0.10462,0.11000,0.15831
0.12002,0.12000,-0.01460,0.12000,-0.05171,0.12000,-0.06285,0.12000,-0.09696,0.12000,0.10452,0.12000,0.16451
0.13002,0.13000,-0.01293,0.13000,-0.04734,0.13000,-0.06485,0.13000,-0.09854,0.13000,0.10600,0.13000,0.17058
0.14002,0.14000,-0.01133,0.14000,-0.04327,0.14000,-0.06662,0.14000,-0.10004,0.14000,0.09791,0.14000,0.17615
0.15002,0.15000,-0.00981,0.15000,-0.03970,0.15000,-0.06810,0.15000,-0.10142,0.15000,0.08241,0.15000,0.18089
0.16002,0.16000,-0.00841,0.16000,-0.03683,0.16000,-0.06924,0.16000,-0.10262,0.16000,0.06593,0.16000,0.18450
0.17003,0.17000,-0.00719,0.17000,-0.03479,0.17000,-0.07002,0.17000,-0.10360,0.17000,0.04595,0.17000,0.18676
0.18003,0.18000,-0.00623,0.18000,-0.03369,0.18000,-0.07046,0.18000,-0.10434,0.18000,0.02580,0.18000,0.18754
0.19003,0.19000,-0.00560,0.19000,-0.03357,0.19000,-0.07057,0.19000,-0.10480,0.19000,0.01234,0.19000,0.18679
0.20003,0.20000,-0.00534,0.20000,-0.03443,0.20000,-0.07040,0.20000,-0.10497,0.20000,0.00786,0.20000,0.18453
0.21003,0.21000,-0.00547,0.21000,-0.03623,0.21000,-0.07000,0.21000,-0.10484,0.21000,0.00562,0.21000,0.18090
0.22003,0.22000,-0.00597,0.22000,-0.03886,0.22000,-0.06942,0.22000,-0.10443,0.22000,0.00854,0.22000,0.17608
0.23003,0.23000,-0.00677,0.23000,-0.04217,0.23000,-0.06871,0.23000,-0.10375,0.23000,0.01952,0.23000,0.17031
0.24004,0.24000,-0.00781,0.24000,-0.04597,0.24000,-0.06791,0.24000,-0.10284,0.24000,0.02492,0.24000,0.16387
0.25004,0.25000,-0.00900,0.25000,-0.05004,0.25000,-0.06705,0.25000,-0.10175,0.25000,0.03194,0.25000,0.15704
0.26004,0.26000,-0.01026,0.26000,-0.05413,0.26000,-0.06618,0.26000,-0.10052,0.26000,0.03957,0.26000,0.15010
0.27004,0.27000,-0.01153,0.27000,-0.05802,0.27000,-0.06530,0.27000,-0.09920,0.27000,0.04968,0.27000,0.14326
0.28004,0.28000,-0.01278,0.28000,-0.06149,0.28000,-0.06445,0.28000,-0.09786,0.28000,0.06091,0.28000,0.13672
0.29004,0.29000,-0.01401,0.29000,-0.06438,0.29000,-0.06365,0.29000,-0.09653,0.29000,0.07295,0.29000,0.13062
0.30004,0.30000,-0.01523,0.30000,-0.06655,0.30000,-0.06291,0.30000,-0.09526,0.30000,0.08125,0.30000,0.12505
0.31005,0.31000,-0.01652,0.31000,-0.06797,0.31000,-0.06225,0.31000,-0.09407,0.31000,0.09178,0.31000,0.12006
0.32005,0.32000,-0.01793,0.32000,-0.06861,0.32000,-0.06168,0.32000,-0.09299,0.32000,0.10079,0.32000,0.11569
0.33005,0.33000,-0.01956,0.33000,-0.06855,0.33000,-0.06120,0.33000,-0.09204,0.33000,0.10840,0.33000,0.11194
0.34005,0.34000,-0.02149,0.34000,-0.06787,0.34000,-0.06082,0.34000,-0.09123,0.34000,0.11541,0.34000,0.10880
0.35005,0.35000,-0.02378,0.35000,-0.06667,0.35000,-0.06055,0.35000,-0.09057,0.35000,0.12360,0.35000,0.10625
0.36005,0.36000,-0.02644,0.36000,-0.06507,0.36000,-0.06038,0.36000,-0.09005,0.36000,0.13015,0.36000,0.10428
0.37005,0.37000,-0.02946,0.37000,-0.06318,0.37000,-0.06031,0.37000,-0.08967,0.37000,0.13659,0.37000,0.10289
0.38006,0.38000,-0.03280,0.38000,-0.06111,0.38000,-0.06033,0.38000,-0.08941,0.38000,0.14276,0.38000,0.10210
0.39006,0.39000,-0.03636,0.39000,-0.05895,0.39000,-0.06042,0.39000,-0.08925,0.39000,0.15385,0.39000,0.10198
0.40006,0.40000,-0.04001,0.40000,-0.05676,0.40000,-0.06055,0.40000,-0.08915,0.40000,0.16518,0.40000,0.10260
0.41006,0.41000,-0.04364,0.41000,-0.05462,0.41000,-0.06069,0.41000,-0.08909,0.41000,0.17129,0.41000,0.10406
0.42006,0.42000,-0.04710,0.42000,-0.05258,0.42000,-0.06081,0.42000,-0.08903,0.42000,0.17050,0.42000,0.10646
0.43006,0.43000,-0.05028,0.43000,-0.05070,0.43000,-0.06088,0.43000,-0.08893,0.43000,0.17001,0.43000,0.10986
0.44006,0.44000,-0.05307,0.44000,-0.04903,0.44000,-0.06087,0.44000,-0.08878,0.44000,0.16670,0.44000,0.11424
0.45007,0.45000,-0.05539,0.45000,-0.04761,0.45000,-0.06076,0.45000,-0.08855,0.45000,0.16232,0.45000,0.11951
0.46007,0.46000,-0.05722,0.46000,-0.04645,0.46000,-0.06054,0.46000,-0.08823,0.46000,0.15763,0.46000,0.12547
0.47007,0.47000,-0.05855,0.47000,-0.04559,0.47000,-0.06019,0.47000,-0.08782,0.47000,0.15198,0.47000,0.13182
0.48007,0.48000,-0.05940,0.48000,-0.04500,0.48000,-0.05973,0.48000,-0.08732,0.48000,0.14964,0.48000,0.13821
0.49007,0.49000,-0.05982,0.49000,-0.04465,0.49000,-0.05917,0.49000,-0.08673,0.49000,0.15346,0.49000,0.14426
0.50007,0.50000,-0.05989,0.50000,-0.04449,0.50000,-0.05855,0.50000,-0.08608,0.50000,0.15921,0.50000,0.14960
0.51008,0.51000,-0.05968,0.51000,-0.04444,0.51000,-0.05791,0.51000,-0.08538,0.51000,0.16271,0.51000,0.15395
