Tiempo,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Eversión-inversión tobillo derecho_X,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_X,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_X,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_X,Rotación tobillo izquierdo_Y
0.00000,0.00000,0.37880,0.00000,0.31289,0.00000,-0.00542,0.00000,0.14258,0.00000,0.24365,0.00000,0.07520
0.01000,0.01000,0.38049,0.01000,0.31429,0.01000,-0.00424,0.01000,0.14310,0.01000,0.24518,0.01000,0.07687
0.02000,0.02000,0.38246,0.02000,0.31604,0.02000,-0.00278,0.02000,0.14377,0.02000,0.24702,0.02000,0.07915
0.03000,0.03000,0.38469,0.03000,0.31815,0.03000,-0.00099,0.03000,0.14460,0.03000,0.24902,0.03000,0.08209
0.04001,0.04000,0.38711,0.04000,0.32065,0.04000,0.00113,0.04000,0.14560,0.04000,0.25099,0.04000,0.08573
0.05001,0.05000,0.38967,0.05000,0.32356,0.05000,0.00362,0.05000,0.14679,0.05000,0.25262,0.05000,0.09008
0.06001,0.06000,0.39231,0.06000,0.32688,0.06000,0.00649,0.06000,0.14817,0.06000,0.25359,0.06000,0.09512
0.07001,0.07000,0.39498,0.07000,0.33064,0.07000,0.00976,0.07000,0.14974,0.07000,0.25354,0.07000,0.10083
0.08001,0.08000,0.39764,0.08000,0.33483,0.08000,0.01343,0.08000,0.15152,0.08000,0.25215,0.08000,0.10719
0.09001,0.09000,0.40026,0.09000,0.33944,0.09000,0.01750,0.09000,0.15347,0.09000,0.24917,0.09000,0.11414
0.10002,0.10000,0.40287,0.10000,0.34443,0.10000,0.02192,0.10000,0.15558,0.10000,0.24446,0.10000,0.12162
0.11002,0.11000,0.40549,0.11000,0.34975,0.11000,0.02665,0.11000,0.15781,0.11000,0.23799,0.11000,0.12956
0.12002,0.12000,0.40816,0.12000,0.35535,0.12000,0.03159,0.12000,0.16010,0.12000,0.22990,0.12000,0.13783
