Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.00290,0.00000,0.00054,0.00000,-0.00133,0.00000,0.00043,0.00000,0.00000,0.00000,0.00299
0.01000,0.01000,-0.00465,0.01000,0.00153,0.01000,-0.00120,0.01000,0.00136,0.01000,-0.00777,0.01000,0.00419
0.02000,0.02000,-0.00678,0.02000,0.00284,0.02000,-0.00082,0.02000,0.00258,0.02000,-0.01168,0.02000,0.00560
0.03001,0.03000,-0.00927,0.03000,0.00446,0.03000,-0.00010,0.03000,0.00410,0.03000,-0.01076,0.03000,0.00721
0.04001,0.04000,-0.01208,0.04000,0.00640,0.04000,0.00102,0.04000,0.00592,0.04000,-0.00586,0.04000,0.00903
0.05001,0.05000,-0.01516,0.05000,0.00864,0.05000,0.00259,0.05000,0.00800,0.05000,0.00063,0.05000,0.01104
0.06001,0.06000,-0.01843,0.06000,0.01114,0.06000,0.00464,0.06000,0.01031,0.06000,0.00375,0.06000,0.01327
0.07001,0.07000,-0.02175,0.07000,0.01388,0.07000,0.00714,0.07000,0.01279,0.07000,-0.00661,0.07000,0.01572
0.08001,0.08000,-0.02499,0.08000,0.01679,0.08000,0.01005,0.08000,0.01536,0.08000,-0.01455,0.08000,0.01841
0.09001,0.09000,-0.02799,0.09000,0.01984,0.09000,0.01326,0.09000,0.01793,0.09000,-0.00748,0.09000,0.02138
0.10002,0.10000,-0.03057,0.10000,0.02300,0.10000,0.01666,0.10000,0.02043,0.10000,-0.00688,0.10000,0.02465
0.11002,0.11000,-0.03259,0.11000,0.02623,0.11000,0.02010,0.11000,0.02275,0.11000,-0.01414,0.11000,0.02828
0.12002,0.12000,-0.03392,0.12000,0.02951,0.12000,0.02346,0.12000,0.02481,0.12000,-0.01293,0.12000,0.03230
0.13002,0.13000,-0.03450,0.13000,0.03283,0.13000,0.02663,0.13000,0.02652,0.13000,-0.00746,0.13000,0.03677
0.14002,0.14000,-0.03431,0.14000,0.03616,0.14000,0.02952,0.14000,0.02783,0.14000,-0.00299,0.14000,0.04171
0.15002,0.15000,-0.03339,0.15000,0.03950,0.15000,0.03208,0.15000,0.02869,0.15000,0.00282,0.15000,0.04711
0.16003,0.16000,-0.03184,0.16000,0.04282,0.16000,0.03431,0.16000,0.02909,0.16000,0.00530,0.16000,0.05290
0.17003,0.17000,-0.02977,0.17000,0.04609,0.17000,0.03622,0.17000,0.02906,0.17000,-0.00504,0.17000,0.05894
0.18003,0.18000,-0.02735,0.18000,0.04925,0.18000,0.03784,0.18000,0.02866,0.18000,-0.01821,0.18000,0.06502
0.19003,0.19000,-0.02469,0.19000,0.05226,0.19000,0.03920,0.19000,0.02800,0.19000,-0.02286,0.19000,0.07086
0.20003,0.20000,-0.02191,0.20000,0.05505,0.20000,0.04034,0.20000,0.02720,0.20000,-0.02528,0.20000,0.07616
0.21003,0.21000,-0.01910,0.21000,0.05757,0.21000,0.04129,0.21000,0.02637,0.21000,-0.02385,0.21000,0.08057
0.22003,0.22000,-0.01630,0.22000,0.05980,0.22000,0.04205,0.22000,0.02564,0.22000,-0.01231,0.22000,0.08382
0.23004,0.23000,-0.01354,0.23000,0.06171,0.23000,0.04261,0.23000,0.02510,0.23000,-0.00095,0.23000,0.08570
0.24004,0.24000,-0.01080,0.24000,0.06331,0.24000,0.04296,0.24000,0.02481,0.24000,0.00673,0.24000,0.08611
0.25004,0.25000,-0.00804,0.25000,0.06465,0.25000,0.04309,0.25000,0.02481,0.25000,0.00634,0.25000,0.08511
0.26004,0.26000,-0.00525,0.26000,0.06578,0.26000,0.04298,0.26000,0.02509,0.26000,-0.00073,0.26000,0.08285
0.27004,0.27000,-0.00240,0.27000,0.06674,0.27000,0.04266,0.27000,0.02564,0.27000,-0.01234,0.27000,0.07961
0.28004,0.28000,0.00052,0.28000,0.06758,0.28000,0.04216,0.28000,0.02643,0.28000,-0.02388,0.28000,0.07573
