Tiempo,Flexo-extensión rodilla derecha_X,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_X,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_X,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_X,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_X,Rotación rodilla derecha_Y,Rotación rodilla izquierda_X,Rotación rodilla izquierda_Y
0.00000,0.00000,-0.19519,0.00000,0.11756,0.00000,0.08218,0.00000,-0.00623,0.00000,0.54951,0.00000,-0.52392
0.01000,0.01000,-0.18310,0.01000,0.11739,0.01000,0.08306,0.01000,-0.00629,0.01000,0.55003,0.01000,-0.52441
0.02000,0.02000,-0.16906,0.02000,0.11745,0.02000,0.08410,0.02000,-0.00643,0.02000,0.55538,0.02000,-0.52466
0.03000,0.03000,-0.15344,0.03000,0.11780,0.03000,0.08525,0.03000,-0.00666,0.03000,0.56417,0.03000,-0.52451
0.04001,0.04000,-0.13671,0.04000,0.11849,0.04000,0.08647,0.04000,-0.00698,0.04000,0.57509,0.04000,-0.52383
0.05001,0.05000,-0.11948,0.05000,0.11955,0.05000,0.08767,0.05000,-0.00737,0.05000,0.58650,0.05000,-0.52247
0.06001,0.06000,-0.10245,0.06000,0.12098,0.06000,0.08878,0.06000,-0.00781,0.06000,0.59837,0.06000,-0.52026
0.07001,0.07000,-0.08635,0.07000,0.12279,0.07000,0.08969,0.07000,-0.00828,0.07000,0.61563,0.07000,-0.51710
0.08001,0.08000,-0.07191,0.08000,0.12496,0.08000,0.09032,0.08000,-0.00876,0.08000,0.63485,0.08000,-0.51289
0.09001,0.09000,-0.05984,0.09000,0.12742,0.09000,0.09059,0.09000,-0.00922,0.09000,0.64489,0.09000,-0.50758
0.10001,0.10000,-0.05075,0.10000,0.13014,0.10000,0.09044,0.10000,-0.00966,0.10000,0.64741,0.10000,-0.50117
0.11002,0.11000,-0.04509,0.11000,0.13304,0.11000,0.08979,0.11000,-0.01005,0.11000,0.64761,0.11000,-0.49375
0.12002,0.12000,-0.04318,0.12000,0.13602,0.12000,0.08861,0.12000,-0.01041,0.12000,0.65161,0.12000,-0.48545
0.13002,0.13000,-0.04509,0.13000,0.13900,0.13000,0.08689,0.13000,-0.01074,0.13000,0.65269,0.13000,-0.47645
0.14002,0.14000,-0.05065,0.14000,0.14185,0.14000,0.08464,0.14000,-0.01104,0.14000,0.65506,0.14000,-0.46697
0.15002,0.15000,-0.05945,0.15000,0.14447,0.15000,0.08189,0.15000,-0.01132,0.15000,0.66021,0.15000,-0.45723
0.16002,0.16000,-0.07083,0.16000,0.14676,0.16000,0.07873,0.16000,-0.01157,0.16000,0.66637,0.16000,-0.44743
0.17002,0.17000,-0.08390,0.17000,0.14861,0.17000,0.07526,0.17000,-0.01177,0.17000,0.67867,0.17000,-0.43772
0.18003,0.18000,-0.09764,0.18000,0.14995,0.18000,0.07162,0.18000,-0.01192,0.18000,0.68777,0.18000,-0.42823
0.19003,0.19000,-0.11091,0.19000,0.15075,0.19000,0.06796,0.19000,-0.01199,0.19000,0.68515,0.19000,-0.41904
0.20003,0.20000,-0.12262,0.20000,0.15099,0.20000,0.06444,0.20000,-0.01197,0.20000,0.66492,0.20000,-0.41024
0.21003,0.21000,-0.13179,0.21000,0.15072,0.21000,0.06121,0.21000,-0.01184,0.21000,0.63170,0.21000,-0.40191
0.22003,0.22000,-0.13766,0.22000,0.15002,0.22000,0.05841,0.22000,-0.01163,0.22000,0.58593,0.22000,-0.39413
0.23003,0.23000,-0.13978,0.23000,0.14900,0.23000,0.05615,0.23000,-0.01133,0.23000,0.53635,0.23000,-0.38704
0.24003,0.24000,-0.13801,0.24000,0.14782,0.24000,0.05449,0.24000,-0.01097,0.24000,0.49593,0.24000,-0.38073
0.25004,0.25000,-0.13258,0.25000,0.14660,0.25000,0.05346,0.25000,-0.01057,0.25000,0.47118,0.25000,-0.37534
0.26004,0.26000,-0.12397,0.26000,0.14548,0.26000,0.05305,0.26000,-0.01017,0.26000,0.46080,0.26000,-0.37094
0.27004,0.27000,-0.11292,0.27000,0.14456,0.27000,0.05321,0.27000,-0.00978,0.27000,0.45812,0.27000,-0.36761
0.28004,0.28000,-0.10031,0.28000,0.14390,0.28000,0.05386,0.28000,-0.00941,0.28000,0.45955,0.28000,-0.36538
0.29004,0.29000,-0.08707,0.29000,0.14352,0.29000,0.05487,0.29000,-0.00908,0.29000,0.46309,0.29000,-0.36427
0.30004,0.30000,-0.07414,0.30000,0.14339,0.30000,0.05612,0.30000,-0.00877,0.30000,0.46351,0.30000,-0.36425
0.31004,0.31000,-0.06238,0.31000,0.14346,0.31000,0.05745,0.31000,-0.00847,0.31000,0.46589,0.31000,-0.36529
0.32005,0.32000,-0.05250,0.32000,0.14367,0.32000,0.05872,0.32000,-0.00817,0.32000,0.47746,0.32000,-0.36732
0.33005,0.33000,-0.04509,0.33000,0.14394,0.33000,0.05978,0.33000,-0.00784,0.33000,0.49654,0.33000,-0.37025
0.34005,0.34000,-0.04055,0.34000,0.14422,0.34000,0.06053,0.34000,-0.00748,0.34000,0.51890,0.34000,-0.37394
0.35005,0.35000,-0.03911,0.35000,0.14447,0.35000,0.06087,0.35000,-0.00712,0.35000,0.53631,0.35000,-0.37824
0.36005,0.36000,-0.04085,0.36000,0.14464,0.36000,0.06074,0.36000,-0.00675,0.36000,0.54467,0.36000,-0.38299
0.37005,0.37000,-0.04571,0.37000,0.14471,0.37000,0.06010,0.37000,-0.00641,0.37000,0.54082,0.37000,-0.38796
0.38005,0.38000,-0.05352,0.38000,0.14465,0.38000,0.05893,0.38000,-0.00612,0.38000,0.53091,0.38000,-0.39297
0.39006,0.39000,-0.06396,0.39000,0.14443,0.39000,0.05722,0.39000,-0.00590,0.39000,0.52233,0.39000,-0.39778
0.40006,0.40000,-0.07660,0.40000,0.14400,0.40000,0.05497,0.40000,-0.00578,0.40000,0.51752,0.40000,-0.40221
0.41006,0.41000,-0.09090,0.41000,0.14334,0.41000,0.05223,0.41000,-0.00574,0.41000,0.51959,0.41000,-0.40604
0.42006,0.42000,-0.10618,0.42000,0.14239,0.42000,0.04905,0.42000,-0.00580,0.42000,0.53237,0.42000,-0.40912
0.43006,0.43000,-0.12167,0.43000,0.14115,0.43000,0.04550,0.43000,-0.00594,0.43000,0.55089,0.43000,-0.41134
0.44006,0.44000,-0.13649,0.44000,0.13959,0.44000,0.04170,0.44000,-0.00614,0.44000,0.56534,0.44000,-0.41264
0.45006,0.45000,-0.14973,0.45000,0.13772,0.45000,0.03778,0.45000,-0.00637,0.45000,0.56583,0.45000,-0.41305
0.46007,0.46000,-0.16054,0.46000,0.13558,0.46000,0.03389,0.46000,-0.00660,0.46000,0.54913,0.46000,-0.41271
0.47007,0.47000,-0.16817,0.47000,0.13321,0.47000,0.03017,0.47000,-0.00682,0.47000,0.50684,0.47000,-0.41179
0.48007,0.48000,-0.17209,0.48000,0.13071,0.48000,0.02676,0.48000,-0.00701,0.48000,0.44737,0.48000,-0.41058
0.49007,0.49000,-0.17205,0.49000,0.12819,0.49000,0.02379,0.49000,-0.00717,0.49000,0.38297,0.49000,-0.40935
0.50007,0.50000,-0.16811,0.50000,0.12578,0.50000,0.02135,0.50000,-0.00733,0.50000,0.32355,0.50000,-0.40839
0.51007,0.51000,-0.16061,0.51000,0.12364,0.51000,0.01948,0.51000,-0.00752,0.51000,0.27792,0.51000,-0.40794
0.52007,0.52000,-0.15017,0.52000,0.12194,0.52000,0.01822,0.52000,-0.00776,0.52000,0.25188,0.52000,-0.40820
0.53007,0.53000,-0.13759,0.53000,0.12083,0.53000,0.01753,0.53000,-0.00811,0.53000,0.24640,0.53000,-0.40928
0.54008,0.54000,-0.12378,0.54000,0.12041,0.54000,0.01737,0.54000,-0.00858,0.54000,0.25683,0.54000,-0.41118
0.55008,0.55000,-0.10970,0.55000,0.12076,0.55000,0.01764,0.55000,-0.00918,0.55000,0.27219,0.55000,-0.41384
0.56008,0.56000,-0.09626,0.56000,0.12188,0.56000,0.01822,0.56000,-0.00988,0.56000,0.29126,0.56000,-0.41706
0.57008,0.57000,-0.08428,0.57000,0.12373,0.57000,0.01897,0.57000,-0.01067,0.57000,0.31120,0.57000,-0.42060
0.58008,0.58000,-0.07448,0.58000,0.12620,0.58000,0.01976,0.58000,-0.01148,0.58000,0.33154,0.58000,-0.42413
0.59008,0.59000,-0.06737,0.59000,0.12914,0.59000,0.02044,0.59000,-0.01228,0.59000,0.34763,0.59000,-0.42729
0.60008,0.60000,-0.06330,0.60000,0.13238,0.60000,0.02087,0.60000,-0.01301,0.60000,0.36569,0.60000,-0.42969
0.61009,0.61000,-0.06242,0.61000,0.13572,0.61000,0.02095,0.61000,-0.01363,0.61000,0.38110,0.61000,-0.43099
0.62009,0.62000,-0.06469,0.62000,0.13898,0.62000,0.02059,0.62000,-0.01409,0.62000,0.38683,0.62000,-0.43087
