Tiempo,Flexo-extensión cadera derecha_X,Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_X,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_X,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_X,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_X,Rotación cadera derecha_Y,Rotación cadera izquierda_X,Rotación cadera izquierda_Y
0.00000,0.00000,1.36554,0.00000,1.49165,0.00000,-0.44536,0.00000,0.40179,0.00000,-0.40086,0.00000,-1.05207
0.01000,0.01000,1.36057,0.01000,1.47124,0.01000,-0.44211,0.01000,0.36175,0.01000,-0.39382,0.01000,-1.05962
0.02000,0.02000,1.35629,0.02000,1.44969,0.02000,-0.43683,0.02000,0.31706,0.02000,-0.38835,0.02000,-1.06802
0.03000,0.03000,1.35313,0.03000,1.42800,0.03000,-0.42935,0.03000,0.26924,0.03000,-0.38520,0.03000,-1.07697
0.04001,0.04000,1.35151,0.04000,1.40726,0.04000,-0.41969,0.04000,0.22012,0.04000,-0.38504,0.04000,-1.08614
0.05001,0.05000,1.35174,0.05000,1.38851,0.05000,-0.40806,0.05000,0.17169,0.05000,-0.38828,0.05000,-1.09515
0.06001,0.06000,1.35399,0.06000,1.37263,0.06000,-0.39487,0.06000,0.12589,0.06000,-0.39503,0.06000,-1.10366
0.07001,0.07000,1.35828,0.07000,1.36026,0.07000,-0.38073,0.07000,0.08445,0.07000,-0.40502,0.07000,-1.11132
0.08001,0.08000,1.36445,0.08000,1.35172,0.08000,-0.36637,0.08000,0.04871,0.08000,-0.41760,0.08000,-1.11786
0.09001,0.09000,1.37221,0.09000,1.34704,0.09000,-0.35263,0.09000,0.01953,0.09000,-0.43176,0.09000,-1.12303
0.10001,0.10000,1.38119,0.10000,1.34594,0.10000,-0.34028,0.10000,-0.00279,0.10000,-0.44627,0.10000,-1.12660
0.11002,0.11000,1.39097,0.11000,1.34791,0.11000,-0.33004,0.11000,-0.01850,0.11000,-0.45977,0.11000,-1.12836
0.12002,0.12000,1.40118,0.12000,1.35228,0.12000,-0.32238,0.12000,-0.02834,0.12000,-0.47095,0.12000,-1.12813
0.13002,0.13000,1.41149,0.13000,1.35828,0.13000,-0.31754,0.13000,-0.03347,0.13000,-0.47869,0.13000,-1.12575
0.14002,0.14000,1.42175,0.14000,1.36512,0.14000,-0.31545,0.14000,-0.03529,0.14000,-0.48221,0.14000,-1.12113
0.15002,0.15000,1.43188,0.15000,1.37209,0.15000,-0.31572,0.15000,-0.03534,0.15000,-0.48112,0.15000,-1.11431
0.16002,0.16000,1.44197,0.16000,1.37858,0.16000,-0.31773,0.16000,-0.03511,0.16000,-0.47549,0.16000,-1.10547
