Tiempo,Flexo-extensión cuello_X,Flexo-extensión cuello_Y,Flexión lateral cuello_X,Flexión lateral cuello_Y,Rotación cuello_X,Rotación cuello_Y
0.00000,0.00000,3.12356,0.00000,11.35013,0.00000,1.79455
0.01000,0.01000,3.15355,0.01000,11.35378,0.01000,1.79994
0.02000,0.02000,3.18755,0.02000,11.35718,0.02000,1.80501
0.03000,0.03000,3.22449,0.03000,11.35991,0.03000,1.80936
0.04001,0.04000,3.26298,0.04000,11.36150,0.04000,1.81260
0.05001,0.05000,3.30146,0.05000,11.36146,0.05000,1.81442
0.06001,0.06000,3.33830,0.06000,11.35930,0.06000,1.81460
0.07001,0.07000,3.37190,0.07000,11.35463,0.07000,1.81308
0.08001,0.08000,3.40083,0.08000,11.34712,0.08000,1.80993
0.09001,0.09000,3.42394,0.09000,11.33658,0.09000,1.80538
0.10001,0.10000,3.44039,0.10000,11.32295,0.10000,1.79984
0.11002,0.11000,3.44973,0.11000,11.30633,0.11000,1.79383
0.12002,0.12000,3.45191,0.12000,11.28690,0.12000,1.78802
0.13002,0.13000,3.44725,0.13000,11.26498,0.13000,1.78315
0.14002,0.14000,3.43641,0.14000,11.24093,0.14000,1.78003
0.15002,0.15000,3.42033,0.15000,11.21519,0.15000,1.77944
0.16002,0.16000,3.40014,0.16000,11.18819,0.16000,1.78210
0.17003,0.17000,3.37707,0.17000,11.16038,0.17000,1.78858
0.18003,0.18000,3.35240,0.18000,11.13218,0.18000,1.79924
0.19003,0.19000,3.32737,0.19000,11.10400,0.19000,1.81416
0.20003,0.20000,3.30313,0.20000,11.07621,0.20000,1.83312
0.21003,0.21000,3.28071,0.21000,11.04916,0.21000,1.85555
0.22003,0.22000,3.26106,0.22000,11.02315,0.22000,1.88065
0.23003,0.23000,3.24498,0.23000,10.99845,0.23000,1.90737
0.24004,0.24000,3.23318,0.24000,10.97531,0.24000,1.93456
0.25004,0.25000,3.22627,0.25000,10.95389,0.25000,1.96107
0.26004,0.26000,3.22471,0.26000,10.93433,0.26000,1.98579
0.27004,0.27000,3.22885,0.27000,10.91670,0.27000,2.00781
0.28004,0.28000,3.23886,0.28000,10.90101,0.28000,2.02640
0.29004,0.29000,3.25469,0.29000,10.88723,0.29000,2.04107
0.30004,0.30000,3.27609,0.30000,10.87529,0.30000,2.05156
0.31005,0.31000,3.30255,0.31000,10.86509,0.31000,2.05786
0.32005,0.32000,3.33331,0.32000,10.85649,0.32000,2.06014
0.33005,0.33000,3.36743,0.33000,10.84938,0.33000,2.05879
0.34005,0.34000,3.40374,0.34000,10.84362,0.34000,2.05433
0.35005,0.35000,3.44101,0.35000,10.83913,0.35000,2.04741
0.36005,0.36000,3.47791,0.36000,10.83581,0.36000,2.03879
0.37005,0.37000,3.51315,0.37000,10.83356,0.37000,2.02924
0.38006,0.38000,3.54555,0.38000,10.83230,0.38000,2.01956
0.39006,0.39000,3.57405,0.39000,10.83188,0.39000,2.01050
0.40006,0.40000,3.59780,0.40000,10.83213,0.40000,2.00276
0.41006,0.41000,3.61621,0.41000,10.83282,0.41000,1.99693
0.42006,0.42000,3.62888,0.42000,10.83367,0.42000,1.99349
0.43006,0.43000,3.63572,0.43000,10.83437,0.43000,1.99276
0.44006,0.44000,3.63682,0.44000,10.83460,0.44000,1.99491
0.45007,0.45000,3.63252,0.45000,10.83404,0.45000,1.99990
0.46007,0.46000,3.62336,0.46000,10.83242,0.46000,2.00755
0.47007,0.47000,3.61000,0.47000,10.82948,0.47000,2.01745
0.48007,0.48000,3.59323,0.48000,10.82507,0.48000,2.02907
0.49007,0.49000,3.57390,0.49000,10.81905,0.49000,2.04172
0.50007,0.50000,3.55284,0.50000,10.81138,0.50000,2.05460
0.51007,0.51000,3.53085,0.51000,10.80201,0.51000,2.06688
0.52008,0.52000,3.50860,0.52000,10.79094,0.52000,2.07776
0.53008,0.53000,3.48661,0.53000,10.77818,0.53000,2.08648
0.54008,0.54000,3.46525,0.54000,10.76374,0.54000,2.09246
0.55008,0.55000,3.44468,0.55000,10.74764,0.55000,2.09531
0.56008,0.56000,3.42492,0.56000,10.72989,0.56000,2.09486
0.57008,0.57000,3.40581,0.57000,10.71056,0.57000,2.09120
0.58008,0.58000,3.38710,0.58000,10.68973,0.58000,2.08469
0.59009,0.59000,3.36845,0.59000,10.66756,0.59000,2.07592
0.60009,0.60000,3.34951,0.60000,10.64426,0.60000,2.06567
0.61009,0.61000,3.32993,0.61000,10.62015,0.61000,2.05488
0.62009,0.62000,3.30943,0.62000,10.59562,0.62000,2.04453
0.63009,0.63000,3.28782,0.63000,10.57113,0.63000,2.03560
0.64009,0.64000,3.26505,0.64000,10.54722,0.64000,2.02896
0.65009,0.65000,3.24122,0.65000,10.52446,0.65000,2.02526
0.66010,0.66000,3.21661,0.66000,10.50339,0.66000,2.02491
0.67010,0.67000,3.19173,0.67000,10.48454,0.67000,2.02798
0.68010,0.68000,3.16726,0.68000,10.46833,0.68000,2.03421
0.69010,0.69000,3.14408,0.69000,10.45502,0.69000,2.04302
0.70010,0.70000,3.12319,0.70000,10.44472,0.70000,2.05353
0.71010,0.71000,3.10570,0.71000,10.43733,0.71000,2.06471
0.72010,0.72000,3.09273,0.72000,10.43249,0.72000,2.07543
0.73011,0.73000,3.08532,0.73000,10.42962,0.73000,2.08469
0.74011,0.74000,3.08432,0.74000,10.42789,0.74000,2.09177
0.75011,0.75000,3.09030,0.75000,10.42622,0.75000,2.09646
0.76011,0.76000,3.10344,0.76000,10.42332,0.76000,2.09929
0.77011,0.77000,3.12348,0.77000,10.41773,0.77000,2.10173
0.78011,0.78000,3.14966,0.78000,10.40786,0.78000,2.10641
0.79011,0.79000,3.18070,0.79000,10.39207,0.79000,2.11715
0.80012,0.80000,3.21486,0.80000,10.36878,0.80000,2.13908
0.81012,0.81000,3.25001,0.81000,10.33658,0.81000,2.17845
0.82012,0.82000,3.28375,0.82000,10.29432,0.82000,2.24249
0.83012,0.83000,3.31353,0.83000,10.24130,0.83000,2.33907
0.84012,0.84000,3.33685,0.84000,10.17727,0.84000,2.47629
0.85012,0.85000,3.35133,0.85000,10.10254,0.85000,2.66205
0.86012,0.86000,3.35488,0.86000,10.01791,0.86000,2.90360
0.87013,0.87000,3.34579,0.87000,9.92464,0.87000,3.20719
0.88013,0.88000,3.32274,0.88000,9.82429,0.88000,3.57777
0.89013,0.89000,3.28479,0.89000,9.71861,0.89000,4.01884
0.90013,0.90000,3.23140,0.90000,9.60935,0.90000,4.53244
0.91013,0.91000,3.16232,0.91000,9.49810,0.91000,5.11918
0.92013,0.92000,3.07755,0.92000,9.38617,0.92000,5.77832
0.93014,0.93000,2.97726,0.93000,9.27447,0.93000,6.50797
0.94014,0.94000,2.86175,0.94000,9.16349,0.94000,7.30521
0.95014,0.95000,2.73140,0.95000,9.05326,0.95000,8.16631
0.96014,0.96000,2.58665,0.96000,8.94342,0.96000,9.08686
0.97014,0.97000,2.42802,0.97000,8.83332,0.97000,10.06193
0.98014,0.98000,2.25610,0.98000,8.72209,0.98000,11.08624
0.99014,0.99000,2.07161,0.99000,8.60875,0.99000,12.15420
1.00015,1.00000,1.87542,1.00000,8.49234,1.00000,13.26009
1.01015,1.01000,1.66856,1.01000,8.37197,1.01000,14.39805
1.02015,1.02000,1.45224,1.02000,8.24698,1.02000,15.56222
1.03015,1.03000,1.22777,1.03000,8.11698,1.03000,16.74676
1.04015,1.04000,0.99652,1.04000,7.98193,1.04000,17.94591
1.05015,1.05000,0.75987,1.05000,7.84222,1.05000,19.15394
1.06015,1.06000,0.51916,1.06000,7.69867,1.06000,20.36524
1.07016,1.07000,0.27564,1.07000,7.55248,1.07000,21.57421
1.08016,1.08000,0.03052,1.08000,7.40521,1.08000,22.77536
1.09016,1.09000,-0.21508,1.09000,7.25862,1.09000,23.96324
1.10016,1.10000,-0.46013,1.10000,7.11463,1.10000,25.13254
1.11016,1.11000,-0.70367,1.11000,6.97514,1.11000,26.27812
1.12016,1.12000,-0.94482,1.12000,6.84195,1.12000,27.39505
1.13016,1.13000,-1.18278,1.13000,6.71660,1.13000,28.47872
1.14017,1.14000,-1.41671,1.14000,6.60032,1.14000,29.52488
1.15017,1.15000,-1.64576,1.15000,6.49394,1.15000,30.52974
1.16017,1.16000,-1.86892,1.16000,6.39786,1.16000,31.49000
1.17017,1.17000,-2.08509,1.17000,6.31205,1.17000,32.40301
1.18017,1.18000,-2.29299,1.18000,6.23609,1.18000,33.26679
1.19017,1.19000,-2.49130,1.19000,6.16921,1.19000,34.08008
1.20017,1.20000,-2.67872,1.20000,6.11037,1.20000,34.84243
1.21018,1.21000,-2.85413,1.21000,6.05837,1.21000,35.55413
1.22018,1.22000,-3.01669,1.22000,6.01191,1.22000,36.21615
1.23018,1.23000,-3.16597,1.23000,5.96967,1.23000,36.83011
1.24018,1.24000,-3.30201,1.24000,5.93039,1.24000,37.39812
1.25018,1.25000,-3.42531,1.25000,5.89289,1.25000,37.92268
1.26018,1.26000,-3.53683,1.26000,5.85614,1.26000,38.40657
1.27018,1.27000,-3.63795,1.27000,5.81932,1.27000,38.85274
1.28019,1.28000,-3.73036,1.28000,5.78185,1.28000,39.26419
1.29019,1.29000,-3.81596,1.29000,5.74345,1.29000,39.64388
1.30019,1.30000,-3.89673,1.30000,5.70417,1.30000,39.99461
1.31019,1.31000,-3.97459,1.31000,5.66442,1.31000,40.31887
1.32019,1.32000,-4.05125,1.32000,5.62493,1.32000,40.61875
1.33019,1.33000,-4.12809,1.33000,5.58674,1.33000,40.89580
1.34019,1.34000,-4.20605,1.34000,5.55119,1.34000,41.15096
1.35020,1.35000,-4.28566,1.35000,5.51978,1.35000,41.38444
1.36020,1.36000,-4.36693,1.36000,5.49415,1.36000,41.59575
